DateTime,Entries,UniqueIPs
1537669272,3930,3930
1537671142,3915,3915
1537673063,3900,3900
1537674980,3904,3904
1537676902,3913,3913
1537678843,3904,3904
1537680750,3948,3948
1537682705,3973,3973
1537684598,4171,4171
1537686502,4232,4232
1537688420,4350,4350
1537690348,4508,4508
1537692265,4511,4511
1537694196,4505,4505
1537696104,4494,4494
1537698023,5431,5431
1537699944,5593,5593
1537701861,5601,5601
1537703794,5583,5583
1537705703,5576,5576
1537708588,5539,5539
1537710516,5544,5544
1537712421,5545,5545
1537714363,5539,5539
1537716263,5462,5462
1537718179,5442,5442
1537720101,5413,5413
1537722052,5381,5381
1537723942,5214,5214
1537725875,5105,5105
1537727777,5024,5024
1537729704,4205,4205
1537731619,3983,3983
1537733786,3972,3972
1537735703,3973,3973
1537737617,3975,3975
1537739537,3993,3993
1537741458,4009,4009
1537743397,4005,4005
1537745301,4022,4022
1537747247,4020,4020
1537749143,4046,4046
1537751066,4066,4066
1537752997,4068,4068
1537754903,4060,4060
1537756829,4058,4058
1537758743,4055,4055
1537760678,4055,4055
1537762585,4051,4051
1537764499,4058,4058
1537766428,4717,4717
1537768339,4715,4715
1537770266,4712,4712
1537772182,4531,4531
1537774096,4224,4224
1537776061,4175,4175
1537777946,4113,4113
1537779888,4117,4117
1537781787,4143,4143
1537783747,3790,3790
1537785646,2979,2979
1537787554,2979,2979
1537789572,2981,2981
1537791393,2988,2988
1537793299,3272,3272
1537795219,3344,3344
1537797178,3346,3346
1537799075,3341,3341
1537800996,3334,3334
1537802892,3338,3338
1537804886,3332,3332
1537806767,3342,3342
1537808932,3312,3312
1537810831,3310,3310
1537813207,3297,3297
1537815135,3309,3309
1537817070,3311,3311
1537818986,3303,3303
1537821150,3282,3282
1537823080,3280,3280
1537824983,3250,3250
1537826901,3251,3251
1537828823,3251,3251
1537830771,3255,3255
1537832670,3274,3274
1537834597,4113,4113
1537836509,5335,5335
1537838415,6812,6812
1537840346,7674,7674
1537842258,7695,7695
1537844189,7708,7708
1537846116,7719,7719
1537848991,7746,7746
1537850897,7757,7757
1537852843,7760,7760
1537854741,7099,7099
1537856668,7102,7102
1537858581,7107,7107
1537860495,7128,7128
1537863395,7138,7138
1537865298,7134,7134
1537867222,7099,7099
1537869155,7090,7090
1537871054,7049,7049
1537872966,7047,7047
1537874909,7042,7042
1537877109,7052,7052
1537879000,6960,6960
1537880922,6783,6783
1537882831,6660,6660
1537884749,6657,6657
1537886687,6650,6650
1537888856,6673,6673
1537890985,6684,6684
1537892903,6689,6689
1537894857,6690,6690
1537896749,6697,6697
1537898673,6707,6707
1537900597,6728,6728
1537902500,6722,6722
1537904417,6727,6727
1537906344,6951,6951
1537908262,7007,7007
1537910192,7004,7004
1537912109,6999,6999
1537914024,7016,7016
1537915938,7002,7002
1537917975,6983,6983
1537919787,6936,6936
1537921705,5646,5646
1537924599,3499,3499
1537926504,2503,2503
1537928429,2478,2478
1537930342,2461,2461
1537932406,2437,2437
1537934679,2550,2550
1537936578,2545,2545
1537938512,2538,2538
1537940450,2524,2524
1537942354,2514,2514
1537944281,2500,2500
1537946200,2988,2988
1537948118,3314,3314
1537950043,3664,3664
1537951964,3722,3722
1537953869,3874,3874
1537955779,4614,4614
1537957714,4602,4602
1537959868,4592,4592
1537961799,4589,4589
1537963941,4603,4603
1537965875,4616,4616
1537967790,4614,4614
1537969717,4616,4616
1537971646,4615,4615
1537973536,4622,4622
1537975473,4591,4591
1537977390,4591,4591
1537979319,4586,4586
1537981317,4613,4613
1537983164,4648,4648
1537985007,4638,4638
1537986981,4658,4658
1537988919,4666,4666
1537990822,4776,4776
