DateTime,AddedIPs,RemovedIPs
1537264129,1,1
1537266040,0,1
1537267944,1,0
1537275876,0,1
1537279968,1,0
1537281876,0,1
1537283802,2,4
1537287908,72,0
1537291964,1,0
1537299613,1,0
1537311152,1,0
1537317159,1,0
1537320971,1,1
1537324844,1,0
1537326738,1,0
1537332494,1,0
1537334428,1,0
1537336340,2,0
1537340202,1,0
1537342355,1,0
1537349782,0,1
1537367071,1,0
1537371146,1,0
1537376905,0,4
1537382684,0,8
1537396099,0,1
1537401882,1,0
1537403790,0,1
1537407630,1,0
1537419165,1,0
1537432826,1,0
1537436662,1,0
1537438591,1,2
1537442440,1,0
1537444364,1,2
1537446276,2,0
1537448188,2,0
1537450099,1,0
1537453945,0,1
1537455877,0,2
1537465482,1,0
1537467398,0,73
1537473146,1,0
1537478897,1,0
1537484664,1,0
1537488509,1,1
1537494267,0,1
1537496217,1,0
1537505785,0,1
1537507725,2,0
1537519239,0,1
1537521423,0,1
1537523330,2,0
1537525235,0,1
1537529085,0,1
1537530996,0,1
1537532919,2,2
1537534867,0,2
1537536761,0,1
1537546605,1,0
1537550676,0,2
1537560264,1,1
1537562173,15,0
1537564128,4,0
1537566036,1,0
1537571807,1,0
1537573718,2,0
1537577801,1,0
1537580436,6,0
1537582361,4,0
1537584277,3,0
1537588340,3,0
1537590268,1,0
1537592166,3,0
1537594360,3,0
1537596275,2,0
1537600114,3,0
1537602038,1,0
1537603953,3,0
1537605869,2,0
1537607791,2,0
1537609705,1,0
1537611622,1,0
1537613551,3,0
1537615469,1,0
1537617382,2,0
1537619298,3,0
1537621279,3,0
1537623145,3,0
1537625073,2,0
1537626995,1,0
1537628905,1,0
1537630821,1,0
1537638509,1,0
1537640421,2,0
1537642343,3,0
1537646199,1,0
1537650997,1,1
1537654816,1,0
1537656780,2,0
1537664450,1,0
1537666345,2,0
1537670186,1,0
1537672113,1,0
1537674023,1,0
1537675951,1,0
1537677879,2,0
1537702816,1,0
1537704750,3,0
1537706659,1,0
1537708589,1,0
1537710517,2,0
1537712422,1,0
1537716264,1,28
1537718180,0,64
1537720103,1,0
1537723942,2,1
1537725877,2,2
1537727778,1,0
1537729705,0,3
1537731620,1,1
1537733786,103,0
1537737618,1,0
1537739538,3,0
1537743398,4,0
1537748197,2,0
1537750111,1,0
1537752019,2,0
1537757798,2,0
1537759695,1,0
1537761661,3,0
1537763549,1,0
1537767391,3,0
1537769306,1,0
1537771220,3,0
1537773147,2,0
1537775069,3,0
1537776993,1,0
1537778900,4,0
1537780820,2,0
1537782841,2,0
1537784671,1,0
1537786599,2,0
1537788490,3,0
1537790482,0,1
1537792361,1,0
1537794267,1,0
1537796202,3,0
1537800114,3,0
1537801961,1,1
1537803860,3,0
1537805812,1,0
1537807703,1,0
1537809871,1,0
1537811794,1,0
1537813944,4,0
1537815899,1,0
1537817803,1,0
1537819727,2,131
1537821637,0,1
1537823555,2,1
1537825460,1,2
1537827397,2,1
1537829298,3,2
1537831220,0,2
1537833166,1,1
1537835076,5,2
1537836995,1,2
1537842772,2,0
1537844683,0,2
1537846573,3,4
1537848522,2,0
1537850437,1,1
1537852341,0,1
1537854257,2,2
1537856212,2,2
1537858097,0,2
1537860039,1,3
1537861980,1,2
1537863875,0,3
1537865776,0,3
1537867711,170,0
1537871806,1,0
1537873715,1,0
1537877575,3,0
1537879460,1,0
1537881400,3,1
1537885242,1,0
1537887139,0,1
1537889292,3,0
1537893400,1,0
1537895320,1,1
1537897234,1,0
1537899159,1,0
1537901061,1,0
1537903001,1,0
1537904924,1,0
1537906836,3,0
1537908762,1,0
1537910674,2,0
1537912593,4,0
1537914516,0,1
1537916480,1,0
1537918363,1,0
1537922200,2,0
1537924120,1,0
1537927956,1,1
1537933705,1,2
1537939472,2,0
1537943314,1,0
1537945262,1,0
1537949093,3,0
1537952927,3,0
1537954813,3,0
1537958905,2,0
1537964905,1,0
1537966822,2,0
1537968758,2,0
1537970696,1,0
1537972571,1,0
1537974524,1,0
1537978394,2,0
1537980275,3,0
1537982204,2,0
1537984097,4,0
1537986023,2,0
1537987962,6,0
1537989872,5,0
1537991802,3,0
1537993715,3,0
1537995790,2,0
1537998026,1,0
1537999946,1,0
1538001864,1,0
1538003790,5,0
1538005704,5,0
1538007621,3,0
1538009542,3,0
1538011458,3,0
1538013412,1,0
1538015309,3,0
1538018200,4,0
1538020346,2,1
1538024166,1,0
1538028274,4,0
1538032113,3,0
1538034283,2,0
1538036196,4,0
1538038354,4,0
1538040262,1,0
1538042482,3,1
1538044455,1,0
1538046284,2,0
1538050127,1,0
1538052022,1,0
1538053949,2,0
1538057789,1,0
1538059709,1,0
1538061793,2,0
1538063771,2,0
1538065943,1,287
1538067868,1,3
1538069797,1,0
1538071708,3,5
1538073625,281,0
1538075558,0,4
1538079394,0,1
1538081317,0,2
1538085143,1,1
1538087077,1,0
1538088985,0,1
1538090907,3,2
1538092890,1,0
1538094923,2,1
1538096889,2,0
1538099088,3,0
1538101009,3,0
1538102915,2,0
1538104818,2,0
1538106752,1,0
1538108671,5,0
1538112503,6,0
1538114480,0,1
1538116494,3,0
1538118511,2,0
1538120667,2,0
1538124506,3,0
1538128347,1,0
1538130262,6,1
1538132199,5,0
1538134106,3,0
1538136113,4,0
1538137964,1,0
1538139900,1,0
1538141792,3,0
1538143710,1,0
1538145620,3,0
1538147551,2,0
1538149466,1,0
1538157145,1,0
1538160989,1,29
1538162900,1,0
1538164892,0,1
1538166758,3,0
1538168674,3,0
1538170597,4,6
1538172517,1,0
1538174444,1,0
1538176749,5,0
1538180665,1,0
1538182596,2,0
1538184490,1,0
1538186488,1,1
1538188354,2,1
1538192194,0,1
1538199862,3,1
1538203700,1,1
1538205618,2,0
1538211389,3,0
1538213294,1,1
1538215299,2,3
1538219323,1,4
1538223140,2,0
1538225071,1,0
1538226990,1,1
1538228906,1,0
1538230829,1,0
1538232757,4,0
1538236574,1,53
1538238490,3,11
1538241395,2,1
1538243319,5,0
1538245230,1,0
1538247153,1,1
1538249066,2,0
1538252889,3,3
1538254860,1,1
1538256756,2,2
1538258664,2,0
1538262515,0,2
1538264430,0,328
1538266357,1,0
1538268253,2,0
1538270188,0,2
1538272094,0,2
1538274034,1,0
1538275940,3,2
1538277868,3,0
1538279769,4,0
1538281790,2,0
1538285541,2,2
1538287476,2,0
1538289369,1,0
1538291329,1,1
1538293245,0,1
1538297073,6,1
1538298986,1,0
1538300915,1,2
1538302818,4,3
1538306657,0,1
1538308895,0,1
1538310747,2,2
1538312705,1,1
1538314577,1,1
1538316502,258,0
1538318426,1,2
1538320345,0,2
1538322264,0,3
1538324191,0,3
1538326105,1,2
1538328022,0,1
1538329938,0,3
1538331866,1,3
1538333791,0,1
1538335698,0,2
1538338604,0,3
1538342419,0,2
1538344338,0,2
1538346260,3,1
1538350100,1,0
1538352087,0,2
1538353943,2,1
1538355885,2,1
1538357776,1,0
1538359701,3,0
1538361687,2,4
1538363550,1,2
1538365478,2,5
1538369549,1,2
1538371942,5,2
1538373879,3,2
1538375790,2,1
1538377721,4,1
1538379611,1,0
1538381556,1,0
1538383454,1,5
1538387292,1,1
1538389231,1,6
1538395301,3,0
1538397144,0,2
1538399111,1,1
1538401005,0,1
1538402901,2,181
1538404835,2,1
1538406766,1,0
1538408667,1,0
1538410595,1,0
1538412505,0,1
1538416345,1,0
1538418261,1,2
1538422106,1,0
1538424108,4,0
1538425948,2,0
1538430026,1,28
1538431947,1,0
1538435804,3,0
1538437702,1,0
1538439618,2,0
1538441549,2,0
1538443471,1,1
1538445385,1,0
1538447772,2,0
1538449730,3,0
1538451637,2,0
1538453557,3,0
1538455700,3,0
1538457637,1,0
1538459537,2,0
1538461474,2,1
1538463373,1,0
1538465291,3,0
1538467289,3,0
1538469401,3,0
1538471330,1,0
1538473217,1,31
1538475157,0,2
1538477082,1,0
1538478978,4,0
1538483080,6,5
1538484991,1,0
1538486890,0,2
1538488881,3,2
1538490745,1,1
1538492677,2,5
1538494596,3,0
1538498434,1,0
1538500359,1,0
1538502275,1,1
1538504187,1,4
1538506104,0,29
1538508024,2,0
1538509943,1,0
1538511850,2,0
1538514993,4,0
1538516910,3,0
1538520740,2,0
1538526495,1,0
1538536334,1,0
1538538252,3,0
1538540201,1,0
1538542254,1,0
1538548121,2,0
1538550067,1,0
1538551996,2,3
1538553873,2,2
1538557732,1,0
1538559640,1,0
1538563461,1,0
1538567325,1,0
1538569464,1,1
1538573316,2,0
1538575249,7,0
1538579069,1,0
1538581001,1,0
1538582962,1,0
1538584833,4,0
1538586748,1,1
1538588674,1,14
1538590600,0,68
1538592496,1,0
1538594663,0,3
1538598502,0,3
1538600466,2,3
1538602348,2,0
1538604265,2,3
1538606202,0,1
1538608122,1,0
1538610024,1,0
1538611944,0,2
1538623698,1,3
1538625666,0,2
1538627546,1,0
1538629617,1,1
1538631622,2,0
1538633817,0,2
1538635701,0,1
1538637621,1,1
1538639547,0,1
1538641466,1,2
1538645300,2,2
