DateTime,Entries,UniqueIPs
1537594360,83,83
1537596276,84,84
1537600114,83,83
1537602038,82,82
1537603954,83,83
1537605869,84,84
1537607792,86,86
1537609705,84,84
1537611622,85,85
1537613551,86,86
1537615470,85,85
1537617383,84,84
1537619299,83,83
1537621280,84,84
1537625073,84,84
1537626995,83,83
1537628906,80,80
1537630822,78,78
1537632780,71,71
1537634662,66,66
1537636589,64,64
1537638509,64,64
1537640422,59,59
1537642343,60,60
1537644261,58,58
1537646199,55,55
1537648098,56,56
1537650069,54,54
1537651953,58,58
1537653886,58,58
1537655780,58,58
1537657705,60,60
1537659622,55,55
1537661545,55,55
1537663467,53,53
1537665395,52,52
1537667300,52,52
1537669273,52,52
1537671142,51,51
1537673064,52,52
1537674981,53,53
1537676902,51,51
1537680750,48,48
1537682714,46,46
1537684598,47,47
1537688421,46,46
1537690349,46,46
1537692266,44,44
1537694197,42,42
1537696105,43,43
1537698025,45,45
1537699944,45,45
1537701861,44,44
1537703794,43,43
1537705704,42,42
1537707663,43,43
1537711466,41,41
1537713398,42,42
1537715301,43,43
1537717218,44,44
1537719179,45,45
1537721068,44,44
1537722991,45,45
1537724903,47,47
1537726821,50,50
1537728758,49,49
1537734750,51,51
1537736671,50,50
1537738597,48,48
1537740504,48,48
1537742423,53,53
1537744341,57,57
1537746261,59,59
1537748197,58,58
1537750111,59,59
1537752019,58,58
1537753942,57,57
1537755860,59,59
1537757799,59,59
1537759696,58,58
1537761670,59,59
1537765464,61,61
1537767392,63,63
1537769306,65,65
1537771220,66,66
1537773147,67,67
1537775069,69,69
1537776993,70,70
1537780820,72,72
1537782841,71,71
1537784671,71,71
1537786599,69,69
1537788491,68,68
1537790484,73,73
1537792361,74,74
1537794268,73,73
1537798125,76,76
1537800114,75,75
1537801962,73,73
1537803860,73,73
1537805812,71,71
1537809871,72,72
1537811795,69,69
1537813945,67,67
1537815900,67,67
1537817803,68,68
1537819727,70,70
1537821637,70,70
1537823555,71,71
1537825460,69,69
1537827397,74,74
1537829298,71,71
1537831221,69,69
1537833167,66,66
1537836995,65,65
1537838893,66,66
1537840881,67,67
1537842772,66,66
1537844683,64,64
1537848522,63,63
1537850437,65,65
1537852342,63,63
1537854257,61,61
1537856212,60,60
1537858097,59,59
1537860039,60,60
1537861981,59,59
1537863876,61,61
1537865776,62,62
1537867712,63,63
1537869638,64,64
1537871806,67,67
1537873715,68,68
1537875636,65,65
1537877576,65,65
1537879460,63,63
1537881401,64,64
1537883324,63,63
1537885242,63,63
1537887139,68,68
1537889293,70,70
1537891486,70,70
1537893401,69,69
1537895320,70,70
1537897234,68,68
1537899159,74,74
1537901061,78,78
1537903001,81,81
1537904925,78,78
1537906837,78,78
1537908762,76,76
1537910674,79,79
1537912593,78,78
1537914516,71,71
1537916483,70,70
1537918364,69,69
1537920279,69,69
1537922200,69,69
1537927956,66,66
1537929875,68,68
1537933706,67,67
1537935636,68,68
1537943315,68,68
1537945277,67,67
1537947159,67,67
1537949099,66,66
1537951001,67,67
1537952928,65,65
1537954813,63,63
1537956762,63,63
1537958905,58,58
1537960840,57,57
1537962990,56,56
1537964906,57,57
1537966824,56,56
1537968758,56,56
1537970699,56,56
1537972572,53,53
1537974524,52,52
1537976438,50,50
1537978395,53,53
1537980275,54,54
1537982205,53,53
1537984098,51,51
1537986023,48,48
1537987962,42,42
1537989873,43,43
1537991802,47,47
1537993715,50,50
1537995791,47,47
1537998026,47,47
1537999947,50,50
1538001864,50,50
1538003791,50,50
1538005704,52,52
1538007622,54,54
1538009542,54,54
1538011458,55,55
1538013412,56,56
1538015310,54,54
1538017263,57,57
1538021069,59,59
1538022998,60,60
1538024920,63,63
1538028779,65,65
1538030672,64,64
1538032621,63,63
1538034768,64,64
1538036671,63,63
1538038583,64,64
1538040503,65,65
1538042487,65,65
1538044456,68,68
1538048184,69,69
1538050127,68,68
1538052023,69,69
1538053949,68,68
1538055871,69,69
1538057790,71,71
1538061793,68,68
1538063771,69,69
1538065943,68,68
1538067868,69,69
1538069798,68,68
1538071708,69,69
1538073625,69,69
1538075558,70,70
1538077482,70,70
1538079394,67,67
1538081317,66,66
1538083227,68,68
1538085144,65,65
1538087077,66,66
1538088985,64,64
1538090907,62,62
1538092893,60,60
1538094923,59,59
1538096889,58,58
1538099088,58,58
1538101009,58,58
1538102915,57,57
1538106752,58,58
1538108671,56,56
1538110592,51,51
1538112504,52,52
1538114482,51,51
1538116494,51,51
1538118512,51,51
1538120667,51,51
1538122609,52,52
1538124506,55,55
1538126443,58,58
1538128348,58,58
1538130263,60,60
1538132199,62,62
1538134106,62,62
1538136113,62,62
1538137964,63,63
1538139906,62,62
1538141793,63,63
1538143710,61,61
1538145621,64,64
1538147551,63,63
1538149467,65,65
1538151403,65,65
1538153302,66,66
1538155235,69,69
1538157145,71,71
1538159064,71,71
1538160990,72,72
1538162909,74,74
1538164893,80,80
