DateTime,AddedIPs,RemovedIPs
1534347612,0,1
1534351709,1,0
1534375220,0,1
1534377264,1,0
1534423664,1,0
1534439305,0,1
1534458497,1,0
1534463578,0,1
1534477486,1,0
1534510361,0,1
1534545852,0,1
1534551622,1,0
1534565420,0,1
1534632973,2,0
1534637776,0,1
1534647683,1,0
1534649535,1,0
1534719213,0,2
1534732848,0,2
1534802661,1,0
1534806741,1,0
1534812810,1,0
1534889567,0,1
1534893393,0,1
1534897458,0,1
1534902975,1,0
1534937061,1,0
1534975479,1,0
1534987484,1,0
1534989377,0,1
1535012415,1,0
1535023964,0,1
1535027774,1,0
1535060658,0,1
1535074095,0,1
1535097668,0,1
1535107232,1,0
1535112998,0,1
1535142980,1,0
1535144935,1,0
1535190027,1,0
1535193885,0,1
1535209278,1,0
1535216905,1,0
1535227459,1,0
1535229634,0,1
1535231555,0,1
1535235406,1,0
1535260338,1,0
1535276199,0,1
1535295390,0,1
1535303077,0,1
1535313185,0,1
1535323224,0,1
1535378897,1,0
1535412054,1,0
1535413999,1,0
1535423788,1,0
1535427862,1,0
1535433636,0,1
1535460770,1,0
1535464593,0,1
1535497497,0,1
1535499440,0,1
1535508992,0,1
1535514822,0,1
1535546011,0,1
1535582582,2,0
1535588440,1,0
1535604041,1,0
1535636901,1,0
1535640877,3,0
1535650609,1,0
1535670070,0,2
1535676021,2,1
1535689462,0,1
1535724756,0,1
1535726689,1,2
1535728801,0,1
1535736627,0,1
1535763388,0,2
1535807559,1,0
1535811395,1,0
1535813307,0,1
1535892501,1,0
1535894437,0,1
1535898278,0,1
1535916069,1,0
1535948435,1,0
1535977706,0,1
1535981547,1,0
1536002671,1,1
1536034102,0,1
1536068205,1,1
1536088359,0,1
1536119788,2,0
1536125549,1,0
1536154114,0,1
1536165611,1,0
1536183625,2,0
1536205963,0,2
1536211702,0,1
1536213678,1,0
1536227061,1,0
1536229010,1,0
1536248196,1,0
1536250385,1,0
1536252274,0,1
1536263776,1,0
1536269564,0,2
1536300521,0,1
1536313958,0,2
1536321663,1,0
1536335052,0,2
1536343000,1,0
1536344913,1,0
1536350698,0,1
1536358365,1,0
1536371793,1,0
1536385231,1,0
1536405635,1,0
1536409489,0,1
1536413301,1,0
1536422975,1,0
1536426999,1,0
1536428904,0,1
1536430845,1,1
1536444265,0,1
1536450044,1,0
1536457704,0,1
1536471152,0,1
1536492516,1,1
1536500295,0,1
1536509795,0,1
1536513620,0,1
1536517454,0,1
1536536925,0,1
1536540733,1,0
1536579638,0,1
1536593081,1,0
1536625947,0,1
1536655255,1,0
1536676346,1,0
1536680429,0,1
1536728934,1,0
1536742350,0,1
1536752903,1,0
1536762504,0,1
1536815800,0,1
1536817726,1,0
1536835217,1,0
1536841022,0,1
1536902683,0,1
1536906528,1,0
1536908484,1,0
1536914460,1,0
1536922100,0,1
1536933871,1,0
1536959087,1,0
1536982359,1,0
1536984320,1,0
1536992214,0,1
1536996513,0,1
1537000363,0,1
1537019800,0,1
1537025556,1,0
1537043081,1,0
1537044979,1,1
1537066100,1,0
1537068036,0,1
1537069948,0,1
1537112449,0,1
1537128319,0,1
1537130174,0,1
1537140028,1,0
1537151814,0,1
1537157793,1,0
1537178927,1,0
1537227633,0,1
1537235312,1,0
1537244919,0,1
1537248771,1,0
1537254529,1,0
1537262213,1,0
1537264130,0,1
1537267945,1,0
1537273967,1,0
1537278071,2,0
1537279969,1,0
1537281877,1,0
1537285709,1,0
1537290076,1,0
1537293884,1,0
1537297715,1,0
1537301557,2,0
1537313079,1,0
1537320972,1,1
1537334429,1,0
1537336341,0,1
1537340203,0,1
1537349783,0,1
1537355546,1,1
1537357482,1,0
1537359426,0,1
1537363236,0,1
1537365150,0,1
1537367072,0,2
1537371147,0,1
1537374981,0,1
1537380742,0,1
1537382684,0,1
1537388420,0,2
1537399949,0,1
1537407630,0,1
1537421085,0,1
1537442441,0,1
1537459749,2,0
1537461638,0,1
1537475077,1,0
1537478898,1,0
1537503876,1,0
1537509678,1,0
1537513471,1,0
1537517330,1,0
1537519240,1,0
1537529085,1,0
1537546606,2,2
1537562173,0,1
1537564129,0,1
1537566037,2,0
1537567959,1,0
1537569858,1,0
1537575648,1,0
1537590269,1,1
1537594361,1,0
1537596277,0,1
1537600115,0,1
1537603954,0,1
1537605870,0,1
1537615470,0,1
1537617383,1,0
1537623146,1,0
1537632780,0,2
1537634663,1,0
1537640422,1,0
1537648098,1,0
1537650082,1,0
1537651953,1,1
1537653886,0,2
1537657705,0,1
1537661545,0,1
1537667300,2,0
1537674981,1,1
1537678870,1,1
1537680751,1,0
1537686503,1,0
1537692266,1,0
1537703795,0,1
1537705704,1,0
1537721069,0,1
1537726821,0,1
1537730663,1,0
1537732744,1,0
1537734751,0,2
1537736671,0,1
1537738597,0,1
1537744341,1,0
1537753942,1,2
1537759696,1,0
1537761697,0,1
1537765465,0,2
1537773148,0,1
1537778901,0,1
1537790487,0,1
1537792361,1,0
1537796203,1,0
1537798126,1,0
1537817803,0,2
1537831221,0,1
1537840894,0,1
1537846574,0,1
1537856213,1,0
1537879461,0,1
1537881401,1,1
1537885243,0,1
1537891488,1,0
1537901062,1,0
1537906837,2,0
1537908763,2,0
1537910675,1,0
1537918364,1,0
1537929875,1,0
1537931798,1,0
1537933706,1,0
1537935637,1,0
1537937541,2,0
1537939473,1,0
1537941399,0,1
1537943315,1,0
1537945285,1,0
1537947159,1,0
1537951002,1,0
1537952928,2,0
1537954813,1,0
1537964906,2,0
1537966826,1,1
1537978395,0,1
1537982205,1,0
1537987963,0,1
1537991802,0,1
1537993715,0,2
1537995791,0,1
1537998027,0,1
1538003791,0,1
1538015310,0,1
1538017274,0,1
1538019156,0,1
1538022999,0,1
1538024921,0,3
1538028780,0,1
1538030673,0,1
1538032622,0,1
1538036671,0,1
1538038583,0,1
1538040503,0,2
1538044457,1,0
1538046285,1,0
1538050128,0,1
1538052023,0,1
1538053952,0,1
1538067869,1,1
1538073626,1,0
1538075559,1,0
1538088986,1,0
1538092895,1,0
1538099089,1,0
1538108672,1,0
1538112504,1,0
1538132200,0,2
1538151404,2,0
1538153303,1,1
1538155236,1,0
1538159065,1,1
1538160990,1,1
1538166759,1,0
1538168675,1,0
1538170598,1,0
1538174445,1,0
1538176750,1,1
1538178755,1,0
1538180666,2,1
1538182597,1,0
1538184491,2,0
1538186504,0,1
1538188355,3,0
1538196026,0,1
1538197963,1,0
1538199863,2,0
1538203701,2,0
1538205619,1,0
1538209466,1,0
1538211390,3,0
1538213294,2,0
1538215301,0,1
1538217156,1,0
1538219324,1,0
1538221235,2,0
1538223141,1,0
1538226991,1,0
1538234665,1,0
1538236575,1,1
1538238491,0,1
1538241396,1,2
1538243320,1,0
1538245231,3,1
1538247154,2,0
1538249067,2,1
1538250993,2,0
1538252890,0,1
1538254892,0,1
1538256757,1,1
1538260592,1,0
1538262518,2,2
1538264431,1,1
1538266358,0,1
1538268254,2,2
1538270189,2,2
1538274035,1,1
1538275941,0,2
1538279770,1,0
1538285542,2,3
1538289370,1,1
1538291338,0,2
1538293246,1,0
1538295147,0,1
1538297074,1,3
1538298987,1,2
1538300915,1,0
1538304739,2,1
1538306658,1,2
1538308902,1,2
1538312709,1,1
1538314578,1,0
1538322265,2,1
1538324192,1,1
1538326106,1,1
1538329939,0,1
1538331866,0,3
1538333792,1,2
1538335698,1,2
1538338605,4,2
1538340502,1,0
1538342420,2,0
1538344339,1,1
1538346261,3,1
1538348189,0,1
1538350101,0,2
1538352099,1,0
1538353944,0,1
1538355887,0,2
1538357777,1,1
1538359708,0,1
1538365479,0,1
1538367555,2,0
1538369550,1,0
1538371943,0,2
1538373893,1,0
1538375791,1,1
1538377722,1,0
1538381557,0,1
1538383455,2,1
1538385406,0,1
1538387293,0,1
1538391159,0,2
1538395306,1,1
1538397145,0,1
1538399114,2,1
1538402902,1,0
1538408668,0,2
1538410596,0,1
1538412506,0,1
1538420184,0,1
1538422107,1,1
1538424114,1,4
1538427878,0,1
1538430027,1,2
1538431948,0,1
1538433861,0,2
1538439618,1,1
1538441549,1,0
1538443472,0,1
1538445386,1,0
1538449740,1,0
1538453558,2,2
1538455701,1,1
1538457638,0,1
1538463374,0,1
1538465292,0,1
1538469402,0,2
1538471331,1,0
1538477083,1,1
1538480930,0,1
1538484992,0,1
1538486890,0,1
1538490746,0,1
1538508025,0,1
1538509944,0,1
1538511851,1,0
1538515944,0,1
1538525561,1,0
1538527456,0,1
1538529385,0,1
1538531306,1,1
1538533229,1,0
1538537070,0,1
1538538978,0,1
1538540897,1,2
1538543101,1,0
1538550994,1,0
1538558674,0,1
1538562497,2,0
1538564475,0,1
1538566368,1,0
1538570437,1,0
1538591548,1,0
1538593498,1,1
1538595376,1,0
1538599473,2,1
1538603304,1,0
1538610984,1,0
1538612902,0,1
1538616977,1,1
1538624684,1,0
1538626592,0,1
1538628503,0,1
1538632326,1,0
1538638113,0,1
1538640075,2,0
1538641958,1,0
1538643862,1,0
