DateTime,AddedIPs,RemovedIPs
1537357482,4,10
1537359426,0,3
1537361301,0,9
1537363236,0,9
1537365150,8,2
1537367073,2,1
1537371147,0,2
1537373113,4,4
1537374981,1,0
1537376906,4,1
1537378823,2,0
1537380743,0,8
1537382685,7,1
1537384594,2,1
1537386503,2,2
1537388421,14,4
1537390352,14,7
1537392266,7,3
1537394186,3,1
1537396100,2,4
1537398105,8,10
1537399949,0,1
1537401883,0,3
1537403791,5,0
1537409546,5,0
1537411463,2,0
1537413386,1,4
1537415337,4,0
1537417225,2,0
1537419166,3,1
1537421086,1,8
1537423021,5,1
1537424900,1,1
1537426890,2,5
1537428747,1,2
1537430717,2,4
1537432827,4,4
1537434758,0,1
1537436663,0,2
1537438592,0,1
1537440508,6,9
1537442442,5,8
1537444366,2,2
1537446277,5,0
1537452074,3,9
1537453946,4,1
1537455878,3,0
1537457792,3,0
1537459750,0,4
1537461638,5,1
1537463554,2,6
1537465483,1,0
1537467399,7,0
1537469305,0,7
1537471234,3,2
1537473147,1,5
1537475078,1,17
1537476984,0,8
1537478898,0,7
1537480840,4,3
1537482751,2,2
1537484666,10,8
1537486600,10,0
1537488511,26,0
1537490430,49,5
1537492352,1,0
1537494268,0,2
1537496218,2,4
1537498102,0,2
1537500051,6,0
1537502000,4,4
1537503876,0,2
1537505786,0,3
1537507726,2,1
1537509679,2,6
1537513472,1,2
1537515399,0,1
1537517331,4,2
1537519241,0,4
1537521424,3,0
1537523331,3,0
1537525242,7,0
1537527168,0,8
1537529086,1,3
1537530997,2,4
1537532920,0,3
1537536762,1,1
1537538702,5,3
1537540605,7,5
1537542523,0,1
1537544435,1,3
1537546607,3,1
1537548744,0,6
1537550677,4,0
1537552576,10,1
1537554513,1,7
1537556442,4,0
1537558362,3,3
1537560265,2,2
1537562174,1,0
1537566037,1,0
1537567959,0,4
1537569858,3,4
1537571808,0,11
1537573723,0,24
1537575649,0,58
1537577802,3,0
1537580443,4,1
1537582362,5,2
1537584279,13,0
1537586206,68,5
1537588349,10,5
1537592168,3,0
1537594362,1,2
1537596279,5,2
1537598189,2,0
1537600115,14,1
1537603955,1,4
1537607793,0,3
1537609706,1,3
1537611623,0,7
1537615471,9,1
1537617384,4,2
1537619299,2,0
1537623147,1,1
1537625074,4,5
1537626996,1,7
1537630823,0,1
1537632781,2,3
1537636590,0,1
1537638510,0,12
1537640431,2,1
1537642344,7,4
1537644262,0,4
1537646200,6,2
1537648099,4,1
1537650085,5,0
1537651954,0,1
1537653887,8,0
1537655781,6,3
1537657706,4,0
1537659623,6,0
1537661546,5,0
1537663468,0,3
1537665396,2,1
1537667301,0,6
1537669274,3,2
1537671143,0,16
1537673065,0,75
1537676903,2,0
1537678888,6,4
1537682717,1,5
1537684608,0,2
1537686504,0,14
1537690350,0,1
1537692267,2,0
1537694197,4,0
1537696106,4,1
1537698026,3,0
1537699945,6,0
1537701862,0,9
1537703795,0,4
1537705705,0,2
1537707673,6,0
1537709546,1,1
1537711467,0,4
1537713399,0,1
1537717219,10,0
1537719180,0,2
1537722992,1,0
1537726822,0,2
1537728759,4,7
1537730663,8,0
1537732744,3,6
1537734751,0,4
1537736672,6,5
1537738598,11,0
1537740505,0,9
1537742424,2,5
1537744342,4,4
1537746262,0,7
1537748198,0,4
1537752020,0,2
1537755861,0,3
1537759697,1,0
1537763550,0,4
1537765465,0,4
1537767393,1,0
1537769307,6,1
1537771221,2,0
1537773148,9,0
1537776994,5,0
1537778901,0,2
1537780821,0,4
1537782842,13,4
1537784672,0,3
1537786600,0,6
1537794286,0,6
1537796204,0,1
1537798127,1,0
1537801963,1,0
1537803861,0,10
1537805813,2,0
1537807704,10,0
1537809873,2,1
1537811796,2,0
1537815901,7,8
1537817804,3,4
1537819728,0,3
1537823556,0,11
1537825461,10,6
1537827398,2,1
1537829299,0,4
1537831222,0,1
1537844685,5,0
1537846574,0,1
1537848523,5,0
1537850443,2,0
1537852343,4,0
1537854258,5,1
1537856213,3,6
1537858098,2,2
1537860040,2,9
1537861982,3,0
1537863877,1,5
1537865777,3,0
1537869672,0,13
1537875637,5,0
1537879461,2,0
1537881402,7,0
1537883325,3,1
1537885243,11,0
1537887140,0,1
1537891488,6,0
1537893402,3,10
1537895321,3,2
1537897235,3,4
1537899160,7,0
1537903002,0,7
1537904926,1,3
1537910675,0,2
1537912594,1,10
1537914517,3,0
1537916486,7,0
1537920280,1,0
1537929876,4,0
1537931799,4,5
1537933707,9,2
1537935637,1,3
1537937541,0,5
1537939474,2,2
1537941399,3,7
1537943316,0,2
1537945286,12,0
1537947160,0,5
1537951002,3,3
1537952929,6,1
1537954814,6,0
1537958906,1,0
1537962991,0,5
1537964907,2,0
1537966833,0,2
1537968759,2,7
1537970710,11,8
1537972573,3,6
1537974525,3,0
1537976439,14,0
1537978396,3,5
1537980276,1,0
1537993716,2,0
1537995792,4,0
1537998027,10,0
1537999948,17,2
1538001865,7,0
1538007623,5,0
1538011459,1,0
1538017292,1,0
1538019157,0,43
1538021070,3,2
1538022999,1,1
1538024921,0,1
1538026830,0,4
1538028780,8,0
1538030673,8,6
1538032622,5,6
1538036672,0,1
1538038584,12,2
1538040504,65,12
1538042497,1,0
1538044457,6,1
1538046288,7,0
1538048185,3,0
1538050137,7,1
1538052024,0,1
1538055872,0,5
1538057791,0,8
1538059711,0,3
1538061794,0,7
1538063772,0,13
1538065944,6,0
1538067869,3,1
1538069799,9,0
1538071709,5,0
1538073626,3,0
1538075559,5,0
1538077483,5,0
1538081318,0,6
1538083228,6,0
1538085145,0,21
1538087078,2,13
1538088986,1,0
1538092896,1,3
1538094924,0,2
1538096890,0,1
1538099090,6,0
1538101010,13,0
1538102916,3,0
1538104820,0,1
1538108673,0,4
1538112505,4,0
1538114484,14,0
1538116495,3,16
1538118513,5,1
1538120668,1,4
1538122611,1,0
1538124508,0,4
1538126444,0,72
1538128349,0,2
1538132200,0,13
1538136114,0,10
1538143711,1,0
1538147552,11,0
1538149468,8,0
1538151405,2,2
1538153303,9,7
1538155237,0,3
1538157146,0,9
1538159065,0,5
1538160991,0,4
1538162910,0,6
1538168693,0,6
1538172518,1,2
1538174446,0,1
1538180666,0,1
1538184492,0,5
1538186505,0,10
1538188356,0,7
1538197963,1,0
1538199864,1,12
1538201800,0,9
1538203701,0,2
1538205620,0,3
1538207542,0,1
1538209466,0,1
1538219324,8,0
1538221236,5,0
1538223141,4,0
1538225072,4,0
1538226992,1,0
1538228907,0,1
1538232759,0,2
1538234666,0,14
1538236575,0,3
1538238491,1,2
1538241396,0,9
1538243320,2,0
1538245231,2,0
1538247154,1,0
1538258665,2,1
1538260592,1,0
1538262519,2,0
1538266358,3,0
1538274035,9,0
1538275941,6,0
1538277870,11,0
1538279770,5,0
1538281791,1,0
1538283692,27,1
1538285542,3,0
1538287477,3,1
1538289371,1,0
1538300916,3,0
1538302819,5,0
1538304740,18,2
1538306659,0,8
1538308903,2,5
1538310748,0,2
1538312711,0,4
1538314579,0,1
1538320346,9,0
1538322266,6,0
1538324193,0,1
1538328024,2,0
1538329939,0,3
1538331867,4,1
1538333792,0,1
1538335699,2,0
1538338606,1,0
1538340503,1,0
1538344340,0,2
1538346262,0,1
1538348190,0,2
1538352100,6,2
1538353944,0,1
1538359708,0,3
1538361696,0,11
1538363551,0,3
1538365479,0,14
1538367555,2,0
1538369555,0,23
1538371944,0,8
1538373900,0,3
1538375791,0,1
1538379612,4,0
1538381557,11,0
1538383455,2,0
1538387294,0,3
1538389232,0,5
1538391159,28,18
1538395306,8,2
1538401007,4,0
1538404836,8,0
1538406767,22,7
1538408668,7,6
1538410597,8,0
1538412507,4,0
1538414419,0,2
1538416350,1,0
1538418262,6,4
1538420184,1,0
1538422108,1,2
1538424114,0,1
1538427879,0,1
1538433862,1,0
1538437703,3,2
1538439621,0,4
1538453558,1,2
1538465293,0,1
1538467303,0,7
1538469402,0,9
1538471331,2,0
1538477083,3,24
1538478979,9,6
1538480930,9,8
1538483082,9,0
1538484992,8,0
1538486891,3,2
1538488899,0,2
1538490746,0,3
1538492688,0,20
1538494597,6,14
1538496551,1,8
1538498435,10,4
1538502277,3,0
1538504188,0,7
1538506106,2,0
1538508025,16,2
1538509945,4,0
1538511852,2,0
1538515945,1,0
1538517874,12,0
1538519774,11,1
1538525561,8,3
1538533229,1,0
1538538978,0,1
1538550994,1,0
1538558675,0,2
1538564479,0,12
1538566377,29,9
1538568342,0,2
1538570438,0,15
1538574280,4,3
1538580029,1,6
1538581957,4,0
1538583870,6,2
1538585802,16,9
1538587694,3,2
1538589685,1,1
1538591548,1,0
1538593512,0,9
1538595377,0,13
1538597311,11,0
1538599474,3,2
1538601405,3,0
1538603304,8,5
1538605220,0,14
1538607138,2,5
1538609074,21,0
1538610984,8,8
1538612903,3,0
1538618910,1,0
1538620825,20,1
1538622743,6,0
1538624684,9,0
1538626592,2,0
1538638113,0,1
1538640078,8,0
1538641958,13,0
1538643863,6,0
1538645798,2,0
