DateTime,Entries,UniqueIPs
1537357482,129,129
1537359426,126,126
1537361301,117,117
1537363236,108,108
1537365150,114,114
1537367073,115,115
1537371147,113,113
1537373113,113,113
1537374981,114,114
1537376906,117,117
1537378823,119,119
1537380743,111,111
1537382685,117,117
1537384594,118,118
1537386503,118,118
1537388421,128,128
1537390352,135,135
1537392266,139,139
1537394186,141,141
1537396100,139,139
1537398105,137,137
1537399949,136,136
1537401883,133,133
1537403791,138,138
1537409546,143,143
1537411463,145,145
1537413386,142,142
1537415337,146,146
1537417225,148,148
1537419166,150,150
1537421086,143,143
1537423021,147,147
1537424900,147,147
1537426890,144,144
1537428747,143,143
1537430717,141,141
1537432827,141,141
1537434758,140,140
1537436663,138,138
1537438592,137,137
1537440508,134,134
1537442442,131,131
1537444366,131,131
1537446277,136,136
1537452074,130,130
1537453946,133,133
1537455878,136,136
1537457792,139,139
1537459750,135,135
1537461638,139,139
1537463554,135,135
1537465483,136,136
1537467399,143,143
1537469305,136,136
1537471234,137,137
1537473147,133,133
1537475078,117,117
1537476984,109,109
1537478898,102,102
1537480840,103,103
1537482751,103,103
1537484666,105,105
1537486600,115,115
1537488511,141,141
1537490430,185,185
1537492352,186,186
1537494268,184,184
1537496218,182,182
1537498102,180,180
1537500051,186,186
1537502000,186,186
1537503876,184,184
1537505786,181,181
1537507726,182,182
1537509679,178,178
1537513472,177,177
1537515399,176,176
1537517331,178,178
1537519241,174,174
1537521424,177,177
1537523331,180,180
1537525242,187,187
1537527168,179,179
1537529086,177,177
1537530997,175,175
1537532920,172,172
1537536762,172,172
1537538702,174,174
1537540605,176,176
1537542523,175,175
1537544435,173,173
1537546607,175,175
1537548744,169,169
1537550677,173,173
1537552576,182,182
1537554513,176,176
1537556442,180,180
1537558362,180,180
1537560265,180,180
1537562174,181,181
1537566037,182,182
1537567959,178,178
1537569858,177,177
1537571808,166,166
1537573723,142,142
1537575649,84,84
1537577802,87,87
1537580443,90,90
1537582362,93,93
1537584279,106,106
1537586206,169,169
1537588349,174,174
1537592168,177,177
1537594362,176,176
1537596279,179,179
1537598189,181,181
1537600115,194,194
1537603955,191,191
1537607793,188,188
1537609706,186,186
1537611623,179,179
1537615471,187,187
1537617384,189,189
1537619299,191,191
1537623147,191,191
1537625074,190,190
1537626996,184,184
1537630823,183,183
1537632781,182,182
1537636590,181,181
1537638510,169,169
1537640431,170,170
1537642344,173,173
1537644262,169,169
1537646200,173,173
1537648099,176,176
1537650085,181,181
1537651954,180,180
1537653887,188,188
1537655781,191,191
1537657706,195,195
1537659623,201,201
1537661546,206,206
1537663468,203,203
1537665396,204,204
1537667301,198,198
1537669274,199,199
1537671143,183,183
1537673065,108,108
1537676903,110,110
1537678888,112,112
1537682717,108,108
1537684608,106,106
1537686504,92,92
1537690350,91,91
1537692267,93,93
1537694197,97,97
1537696106,100,100
1537698026,103,103
1537699945,109,109
1537701862,100,100
1537703795,96,96
1537705705,94,94
1537707673,100,100
1537709546,100,100
1537711467,96,96
1537713399,95,95
1537717219,105,105
1537719180,103,103
1537722992,104,104
1537726822,102,102
1537728759,99,99
1537730663,107,107
1537732744,104,104
1537734751,100,100
1537736672,101,101
1537738598,112,112
1537740505,103,103
1537742424,100,100
1537744342,100,100
1537746262,93,93
1537748198,89,89
1537752020,87,87
1537755861,84,84
1537759697,85,85
1537763550,81,81
1537765465,77,77
1537767393,78,78
1537769307,83,83
1537771221,85,85
1537773148,94,94
1537776994,99,99
1537778901,97,97
1537780821,93,93
1537782842,102,102
1537784672,99,99
1537786600,93,93
1537794286,87,87
1537796204,86,86
1537798127,87,87
1537801963,88,88
1537803861,78,78
1537805813,80,80
