DateTime,AddedIPs,RemovedIPs
1537463555,1,2
1537465483,0,1
1537469306,1,2
1537471235,0,2
1537473147,0,2
1537478899,1,1
1537480841,1,2
1537482751,3,0
1537484666,2,1
1537486600,0,2
1537488511,0,1
1537490430,0,1
1537492352,0,1
1537494269,1,1
1537496218,2,0
1537500051,3,0
1537502000,0,1
1537503877,0,1
1537511550,1,1
1537513472,1,0
1537515399,0,2
1537517331,0,1
1537519241,0,1
1537521424,7,3
1537523332,2,1
1537525242,2,0
1537527168,2,1
1537530997,3,2
1537534872,1,0
1537540605,2,3
1537542523,0,2
1537546607,0,1
1537548744,1,2
1537550677,1,1
1537552577,1,1
1537554513,0,2
1537556442,1,0
1537558362,1,0
1537560266,2,0
1537566037,2,1
1537567960,1,2
1537569859,0,3
1537571808,0,1
1537573723,1,1
1537575649,2,1
1537577803,4,0
1537580444,3,2
1537582363,2,0
1537584279,2,0
1537586207,2,1
1537592168,0,1
1537596281,0,1
1537598189,0,1
1537600116,0,1
1537602040,0,1
1537603955,6,0
1537605870,1,0
1537607793,0,1
1537609706,1,1
1537611623,0,2
1537613552,0,1
1537615471,1,0
1537617384,1,3
1537621287,1,3
1537625074,1,2
1537626997,0,2
1537628907,1,0
1537630823,2,2
1537634663,1,0
1537636590,2,1
1537638510,1,0
1537640431,1,0
1537642344,0,1
1537644262,5,0
1537646200,2,1
1537650086,2,0
1537651954,3,3
1537653887,3,1
1537655782,2,0
1537657706,2,0
1537659623,1,0
1537661546,1,2
1537663468,2,0
1537665397,0,5
1537667301,3,3
1537669274,0,2
1537671144,0,2
1537673065,0,2
1537674982,0,1
1537676904,1,1
1537678895,2,1
1537680752,1,0
1537682717,1,1
1537684609,1,0
1537686504,2,1
1537690350,1,5
1537692267,0,1
1537694198,2,0
1537696107,1,1
1537699946,1,1
1537703796,0,1
1537705705,5,1
1537709546,1,0
1537711467,2,2
1537713399,1,0
1537715303,2,1
1537719181,1,0
1537721070,0,1
1537722992,1,0
1537726822,1,3
1537728759,1,0
1537730663,0,6
1537732744,2,2
1537734751,1,0
1537736672,1,2
1537738598,1,0
1537740505,1,1
1537742424,1,2
1537744342,1,3
1537746262,1,1
1537748199,0,2
1537750113,0,1
1537752020,2,0
1537753943,1,2
1537755861,1,1
1537759697,0,2
1537763551,1,1
1537765466,1,2
1537767393,0,1
1537769307,1,1
1537771221,3,1
1537773149,2,3
1537776995,2,0
1537778902,1,2
1537780821,1,1
1537786600,1,1
