DateTime,AddedIPs,RemovedIPs
1537676904,30,2
1537678901,4,1
1537680752,4,31
1537682718,46,1
1537684609,283,3
1537686505,166,5
1537688422,340,2
1537690350,198,5
1537692267,5,3
1537694198,4,1
1537696107,3,0
1537698026,7,3
1537699946,7,3
1537701863,7,5
1537703796,0,1
1537705705,5,19
1537707674,2,24
1537709546,27,2
1537711467,4,3
1537713400,2,4
1537715303,1,74
1537717220,2,9
1537719181,2,1
1537721070,0,3
1537722993,4,3
1537724904,2,4
1537726823,7,2
1537728759,3,2
1537730664,3,0
1537732745,8,1
1537734752,3,1
1537736672,1,5
1537738599,40,17
1537740505,3,4
1537742424,34,2
1537744343,4,3
1537746262,4,4
1537748199,50,10
1537750113,2,3
1537752021,5,2
1537753943,2,4
1537755861,3,5
1537757800,3,5
1537759698,4,3
1537761706,5,6
1537763551,19,10
1537765466,1446,1
1537767393,699,14
1537769308,2,4
1537771222,15,270
1537773149,4,472
1537775071,66,5
1537776995,2,188
1537778902,3,7
1537780822,61,2
1537782843,3,4
1537784673,3,5
1537786601,0,6
1537788492,5,8
1537792363,4,4
1537794302,1,0
1537796204,1,68
1537798128,5,4
1537800115,2,2
1537801963,7,1
1537803862,3,1
1537805814,1,2
1537807705,3,1
1537809873,8,2
1537811796,2,2
1537813946,4,6
1537815902,3,5
1537817805,5,3
1537819729,3,8
1537821639,6,2
1537823557,6,2
1537825462,3,50
1537827399,1,27
1537829300,30,9
1537831223,3,17
1537833169,4,6
1537835078,1,4
1537836997,4,2
1537838894,485,4
1537840921,10,2
1537842774,4,4
1537844685,5,1
1537846575,5,4
1537848524,6,4
1537850444,7,26
1537852343,5,38
1537854259,35,2167
1537856214,5,4
1537858099,6,16
1537860041,5,5
1537861982,4,4
1537863878,4,2
1537865778,5,3
1537867713,7,70
1537869683,8,1
1537871808,8,1
1537873717,6,3
1537875637,2,2
1537877577,6,3
1537879462,2,2
1537881403,3,4
1537883326,12,35
1537885244,2,2
1537887141,65,4
1537889294,3,6
1537891489,4,0
1537893402,1,2
1537895322,1,5
1537897236,3,7
1537899160,3,1
1537901063,5,3
1537903003,0,6
1537904926,4,2
1537906838,395,5
1537908764,1,6
1537910676,4,3
1537912595,1,2
1537914518,70,2
1537916493,0,8
1537918365,0,5
1537920281,1,1
1537922202,3,0
1537924131,1,346
1537926036,4,161
1537927958,4,10
1537929876,2,5
1537931799,4,4
1537933707,2,3
1537935638,3,8
1537937542,0,5
1537939474,5,6
1537941400,3,3
1537943316,2,4
1537945288,7,10
1537947160,2,5
1537949106,6,4
1537951003,5,6
1537952930,3,7
1537954814,0,2
1537956764,5,70
1537958907,2,8
1537960842,2,6
1537962992,1,5
1537964907,6,3
1537966847,2,2
1537968760,1,9
1537970710,18,5
1537972573,2,2
1537974526,2,63
1537976439,8,5
1537978397,7,3
1537980277,1,1
1537982206,31,4
1537984099,4,2
1537986025,3,3
1537987964,5,4
1537989875,2,3
1537991804,323,1
1537993717,1202,389
1537995793,1329,2
1537998028,1739,5
1537999948,524,22
1538001866,27,61
1538003792,5,0
1538005706,8,1
1538007624,7,3
1538009544,8,0
1538011460,4,2
1538013414,6,3
1538015311,4,3
1538017297,3,5
1538019166,90,2
1538021070,227,3
1538023000,392,2
1538024922,252,1
1538026831,259,5
1538028781,169,2
1538030674,89,3
1538032623,115,2
1538034770,8,3
1538036673,9,2
1538038584,7,2
1538040505,21,1
1538042500,4,2
1538044458,4,2
1538046295,1,1
1538048194,4,1
1538050137,6,1
1538052025,2,2
1538053954,5,3
1538055873,5,2
1538057792,2,25
1538059711,1,1
1538061795,2,4
1538063773,3,2
1538065945,7,1
1538067870,3,22
1538069800,1,2
1538071711,3,1
1538073627,2,3
1538075560,3,0
1538077484,1,1
1538079396,2,1037
1538081319,7,1273
1538083229,3,1285
1538085145,4,1468
1538087079,1,5
1538088987,6,7
1538090909,3,5
1538092897,3,4
1538094925,5,8
1538096891,0,3
1538099090,9,7
1538101010,3,3
1538102916,7,4
1538104821,1,1
1538106754,5,53
1538108673,3,33
1538110594,2,67
1538112519,5,163
1538114485,44,152
1538116496,1,153
1538118514,1,515
1538120669,3,125
1538122611,43,12
1538124508,20,309
1538126445,5,151
1538128349,6,1
1538130264,4,7
1538132201,13,5
1538134114,8,3
1538136115,6,7
1538137966,63,4
1538139915,6,5
1538141794,6,6
1538143712,4,4
1538145622,9,1
1538147553,3,4
1538149469,13,5
1538151405,5,5
1538153304,4,7
1538155238,1,4
1538157147,5,7
1538159066,3,4
1538160991,2,3
1538162911,69,3
1538164895,495,4
1538166760,4,7
1538168716,10,4
1538170599,5,3
1538172519,4,25
1538174446,26,3
1538176751,25,4
1538178756,5,4
1538180667,3,9
1538182598,86,3
1538184493,8,7
1538186506,8,7
1538188357,6,3
1538190266,5,5
1538192196,460,2
1538194134,3,6
1538196027,7,2
1538197964,7,8
1538199864,6,12
1538201800,7,65
1538203702,73,5
1538205621,6,2
1538207543,2119,4
1538209467,6,4
1538211391,7,26
1538213296,9,6
1538215302,6,8
1538217157,1,6
1538219325,5,15
1538221236,6,6
1538223142,11,13
1538225073,6,84
1538226993,2,6
1538228908,2,6
1538230831,3,6
1538232765,3,7
1538234667,4,5
1538236576,497,10
1538238492,5,7
1538241397,3,3
1538243321,3,6
1538245232,4,3
1538247155,5,2
1538249069,3,3
1538250994,9,364
1538252891,3,4
1538254896,2,6
1538256758,75,6
1538258666,238,2
1538260593,242,23
1538262520,42,70
1538264432,4,5
1538266359,46,6
1538268256,4,39
1538270190,88,6
1538272096,3,10
1538274036,4,5
1538275942,3,7
1538277870,10,7
1538279771,159,456
1538281792,165,6
1538283700,3,4
1538285543,5,7
1538287478,4,3
1538289371,214,6
1538291339,20,6
1538293247,4,2
1538295148,94,2
1538297075,5,9
1538298997,26,4
1538300917,1,8
1538302820,8,3
1538304741,2,2
1538306660,753,5
1538308904,3,6
1538310749,6,5
1538312712,8,4
1538314579,49,1
1538316504,4,3
1538318428,257,2
1538320347,1,3
1538322266,5,2118
1538324193,3,431
1538326107,4,0
1538328024,2,6
1538329940,2,3
1538331868,2,5
1538333793,5,4
1538335700,5,4
1538338606,3,8
1538340504,5,3
1538342422,1,1
1538344340,8,245
1538346262,136,3
1538348190,1,231
1538350103,106,2
1538352101,3,4
1538353945,3,4
1538355890,0,80
1538357778,2,1
1538359709,1,1
1538361696,4,7
1538363552,6,3
1538365480,135,17
1538367556,28,261
1538369556,969,36
1538371945,831,3
1538373902,8,4
1538375792,2156,8
1538377723,82,16
1538379613,1,5
1538381558,1,71
1538383456,4,4
1538385407,0,21
1538387295,3,1
1538389233,14,6
1538391160,111,0
1538393180,31,578
1538395307,591,1
1538397146,1243,4
1538399115,1238,5
1538401007,1035,24
1538402903,794,3
1538404837,53,208
1538406768,15,0
1538408669,28,1
1538410598,24,2
1538412508,50,2
1538414420,29,0
1538416351,28,1
1538418263,31,1
1538420185,30,2
1538422109,28,1
1538424115,9,1
1538425950,2,1
1538427880,2,1
1538430029,15,2
1538431949,12,61
1538433863,198,2
1538435806,3,77
1538437704,4,3
1538439622,1,1
1538441551,1,1
1538443473,0,1
1538445387,4,1
1538447778,1,1
1538449741,2,1
1538451639,5,91
1538453559,5,28
1538455702,155,684
1538457643,1,575
1538459539,4,417
1538461476,2,2
1538463375,4,1154
1538465294,4,4
1538467304,6,1
1538469403,1,2
1538471333,3,1
1538473220,2,1
1538475169,1,5
1538477084,0,125
1538478980,8,28
1538480931,3,246
1538483083,1,1375
1538484993,3,1672
1538486892,31,1125
1538488900,16,1296
1538490747,4,22
1538492715,2,67
1538494598,8,209
1538496552,5,30
1538498436,222,24
1538500371,776,57
1538502277,4,21
1538504189,10,34
1538506106,31,34
1538508034,30,32
1538509945,31,18
1538511852,29,4
1538514070,42,1
1538515946,28,11
1538517875,28,16
1538519774,399,37
1538521724,59,6
1538523639,30,2
1538525562,33,6
1538527457,25,0
1538529386,30,1
1538531312,22,4
1538533230,31,1
1538535150,27,3
1538537072,30,5
1538538979,17,2
1538540898,2,230
1538543120,4,1
1538545004,4,5
1538547186,4,24
1538549081,3,255
1538550995,6,2
1538552917,4,5
1538554829,57,5
1538556759,3,3
1538558676,2,4
1538560599,3,1
1538562499,3,0
1538564482,2,6
1538566377,54,4
1538568343,2,39
1538570438,3,2
1538572339,3,6
1538574289,6,4
1538576182,2,14
1538578102,5,5
1538580030,2,8
1538581958,2,5
1538583871,8,2
1538585803,6,1
1538587695,1,3
1538589688,153,1002
1538591549,7,3
1538593518,6,2
1538595377,3,2
1538597311,4,2
1538599474,2,7
1538601405,1,8
1538603305,6,0
1538605221,6,1
1538607147,4,377
1538609075,5,5
1538610985,7,5
1538612903,4,4
1538615068,1,4
1538616978,6,2
1538618911,3,3
1538620825,0,1
1538622743,5,1
1538624685,4,1
1538626593,2,5
1538628504,7,2
1538630412,1,5
1538632327,0,2
1538634267,6,4
1538636201,3,107
1538638114,7,4
1538640080,4,3
1538641959,3,56
1538643863,1,3
1538645799,2,0
1538647723,2,3
