DateTime,AddedIPs,RemovedIPs
1537678903,4,1
1537680752,4,33
1537682718,46,3
1537684609,283,5
1537686505,168,6
1537688423,347,4
1537690351,199,5
1537692268,6,3
1537694198,4,1
1537696107,3,1
1537698027,7,4
1537699946,7,4
1537701863,10,5
1537703796,1,1
1537705706,5,19
1537707675,3,24
1537709547,29,3
1537711468,5,3
1537713400,6,4
1537715303,2,75
1537717220,2,9
1537719181,2,4
1537721070,0,3
1537722993,3,3
1537724904,2,4
1537726823,7,2
1537728760,4,2
1537730664,6,0
1537732745,13,1
1537734752,3,1
1537736673,2,6
1537738599,41,19
1537740506,5,5
1537742425,35,2
1537744343,6,3
1537746263,6,6
1537748199,51,10
1537750114,2,3
1537752021,5,2
1537753944,2,6
1537755862,5,6
1537757801,4,5
1537759698,8,4
1537761707,6,7
1537763551,21,10
1537765467,1447,1
1537767394,704,14
1537769308,7,4
1537771223,19,270
1537773149,6,473
1537775071,67,14
1537776995,5,189
1537778902,3,8
1537780822,61,2
1537782843,5,4
1537784673,5,5
1537786601,2,6
1537788493,6,11
1537790489,0,1
1537792363,5,4
1537794309,2,3
1537796205,3,68
1537798128,6,6
1537800116,2,5
1537801964,8,2
1537803862,3,1
1537805814,1,2
1537807705,4,1
1537809874,8,2
1537811797,2,2
1537813947,3,6
1537815902,3,6
1537817805,5,8
1537819730,4,9
1537821639,7,3
1537823557,6,2
1537825462,14,50
1537827399,10,29
1537829301,38,10
1537831223,8,20
1537833169,4,8
1537835078,2,4
1537836997,7,2
1537838895,484,4
1537840922,12,2
1537842774,3,7
1537844686,5,3
1537846576,5,7
1537848524,6,5
1537850445,7,27
1537852344,8,37
1537854259,35,2176
1537856214,6,7
1537858099,6,19
1537860041,7,8
1537861983,5,7
1537863878,4,3
1537865778,6,3
1537867714,8,70
1537869685,8,4
1537871808,8,4
1537873718,7,4
1537875638,3,3
1537877577,7,3
1537879462,2,4
1537881403,3,6
1537883326,13,36
1537885244,2,3
1537887141,65,5
1537889294,4,6
1537891489,4,0
1537893402,1,3
1537895322,3,5
1537897236,5,7
1537899161,5,1
1537901063,6,3
1537903003,1,6
1537904927,4,3
1537906839,395,6
1537908764,1,6
1537910676,4,4
1537912595,2,16
1537914518,72,8
1537916493,1,19
1537918366,0,6
1537920281,1,1
1537922202,3,2
1537924132,2,347
1537926037,5,162
1537927958,4,10
1537929876,2,5
1537931800,6,4
1537933708,3,3
1537935638,3,8
1537937542,1,5
1537939475,5,9
1537941400,3,2
1537943317,3,5
1537945288,7,11
1537947161,3,6
1537949107,7,5
1537951003,5,7
1537952930,3,8
1537954815,0,2
1537956764,5,70
1537958907,2,8
1537960843,2,7
1537962992,3,6
1537964908,6,4
1537966857,2,2
1537968760,2,9
1537970711,19,6
1537972573,2,2
1537974527,2,64
1537976440,8,5
1537978397,11,3
1537980285,1,1
1537982207,31,6
1537984100,5,4
1537986025,3,5
1537987964,5,6
1537989875,3,3
1537991805,323,1
1537993717,1202,389
1537995793,1330,2
1537998028,1739,6
1537999949,525,22
1538001867,28,63
1538003793,5,1
1538005706,9,1
1538007624,7,3
1538009545,9,1
1538011460,4,4
1538013415,6,3
1538015312,4,3
