DateTime,Entries,UniqueIPs
1512342158,2,2
1512717392,1,1
1512805314,2,2
1513070184,4,4
1513675969,1,1
1514227963,2,2
1514404124,3,3
1514623955,4,4
1514822206,3,3
1514998600,2,2
1515220529,1,1
1515507174,2,2
1516103817,2,2
1516699241,1,1
1518013007,2,2
1518079475,1,1
1518763363,0,0
1518830249,1,1
1518852289,2,2
1519449086,1,1
1519648467,2,2
1519726126,3,3
1519793057,2,2
1520498925,1,1
1520587069,2,2
1520885079,1,1
1521061722,2,2
1521194178,1,1
1521646822,0,0
1521803064,1,1
1522212012,0,0
1526332109,4,4
1526420443,5,5
1526552669,3,3
1526772611,2,2
1526992866,4,4
1527103225,2,2
1527278912,2,2
1527278912,2,2
1527278912,2,2
1527278912,2,2
1527278912,2,2
1527300898,2,2
1527300898,2,2
1527300898,2,2
1527300898,2,2
1527300898,2,2
1527300898,2,2
1527300898,2,2
1527300898,2,2
1527300898,2,2
1527300898,2,2
1527300898,2,2
1527300898,2,2
1527300898,2,2
1527300898,2,2
1527300898,2,2
1527300898,2,2
1527322893,2,2
1527322893,2,2
1527322893,2,2
1527322893,2,2
1527322893,2,2
1527322893,2,2
1527322893,2,2
1527322893,2,2
1527322893,2,2
1527322893,2,2
1527322893,2,2
1527344841,2,2
1527344841,2,2
1527344841,2,2
1527344841,2,2
1527344841,2,2
1527344841,2,2
1527344841,2,2
1527344841,2,2
1527344841,2,2
1527344841,2,2
1527344841,2,2
1527344841,2,2
1527344841,2,2
1527366746,2,2
1527366746,2,2
1527366746,2,2
1527366746,2,2
1527366746,2,2
1527366746,2,2
1527366746,2,2
1527366746,2,2
1527366746,2,2
1527366746,2,2
1527366746,2,2
1527366746,2,2
1527389394,2,2
1527389394,2,2
1527389394,2,2
1527389394,2,2
1527389394,2,2
1527389394,2,2
1527389394,2,2
1527389394,2,2
1527389394,2,2
1527389394,2,2
1527905303,2,2
1527905303,2,2
1527905303,2,2
1527905303,2,2
1527905303,2,2
1527927454,2,2
1527927454,2,2
1527927454,2,2
1527927454,2,2
1527927454,2,2
1527927454,2,2
1527927454,2,2
1527927454,2,2
1527927454,2,2
1527927454,2,2
1527927454,2,2
1527927454,2,2
1527927454,2,2
1527927454,2,2
1527927454,2,2
1527927454,2,2
1527950169,2,2
1527950169,2,2
1527950169,2,2
1527950169,2,2
1527950169,2,2
1527950169,2,2
1527950169,2,2
1527950169,2,2
1527950169,2,2
1527950169,2,2
1527950169,2,2
1527950169,2,2
1527950169,2,2
1527950169,2,2
1527950169,2,2
1527950169,2,2
1527950169,2,2
1527972878,2,2
1527972878,2,2
1527972878,2,2
1527972878,2,2
1527972878,2,2
1527972878,2,2
1527972878,2,2
1527972878,2,2
1527972878,2,2
1527972878,2,2
1527972878,2,2
1527972878,2,2
1527995066,2,2
1527995066,2,2
1527995066,2,2
1527995066,2,2
1527995066,2,2
1528083373,0,0
1528083373,0,0
1528083373,0,0
1528083373,0,0
1528083373,0,0
1528083373,0,0
1529420667,2,2
1529992349,0,0
1530030976,1,1
1530097000,2,2
1530118888,3,3
1530427692,4,4
1530647441,3,3
1530702267,2,2
1530724121,2,2
1530812423,3,3
1531330811,2,2
1531374993,0,0
1531401883,1,1
1531523797,989,989
1531545882,179721,179721
1531744634,179722,179722
1531877075,8817,8817
1531899141,8807,8807
1531920987,8807,8807
1531943095,8792,8792
1531965150,9254,9254
1531987276,9249,9249
1532009349,9215,9215
1532031393,8886,8886
1532053453,8873,8873
1532075544,8869,8869
1532097395,8360,8360
1532119471,8326,8326
1532141545,8216,8216
1532163414,8217,8217
1532185530,8336,8336
1532207540,8267,8267
1532229423,8408,8408
1532251479,8411,8411
1532273323,8006,8006
1532295375,7999,7999
1532317502,8044,8044
1532339530,6449,6449
1532361372,6418,6418
1532383544,6297,6297
1532405558,6297,6297
1532427632,7614,7614
1532449523,7588,7588
1532471540,8950,8950
1532493391,8955,8955
1532515452,9327,9327
1532537316,9319,9319
1532559384,9335,9335
1532581522,8969,8969
1532603388,9554,9554
1532625419,9643,9643
1532647477,9770,9770
1532669414,9765,9765
1532691636,9947,9947
1532713702,9955,9955
1532735806,9957,9957
1532757870,9956,9956
1532779721,9966,9966
1532801801,10053,10053
1532823915,10036,10036
1532845941,10114,10114
1532868015,10116,10116
1532889861,10121,10121
1532911942,10110,10110
1532933795,10184,10184
1532955872,10265,10265
1532978039,10160,10160
1533000026,10160,10160
1533022117,10157,10157
1533043964,10415,10415
1533067157,9560,9560
1533089073,9287,9287
1533111141,10510,10510
1533133079,10592,10592
1533155066,10699,10699
1533177136,10706,10706
1533199006,10695,10695
1533221102,9032,9032
1533243395,8913,8913
1533265266,8800,8800
1533287313,8629,8629
1533309373,8715,8715
1533331251,8769,8769
1533353297,8771,8771
1533375138,8786,8786
1533397233,8624,8624
1533419630,8647,8647
1533441618,8650,8650
1533463481,8708,8708
1533485326,8710,8710
1533507371,8730,8730
1533529234,8735,8735
1533551408,9378,9378
1533573405,9398,9398
1533595550,9586,9586
1533617541,9699,9699
1533639621,9652,9652
1533661867,9482,9482
1533683795,10720,10720
1533705869,10629,10629
1533727710,10170,10170
1533749626,10173,10173
1533771646,10145,10145
1533793694,10037,10037
1533815534,10641,10641
1533837616,10664,10664
1533859482,10618,10618
1533881805,10451,10451
1533903987,10449,10449
1533925940,10449,10449
1533948013,10448,10448
1533969875,10421,10421
1533991927,10546,10546
1534013790,10381,10381
1534035663,10368,10368
1534057720,10325,10325
1534079789,10317,10317
1534101880,10289,10289
1534123955,10285,10285
1534145798,10269,10269
1534168120,10245,10245
1534190441,10186,10186
1534212536,10215,10215
1534234578,10048,10048
1534256767,10046,10046
1534278733,9978,9978
1534300585,9021,9021
1534322553,9143,9143
1534344515,9216,9216
1534366594,9380,9380
1534388680,9383,9383
1534410738,9255,9255
1534432588,7928,7928
1534454673,7891,7891
1534477113,7897,7897
1534499067,7899,7899
1534521178,8217,8217
1534543234,8571,8571
1534565422,8675,8675
1534587395,8664,8664
1534609461,8508,8508
1534631309,8550,8550
1534653391,8551,8551
1534675461,8718,8718
1534697308,8720,8720
1534719214,8974,8974
1534741477,8942,8942
1534763584,8938,8938
1534785608,8087,8087
1534807452,8078,8078
1534829320,8075,8075
1534851609,8347,8347
1534873470,8518,8518
1534895579,8541,8541
1534917670,8192,8192
1534939712,8187,8187
1534961643,8109,8109
1534983628,8111,8111
1535005471,8498,8498
1535027551,8499,8499
1535049615,9316,9316
1535071718,9237,9237
1535093795,9318,9318
1535115870,9431,9431
1535137734,9111,9111
1535159778,9103,9103
1535181627,8996,8996
1535203961,9072,9072
1535226277,8992,8992
1535248364,8967,8967
1535270205,8776,8776
1535292261,8961,8961
1535314167,9016,9016
1535336182,8701,8701
1535358270,8715,8715
1535380111,8727,8727
1535402193,8726,8726
1535424260,8715,8715
1535446121,8621,8621
1535468188,8107,8107
1535490436,8115,8115
1535512361,8105,8105
1535534421,8099,8099
1535556484,8141,8141
1535578352,9437,9437
1535600429,9437,9437
1535622278,9020,9020
1535644341,9002,9002
1535666192,9005,9005
1535688036,8980,8980
1535710106,8659,8659
1535732203,8548,8548
1535754287,8723,8723
1535776358,8962,8962
1535798438,10252,10252
1535820758,10326,10326
1535842885,10370,10370
1535864935,10373,10373
1535886998,10114,10114
1535909319,10056,10056
1535931392,10076,10076
1535953249,10083,10083
1535975311,10167,10167
1535997404,10209,10209
1536019872,10258,10258
1536041819,10262,10262
1536063880,10265,10265
1536085962,10267,10267
1536108011,10270,10270
1536130096,10274,10274
1536151950,10245,10245
1536173794,10557,10557
1536195893,10558,10558
1536217951,10558,10558
1536240017,9502,9502
1536261874,9508,9508
1536284201,9514,9514
1536306257,9490,9490
1536328364,9453,9453
1536350703,9388,9388
1536372732,7157,7157
1536394603,5326,5326
1536416660,5117,5117
1536438528,4914,4914
1536460578,4919,4919
1536482419,4971,4971
1536504273,5180,5180
1536526122,5209,5209
1536548181,5234,5234
1536570090,5936,5936
1536592127,5931,5931
1536614503,6039,6039
1536636523,6529,6529
1536658579,6980,6980
1536680431,7883,7883
1536702546,7899,7899
1536724573,7899,7899
1536746714,7796,7796
1536768788,7466,7466
1536790828,7439,7439
1536812902,7439,7439
1536834770,7436,7436
1536856838,7888,7888
1536879150,7948,7948
1536901244,8239,8239
1536923313,8718,8718
1536945388,8668,8668
1536967469,7501,7501
1536989547,9538,9538
1537011408,9537,9537
1537033468,9519,9519
