DateTime,Entries,UniqueIPs
1536240522,42,42
1536242534,44,44
1536244358,45,45
1536252277,46,46
1536254193,44,44
1536256118,40,40
1536259965,41,41
1536261876,42,42
1536267696,43,43
1536269567,44,44
1536273399,45,45
1536279405,46,46
1536283284,48,48
1536289001,48,48
1536290904,47,47
1536292885,42,42
1536294762,42,42
1536296657,43,43
1536298617,37,37
1536300527,38,38
1536302417,42,42
1536304345,45,45
1536306259,47,47
1536308212,48,48
1536310097,47,47
1536312055,47,47
1536313961,47,47
1536315885,47,47
1536317773,45,45
1536319714,47,47
1536321699,50,50
1536323561,52,52
1536325496,52,52
1536327391,51,51
1536329326,50,50
1536331218,50,50
1536333160,54,54
1536335055,56,56
1536339166,57,57
1536341085,56,56
1536343002,55,55
1536346878,55,55
1536348764,55,55
1536356418,57,57
1536358368,58,58
1536360261,58,58
1536366037,57,57
1536375690,56,56
1536379480,57,57
1536381374,55,55
1536383319,54,54
1536385240,52,52
1536387161,49,49
1536389052,44,44
1536391233,42,42
1536393172,38,38
1536396974,36,36
1536398919,35,35
1536402764,34,34
1536406578,32,32
1536408527,29,29
1536410427,24,24
1536412363,26,26
1536414258,26,26
1536416215,26,26
1536418097,29,29
1536420040,25,25
1536421946,24,24
1536424120,23,23
1536426062,25,25
1536433725,23,23
1536435635,22,22
1536437548,24,24
1536441403,27,27
1536443304,27,27
1536445234,25,25
1536456758,23,23
1536462520,22,22
1536466344,22,22
1536470193,24,24
1536472108,25,25
1536474027,26,26
1536485777,28,28
1536493471,28,28
1536495411,29,29
1536497296,28,28
1536501140,29,29
1536503057,26,26
1536504996,26,26
1536506898,27,27
1536508880,28,28
1536510747,31,31
1536512694,29,29
1536522518,33,33
1536524419,35,35
1536526581,37,37
1536528958,32,32
1536552512,31,31
1536556340,29,29
1536558306,28,28
1536560200,25,25
1536566211,24,24
1536571977,22,22
1536581577,20,20
1536587368,18,18
1536591173,17,17
1536595005,15,15
1536596936,14,14
1536598895,10,10
1536608452,6,6
1536610349,4,4
1536703484,1,1
1536734305,2,2
1536743785,3,3
1536790347,2,2
1536794240,3,3
1536821089,2,2
1536875800,1,1
1536877706,0,0
1536890731,1,1
1536925475,3,3
1536978503,2,2
1537019805,1,1
1537025560,0,0
1537032273,1,1
1537059370,2,2
1537061315,3,3
1537119616,3,3
1537146094,1,1
1537167404,2,2
1537204352,1,1
1537237252,2,2
1537252586,1,1
1537267948,2,2
1537326742,1,1
1537351727,0,0
1537386506,1,1
1537392269,2,2
1537396102,3,3
1537473150,2,2
1537478901,1,1
1537490674,1,1
1537520800,2,2
1537577081,1,1
1537586661,2,2
1537605872,1,1
1537625076,2,2
1537653889,3,3
1537673067,2,2
1537713401,1,1
1537738600,0,0
1537922203,1,1
1537974529,60,60
1537976441,176,176
1537978405,233,233
1537980295,292,292
1537982208,349,349
1537984101,407,407
1537986027,459,459
1537987966,499,499
1537989876,520,520
1537991808,548,548
1537993718,570,570
1537995795,592,592
1537998030,625,625
1537999950,653,653
1538001868,725,725
1538003794,805,805
1538005708,867,867
1538007626,934,934
1538009546,998,998
1538011462,1060,1060
1538013428,1078,1078
1538015313,1104,1104
1538017299,1131,1131
1538019168,1140,1140
1538021080,1157,1157
1538023003,1186,1186
1538024924,1208,1208
1538026833,1228,1228
1538028783,1251,1251
1538030677,1273,1273
1538032633,1322,1322
1538034779,1376,1376
1538036675,1415,1415
1538038587,1441,1441
1538040507,1460,1460
1538042501,1716,1716
1538044465,2080,2080
1538046301,2404,2404
1538048197,2782,2782
1538050139,3139,3139
1538052027,3431,3431
1538053955,3500,3500
1538055875,3516,3516
1538057794,3527,3527
1538059713,3556,3556
1538061797,3589,3589
1538063774,3429,3429
1538065947,3367,3367
1538067872,3327,3327
1538069801,3297,3297
1538071713,3257,3257
1538073629,3225,3225
1538075562,3220,3220
1538077487,3209,3209
1538079398,3225,3225
1538081320,3225,3225
1538083233,3240,3240
1538085147,3243,3243
1538087086,3241,3241
1538088988,3188,3188
1538090911,3145,3145
1538092901,3134,3134
