DateTime,AddedIPs,RemovedIPs
1536534884,0,1
1536538832,0,1
1536544580,2,0
1536546761,1,0
1536548730,1,0
1536552514,0,1
1536554454,0,1
1536556342,0,1
1536558308,2,0
1536562374,1,0
1536564286,0,1
1536568100,1,0
1536577729,1,0
1536579642,0,1
1536581579,1,1
1536583466,1,0
1536587370,0,1
1536595007,1,0
1536604621,1,1
1536610351,1,0
1536618265,0,1
1536629790,0,1
1536631719,1,1
1536633645,0,1
1536635555,0,1
1536645166,2,2
1536648997,1,1
1536651167,1,0
1536655260,0,1
1536662939,1,0
1536664846,0,1
1536668688,1,1
1536670610,1,1
1536682351,4,1
1536688283,1,0
1536690280,1,0
1536692173,1,1
1536696082,0,1
1536698199,2,0
1536700124,2,0
1536713575,1,0
1536728938,1,0
1536730828,1,2
1536732777,2,0
1536734677,2,1
1536736624,1,1
1536738521,1,0
1536742355,2,0
1536750997,0,1
1536756748,0,1
1536758675,1,0
1536760589,1,0
1536764681,1,0
1536768792,0,4
1536774538,0,1
1536778371,0,1
1536784107,0,1
1536786095,0,2
1536787952,1,0
1536793714,1,0
1536795625,0,1
1536801403,0,2
1536814884,0,1
1536816758,0,1
1536818668,0,4
1536820594,1,1
1536822500,0,2
1536824414,0,1
1536828254,0,1
1536830178,0,1
1536834022,4,0
1536835948,1,0
1536846289,1,1
1536848204,0,1
1536850125,0,1
1536852048,3,0
1536861702,1,0
1536869331,1,0
1536871248,3,0
1536873134,2,1
1536875076,1,0
1536877251,2,1
1536879153,1,0
1536881080,5,0
1536883253,3,0
1536885138,3,0
1536887339,1,0
1536889252,3,0
1536891159,2,0
1536893060,2,0
1536895032,2,0
1536896904,2,0
1536898860,2,0
1536902688,2,0
1536904599,3,0
1536906531,1,1
1536908488,0,1
1536918284,3,0
1536920222,1,2
1536922104,0,3
1536924074,1,0
1536925956,1,0
1536931970,1,1
1536933875,2,0
1536937745,0,3
1536939897,1,0
1536943712,1,0
1536947569,0,1
1536953335,2,0
1536955283,1,1
1536957162,0,2
1536959092,0,2
1536961020,0,1
1536962919,0,1
1536968901,1,0
1536970845,1,0
1536972768,1,0
1536976575,0,1
1536980503,0,1
1536982372,1,0
