DateTime,AddedIPs,RemovedIPs
1537627001,2,0
1537628910,2,2
1537630826,2,0
1537632784,0,2
1537634666,0,1
1537636593,0,1
1537638513,1,2
1537640435,1,0
1537642347,2,0
1537646203,1,0
1537648103,1,0
1537650091,4,2
1537651958,1,3
1537653890,0,1
1537655785,2,0
1537657713,0,1
1537659629,1,0
1537661549,1,0
1537663471,1,3
1537665399,0,1
1537667304,1,2
1537669277,2,3
1537671147,1,17
1537673068,4,11
1537674985,2,2
1537676907,0,1
1537680755,1,0
1537682722,1,2
1537684612,1,2
1537686507,1,0
1537688427,3,0
1537690353,2,3
1537692270,1,4
1537694201,1,1
1537696110,1,1
1537698031,578,0
1537699949,2,1
1537701866,2,1
1537703799,1,0
1537707678,3,0
1537709549,0,2
1537711470,2,1
1537713403,1,2
1537715306,2,2
1537717224,2,2
1537719184,2,1
1537721073,1,0
1537722995,1,0
1537724907,7,1
1537726826,0,1
1537728762,1,1
1537730675,4,0
1537732749,1,1
1537734754,1,1
1537736677,1,4
1537738601,0,2
1537740508,2,1
1537742428,1,1
1537744345,1,0
1537746265,2,0
1537748203,1,2
1537752023,2,0
1537753946,2,1
1537755864,2,3
1537757803,0,3
1537759700,0,1
1537761709,2,4
1537763554,1,0
1537765470,2,0
1537767397,0,1
1537769311,1,1
1537771227,0,1
1537773153,1,0
1537775074,0,4
1537777006,3,1
1537778905,0,1
1537780825,1,1
1537782846,16,1
1537784676,0,579
1537786604,1,2
1537788496,1,1
1537790501,0,2
1537792366,0,1
1537794314,2,2
1537796207,1,0
1537798130,2,2
1537800118,1,3
1537801966,1,1
1537803865,3,2
1537805818,0,1
1537807707,0,1
1537809877,2,6
1537811800,1,2
1537813949,4,0
1537815905,0,3
1537817808,0,2
1537823560,2,2
1537825474,1,0
1537827402,1,3
1537829304,1,0
1537831227,2,1
1537833171,1,2
1537837000,2,1
1537838897,1,2
1537840935,1,0
1537844688,2,0
1537846579,2,0
1537848527,1,1
1537850455,0,1
1537852346,2,2
1537854262,1,0
1537856216,0,2
1537858102,1,0
1537860044,4,1
1537861986,3,1
1537863881,0,1
1537865781,1,0
1537867716,1,1
1537869703,1,16
1537871810,11,1
1537873720,2,6
1537875640,0,1
1537877580,1,1
1537879465,1,1
1537881406,3,1
1537883328,3,2
1537885247,1,2
1537887151,2,0
1537891495,1,2
1537893405,1,0
1537895334,2,0
1537897239,1,1
1537899163,0,4
1537901066,11,2
1537903006,2,0
1537904930,2,1
1537906841,2,0
1537908767,7,1
1537910680,5,1
1537912598,21,2
1537914521,1,1
1537916497,1,3
1537918368,2,1
1537920284,2,1
1537924134,0,3
1537926039,1,1
1537927960,1,1
1537929879,2,1
1537931802,1,4
1537933711,1,0
1537935650,4,0
1537937545,6,0
1537939485,3,2
1537941402,1,0
1537943320,3,0
1537945292,2,2
1537947163,2,2
1537949110,4,1
1537951006,2,2
1537952933,3,0
1537954817,4,1
1537956768,1,1
1537958910,4,10
1537960848,4,2
1537962995,3,1
1537964910,5,1
1537966882,4,3
1537968763,2,2
1537970717,1,3
1537972576,3,1
1537974531,0,1
1537976443,2,1
1537978406,1,1
1537980297,1,1
1537982209,2,2
1537984102,2,1
1537986030,1,2
1537987967,0,3
1537989878,3,2
1537991810,2,2
1537993720,3,3
1537995807,3,5
1537998041,16,31
1537999952,3,0
1538003805,2,0
1538005709,4,1
1538009548,3,1
1538011464,2,2
1538013430,2,1
1538015314,2,1
1538017300,2,1
1538019169,2,3
1538021089,2,1
1538023006,2,6
1538024926,2,2
1538026834,3,3
1538028784,1,3
1538030678,1,1
1538032635,5,1
1538034782,4,3
1538038592,1,1
1538040508,1,5
1538042503,4,2
1538044467,4,2
1538046311,0,4
1538048198,1,2
1538050146,2,3
1538052029,2,5
1538053957,1,2
1538055876,1,0
1538057797,2,2
1538059715,0,2
1538061798,2,2
1538063776,1,2
1538065954,0,1
1538067874,2,2
1538069803,2,3
