DateTime,AddedIPs,RemovedIPs
1537680756,54,44
1537682725,49,65
1537684613,38,55
1537686508,32,67
1537688428,55,58
1537690354,51,51
1537692271,63,59
1537694202,46,56
1537696111,55,56
1537698033,2469,56
1537699950,705,49
1537701867,49,66
1537703800,43,65
1537705709,40,65
1537707680,63,71
1537709550,47,44
1537711471,52,80
1537713404,51,73
1537715307,55,65
1537717232,77,53
1537719185,53,69
1537721074,28,48
1537722996,61,70
1537724908,58,58
1537726828,68,83
1537728763,47,69
1537730676,60,51
1537732750,52,58
1537734755,51,64
1537736685,66,44
1537738602,47,72
1537740509,74,57
1537742429,47,55
1537744346,55,49
1537746266,49,47
1537748204,45,56
1537750118,40,55
1537752024,45,56
1537753947,42,48
1537755865,55,52
1537757804,55,50
1537759701,49,38
1537761710,59,54
1537763555,58,40
1537765471,37,60
1537767398,50,55
1537769312,50,50
1537771234,59,37
1537773154,66,37
1537775075,42,56
1537777007,52,52
1537778906,55,57
1537780826,78,46
1537782847,77,53
1537784676,50,2905
1537786605,66,297
1537788497,73,42
1537790502,83,45
1537792367,57,45
1537794315,53,61
1537796208,62,45
1537798131,87,44
1537800119,70,57
1537801967,57,50
1537803865,51,79
1537805819,70,46
1537807708,57,37
1537809878,74,62
1537811801,57,67
1537813950,55,76
1537815906,71,55
1537817809,63,47
1537819733,37,47
1537821643,64,50
1537823560,61,67
1537825475,67,53
1537827403,63,73
1537829305,63,46
1537831227,53,47
1537833172,64,52
1537835081,54,45
1537837001,39,49
1537838898,45,35
1537840936,53,46
1537842777,45,56
1537844690,50,51
1537846580,48,47
1537848528,63,55
1537850456,61,49
1537852347,43,43
1537854264,73,52
1537856217,61,63
1537858102,41,56
1537860045,56,74
1537861986,48,42
1537863882,63,45
1537865782,61,64
1537867717,38,72
1537869704,43,76
1537871811,67,68
1537873721,42,65
1537875641,49,93
1537877581,45,66
1537879466,40,50
1537881407,55,55
1537883329,52,66
1537885248,59,85
1537887152,61,65
1537889298,69,64
1537891496,58,62
1537893406,65,67
1537895335,53,56
1537897240,45,76
1537899164,48,46
1537901066,47,54
1537903007,64,69
1537904931,56,56
1537906842,51,42
1537908767,53,62
1537910681,51,53
1537912599,61,77
1537914522,55,59
1537916498,75,56
1537918369,50,61
1537920285,41,67
1537922205,60,42
1537924135,45,46
1537926040,45,41
1537927970,62,54
1537929880,39,41
1537931803,61,66
1537933711,44,44
1537935651,299,47
1537937546,47,59
1537939486,51,41
1537941403,46,59
1537943321,59,55
1537945293,63,42
1537947164,35,55
1537949119,42,58
1537951007,60,68
1537952934,62,48
1537954818,2604,30
1537956769,1583,41
1537958911,44,62
1537960856,36,39
1537962996,52,45
1537964912,47,48
1537966891,50,42
1537968764,38,52
1537970720,59,50
1537972577,53,63
1537974539,45,53
1537976444,67,49
1537978407,52,52
1537980299,53,48
1537982210,53,40
1537984103,31,45
1537986037,47,43
1537987973,42,50
1537989886,574,61
1537991821,37,59
1537993721,43,62
1537995808,51,63
1537998042,71,53
1537999953,73,60
1538001871,63,46
1538003814,40,57
1538005710,50,41
1538007629,50,42
1538009549,44,55
1538011472,50,45
1538013431,49,51
1538015316,34,51
1538017301,51,45
1538019170,52,72
1538021091,39,57
1538023013,49,50
1538024927,56,50
1538026835,44,46
1538028785,60,49
1538030679,51,61
1538032636,58,49
1538034783,35,45
1538036679,64,51
1538038593,66,66
1538040510,109,1338
1538042504,45,3129
1538044468,59,48
1538046314,57,32
1538048199,55,42
1538050147,51,44
1538052030,56,54
1538053958,46,44
1538055877,53,45
1538057813,73,57
1538059716,50,40
1538061799,48,60
1538063777,61,66
1538065955,68,42
1538067875,48,52
1538069804,43,38
1538071716,52,45
1538073632,41,29
1538075574,47,603
1538077490,47,41
1538079400,41,42
1538081323,58,50
1538083243,57,51
1538085150,33,71
1538087089,63,70
1538088991,53,47
1538090913,36,48
1538092915,65,52
1538094945,44,52
1538096896,34,50
1538099096,50,66
1538101015,55,37
1538102920,58,38
1538104828,62,50
1538106759,41,45
1538108678,49,50
1538110598,46,50
1538112557,57,52
1538114511,54,45
1538116500,49,77
1538118518,61,50
1538120673,68,47
1538122621,64,64
1538124525,34,52
1538126458,48,129
1538128359,47,49
1538130269,61,56
1538132214,67,70
1538134118,45,50
1538136120,45,58
1538137979,50,50
1538139920,47,50
1538141799,58,45
1538143716,35,48
1538145635,61,89
1538147557,65,53
1538149473,68,53
1538151409,58,59
1538153308,98,62
1538155243,49,38
1538157151,61,51
1538159071,69,45
1538160995,44,45
1538162915,63,47
1538164901,62,49
1538166764,45,50
1538168744,76,63
1538170603,47,46
1538172524,41,53
1538174452,54,38
1538176756,68,66
1538178770,110,53
1538180672,42,55
1538182603,60,34
1538184497,57,49
1538186511,96,50
1538188361,44,58
1538190271,46,64
1538192210,50,58
1538194139,59,36
1538196032,46,50
1538197969,40,34
1538199869,48,62
1538201805,77,50
1538203707,41,56
1538205625,51,57
1538207547,111,69
1538209481,50,55
1538211406,36,42
1538213300,70,44
1538215337,44,55
1538217162,1276,59
1538219331,1949,73
1538221241,59,37
1538223153,41,51
1538225078,67,46
1538226998,45,48
1538228914,41,57
1538230837,99,42
1538232770,48,58
1538234671,47,69
1538236594,53,56
1538238505,56,45
1538240473,47,53
1538242356,51,57
1538244279,49,60
1538246195,58,55
1538248114,59,55
1538250031,67,62
1538251954,33,57
1538253862,49,39
1538255798,44,50
1538257692,52,43
1538259633,59,47
1538261573,111,53
1538263471,41,61
1538265387,43,58
1538267299,54,40
1538269279,50,54
1538271143,35,108
1538273077,41,35
1538274974,75,48
1538276921,72,46
