DateTime,Entries,UniqueIPs
1536242538,44,44
1536244361,45,45
1536252281,46,46
1536254211,44,44
1536256122,40,40
1536259968,41,41
1536261886,42,42
1536267699,43,43
1536269570,44,44
1536273402,45,45
1536279408,46,46
1536283287,48,48
1536289004,48,48
1536290906,47,47
1536292888,42,42
1536294766,42,42
1536296661,43,43
1536298620,37,37
1536300530,38,38
1536302422,42,42
1536304348,45,45
1536306263,47,47
1536308215,48,48
1536310108,47,47
1536312058,47,47
1536313965,47,47
1536315888,47,47
1536317784,45,45
1536319718,47,47
1536321703,50,50
1536323565,52,52
1536325511,52,52
1536327394,51,51
1536329329,50,50
1536331222,50,50
1536333163,54,54
1536335058,56,56
1536339177,57,57
1536341089,56,56
1536343005,55,55
1536346881,55,55
1536348767,55,55
1536356422,57,57
1536358372,58,58
1536360264,58,58
1536366040,57,57
1536375694,56,56
1536379483,57,57
1536381377,55,55
1536383322,54,54
1536385243,52,52
1536387165,49,49
1536389055,44,44
1536391236,42,42
1536393175,38,38
1536396977,36,36
1536398922,35,35
1536402767,34,34
1536406581,32,32
1536408530,29,29
1536410430,24,24
1536412367,26,26
1536414262,26,26
1536416218,26,26
1536418099,29,29
1536420058,25,25
1536421964,24,24
1536424123,23,23
1536426089,25,25
1536433735,23,23
1536435646,22,22
1536437550,24,24
1536441406,27,27
1536443307,27,27
1536445238,25,25
1536456769,23,23
1536462530,22,22
1536466347,22,22
1536470203,24,24
1536472111,25,25
1536474038,26,26
1536485788,28,28
1536493474,28,28
1536495414,29,29
1536497298,28,28
1536501143,29,29
1536503060,26,26
1536504999,26,26
1536506901,27,27
1536508884,28,28
1536510751,31,31
1536512698,29,29
1536522520,33,33
1536524422,35,35
1536526584,37,37
1536528968,32,32
1536552515,31,31
1536556344,29,29
1536558310,28,28
1536560204,25,25
1536566214,24,24
1536571980,22,22
1536581580,20,20
1536587372,18,18
1536591176,17,17
1536595009,15,15
1536596942,14,14
1536598908,10,10
1536608456,6,6
1536610352,4,4
1536703484,1,1
1536734305,2,2
1536743786,3,3
1536790347,2,2
1536794240,3,3
1536821090,2,2
1536875800,1,1
1536877707,0,0
1536890736,1,1
1536925475,3,3
1536978506,2,2
1537019808,1,1
1537025563,0,0
1537032273,1,1
1537059371,2,2
1537061316,3,3
1537119617,3,3
1537145068,2,2
1537146992,1,1
1537166429,2,2
1537204844,1,1
1537238175,2,2
1537253559,1,1
1537266973,2,2
1537326746,1,1
1537351731,0,0
1537386509,1,1
1537392272,2,2
1537396105,3,3
1537473153,2,2
1537478903,1,1
1537490675,1,1
1537520801,2,2
1537577081,1,1
1537586662,2,2
1537605875,1,1
1537625079,2,2
1537653891,3,3
1537673069,2,2
1537713404,1,1
1537738603,0,0
1537922206,1,1
1537974539,61,61
1537976445,176,176
1537978407,234,234
1537980299,293,293
1537982211,349,349
1537984103,407,407
1537986038,459,459
1537987973,499,499
1537989895,520,520
1537991829,548,548
1537993721,570,570
1537995809,593,593
1537998042,626,626
1537999953,654,654
1538001871,726,726
1538003815,805,805
1538005711,867,867
1538007629,934,934
1538009550,998,998
1538011472,1060,1060
1538013431,1078,1078
1538015316,1104,1104
1538017302,1131,1131
1538019171,1140,1140
1538021091,1157,1157
1538023014,1186,1186
1538024927,1208,1208
1538026836,1228,1228
1538028786,1251,1251
1538030679,1273,1273
1538032637,1322,1322
1538034783,1376,1376
1538036680,1415,1415
1538038593,1442,1442
1538040510,1461,1461
1538042505,1717,1717
1538044469,2081,2081
1538046317,2407,2407
1538048200,2783,2783
1538050148,3140,3140
1538052031,3432,3432
1538053958,3500,3500
1538055877,3516,3516
1538057813,3527,3527
1538059716,3556,3556
1538061800,3589,3589
1538063777,3429,3429
1538065956,3366,3366
1538067875,3326,3326
1538069804,3297,3297
1538071716,3257,3257
1538073632,3225,3225
1538075574,3219,3219
1538077490,3209,3209
1538079400,3225,3225
1538081323,3225,3225
1538083243,3240,3240
1538085151,3243,3243
1538087089,3241,3241
1538088991,3188,3188
1538090914,3145,3145
1538092915,3135,3135
1538094945,3105,3105
1538096896,3058,3058
1538099096,3025,3025
1538101015,3020,3020
1538102920,3041,3041
1538104828,3069,3069
1538106759,3101,3101
1538108678,3114,3114
1538110598,3128,3128
1538112557,3139,3139
1538114512,3150,3150
1538116500,3138,3138
1538118518,3172,3172
1538120674,3192,3192
1538122621,3219,3219
1538124525,3284,3284
1538126458,3323,3323
1538128360,3219,3219
1538130269,2912,2912
1538132214,2678,2678
1538134118,2739,2739
1538136120,2593,2593
1538137979,2290,2290
1538139920,2127,2127
1538141800,2118,2118
1538143716,2120,2120
1538145635,2109,2109
1538147557,2082,2082
1538149474,2074,2074
1538151409,2058,2058
1538153308,2081,2081
1538155243,2071,2071
1538157151,2096,2096
1538159071,2091,2091
1538160996,2088,2088
1538162916,2080,2080
1538164902,2065,2065
1538166764,2072,2072
1538168744,2064,2064
1538170603,2073,2073
1538172525,2079,2079
1538174452,2061,2061
1538176757,2060,2060
1538178771,2060,2060
1538180673,2064,2064
1538182603,2047,2047
1538184497,2081,2081
1538186511,2111,2111
1538188362,2139,2139
1538190271,2149,2149
1538192210,2162,2162
1538194140,2147,2147
1538196032,2157,2157
1538197969,2158,2158
1538199869,2177,2177
1538201806,2163,2163
1538203707,2181,2181
1538205625,2188,2188
1538207548,2186,2186
1538209481,2162,2162
1538211407,2133,2133
1538213300,2099,2099
1538215338,2087,2087
1538217163,2013,2013
1538219331,1718,1718
1538221241,1267,1267
1538223153,1181,1181
1538225087,1176,1176
1538226998,1189,1189
1538228914,1205,1205
1538230837,1217,1217
1538232771,1232,1232
1538234672,1237,1237
1538236594,1256,1256
1538238505,1243,1243
1538240474,1250,1250
1538242356,1241,1241
1538244280,1228,1228
1538246195,1225,1225
1538248114,1239,1239
1538250032,1264,1264
1538251954,1251,1251
1538253862,1236,1236
1538255799,1245,1245
1538257693,1223,1223
1538259634,1197,1197
1538261573,1196,1196
1538263471,1182,1182
1538265387,1171,1171
1538267299,1172,1172
1538269280,1159,1159
1538271143,1125,1125
1538273078,1108,1108
1538274974,1081,1081
1538276921,1067,1067
1538278838,1069,1069
1538280750,1070,1070
1538282669,1073,1073
1538284582,1060,1060
1538286506,1049,1049
1538288434,1044,1044
1538290347,1023,1023
1538292266,1004,1004
