DateTime,AddedIPs,RemovedIPs
1535874990,0,1
1535892515,0,1
1535894444,0,3
1535902368,1,0
1535906455,1,1
1535912220,1,0
1535914117,1,0
1535917969,1,1
1535921790,1,1
1535942679,1,0
1535944595,0,1
1535950376,1,0
1535954201,0,1
1535985396,0,1
1535987327,0,1
1535991216,1,0
1535993080,0,1
1535998851,0,1
1536000758,3,1
1536004609,0,1
1536014427,1,0
1536016826,1,0
1536024533,1,0
1536028401,0,1
1536032220,1,0
1536036061,0,1
1536061468,1,0
1536063432,1,0
1536076910,1,1
1536088374,1,0
1536096447,1,0
1536100355,0,1
1536102536,1,1
1536110207,1,1
1536123691,1,1
1536129650,1,0
1536133499,2,0
1536139240,1,0
1536150325,0,1
1536152198,0,4
1536157955,1,0
1536163781,0,2
1536171888,2,0
1536173805,0,1
1536183639,1,0
1536190320,2,0
1536192263,1,0
1536196366,0,1
1536202136,0,1
1536205982,1,0
1536207897,1,0
1536209808,0,1
1536215609,1,1
1536217483,1,0
1536219382,0,1
1536223222,1,1
1536225181,0,1
1536234757,0,1
1536244362,0,1
1536254212,1,0
1536258032,0,2
1536267700,1,0
1536269571,1,0
1536271467,0,1
1536273402,1,0
1536275306,1,1
1536277545,0,1
1536279409,1,1
1536290907,5,0
1536292889,0,1
1536302423,0,1
1536304349,0,1
1536308216,0,1
1536312059,1,0
1536325513,1,0
1536329329,1,0
1536339177,0,1
1536341089,1,0
1536344920,1,0
1536352592,0,1
1536356422,1,1
1536360265,0,2
1536364099,1,0
1536366041,0,1
1536381377,0,6
1536387165,1,0
1536396978,0,1
1536408530,1,0
1536410431,1,0
1536412367,1,1
1536414262,1,0
1536416218,0,1
1536426090,0,1
1536427963,1,0
1536429906,0,1
1536431786,1,0
1536443308,0,1
1536445238,2,0
1536451007,1,1
1536452899,1,0
1536460583,1,0
1536462530,1,0
1536464438,1,0
1536474038,0,1
1536481955,1,0
1536489630,1,0
1536493475,0,1
1536497299,0,1
1536501143,0,2
1536503061,1,0
1536508885,1,0
1536512699,0,1
1536520592,1,0
1536522521,1,0
1536530901,2,0
1536532848,1,1
1536534886,2,0
1536536931,0,1
1536538834,1,0
1536540740,1,0
1536542658,2,0
1536546763,0,2
1536548734,1,0
1536550581,2,1
1536552516,1,1
1536562376,4,0
1536566215,1,0
1536568103,0,1
1536575783,0,1
1536577731,0,1
1536589259,0,1
1536593088,0,1
1536606510,0,1
1536608457,0,1
1536618267,0,1
1536620244,0,2
1536624097,0,1
1536625954,1,0
1536627901,0,1
1536631721,1,0
1536635557,0,2
1536637465,0,2
1536639408,1,0
1536643258,0,1
1536653075,0,1
1536655262,1,6
1536670612,1,0
1536674497,0,2
1536688285,1,0
1536692175,2,0
1536700126,1,0
1536702035,1,0
1536707799,1,0
1536711632,1,0
1536713577,0,1
1536719318,0,1
1536723158,1,0
1536725151,0,1
1536738523,1,0
1536740458,0,1
1536770690,0,1
1536774541,0,1
1536778373,0,2
1536784117,1,0
1536786098,0,1
1536787955,0,1
1536789899,2,0
1536791793,2,0
1536793717,0,1
1536799467,2,1
1536803307,1,0
1536809068,0,1
1536824416,0,1
1536843882,1,0
1536846291,1,0
1536850127,1,0
1536853943,1,0
1536871251,1,1
1536875078,0,1
1536877254,0,1
1536879155,1,1
1536881083,1,0
1536885140,0,2
1536889255,0,1
1536896906,1,0
1536910626,1,0
1536918287,1,0
1536924076,1,0
1536930099,0,1
1536933877,0,1
1536935779,0,1
1536939899,0,1
1536941809,1,0
1536964875,1,0
1536967029,0,2
1536968903,1,0
1536972770,0,1
1536978506,0,1
1536982374,0,1
1536994359,1,0
1536996520,0,1
1537008054,1,0
1537011883,0,1
1537021714,2,0
1537027553,0,1
1537035429,2,0
1537037302,1,0
1537050778,1,2
1537056542,0,1
1537066114,1,0
1537068042,1,0
1537071890,1,0
1537073783,1,0
1537081493,0,1
1537085346,1,0
1537089167,1,0
1537093260,0,1
1537097095,1,0
1537106709,0,2
1537122259,0,2
1537126358,1,1
1537130190,2,0
1537132126,1,0
1537136211,0,1
1537147956,1,0
1537153962,1,1
1537155897,0,1
1537157799,0,1
1537161644,0,1
1537167407,0,1
1537173171,0,1
1537176998,0,1
1537182773,1,1
1537188534,1,0
1537192361,1,0
1537212545,1,1
1537218270,1,1
1537234351,0,1
1537240128,0,1
1537263170,0,1
1537265113,1,0
1537268937,0,1
1537275158,0,1
1537279004,1,1
1537281155,1,0
1537285253,0,1
1537287916,1,0
1537290123,1,0
1537291976,1,0
1537297722,1,1
1537305385,0,1
1537307309,1,0
1537309249,1,0
1537340209,1,0
1537349790,3,0
1537351731,0,1
1537353676,1,0
1537357489,1,0
1537365157,0,1
1537367081,0,1
1537368997,1,0
1537373119,0,1
1537376912,0,2
1537384601,1,1
1537413392,1,0
1537426897,0,1
1537436669,0,2
1537440513,1,3
1537442448,0,2
1537465488,1,0
1537467406,1,0
1537469311,2,0
1537471240,0,1
1537480908,2,0
1537484672,1,1
1537488518,1,0
1537496223,1,0
1537505792,2,0
1537507732,2,0
1537509687,2,0
1537511556,1,0
1537515405,1,0
1537521430,1,0
1537523346,2,0
1537527174,1,1
1537548757,2,0
1537550683,0,1
1537554518,0,1
1537556457,0,1
1537560271,2,0
1537566043,0,1
1537567964,1,1
1537569863,0,3
1537582367,0,1
1537584284,1,0
1537586211,1,0
1537592172,0,2
1537594367,2,3
1537596324,0,1
1537598193,0,1
1537602047,0,1
1537607799,0,1
1537609711,1,2
1537613557,0,1
1537617388,1,0
1537628911,1,0
1537632785,1,0
1537640436,3,0
1537646205,1,1
1537651959,2,0
1537653892,1,1
1537659630,1,1
1537665401,1,0
1537669279,0,2
1537673070,0,1
1537678910,0,1
1537680756,0,1
1537684613,1,1
1537696112,0,1
1537701868,1,0
1537703800,0,1
1537705710,1,0
1537715308,1,1
1537717233,1,0
1537719186,0,1
1537721075,1,0
1537726828,0,3
1537732750,0,1
1537738603,1,2
1537746267,1,0
1537750119,1,0
1537752025,0,1
1537757805,2,0
1537763555,1,0
1537765473,0,1
1537771235,1,1
1537784677,1,0
1537788498,2,0
1537792368,1,1
1537798132,1,0
1537801968,0,1
