DateTime,Entries,UniqueIPs
1537671149,361,361
1537673070,360,360
1537674987,366,366
1537676909,364,364
1537678912,363,363
1537680757,362,362
1537682726,363,363
1537684614,359,359
1537686509,363,363
1537688433,366,366
1537690356,366,366
1537692272,365,365
1537694203,364,364
1537696113,362,362
1537698034,2798,2798
1537699951,3437,3437
1537701869,3436,3436
1537703801,3440,3440
1537705711,3435,3435
1537707686,3441,3441
1537709552,3444,3444
1537711473,3437,3437
1537713405,3447,3447
1537715309,3444,3444
1537717234,3440,3440
1537719187,3442,3442
1537721075,3443,3443
1537722998,3434,3434
1537724909,3433,3433
1537726829,3429,3429
1537728765,3434,3434
1537730677,3433,3433
1537732751,3430,3430
1537734757,3435,3435
1537736700,3438,3438
1537738604,3420,3420
1537740511,3425,3425
1537742434,3432,3432
1537744348,3432,3432
1537746267,3431,3431
1537748205,3433,3433
1537750120,3436,3436
1537752026,3435,3435
1537753948,3437,3437
1537755866,3437,3437
1537757805,3438,3438
1537759702,3440,3440
1537761711,3438,3438
1537763556,3441,3441
1537765474,3441,3441
1537767408,3440,3440
1537769314,3438,3438
1537771236,3439,3439
1537773155,3436,3436
1537775076,3434,3434
1537777009,3435,3435
1537778907,3433,3433
1537780828,3434,3434
1537782848,3437,3437
1537784678,554,554
1537786606,331,331
1537788499,339,339
1537790504,348,348
1537792368,350,350
1537794316,341,341
1537796211,346,346
1537798133,354,354
1537800120,349,349
1537801969,351,351
1537803867,346,346
1537805821,349,349
1537807710,350,350
1537809879,350,350
1537811802,352,352
1537813951,348,348
1537815907,348,348
1537817810,353,353
1537819735,355,355
1537821648,351,351
1537823562,353,353
1537825477,359,359
1537827404,353,353
1537829306,354,354
1537831229,355,355
1537833174,356,356
1537835082,357,357
1537837002,353,353
1537838899,357,357
1537840938,365,365
1537842779,362,362
1537844692,360,360
1537846582,362,362
1537848537,375,375
1537850461,382,382
1537852348,381,381
1537854266,378,378
1537856219,378,378
1537858104,376,376
1537860046,374,374
1537861988,379,379
1537863884,381,381
1537865783,387,387
1537867718,385,385
1537869706,382,382
1537871813,380,380
1537873723,373,373
1537875643,364,364
1537877583,366,366
1537879467,364,364
1537881408,366,366
1537883331,362,362
1537885249,359,359
1537887154,362,362
1537889299,368,368
