DateTime,Entries,UniqueIPs
1537680757,1302,1302
1537682726,1281,1281
1537684613,1282,1282
1537686509,1271,1271
1537688433,1272,1272
1537690355,1273,1273
1537692272,1280,1280
1537694203,1277,1277
1537696112,1276,1276
1537698034,1275,1275
1537699951,1289,1289
1537701868,1292,1292
1537703801,1281,1281
1537705710,1274,1274
1537707686,1278,1278
1537709551,1286,1286
1537711472,1274,1274
1537713405,1245,1245
1537715308,1256,1256
1537717233,1268,1268
1537719186,1262,1262
1537721075,1250,1250
1537722997,1247,1247
1537724909,1250,1250
1537726829,1266,1266
1537728764,1249,1249
1537730677,1247,1247
1537732751,1241,1241
1537734756,1235,1235
1537736699,1260,1260
1537738604,1255,1255
1537740510,1270,1270
1537742434,1260,1260
1537744347,1258,1258
1537746267,1268,1268
1537748205,1272,1272
1537750120,1258,1258
1537752025,1260,1260
1537753948,1253,1253
1537755866,1254,1254
1537757805,1258,1258
1537759702,1262,1262
1537761711,1270,1270
1537763556,1286,1286
1537765473,1266,1266
1537767407,1263,1263
1537769313,1260,1260
1537771235,1271,1271
1537773155,1293,1293
1537775076,1282,1282
1537777008,1280,1280
1537778907,1291,1291
1537780827,1310,1310
1537782848,1316,1316
1537784677,1319,1319
1537786606,1310,1310
1537788498,1319,1319
1537790504,1348,1348
1537792368,1349,1349
1537794316,1344,1344
1537796211,1346,1346
1537798132,1369,1369
1537800120,1391,1391
1537801968,1393,1393
1537803867,1396,1396
1537805820,1411,1411
1537807709,1416,1416
1537809879,1429,1429
1537811801,1418,1418
1537813951,1401,1401
1537815907,1410,1410
1537817810,1410,1410
1537819734,1401,1401
1537821648,1412,1412
1537823562,1399,1399
1537825476,1400,1400
1537827404,1396,1396
1537829306,1408,1408
1537831228,1408,1408
1537833173,1410,1410
1537835082,1403,1403
1537837002,1406,1406
1537838899,1407,1407
1537840937,1404,1404
1537842779,1405,1405
1537844691,1400,1400
1537846581,1390,1390
1537848537,1387,1387
1537850460,1381,1381
1537852348,1383,1383
1537854265,1406,1406
1537856219,1412,1412
1537858103,1410,1410
1537860046,1399,1399
1537861988,1397,1397
1537863884,1408,1408
1537865783,1403,1403
1537867718,1384,1384
1537869705,1379,1379
1537871812,1387,1387
1537873723,1382,1382
1537875642,1360,1360
1537877582,1346,1346
1537879467,1355,1355
1537881408,1365,1365
1537883330,1368,1368
1537885249,1341,1341
1537887153,1339,1339
1537889299,1344,1344
1537891498,1342,1342
1537893407,1359,1359
1537895336,1347,1347
1537897245,1336,1336
1537899165,1341,1341
1537901068,1343,1343
1537903008,1351,1351
1537904932,1371,1371
1537906843,1374,1374
1537908768,1372,1372
1537910682,1379,1379
1537912600,1387,1387
1537914523,1382,1382
1537916500,1404,1404
1537918379,1403,1403
1537920286,1398,1398
1537922207,1409,1409
1537924136,1403,1403
1537926041,1403,1403
1537927971,1415,1415
1537929881,1426,1426
1537931804,1426,1426
1537933714,1429,1429
1537935656,1438,1438
1537937547,1437,1437
1537939488,1447,1447
1537941404,1442,1442
1537943322,1447,1447
1537945294,1459,1459
1537947165,1450,1450
1537949129,1435,1435
1537951008,1433,1433
1537952935,1439,1439
1537954819,1452,1452
1537956770,1455,1455
1537958912,1446,1446
1537960860,1452,1452
1537962997,1475,1475
1537964913,1473,1473
1537966893,1483,1483
1537968766,1480,1480
1537970722,1492,1492
1537972578,1490,1490
1537974540,1483,1483
1537976446,1493,1493
1537978408,1486,1486
1537980303,1491,1491
1537982212,1496,1496
1537984104,1488,1488
1537986054,1494,1494
1537987974,1497,1497
1537989896,2025,2025
1537991830,2016,2016
1537993722,2008,2008
1537995809,2006,2006
1537998043,2014,2014
1537999954,2023,2023
1538001872,2033,2033
1538003815,2021,2021
1538005712,2027,2027
1538007632,2032,2032
1538009551,2027,2027
1538011473,2042,2042
1538013432,2039,2039
1538015317,2011,2011
1538017303,2009,2009
1538019172,2022,2022
1538021092,2012,2012
1538023015,2012,2012
1538024929,2015,2015
1538026837,2009,2009
1538028787,2004,2004
1538030680,2005,2005
1538032638,1998,1998
1538034784,1997,1997
1538036681,2016,2016
1538038594,2006,2006
1538040511,2003,2003
1538042506,1992,1992
1538044470,1997,1997
1538046322,2014,2014
1538048201,2012,2012
1538050148,2011,2011
1538052032,2009,2009
1538053959,2012,2012
1538055878,2016,2016
1538057814,2004,2004
1538059717,2004,2004
1538061800,2001,2001
1538063778,2014,2014
1538065957,2026,2026
1538067877,2005,2005
1538069805,1999,1999
1538071720,1996,1996
1538073633,1991,1991
1538075575,1442,1442
1538077494,1429,1429
1538079401,1423,1423
1538081324,1414,1414
1538083247,1406,1406
1538085152,1395,1395
1538087090,1375,1375
1538089001,1379,1379
1538090914,1365,1365
1538092920,1388,1388
1538094946,1382,1382
1538096897,1370,1370
1538099097,1341,1341
1538101016,1349,1349
1538102921,1360,1360
1538104833,1358,1358
1538106768,1348,1348
1538108681,1349,1349
1538110599,1343,1343
1538112558,1345,1345
1538114514,1344,1344
1538116501,1322,1322
1538118519,1320,1320
1538120675,1336,1336
1538122622,1318,1318
1538124527,1306,1306
1538126459,1308,1308
1538128360,1315,1315
1538130284,1307,1307
1538132215,1305,1305
1538134119,1303,1303
1538136121,1295,1295
1538137980,1303,1303
1538139922,1301,1301
1538141800,1308,1308
1538143717,1310,1310
