DateTime,AddedIPs,RemovedIPs
1537558367,0,1
1537560272,0,1
1537562179,0,1
1537564136,0,1
1537566044,1,1
1537567965,1,0
1537569864,1,0
1537573731,0,2
1537577810,0,1
1537580449,2,0
1537582368,1,1
1537584284,1,1
1537586212,0,4
1537590274,0,1
1537592173,0,1
1537596325,5,0
1537598194,0,1
1537602052,1,1
1537603961,3,0
1537605876,4,2
1537607800,0,2
1537609712,0,1
1537611630,0,1
1537613559,2,1
1537617389,0,2
1537619306,1,1
1537621294,0,1
1537623152,3,0
1537625083,1,0
1537627004,2,0
1537628913,2,2
1537630828,2,0
1537632786,0,1
1537634669,0,2
1537636604,0,1
1537638515,1,2
1537640437,1,0
1537642350,2,0
1537646206,0,1
1537650093,3,0
1537651960,1,2
1537653893,0,1
1537655787,1,0
1537657717,1,1
1537659635,1,0
1537661551,1,0
1537663474,1,2
1537665402,0,1
1537667306,1,2
1537669280,1,2
1537671149,0,1
1537673070,2,0
1537674988,2,0
1537682726,1,2
1537684614,1,0
1537686510,1,0
1537688434,2,0
1537690356,2,3
1537692273,1,4
1537694203,1,0
1537696113,1,0
1537698034,578,0
1537699952,2,1
1537701869,2,0
1537703801,1,0
1537705711,0,1
1537707686,2,0
1537709552,0,2
1537711473,2,1
1537713405,1,2
1537715309,2,2
1537717234,1,2
1537719187,1,1
1537721076,1,0
1537722998,1,0
1537724909,1,1
1537726830,0,1
1537728765,1,1
1537730678,3,0
1537732751,1,0
1537736703,1,3
1537738604,0,2
1537740511,2,0
1537742435,0,1
1537746268,1,0
1537748206,0,2
1537752026,2,0
1537753949,2,1
1537755867,1,2
1537757806,0,1
1537759703,0,2
1537761711,1,4
1537763556,1,0
1537765474,1,0
1537769314,1,1
1537771236,0,1
1537773155,1,0
1537775076,0,3
1537777009,2,1
1537778908,0,1
1537780828,1,1
1537782848,0,1
1537784678,0,579
1537786606,1,2
1537788499,1,1
1537790505,0,1
1537792369,1,1
1537794317,2,2
1537798133,2,3
1537800120,1,3
1537801969,1,1
1537803867,1,1
1537805821,2,1
1537807710,0,1
1537809880,2,1
1537811802,0,1
1537813951,3,0
1537815907,0,3
1537817810,0,2
1537823562,1,1
1537825477,1,0
1537827404,1,2
1537829307,1,0
1537831229,2,1
1537833174,1,0
1537837004,1,1
1537838899,1,2
1537844692,1,0
1537846582,2,0
1537848537,0,1
1537850461,0,1
1537852348,2,1
1537856220,0,3
1537860046,2,1
1537861988,3,0
1537863884,0,1
1537865784,1,0
1537867719,1,1
1537869707,1,0
1537871813,0,1
1537873723,2,1
1537875643,0,1
1537877583,1,1
1537879467,0,1
1537881408,2,1
1537883331,2,1
1537885250,1,1
1537887154,1,0
1537891499,1,1
1537893407,1,0
1537895337,2,0
1537897245,1,0
1537899166,1,4
1537901068,1,2
1537906844,1,0
1537908769,1,0
1537910683,0,1
1537912601,1,2
1537914524,1,2
1537916501,0,4
1537918380,1,1
