DateTime,AddedIPs,RemovedIPs
1534688922,1,0
1534690891,0,1
1534692771,1,0
1534696822,1,1
1534698772,0,1
1534704774,1,0
1534714584,1,0
1534718428,1,0
1534720342,0,2
1534729036,1,1
1534730986,0,1
1534738639,1,0
1534742519,1,0
1534775778,0,1
1534779880,0,1
1534783964,1,1
1534791718,0,2
1534793566,1,0
1534799323,0,1
1534801223,1,0
1534805067,0,1
1534807004,1,0
1534813722,1,0
1534815623,0,1
1534819469,1,0
1534821633,2,0
1534825477,0,1
1534827381,0,1
1534842775,1,0
1534879697,0,1
1534891241,2,0
1534893403,0,1
1534899728,0,1
1534907563,0,3
1534928933,0,1
1534957733,2,0
1534965390,3,0
1534977478,0,2
1535008608,1,0
1535010508,0,1
1535022109,1,0
1535025897,0,1
1535039571,1,0
1535043399,0,2
1535045311,1,0
1535047288,1,0
1535051091,0,1
1535053000,0,2
1535054900,1,0
1535062589,1,0
1535070266,1,0
1535074115,2,0
1535095705,0,1
1535109148,1,0
1535111062,1,0
1535116857,0,1
1535130768,0,1
1535132877,1,0
1535134829,0,1
1535136948,1,0
1535141114,0,1
1535143012,1,0
1535144947,0,1
1535149040,0,1
1535156877,0,1
1535160741,0,2
1535195826,0,2
1535213080,1,0
1535216922,1,0
1535219126,0,1
1535220988,1,0
1535223577,5,1
1535225545,1,0
1535278364,1,0
1535291798,1,0
1535295692,1,0
1535297549,1,0
1535299493,0,1
1535307444,0,6
1535309338,0,1
1535311233,1,0
1535317510,1,0
1535319385,1,0
1535321338,6,1
1535373176,1,0
1535378906,0,1
1535384685,1,0
1535394263,1,0
1535396237,0,1
1535400367,1,0
1535404115,0,1
1535414018,1,0
1535421808,1,0
1535429824,1,0
1535439409,0,1
1535449278,1,0
1535458836,0,1
1535464612,0,1
1535466516,0,9
1535470358,0,1
1535480205,0,1
1535485977,1,0
1535487920,1,0
1535489815,0,1
1535501342,0,1
1535507124,0,1
1535516696,0,1
1535528211,2,0
1535536120,0,1
1535557969,2,0
1535572112,1,1
1535574055,0,1
1535588451,1,0
1535592320,1,0
1535611755,1,0
1535613640,0,2
1535623300,1,0
1535640888,2,0
1535642908,0,1
1535644905,0,1
1535648710,1,0
1535664054,1,0
1535674135,0,1
1535679888,0,1
1535685655,1,0
1535699335,0,1
1535711090,0,1
1535724781,1,0
1535726706,0,2
1535728819,1,0
1535742302,1,0
1535749962,0,1
1535751901,1,0
1535755720,1,0
1535761488,1,0
1535763397,0,1
1535773019,0,1
1535776835,1,0
1535782620,1,0
1535811417,0,1
1535813318,0,1
1535815245,1,0
1535817179,1,0
1535819067,1,0
1535822901,1,0
1535830833,1,0
1535838519,1,1
1535842362,0,1
1535848112,0,1
1535867339,1,1
1535873072,1,0
1535886760,1,0
1535890624,1,0
1535894447,1,0
1535902371,0,3
1535906457,0,1
1535912222,0,1
1535914120,0,1
1535916081,0,1
1535923723,0,1
1535925682,0,1
1535952302,0,1
1535958098,0,1
1535973893,0,1
1535977724,0,1
1535981558,0,1
1535991219,1,0
1536008493,1,0
1536014430,2,0
1536016836,2,0
1536037980,1,0
1536046007,1,0
1536059560,1,0
1536071075,1,0
1536076913,0,1
1536086449,1,0
1536088377,3,0
1536094397,0,1
1536096450,1,0
1536098439,1,0
1536104437,2,0
1536108288,2,0
1536112117,0,1
1536114035,0,1
1536123694,1,1
1536133502,1,1
1536139248,1,0
1536146188,0,1
1536150328,1,0
1536156091,0,1
1536157958,1,0
1536165621,2,0
1536167686,1,0
1536171890,1,0
1536173808,0,5
1536175707,1,0
1536181467,0,1
1536183641,1,0
1536187469,1,0
1536190322,0,1
1536192265,0,1
1536194204,0,1
1536196369,0,1
1536205985,0,1
1536209810,0,1
1536221351,0,1
1536225184,0,1
1536244364,0,1
1536246300,1,0
1536248234,0,1
1536254215,0,1
1536261889,1,1
1536267702,1,0
1536269574,0,1
1536271470,1,0
1536279412,0,1
1536285170,0,1
1536287081,2,0
1536289007,1,0
1536302431,0,1
1536325516,0,1
1536331226,1,0
1536333166,0,1
1536337266,1,0
1536339180,1,0
1536341092,1,0
1536343008,1,0
1536344922,1,0
1536346885,0,1
1536348770,2,0
1536352595,0,1
1536354534,0,1
1536358374,2,1
1536369860,1,0
1536373712,0,2
1536375697,0,1
1536404672,2,0
1536406584,1,0
1536418102,0,1
1536420061,1,0
1536424127,1,1
1536426093,0,1
1536427965,0,2
1536431789,0,1
1536433738,0,2
1536439467,1,0
1536443310,0,1
1536445241,0,1
1536462532,0,1
1536468261,1,0
1536470207,1,0
1536481958,1,0
1536487715,2,0
1536491554,0,2
1536493477,1,0
1536495417,1,0
1536497301,1,0
1536510754,0,1
1536518676,0,1
