DateTime,AddedIPs,RemovedIPs
1530048264,1,0
1530052348,1,0
1530061952,1,0
1530063884,2,0
1530065796,0,1
1530067714,0,1
1530077332,1,0
1530083078,0,1
1530084991,2,0
1530086917,1,1
1530088830,1,1
1530090752,0,2
1530094599,1,0
1530098429,1,0
1530100351,2,0
1530102299,0,1
1530109955,0,1
1530111872,0,3
1530113797,0,1
1530115729,1,1
1530117627,0,2
1530119545,0,2
1530121479,1,1
1530123383,0,2
1530133314,0,1
1530139452,0,1
1530147148,0,1
1530150985,0,2
1530158673,1,0
1530164423,1,1
1530170189,0,1
1530172124,0,1
1530174025,0,2
1530179804,0,1
1530185806,0,2
1530187743,0,1
1530195407,1,0
1530197579,1,0
1530201404,0,1
1530205306,1,0
1530209091,0,1
1530221106,1,0
1530246523,0,1
1530250346,0,1
1530282257,0,1
1530284199,0,1
1530290436,0,1
1530296817,1,0
1530306990,0,1
1530335789,2,0
1530339653,1,0
1530353089,1,0
1530382584,0,1
1530416673,1,0
1530422428,0,2
1530426273,0,1
1530439730,0,1
1530451786,84012,0
1530454574,0,84012
1530473549,1,0
1530502585,1,1
1530514108,1,0
1530529963,1,0
1530558997,0,1
1530564797,2,0
1530578666,1,0
1530584663,1,0
1530587549,0,1
1530595480,1,0
1530601295,0,1
1530606986,1,0
1530617078,0,1
1530651773,0,2
1530663877,0,1
1530671617,0,1
1530683317,0,1
1530690992,0,1
1530856572,1,0
1530887796,1,0
1530905299,1,0
1530940124,1,0
1530943958,0,1
1530961301,1,0
1530972993,0,1
1530990766,0,1
1531002282,1,0
1531026771,0,1
1531040204,1,0
1531044105,2,0
1531048138,0,1
1531088450,0,1
1531127807,0,1
1531171227,0,2
1531206743,1,0
1531264139,1,0
1531293425,0,1
1531308784,1,0
1531350106,0,1
1531369224,1,0
1531375002,1,0
1531392306,1,0
1531396118,0,1
1531401891,1,0
1531405708,1,0
1531455157,0,1
1531461164,0,1
1531478445,0,1
1531488038,0,1
1531490190,0,1
1531516362,29197,0
1531520184,16,0
1531544031,1,0
1531588650,1,0
1531652304,1,0
1531658286,1,0
1531722334,1,0
1531772514,1,0
1531826793,2,0
1531846220,1,0
1531865578,0,29219
1531869391,1,0
1531911716,0,1
1531913588,0,1
1531932763,0,1
1531940505,1,0
1531956068,0,1
1532025642,0,1
1532077950,1,0
1532081701,1,0
1532135801,1,0
1532156910,1,0
1532161504,1,0
1532165305,0,1
1532169144,0,1
1532176817,1,0
1532194266,1,0
1532222215,0,1
1532243579,0,1
1532249555,0,1
1532278767,0,1
1532301172,1,1
1532351546,1,0
1532374589,1,0
1532383992,1,0
1532387810,1,1
1532408954,1,0
1532438211,0,1
1532446111,1,0
1532461733,1,1
1532465583,1,0
1532469408,0,1
1532486753,0,1
1532496276,0,1
1532515739,1,0
1532521472,1,0
1532525305,1,0
1532531363,1,1
1532535411,1,0
1532537326,1,0
1532547029,0,1
1532550812,1,0
1532552686,0,1
1532562316,1,0
1532593055,1,0
1532602901,0,1
1532608660,0,1
1532612488,0,1
1532616598,0,1
1532622526,0,2
1532633605,1,0
1532637679,0,1
1532643388,1,0
1532648421,0,1
1532664102,1,0
1532679885,0,1
1532719008,0,1
1532731581,0,1
1532747348,0,1
1532787135,1,0
1532806602,1,0
1532841862,1,0
1532874767,0,1
1532878583,1,0
1532890345,1,0
1532894181,0,1
1532905748,1,0
1532929225,0,1
1532934983,1,0
1532960208,1,0
1532962120,1,0
1532964032,0,1
1532977479,0,1
1532990936,0,1
1533019719,0,1
1533049026,0,1
1533067171,1,0
1533079227,1,0
1533133978,0,1
1533153407,0,1
1533179817,0,1
1533243397,1,0
1533282250,1,0
1533330891,0,1
1533352142,1,0
1533369686,0,1
1533379217,1,0
1533439571,0,1
1533441379,1,0
1533466876,0,1
1533482685,1,0
1533526828,0,1
1533555642,1,0
1533561414,1,0
1533569081,0,1
1533597642,1,0
1533641307,1,1
1533647070,0,1
1533684354,0,1
1533688193,1,0
1533728923,0,1
1533746253,1,0
1533758210,1,0
1533775465,0,1
1533831418,0,1
1533843633,0,1
1533849965,1,0
1533911713,1,0
1533921319,1,0
1533931296,1,0
1533933176,2,0
1533936993,0,1
1533997010,0,1
1534008496,0,1
1534016185,0,1
1534018126,0,2
1534106234,1,0
1534189716,1,0
1534191610,0,1
1534228584,1,0
1534247788,1,0
1534267464,1,0
1534275166,0,1
1534315702,0,1
1534334939,0,1
1534352496,0,1
1534384520,1,0
1534450024,1,0
1534471503,0,1
1534493106,1,0
1534536105,0,1
1534557386,1,0
1534559566,2,0
1534573512,1,0
1534579302,0,1
1534621740,1,0
1534643811,0,1
1534645698,0,2
1534661075,0,1
1534682185,1,0
1534707862,0,1
1534715529,1,0
1534769364,0,1
1534799063,0,1
1534812812,1,0
1534816674,2,0
1534822590,1,0
1534849707,1,0
1534851611,1,0
1534879000,1,0
1534899159,1,1
1534902977,0,2
1534910663,0,1
1534935644,0,1
1534937555,0,1
1534961073,1,0
1534965148,0,1
1534984829,0,1
1535003794,1,0
1535046269,0,1
1535050108,1,0
1535054182,1,0
1535069813,1,0
1535088984,0,1
1535128091,1,0
1535137737,0,1
1535139648,1,0
1535141545,1,1
1535145864,1,0
1535153572,1,0
1535157619,0,1
1535161461,1,0
1535175191,1,0
1535182861,1,0
1535184766,1,0
1535215468,0,1
1535227471,0,2
1535231566,0,1
1535239230,1,1
1535246934,0,1
1535260603,1,1
1535270676,0,2
1535280274,1,0
1535315638,1,0
1535321340,1,0
1535323245,1,0
1535325173,0,1
1535338649,1,0
1535346298,0,1
1535355888,1,0
1535367409,0,1
1535378908,1,0
1535400374,0,1
1535407960,0,1
1535409890,0,1
1535412065,1,0
1535414023,1,0
1535417841,1,0
1535425968,0,1
1535443295,0,1
1535464614,0,1
1535499459,0,1
1535501343,0,1
1535503274,0,1
1535558503,1,0
1535604060,1,0
1535623303,1,0
1535630948,1,0
1535644908,0,1
1535648712,1,0
1535656392,1,0
1535662106,1,0
1535689475,0,1
1535693567,1,0
1535709164,0,1
1535717120,0,1
1535724786,1,0
1535734613,0,1
1535742304,0,1
1535746130,1,0
1535748035,0,1
1535749964,1,0
1535755722,1,0
1535780699,0,1
1535811419,0,1
1535832788,0,1
1535834682,0,1
1535840434,0,1
1535854821,1,0
1535905475,1,0
1535932898,1,0
1535938611,1,0
1535942684,0,1
1535966215,1,0
1535977726,1,0
1535991221,0,1
1536010379,1,0
1536018770,0,1
1536024540,0,1
1536030305,1,0
1536051885,0,1
1536055763,1,0
1536063437,0,1
1536069178,1,0
1536084530,1,0
1536086451,1,0
1536096452,0,1
1536117885,0,1
1536127493,1,0
1536129661,1,0
1536131568,1,0
1536141179,0,1
1536156094,0,1
1536169887,0,1
1536173817,0,1
1536213717,0,1
1536215614,1,0
1536217499,0,2
1536250396,1,0
1536279417,1,0
1536300548,0,1
1536302433,1,0
1536337268,0,1
1536366047,0,1
1536387170,0,1
1536420499,1,0
1536495876,1,0
1536507397,0,1
1536520815,1,0
1536562872,1,0
1536582045,0,1
1536607008,0,1
1536647197,0,1
1536697868,1,0
1536701561,1,0
1536707328,1,0
1536761110,1,0
1536780768,1,0
1536784582,0,1
1536788442,0,1
1536792262,1,0
1536794246,0,1
1536819174,2,0
1536836919,1,0
1536846786,0,1
1536867892,0,1
1536879709,0,1
1536895038,1,0
1536904605,0,1
1536906538,0,1
1536910631,1,0
1536922110,0,1
1536980517,0,1
1536990064,1,0
1536996525,0,1
1537008059,1,0
1537075749,0,1
1537091360,0,1
1537185163,1,0
1537195257,1,0
1537214509,1,0
1537242052,1,0
1537273014,0,1
1537281159,0,1
1537295792,1,0
1537301569,0,1
1537314993,1,0
1537328669,0,1
1537382696,0,1
1537398141,0,1
1537430200,1,0
1537515409,0,1
1537582371,1,0
1537659640,1,0
1537669285,0,1
1537744351,0,1
1537764992,1,0
1537801972,1,0
1537829310,1,0
1537840943,1,0
1537852354,0,1
1537854269,1,0
1537887157,0,1
1537891513,1,0
1537893411,1,0
1537916505,0,1
1537927974,0,1
1537939491,0,1
1537976451,0,2
1537993221,1,0
1538003825,1,0
1538030685,1,0
1538032642,1,0
1538036685,1,0
1538048204,1,0
1538057825,1,0
1538077501,1,0
1538079406,1,0
1538081328,0,1
1538090918,1,1
1538092934,1,0
1538118524,0,1
1538120679,0,1
1538122627,0,1
1538134124,0,1
1538145641,0,1
1538162922,0,1
1538164910,0,1
1538176764,0,2
1538188367,1,0
1538215344,1,0
1538223159,1,0
1538225100,1,0
1538248121,1,0
1538269287,1,0
1538271149,1,0
1538274980,0,1
1538301870,1,1
1538309799,1,1
1538311704,0,1
1538328995,1,0
1538334744,0,1
1538336668,1,0
1538346269,1,0
1538355902,0,1
1538357785,1,1
1538389270,0,1
1538395318,0,1
1538401015,1,0
1538416364,0,1
1538424125,0,1
1538431958,0,1
1538443489,0,1
1538459549,1,0
1538483093,1,0
1538486901,0,1
1538547206,0,1
1538576192,1,0
1538595386,1,1
1538597320,1,0
1538605233,2,0
