DateTime,AddedIPs,RemovedIPs
1537680760,348,80
1537682730,113,45
1537684617,50,55
1537686513,33,38
1537688439,31,36
1537690359,26,52
1537692275,64,34
1537694207,38,44
1537696116,59,44
1537698037,72,135
1537699955,131,43
1537701872,57,35
1537703804,27,69
1537705714,82,53
1537707690,48,53
1537709555,27,68
1537711476,59,44
1537713409,81,34
1537715312,30,78
1537717238,52,103
1537719190,35,101
1537721079,40,138
1537723001,28,384
1537724912,39,833
1537726833,57,315
1537728768,161,731
1537730681,125,1503
1537732754,91,576
1537734760,57,62
1537736747,111,46
1537738607,43,54
1537740514,64,49
1537742439,59,154
1537744351,166,58
1537746271,64,28
1537748208,32,87
1537750123,81,66
1537752029,32,30
1537753951,42,63
1537755869,52,40
1537757809,68,36
1537759706,42,51
1537761717,32,43
1537763559,40,42
1537765480,40,35
1537767411,50,67
1537769317,42,60
1537771247,54,46
1537773158,54,42
1537775080,30,32
1537777016,38,39
1537778910,38,66
1537780831,61,43
1537782859,45,62
1537784681,47,77
1537786609,44,151
1537788529,130,52
1537790507,44,32
1537792372,377,82
1537794320,1293,47
1537796215,245,32
1537798136,81,78
1537800124,65,73
1537801972,69,29
1537803870,42,39
1537805824,37,42
1537807713,52,179
1537809883,74,50
1537811805,86,42
1537813954,64,77
1537815911,73,70
1537817813,78,49
1537819738,52,46
1537821651,55,121
1537823566,38,69
1537825480,63,41
1537827407,48,60
1537829310,39,56
1537831232,73,150
1537833177,102,48
1537835086,1591,27
1537837008,2006,86
1537838902,1844,34
1537840943,688,39
1537842782,32,69
1537844703,70,63
1537846585,38,39
1537848541,63,33
1537850466,35,41
1537852354,42,52
1537854269,44,41
1537856223,38,47
1537858107,59,50
1537860049,76,60
1537861991,49,29
1537863888,33,37
1537865796,38,39
1537867722,43,62
1537869710,41,157
1537871816,56,154
1537873726,47,74
1537875647,93,103
1537877586,96,36
1537879470,37,1385
1537881420,44,363
1537883334,89,290
1537885253,54,50
1537887157,37,86
1537889302,99,82
1537891513,47,55
1537893410,42,47
1537895340,41,54
1537897250,86,57
1537899169,114,97
1537901076,86,51
1537903012,61,70
1537904936,85,74
1537906855,68,43
1537908772,48,58
1537910686,45,54
1537912612,48,54
1537914527,42,55
1537916504,54,54
1537918383,54,92
1537920289,95,535
1537922211,93,1926
1537924139,54,1924
1537926044,30,1906
1537927974,72,54
1537929884,43,55
1537931807,38,80
1537933717,70,48
1537935659,45,60
1537937550,45,53
1537939491,46,43
1537941407,34,53
1537943338,42,39
1537945298,54,71
1537947169,2358,97
1537949135,1084,40
1537951011,747,42
1537952939,33,51
1537954823,34,59
1537956774,43,44
1537958915,37,63
1537960863,52,58
1537963001,59,125
1537964917,138,64
1537966897,90,33
1537968772,43,91
1537970726,42,53
1537972588,67,51
1537974545,42,69
1537976451,32,88
1537978412,71,27
1537980307,55,46
1537982215,113,47
1537984108,56,42
1537986058,125,68
1537987977,146,51
1537989900,248,51
1537991838,644,68
1537993726,130,52
1537995813,68,42
1537998047,58,43
1537999958,54,36
1538001875,66,41
1538003825,59,41
1538005715,41,59
1538007635,46,132
1538009554,137,56
1538011477,55,29
1538013436,50,68
1538015330,81,33
1538017307,56,36
1538019175,65,54
1538021096,70,50
1538023019,46,44
1538024932,228,36
1538026840,221,35
1538028790,50,44
1538030684,1085,43
1538032642,186,464
1538034788,56,881
1538036684,66,1029
1538038598,56,81
1538040515,39,52
1538042510,56,30
1538044473,472,46
1538046340,51,40
1538048204,60,59
1538050163,57,86
1538052051,39,122
1538053963,152,68
1538055881,62,29
1538057825,44,77
1538059720,87,40
1538061804,72,36
1538063781,40,75
1538065961,96,49
1538067880,73,55
1538069809,71,37
1538071726,33,55
1538073637,52,85
1538075586,62,106
1538077501,45,682
1538079405,51,429
1538081328,79,43
1538083261,51,110
1538085155,41,46
1538087094,39,60
1538089004,35,43
1538090918,48,52
1538092933,59,46
1538094950,55,112
1538096902,85,93
1538099101,113,56
1538101020,82,42
1538102932,702,96
1538104837,2047,78
1538106805,1450,55
1538108712,1033,71
1538110603,1094,271
1538112562,1536,41
1538114518,1694,238
1538116505,1043,1172
1538118523,30,603
1538120679,111,52
1538122626,55,67
1538124531,64,62
1538126463,73,54
1538128364,96,57
1538130295,74,734
1538132228,68,70
1538134124,58,45
1538136126,56,66
1538137985,49,47
1538139925,61,133
1538141804,135,73
1538143721,65,45
1538145641,50,94
1538147562,57,62
1538149479,573,38
1538151430,900,60
1538153313,153,85
1538155254,82,91
1538157156,53,61
1538159076,192,50
1538161000,640,50
1538162922,248,58
1538164909,57,36
1538166769,728,55
1538168749,1608,69
1538170608,1137,38
1538172529,46,42
1538174457,1179,38
1538176762,2121,52
1538178776,1452,56
1538180678,816,47
1538182609,1313,42
1538184503,574,136
1538186517,885,42
1538188367,242,42
1538190277,1192,1341
1538192216,1744,1547
1538194145,1042,953
1538196037,581,973
1538197975,244,941
1538199874,486,1296
1538201811,555,1341
1538203713,578,248
1538205636,105,23
1538207553,34,78
1538209487,217,45
1538211413,584,75
1538213306,158,40
1538215343,181,30
1538217174,161,27
1538219337,34,52
1538221247,93,31
1538223159,406,32
1538225100,267,28
1538227018,37,45
1538228924,260,94
1538230849,343,27
1538232777,150,28
1538234681,36,62
1538236600,60,229
1538238513,29,214
1538240483,31,54
1538242363,67,54
1538244307,359,36
1538246201,67,178
1538248120,30,270
1538250037,33,44
1538251961,45,36
1538253869,42,630
1538255805,43,1100
1538257709,49,382
1538259639,36,95
1538261579,390,1714
1538263478,567,1439
1538265408,41,1350
1538267304,117,696
1538269286,1024,1081
1538271149,914,379
1538273084,312,472
1538274979,209,63
1538276926,50,1323
1538278851,49,2312
1538280759,152,790
1538282676,490,388
1538284586,132,58
1538286511,349,494
1538288453,510,361
1538290360,184,585
1538292271,42,30
1538294197,672,26
1538296103,340,436
1538298083,441,111
1538299946,107,151
1538301870,61,78
1538303809,70,213
1538305816,103,29
1538307649,38,61
1538309799,54,86
1538311704,29,84
1538313638,48,82
1538315556,60,460
1538317475,50,141
1538319394,128,160
1538321302,45,40
1538323286,33,97
1538325166,81,27
1538327117,39,124
1538328994,107,66
1538330926,199,757
1538332830,177,58
1538334743,64,32
1538336668,35,177
1538338630,40,43
1538340520,34,29
1538342437,38,39
1538344347,43,300
1538346269,52,155
1538348197,39,181
1538350115,29,364
1538352109,534,39
1538353951,1670,77
1538355901,1778,795
1538357785,2074,1218
1538359716,148,723
1538361704,40,240
1538363559,117,85
1538365487,45,54
1538367563,47,487
1538369566,71,426
1538371952,66,352
1538373912,41,636
1538375799,56,444
1538377730,42,51
1538379620,46,160
1538381566,45,1306
1538383464,33,584
1538385418,44,95
1538387302,36,141
1538389270,60,479
1538391169,61,143
1538393188,38,98
1538395318,41,161
1538397161,47,49
1538399134,40,31
1538401015,39,61
1538402920,40,55
1538404844,40,108
1538406776,102,89
1538408677,112,47
1538410613,193,530
1538412515,55,417
1538414428,484,115
1538416364,370,385
1538418271,74,191
1538420193,140,195
1538422138,81,67
1538424124,75,48
1538425966,68,35
1538427948,58,55
1538430052,60,55
1538431958,51,52
1538433888,45,53
1538435815,62,35
1538437718,44,32
1538439653,48,1557
1538441559,564,1866
1538443480,3343,2197
1538445395,3740,812
1538447798,464,131
1538449750,36,144
1538451652,124,39
1538453569,79,46
1538455712,24,64
1538457664,74,51
1538459549,42,42
1538461497,28,70
1538463385,98,50
1538465311,122,42
1538467314,146,36
1538469413,109,47
1538471343,119,27
1538473247,93,26
1538475180,54,39
1538477103,54,68
1538478990,67,32
1538480940,84,45
1538483093,67,44
1538485003,74,34
1538486901,87,43
1538488911,46,43
1538490756,35,28
1538492734,105,92
1538494617,1352,443
1538496571,266,374
1538498446,41,45
1538500383,66,382
1538502289,160,560
1538504208,44,42
1538506133,51,119
1538508043,79,74
1538509964,45,58
1538511868,60,54
1538514101,63,71
1538515955,38,61
1538517885,43,48
1538519783,33,35
1538521743,31,60
1538523651,53,32
1538525571,37,39
1538527475,28,93
1538529421,49,2320
1538531321,35,5183
1538533253,30,2033
1538535160,35,55
1538537081,39,82
1538538999,94,136
1538540916,628,59
1538543133,926,34
1538545021,22,79
1538547205,87,50
1538549090,33,86
1538551004,48,161
1538552926,80,164
1538554845,41,163
1538556769,43,137
1538558694,43,121
1538560608,30,92
1538562511,43,79
1538564505,40,89
1538566401,96,94
1538568353,99,70
1538570448,63,101
1538572348,50,94
1538574298,62,79
1538576191,61,29
1538578111,40,49
1538580047,67,65
1538581967,43,136
1538583882,326,230
1538585812,629,27
1538587712,24,257
1538589701,71,94
1538591564,49,38
1538593545,55,67
1538595386,56,71
1538597320,79,61
1538599483,53,67
1538601414,38,48
1538603313,48,39
1538605233,46,57
1538607160,62,36
1538609085,38,57
1538610994,52,47
1538612919,38,39
1538615095,42,43
1538616992,49,46
1538618919,38,33
1538620843,28,37
1538622752,30,39
1538624693,44,40
1538626602,68,289
1538628512,111,867
1538630421,80,259
1538632335,39,81
1538634276,106,46
1538636209,45,29
1538638122,41,82
1538640092,103,49
1538641968,48,52
1538643872,53,40
1538645808,44,40
1538647732,40,41
