DateTime,Entries,UniqueIPs
1537680760,8830,8830
1537682730,8898,8898
1537684617,8893,8893
1537686513,8888,8888
1537688439,8883,8883
1537690359,8857,8857
1537692275,8887,8887
1537694207,8881,8881
1537696116,8896,8896
1537698037,8833,8833
1537699955,8921,8921
1537701872,8943,8943
1537703804,8901,8901
1537705714,8930,8930
1537707690,8925,8925
1537709555,8884,8884
1537711476,8899,8899
1537713409,8946,8946
1537715312,8898,8898
1537717238,8847,8847
1537719190,8781,8781
1537721079,8683,8683
1537723001,8327,8327
1537724912,7533,7533
1537726833,7275,7275
1537728768,6705,6705
1537730681,5327,5327
1537732754,4842,4842
1537734760,4837,4837
1537736747,4902,4902
1537738607,4891,4891
1537740514,4906,4906
1537742439,4811,4811
1537744351,4919,4919
1537746271,4955,4955
1537748208,4900,4900
1537750123,4915,4915
1537752029,4917,4917
1537753951,4896,4896
1537755869,4908,4908
1537757809,4940,4940
1537759706,4931,4931
1537761717,4920,4920
1537763559,4918,4918
1537765480,4923,4923
1537767411,4906,4906
1537769317,4888,4888
1537771247,4896,4896
1537773158,4908,4908
1537775080,4906,4906
1537777016,4905,4905
1537778910,4877,4877
1537780831,4895,4895
1537782859,4878,4878
1537784681,4848,4848
1537786609,4741,4741
1537788529,4819,4819
1537790507,4831,4831
1537792372,5126,5126
1537794320,6372,6372
1537796215,6585,6585
1537798136,6588,6588
1537800124,6580,6580
1537801972,6620,6620
1537803870,6623,6623
1537805824,6618,6618
1537807713,6491,6491
1537809883,6515,6515
1537811805,6559,6559
1537813954,6546,6546
1537815911,6549,6549
1537817813,6578,6578
1537819738,6584,6584
1537821651,6518,6518
1537823566,6487,6487
1537825480,6509,6509
1537827407,6497,6497
1537829310,6480,6480
1537831232,6403,6403
1537833177,6457,6457
1537835086,8021,8021
1537837008,9941,9941
1537838902,11751,11751
1537840943,12400,12400
1537842782,12363,12363
1537844703,12370,12370
1537846585,12369,12369
1537848541,12399,12399
1537850466,12393,12393
1537852354,12383,12383
1537854269,12386,12386
1537856223,12377,12377
1537858107,12386,12386
1537860049,12402,12402
1537861991,12422,12422
1537863888,12418,12418
1537865796,12417,12417
1537867722,12398,12398
1537869710,12282,12282
1537871816,12184,12184
1537873726,12157,12157
1537875647,12147,12147
1537877586,12207,12207
1537879470,10859,10859
1537881420,10540,10540
1537883334,10339,10339
1537885253,10343,10343
1537887157,10294,10294
1537889302,10311,10311
1537891513,10303,10303
1537893410,10298,10298
1537895340,10285,10285
1537897250,10314,10314
1537899169,10331,10331
1537901076,10366,10366
1537903012,10357,10357
1537904936,10368,10368
1537906855,10393,10393
1537908772,10383,10383
1537910686,10374,10374
1537912612,10368,10368
1537914527,10355,10355
1537916504,10355,10355
1537918383,10317,10317
1537920289,9877,9877
1537922211,8044,8044
1537924139,6174,6174
1537926044,4298,4298
1537927974,4316,4316
1537929884,4304,4304
1537931807,4262,4262
1537933717,4284,4284
1537935659,4269,4269
1537937550,4261,4261
1537939491,4264,4264
1537941407,4245,4245
1537943338,4248,4248
1537945298,4231,4231
1537947169,6492,6492
1537949135,7536,7536
1537951011,8241,8241
1537952939,8223,8223
1537954823,8198,8198
1537956774,8197,8197
1537958915,8171,8171
1537960863,8165,8165
1537963001,8099,8099
1537964917,8173,8173
1537966897,8230,8230
1537968772,8182,8182
1537970726,8171,8171
1537972588,8187,8187
1537974545,8160,8160
1537976451,8104,8104
1537978412,8148,8148
1537980307,8157,8157
1537982215,8223,8223
1537984108,8237,8237
1537986058,8294,8294
1537987977,8389,8389
1537989900,8586,8586
1537991838,9162,9162
1537993726,9240,9240
1537995813,9266,9266
1537998047,9281,9281
1537999958,9299,9299
1538001875,9324,9324
1538003825,9342,9342
1538005715,9324,9324
1538007635,9238,9238
1538009554,9319,9319
1538011477,9345,9345
1538013436,9327,9327
1538015330,9375,9375
1538017307,9395,9395
1538019175,9406,9406
1538021096,9426,9426
1538023019,9428,9428
1538024932,9620,9620
1538026840,9806,9806
1538028790,9812,9812
1538030684,10854,10854
1538032642,10576,10576
1538034788,9751,9751
1538036684,8788,8788
1538038598,8763,8763
1538040515,8750,8750
1538042510,8776,8776
1538044473,9202,9202
1538046340,9213,9213
1538048204,9214,9214
1538050163,9185,9185
1538052051,9102,9102
1538053963,9186,9186
1538055881,9219,9219
1538057825,9186,9186
1538059720,9233,9233
1538061804,9269,9269
1538063781,9234,9234
1538065961,9281,9281
1538067880,9299,9299
1538069809,9333,9333
1538071726,9311,9311
1538073637,9278,9278
1538075586,9234,9234
1538077501,8597,8597
1538079405,8219,8219
1538081328,8255,8255
1538083261,8196,8196
1538085155,8191,8191
1538087094,8170,8170
1538089004,8162,8162
1538090918,8158,8158
1538092933,8171,8171
1538094950,8114,8114
1538096902,8106,8106
1538099101,8163,8163
1538101020,8203,8203
1538102932,8809,8809
1538104837,10778,10778
1538106805,12173,12173
1538108712,13135,13135
1538110603,13958,13958
1538112562,15453,15453
1538114518,16909,16909
1538116505,16780,16780
1538118523,16207,16207
1538120679,16266,16266
1538122626,16254,16254
1538124531,16256,16256
1538126463,16275,16275
1538128364,16314,16314
1538130295,15654,15654
1538132228,15652,15652
1538134124,15665,15665
1538136126,15655,15655
1538137985,15657,15657
1538139925,15585,15585
1538141804,15647,15647
1538143721,15667,15667
1538145641,15623,15623
1538147562,15618,15618
1538149479,16153,16153
1538151430,16993,16993
1538153313,17061,17061
1538155254,17052,17052
1538157156,17044,17044
1538159076,17186,17186
1538161000,17776,17776
1538162922,17966,17966
1538164909,17987,17987
1538166769,18660,18660
1538168749,20199,20199
1538170608,21298,21298
1538172529,21302,21302
1538174457,22443,22443
1538176762,24512,24512
1538178776,25908,25908
1538180678,26677,26677
1538182609,27948,27948
1538184503,28386,28386
1538186517,29229,29229
1538188367,29429,29429
1538190277,29280,29280
1538192216,29477,29477
1538194145,29566,29566
1538196037,29174,29174
1538197975,28477,28477
1538199874,27667,27667
1538201811,26881,26881
1538203713,27211,27211
1538205636,27293,27293
1538207553,27249,27249
1538209487,27421,27421
1538211413,27930,27930
1538213306,28048,28048
1538215343,28199,28199
1538217174,28333,28333
1538219337,28315,28315
1538221247,28377,28377
1538223159,28751,28751
1538225100,28990,28990
1538227018,28982,28982
1538228924,29148,29148
1538230849,29464,29464
1538232777,29586,29586
1538234681,29560,29560
1538236600,29391,29391
1538238513,29206,29206
1538240483,29183,29183
1538242363,29196,29196
1538244307,29519,29519
1538246201,29408,29408
1538248120,29168,29168
1538250037,29157,29157
1538251961,29166,29166
1538253869,28578,28578
1538255805,27521,27521
1538257709,27188,27188
1538259639,27129,27129
1538261579,25805,25805
1538263478,24933,24933
1538265408,23624,23624
1538267304,23045,23045
1538269286,22988,22988
1538271149,23523,23523
1538273084,23363,23363
1538274979,23509,23509
1538276926,22236,22236
1538278851,19973,19973
1538280759,19335,19335
1538282676,19437,19437
1538284586,19511,19511
1538286511,19366,19366
1538288453,19515,19515
1538290360,19114,19114
1538292271,19126,19126
1538294197,19772,19772
1538296103,19676,19676
1538298083,20006,20006
1538299946,19962,19962
1538301870,19945,19945
1538303809,19802,19802
1538305816,19876,19876
1538307649,19853,19853
1538309799,19821,19821
1538311704,19766,19766
1538313638,19732,19732
1538315556,19332,19332
1538317475,19241,19241
1538319394,19209,19209
1538321302,19214,19214
1538323286,19150,19150
1538325166,19204,19204
1538327117,19119,19119
1538328994,19160,19160
1538330926,18602,18602
1538332830,18721,18721
1538334743,18753,18753
1538336668,18611,18611
1538338630,18608,18608
1538340520,18613,18613
1538342437,18612,18612
1538344347,18355,18355
1538346269,18252,18252
1538348197,18110,18110
1538350115,17775,17775
1538352109,18270,18270
1538353951,19863,19863
1538355901,20846,20846
1538357785,21702,21702
1538359716,21127,21127
1538361704,20927,20927
1538363559,20959,20959
