DateTime,Entries,UniqueIPs
1537680761,1588,1588
1537682732,1699,1699
1537684618,1669,1669
1537686514,1662,1662
1537688440,1666,1666
1537690360,1670,1670
1537692276,1674,1674
1537694208,1673,1673
1537696117,1671,1671
1537698038,1709,1709
1537699956,1715,1715
1537701873,1726,1726
1537703805,1720,1720
1537705715,1730,1730
1537707690,1726,1726
1537709556,1724,1724
1537711477,1719,1719
1537713411,1720,1720
1537715313,1721,1721
1537717238,1722,1722
1537719191,1720,1720
1537721079,1726,1726
1537723002,1729,1729
1537724913,1730,1730
1537726834,1735,1735
1537728769,1776,1776
1537730682,1801,1801
1537732755,1850,1850
1537734761,1867,1867
1537736748,1891,1891
1537738608,1897,1897
1537740524,1913,1913
1537742441,1927,1927
1537744351,1951,1951
1537746272,1959,1959
1537748209,1964,1964
1537750124,1947,1947
1537752030,1944,1944
1537753952,1949,1949
1537755870,1961,1961
1537757809,1964,1964
1537759706,1980,1980
1537761718,1981,1981
1537763560,1982,1982
1537765481,1989,1989
1537767411,1958,1958
1537769317,1953,1953
1537771248,1950,1950
1537773159,1956,1956
1537775080,1948,1948
1537777017,1950,1950
1537778911,1949,1949
1537780832,1953,1953
1537782860,1950,1950
1537784681,1909,1909
1537786610,1907,1907
1537788530,1909,1909
1537790508,1916,1916
1537792372,1900,1900
1537794321,1889,1889
1537796215,1884,1884
1537798137,1887,1887
1537800125,1899,1899
1537801973,1896,1896
1537803871,1901,1901
1537805825,1897,1897
1537807714,1748,1748
1537809884,1758,1758
1537811806,1760,1760
1537813955,1760,1760
1537815912,1768,1768
1537817814,1773,1773
1537819739,1770,1770
1537821652,1718,1718
1537823568,1719,1719
1537825480,1730,1730
1537827408,1722,1722
1537829311,1720,1720
1537831233,1704,1704
1537833178,1709,1709
1537835087,1719,1719
1537837008,1723,1723
1537838903,1726,1726
1537840944,1722,1722
1537842783,1716,1716
1537844704,1714,1714
1537846586,1723,1723
1537848542,1741,1741
1537850467,1735,1735
1537852355,1736,1736
1537854269,1741,1741
1537856224,1751,1751
1537858108,1777,1777
1537860050,1781,1781
1537861992,1783,1783
1537863890,1777,1777
1537865797,1778,1778
1537867724,1771,1771
1537869711,1507,1507
1537871817,1263,1263
1537873727,1270,1270
1537875648,1269,1269
1537877587,1270,1270
1537879471,1267,1267
1537881421,1265,1265
1537883335,1267,1267
1537885253,1263,1263
1537887158,1251,1251
1537889303,1251,1251
1537891515,1238,1238
1537893411,1234,1234
1537895341,1218,1218
1537897252,1232,1232
1537899169,1243,1243
1537901077,1258,1258
1537903013,1254,1254
1537904936,1260,1260
1537906856,1262,1262
1537908773,1260,1260
1537910687,1264,1264
1537912613,1238,1238
1537914528,1231,1231
1537916506,1224,1224
1537918384,1225,1225
1537920290,1212,1212
1537922211,1200,1200
1537924140,1198,1198
1537926045,1194,1194
1537927975,1190,1190
1537929884,1195,1195
1537931808,1188,1188
1537933719,1181,1181
1537935660,1177,1177
1537937551,1175,1175
1537939494,1166,1166
1537941408,1147,1147
1537943346,1138,1138
1537945299,1110,1110
1537947170,1098,1098
1537949136,1092,1092
1537951012,1097,1097
1537952940,1096,1096
1537954824,1117,1117
1537956775,1105,1105
1537958916,1107,1107
1537960864,1090,1090
1537963001,1088,1088
1537964917,1085,1085
1537966907,1085,1085
1537968773,1078,1078
1537970728,1072,1072
1537972589,1057,1057
1537974546,1047,1047
1537976452,1052,1052
1537978413,1052,1052
1537980307,1058,1058
1537982216,1060,1060
1537984109,1059,1059
1537986059,1076,1076
1537987978,1095,1095
1537989900,1108,1108
1537991849,1116,1116
1537993727,1130,1130
1537995814,1134,1134
1537998048,1154,1154
1537999959,1159,1159
1538001876,1173,1173
1538003826,1192,1192
1538005716,1199,1199
1538007636,1221,1221
1538009555,1235,1235
1538011478,1250,1250
1538013437,1263,1263
1538015331,1269,1269
1538017308,1273,1273
1538019176,1282,1282
1538021097,1295,1295
1538023020,1287,1287
1538024933,1299,1299
1538026841,1305,1305
1538028791,1305,1305
1538030685,1315,1315
1538032642,1334,1334
1538034789,1333,1333
1538036685,1350,1350
1538038599,1357,1357
1538040515,1292,1292
1538042511,1296,1296
1538044474,1286,1286
1538046342,1297,1297
1538048205,1290,1290
1538050164,1294,1294
1538052052,1284,1284
1538053963,1299,1299
1538055882,1311,1311
1538057826,1315,1315
1538059730,1314,1314
1538061805,1313,1313
1538063782,1318,1318
1538065963,1327,1327
1538067881,1321,1321
1538069810,1327,1327
1538071728,1317,1317
1538073638,1313,1313
1538075587,1308,1308
1538077502,1304,1304
1538079406,1296,1296
1538081329,1320,1320
1538083262,1323,1323
1538085156,1314,1314
1538087095,1304,1304
1538089005,1295,1295
1538090919,1298,1298
1538092934,1292,1292
1538094950,1293,1293
1538096902,1288,1288
1538099102,1284,1284
1538101021,1279,1279
1538102933,1554,1554
1538104838,3721,3721
1538106806,5236,5236
1538108715,6299,6299
1538110604,7394,7394
1538112563,9051,9051
