DateTime,Entries,UniqueIPs
1537680761,273,273
1537682732,272,272
1537684618,270,270
1537686515,270,270
1537688452,270,270
1537690361,274,274
1537692277,270,270
1537694208,268,268
1537696117,273,273
1537698039,270,270
1537699956,281,281
1537701874,282,282
1537703806,279,279
1537705716,273,273
1537707691,270,270
1537709556,267,267
1537711478,264,264
1537713412,259,259
1537715314,260,260
1537717239,267,267
1537719192,283,283
1537721080,284,284
1537723003,297,297
1537724914,302,302
1537726835,305,305
1537728769,304,304
1537730684,312,312
1537732756,317,317
1537734761,329,329
1537736749,336,336
1537738608,341,341
1537740524,347,347
1537742445,349,349
1537744352,354,354
1537746272,354,354
1537748210,357,357
1537750124,357,357
1537752030,358,358
1537753953,358,358
1537755871,363,363
1537757810,365,365
1537759707,366,366
1537761719,374,374
1537763560,372,372
1537765483,374,374
1537767412,382,382
1537769318,384,384
1537771273,395,395
1537773159,397,397
1537775081,403,403
1537777018,401,401
1537778912,405,405
1537780833,410,410
1537782861,412,412
1537784682,410,410
1537786610,404,404
1537788531,411,411
1537790509,411,411
1537792373,411,411
1537794322,411,411
1537796216,407,407
1537798137,402,402
1537800126,406,406
1537801974,412,412
1537803872,405,405
1537805827,385,385
1537807714,374,374
1537809884,369,369
1537811806,372,372
1537813955,371,371
1537815913,373,373
1537817815,367,367
1537819739,370,370
1537821652,361,361
1537823569,360,360
1537825481,363,363
1537827409,354,354
1537829311,353,353
1537831234,360,360
1537833178,364,364
1537835087,357,357
1537837009,356,356
1537838905,361,361
1537840944,360,360
1537842788,362,362
1537844704,360,360
1537846586,363,363
1537848542,352,352
1537850471,351,351
1537852355,347,347
1537854270,338,338
1537856224,345,345
1537858109,340,340
1537860051,344,344
1537861993,347,347
1537863892,347,347
1537865798,345,345
1537867725,343,343
1537869711,339,339
1537871818,340,340
1537873728,340,340
1537875648,334,334
1537877588,337,337
1537879472,336,336
1537881422,337,337
1537883335,337,337
1537885254,336,336
1537887158,335,335
1537889303,328,328
1537891515,320,320
1537893412,315,315
1537895341,306,306
1537897255,311,311
1537899170,312,312
1537901077,313,313
1537903013,311,311
1537904937,307,307
1537906857,308,308
1537908773,306,306
1537910687,301,301
1537912614,299,299
1537914529,296,296
1537916506,307,307
1537918384,303,303
1537920291,296,296
1537922212,296,296
1537924141,292,292
1537926054,289,289
1537927975,285,285
1537929885,283,283
1537931809,280,280
1537933720,278,278
1537935660,278,278
1537937551,271,271
1537939495,273,273
1537941409,270,270
1537943347,260,260
1537945300,258,258
1537947171,252,252
1537949137,252,252
1537951013,250,250
1537952940,251,251
1537954825,245,245
1537956775,248,248
1537958917,250,250
1537960865,250,250
1537963002,241,241
1537964918,240,240
1537966908,238,238
1537968774,239,239
1537970728,236,236
1537972590,238,238
1537974547,234,234
1537976452,238,238
