DateTime,AddedIPs,RemovedIPs
1535983511,1,2
1535985403,0,2
1535987334,3,0
1535991223,1,2
1535993100,0,2
1535996914,0,1
1536004616,1,0
1536008497,0,1
1536010381,1,0
1536014435,1,2
1536016851,2,0
1536022612,1,3
1536024542,1,1
1536026517,0,1
1536028407,1,2
1536030307,0,3
1536032228,2,3
1536034122,0,2
1536036082,2,1
1536037985,1,1
1536041832,0,2
1536043976,1,1
1536046011,1,0
1536048096,0,1
1536055765,1,0
1536057659,0,4
1536059564,0,1
1536063439,0,1
1536065315,2,1
1536067263,3,1
1536069180,1,1
1536071079,1,0
1536074920,2,3
1536076917,3,1
1536078771,2,0
1536080711,2,0
1536082603,1,0
1536084532,3,0
1536086453,1,0
1536090539,1,0
1536092492,0,1
1536094401,2,0
1536096454,3,1
1536098495,1,0
1536102543,0,2
1536104443,1,1
1536106369,3,0
1536108291,1,1
1536110212,2,0
1536112120,0,1
1536114039,0,1
1536115966,3,0
1536117886,1,2
1536119801,1,0
1536121721,0,2
1536123697,1,0
1536125564,0,1
1536129662,0,1
1536131570,2,1
1536133506,1,0
1536135407,2,0
1536137316,1,0
1536139254,1,0
1536141180,1,0
1536143089,1,1
1536146192,3,0
1536148403,1,0
1536150347,0,1
1536152216,1,1
1536154127,2,3
1536156103,1,1
1536157961,1,1
1536159898,1,0
1536161808,1,5
1536163789,4,0
1536165625,0,2
1536167690,0,2
1536169891,0,1
1536171894,1,3
1536173819,0,1
1536175714,0,1
1536177695,1,0
1536181474,2,2
1536183645,3,4
1536185575,1,0
1536187473,2,0
1536190326,1,1
1536192271,2,3
1536196380,2,3
1536198305,3,0
1536200216,2,0
1536202142,3,3
1536204046,3,1
1536205996,1,1
1536207903,2,0
1536209814,2,1
1536211715,1,0
1536213719,2,0
1536215621,2,0
1536217533,0,2
1536221355,2,3
1536225188,0,1
1536227076,0,2
1536229026,1,1
1536230916,0,1
1536232860,1,2
1536234763,1,1
1536236715,1,0
1536238629,2,1
1536240538,2,2
1536242545,1,1
1536244368,2,1
1536246304,1,1
1536248243,0,1
1536250398,0,4
1536252288,1,0
1536254227,3,0
1536258039,1,1
1536259983,1,0
1536263796,1,1
1536265730,2,0
1536267707,1,2
1536269579,1,3
1536271474,1,1
1536273409,1,1
1536275313,1,2
1536277551,1,2
1536281313,1,0
1536283293,1,2
1536285174,1,3
1536287086,0,2
1536289011,3,4
1536290913,0,2
1536292897,0,1
1536294772,0,4
1536296685,2,0
1536298637,2,1
1536300550,0,2
1536302439,0,2
1536306270,1,0
1536308222,0,2
1536312065,3,0
1536313971,2,1
1536319725,0,1
1536321711,2,1
1536323585,0,3
1536325522,1,0
1536327401,2,2
1536329337,1,2
1536331230,0,2
