DateTime,Entries,UniqueIPs
1537502011,69,69
1537503887,68,68
1537505797,69,69
1537511565,69,69
1537513484,70,70
1537515411,68,68
1537517352,67,67
1537519254,66,66
1537521436,71,71
1537523352,71,71
1537525274,73,73
1537527181,74,74
1537531009,75,75
1537534900,76,76
1537538716,75,75
1537540623,74,74
1537542551,72,72
1537546617,71,71
1537548762,70,70
1537550688,70,70
1537552587,70,70
1537554523,68,68
1537556464,69,69
1537558371,70,70
1537560312,72,72
1537564141,73,73
1537566048,73,73
1537567969,72,72
1537569868,69,69
1537571818,69,69
1537573735,69,69
1537575658,70,70
1537577815,74,74
1537580454,75,75
1537582373,77,77
1537584289,79,79
1537586216,80,80
1537592177,78,78
1537598198,77,77
1537600128,76,76
1537602061,75,75
1537603965,82,82
1537605881,83,83
1537607805,81,81
1537609716,81,81
1537611635,79,79
1537613563,78,78
1537615481,79,79
1537617394,77,77
1537621299,75,75
1537625128,75,75
1537627008,73,73
1537628917,74,74
1537630833,75,75
1537634673,76,76
1537636608,77,77
1537638529,78,78
1537640441,79,79
1537642354,78,78
1537644280,83,83
1537646210,84,84
1537650099,86,86
1537651965,86,86
1537653898,88,88
1537655796,90,90
1537657723,90,90
1537659645,91,91
1537661556,90,90
1537663478,92,92
1537665406,87,87
1537667310,87,87
1537669295,85,85
1537671172,83,83
1537673075,81,81
1537675001,80,80
1537676914,80,80
1537678917,81,81
1537680762,82,82
1537682733,82,82
1537684619,83,83
1537686515,84,84
1537690361,79,79
1537692277,78,78
1537694209,80,80
1537696118,80,80
1537699957,80,80
1537703806,79,79
1537705716,84,84
1537707691,83,83
1537709557,84,84
1537711479,84,84
1537713413,85,85
1537715314,86,86
1537717240,85,85
1537719192,86,86
1537721081,86,86
1537723003,87,87
1537726835,85,85
1537728770,86,86
1537730684,80,80
1537732756,80,80
1537734762,81,81
1537736751,80,80
1537738609,81,81
1537740525,80,80
1537742445,80,80
1537744353,78,78
1537746273,78,78
1537748211,76,76
1537750125,75,75
1537752031,77,77
1537753953,76,76
1537755871,76,76
1537757811,77,77
1537759708,75,75
1537763561,75,75
1537765484,74,74
1537767412,73,73
1537769319,73,73
1537771274,75,75
1537773160,74,74
1537777018,76,76
1537778912,75,75
1537780833,77,77
1537786611,77,77
1537788531,82,82
1537790509,85,85
1537792374,88,88
1537794322,89,89
1537796217,90,90
1537798138,88,88
1537800126,90,90
1537801974,90,90
1537803872,91,91
1537807715,92,92
1537809885,91,91
1537811815,90,90
1537813956,88,88
1537815914,88,88
1537817815,82,82
1537819740,84,84
1537821653,83,83
1537823570,84,84
1537825481,80,80
1537827409,80,80
1537829312,81,81
1537831235,86,86
1537833179,92,92
1537835088,93,93
1537837010,95,95
1537838910,96,96
1537840945,98,98
1537844705,100,100
1537848543,99,99
1537850472,101,101
1537852356,100,100
1537856225,99,99
1537858109,98,98
1537860051,97,97
1537861993,97,97
1537863892,97,97
1537865798,97,97
1537867726,93,93
1537869712,94,94
1537871818,95,95
1537875649,96,96
1537877588,95,95
1537879472,94,94
1537881422,95,95
1537883336,94,94
1537885255,93,93
1537889304,93,93
1537891516,97,97
1537897256,98,98
1537899171,102,102
1537901078,100,100
1537903014,102,102
1537904938,109,109
1537906858,108,108
1537908774,108,108
1537910688,110,110
1537912619,110,110
1537914529,112,112
1537916507,115,115
1537918385,109,109
1537920292,110,110
1537922212,110,110
1537924141,108,108
1537926054,110,110
1537927976,110,110
1537929886,111,111
1537931809,112,112
1537933720,110,110
1537935661,113,113
1537937552,114,114
1537939496,113,113
1537943347,112,112
1537945300,112,112
1537947171,113,113
1537951013,113,113
1537952941,115,115
1537954825,114,114
1537956776,112,112
1537960865,112,112
1537963003,111,111
1537964919,112,112
1537966908,112,112
1537968774,113,113
1537970729,114,114
1537972590,113,113
1537974547,114,114
1537976453,113,113
1537980309,114,114
1537984117,113,113
1537986060,112,112
1537987979,111,111
1537989902,109,109
1537991852,106,106
1537993728,105,105
1537995815,103,103
1537998049,101,101
1537999961,100,100
1538001877,97,97
1538003827,94,94
1538007646,96,96
1538009556,96,96
1538011479,94,94
1538013438,91,91
1538015332,92,92
1538017309,91,91
1538019177,91,91
1538021098,93,93
1538023021,91,91
1538024934,90,90
1538028792,89,89
1538030687,88,88
1538032644,87,87
1538034791,86,86
1538036687,84,84
1538038600,82,82
1538040525,84,84
1538042512,83,83
1538046346,85,85
1538048206,85,85
1538050165,85,85
1538052058,87,87
1538053971,87,87
1538055884,88,88
1538057827,86,86
1538059731,85,85
1538063784,85,85
1538065965,85,85
1538069811,86,86
1538071741,85,85
1538077509,85,85
1538079407,81,81
1538083267,82,82
1538087096,80,80
1538089006,80,80
1538090920,76,76
1538092936,75,75
1538094952,74,74
1538096904,76,76
1538099103,75,75
1538101022,73,73
1538102939,72,72
1538104839,71,71
1538106807,70,70
1538108717,69,69
1538110609,71,71
1538114520,71,71
1538118526,71,71
1538120681,70,70
1538122629,72,72
1538126466,71,71
1538128367,64,64
1538132231,71,71
1538134126,68,68
1538136129,65,65
1538137987,66,66
