DateTime,Entries,UniqueIPs
1537678918,241,241
1537680762,247,247
1537682734,248,248
1537684619,246,246
1537686516,242,242
1537688453,243,243
1537690362,244,244
1537692278,241,241
1537694210,240,240
1537696118,234,234
1537698040,245,245
1537699957,251,251
1537701875,263,263
1537703807,269,269
1537705717,269,269
1537707692,261,261
1537709558,263,263
1537711479,264,264
1537713414,264,264
1537715315,265,265
1537717240,265,265
1537719193,266,266
1537721089,268,268
1537723004,271,271
1537724914,275,275
1537726836,284,284
1537728770,276,276
1537730685,282,282
1537732757,290,290
1537734762,294,294
1537736751,297,297
1537738610,311,311
1537740526,316,316
1537742446,316,316
1537744353,319,319
1537746273,318,318
1537748211,320,320
1537750125,332,332
1537752031,339,339
1537753954,330,330
1537755872,328,328
1537757811,326,326
1537759708,327,327
1537761720,328,328
1537763561,330,330
1537765486,338,338
1537767413,333,333
1537769319,336,336
1537771274,340,340
1537773160,336,336
1537775082,337,337
1537777019,345,345
1537778912,356,356
1537780834,361,361
1537782861,370,370
1537784683,371,371
1537786611,378,378
1537788532,372,372
1537790510,377,377
1537792374,378,378
1537794323,386,386
1537796217,391,391
1537798138,396,396
1537800126,391,391
1537801975,391,391
1537803873,397,397
1537805836,409,409
1537807715,417,417
1537809885,419,419
1537811816,413,413
1537813956,404,404
1537815914,405,405
1537817816,397,397
1537819740,396,396
1537821653,395,395
1537823570,395,395
1537825482,384,384
1537827410,382,382
1537829312,388,388
1537831235,418,418
1537833179,435,435
1537835088,451,451
1537837010,446,446
1537838911,464,464
1537840945,475,475
1537842793,490,490
1537844705,498,498
1537846587,512,512
1537848544,535,535
1537850472,537,537
1537852357,552,552
1537854271,561,561
1537856226,567,567
1537858110,585,585
1537860052,595,595
1537861994,604,604
1537863893,606,606
1537865799,597,597
1537867726,591,591
1537869713,585,585
1537871819,583,583
1537873729,587,587
1537875650,589,589
1537877589,589,589
1537879473,593,593
1537881423,602,602
1537883336,615,615
1537885255,636,636
1537887168,645,645
1537889304,655,655
1537891517,667,667
1537893413,680,680
1537895342,683,683
1537897256,692,692
1537899171,708,708
1537901078,710,710
1537903014,727,727
1537904938,736,736
1537906858,741,741
1537908774,748,748
1537910688,760,760
1537912619,761,761
1537914529,763,763
1537916507,747,747
1537918385,731,731
1537920292,728,728
1537922213,729,729
1537924142,727,727
1537926054,728,728
1537927976,719,719
1537929886,697,697
1537931809,689,689
1537933721,671,671
1537935661,661,661
1537937552,649,649
1537939496,641,641
1537941409,634,634
1537943348,617,617
1537945300,606,606
1537947171,601,601
1537949138,598,598
1537951013,599,599
1537952941,607,607
1537954825,613,613
1537956776,609,609
1537958918,604,604
1537960866,600,600
1537963003,656,656
1537964919,647,647
1537966908,637,637
1537968775,634,634
1537970729,614,614
1537972590,606,606
1537974548,598,598
1537976453,594,594
1537978414,587,587
1537980309,580,580
1537982217,590,590
1537984117,575,575
1537986061,560,560
1537987980,557,557
1537989902,545,545
1537991853,539,539
1537993728,546,546
1537995815,546,546
1537998050,538,538
1537999962,538,538
1538001877,550,550
1538003827,553,553
1538005717,551,551
1538007647,540,540
1538009557,545,545
1538011479,529,529
1538013439,533,533
1538015333,538,538
1538017310,530,530
1538019177,532,532
1538021098,531,531
1538023021,527,527
1538024935,526,526
1538026842,533,533
1538028792,527,527
1538030687,529,529
1538032644,533,533
1538034797,526,526
1538036687,520,520
1538038600,517,517
1538040526,509,509
1538042513,503,503
1538044476,517,517
1538046347,532,532
1538048207,530,530
1538050166,470,470
1538052059,469,469
1538053971,468,468
1538055884,473,473
1538057828,476,476
1538059731,479,479
1538061806,478,478
1538063784,475,475
1538065966,461,461
1538067883,455,455
1538069811,447,447
1538071747,448,448
1538073639,444,444
1538075597,444,444
1538077510,449,449
1538079408,441,441
1538081330,434,434
1538083268,432,432
1538085164,427,427
1538087096,413,413
1538089007,403,403
1538090921,399,399
1538092937,392,392
1538094952,394,394
1538096904,394,394
1538099104,387,387
1538101023,382,382
1538102940,382,382
1538104840,382,382
1538106807,382,382
1538108718,380,380
1538110617,384,384
1538112565,382,382
1538114521,385,385
1538116516,388,388
1538118527,386,386
1538120682,393,393
1538122629,401,401
1538124534,399,399
1538126466,401,401
1538128367,410,410
1538130303,414,414
1538132232,388,388
1538134126,381,381
1538136129,387,387
1538137987,385,385
1538139929,380,380
1538141807,373,373
1538143724,364,364
1538145643,353,353
1538147565,350,350
1538149481,346,346
1538151455,348,348
1538153316,351,351
1538155261,355,355
1538157159,351,351
1538159079,352,352
1538161003,353,353
1538162925,345,345
1538164912,351,351
1538166772,366,366
1538168752,380,380
1538170611,387,387
1538172532,384,384
1538174460,390,390
1538176769,396,396
1538178779,399,399
1538180681,402,402
1538182612,412,412
1538184506,421,421
1538186520,431,431
1538188370,439,439
1538190280,448,448
1538192219,452,452
1538194149,458,458
1538196040,459,459
