DateTime,Entries,UniqueIPs
1538046278,24056,26777
1538046986,24063,26781
1538047705,24060,26778
1538048420,24059,26776
1538049153,24061,26778
1538050119,24064,26778
1538051079,24065,26772
1538052016,24066,26773
1538052974,24067,26772
1538053942,24066,26770
1538054897,24074,26775
1538055607,24075,26772
1538056359,24076,26773
1538057052,24081,26773
1538057783,24081,26773
1538058741,24081,26773
1538059453,24083,26774
1538060172,24079,26770
1538060893,24084,26771
1538061634,24085,26770
1538062596,24090,26771
1538063555,24090,26773
1538064548,24093,26775
1538065475,24087,26767
1538066181,24088,26768
1538066909,24087,26765
1538067624,24095,26768
1538068353,24095,26767
1538069080,24093,26765
1538069785,24094,26766
1538070503,24095,26767
1538071237,24102,26777
1538072194,24097,26772
1538073151,24098,26773
1538074114,24099,26774
1538075074,24098,26771
1538076033,24096,26769
1538076744,24089,26762
1538077469,24085,26758
1538078180,24088,26761
1538078910,24083,26756
1538079865,24085,26755
1538080830,24087,26755
1538081785,24091,26754
1538082751,24087,26749
1538083710,24087,26749
1538084668,24087,26747
1538085640,24084,26745
1538086583,24084,26745
1538087540,24081,26740
1538088251,24078,26737
1538088972,24073,26732
1538089936,24073,26731
1538090667,24074,26732
1538091394,24075,26731
1538092359,24075,26728
1538093315,24067,26718
1538094264,24082,26733
1538095247,24105,26756
1538095940,24100,26749
1538096671,24107,26756
1538097636,24098,26746
1538098593,24093,26741
1538099553,24087,26735
1538100264,24093,26741
1538100996,24090,26738
1538101699,24091,26739
1538102424,24087,26735
1538103388,24081,26731
1538104357,24080,26730
1538105463,24083,26732
1538106267,24083,26730
1538107243,24089,26731
1538108194,24093,26735
1538109162,24089,26730
1538109850,24092,26733
1538110579,24088,26727
1538111536,24091,26730
1538112268,24090,26729
1538112998,24091,26728
1538113952,24106,26745
1538114916,24128,26777
1538115868,24136,26787
1538117072,24136,26786
1538117790,24137,26786
1538118503,24140,26789
1538119247,24139,26788
1538120200,24133,26782
1538121153,24141,26790
1538121868,24138,26785
1538122596,24142,26791
1538123303,24137,26786
1538124027,24133,26784
1538124988,24138,26787
1538125957,24143,26791
1538126907,24146,26794
1538127871,24149,26797
1538128839,24149,26797
1538129802,24158,26804
1538130752,24159,26801
1538131463,24162,26807
1538132182,24156,26798
1538132907,24158,26800
1538133635,24157,26799
1538134593,24152,26793
1538135552,24152,26796
1538136514,24158,26798
1538137476,24159,26799
1538138413,24160,26798
1538139126,24161,26799
1538139865,24162,26800
1538140574,24161,26798
1538141294,24160,26797
1538142255,24157,26797
1538143231,24162,26802
1538144197,24166,26805
1538145153,24171,26811
1538146113,24172,26811
1538147077,24171,26807
1538148030,24169,26806
1538148994,24165,26805
1538149956,24169,26805
1538150949,24172,26808
1538151866,24178,26814
1538152835,24180,26808
1538153786,24178,26809
1538154751,24180,26811
1538155724,24183,26814
1538156672,24184,26811
1538157633,24185,26807
1538158596,24184,26810
1538159561,24182,26808
1538160520,24175,26801
1538161474,24172,26801
1538162433,24172,26797
1538163394,24171,26802
1538164356,24165,26795
1538165314,24170,26799
1538166265,24169,26796
1538167230,24168,26795
1538168187,24160,26791
1538169152,24160,26790
1538169863,24162,26792
1538170584,24160,26790
1538171307,24159,26789
1538172040,24161,26791
1538172985,24162,26792
1538173936,24152,26782
1538174900,24158,26788
1538351067,23634,26004
1538351780,23635,26005
1538352515,23636,26005
1538353474,23637,26004
1538354430,23639,26007
1538355140,23631,25998
1538355874,23632,25998
1538356588,23636,26002
1538357313,23635,26000
1538358268,23638,26001
1538359243,23635,25998
1538360196,23632,25995
1538361165,23634,25997
1538362097,23632,25996
1538363076,23631,25994
1538364031,23634,25996
1538364764,23631,25992
1538365465,23631,25992
1538366180,23633,25993
1538366917,23621,25981
1538367543,23614,25974
1538368332,23620,25980
1538369056,23624,25984
1538369769,23622,25982
1538370493,23621,25981
1538371454,23621,25980
1538372440,23628,25985
1538373139,23627,25983
1538373871,23629,25983
1538374844,23634,25988
1538375781,23644,25998
1538376741,23644,25996
1538377713,23646,25996
1538378667,23651,25999
1538379381,23648,25991
1538380108,23651,25995
1538380828,23652,25998
1538381549,23653,25997
1538382261,23654,25997
1538382986,23660,26005
1538383706,23662,26002
1538384474,23664,26006
1538385394,23663,26008
1538386353,23667,26012
1538387063,23667,26015
1538387784,23669,26018
1538388502,23675,26024
1538389224,23675,26026
1538390195,23673,26022
1538391151,23674,26023
1538392119,23669,26020
1538393067,23674,26024
1538393780,23677,26027
1538394512,23677,26027
1538395262,23675,26026
1538396236,23675,26026
1538397137,23678,26029
1538397850,23676,26027
1538398575,23678,26029
1538399545,23679,26028
1538400248,23679,26027
1538400992,23684,26032
1538401702,23680,26026
1538402437,23677,26023
1538403396,23677,26022
1538404101,23681,26025
1538404828,23679,26023
1538405806,23679,26026
1538406752,23679,26027
1538407463,23683,26031
1538408316,23685,26033
1538409150,23685,26035
1538410146,23692,26041
1538411065,23692,26042
1538412032,23693,26045
1538412738,23694,26048
1538413470,23694,26045
1538414189,23696,26050
1538414909,23701,26055
1538415878,23701,26061
1538416833,23705,26069
1538417797,23703,26070
1538418755,23703,26067
1538419718,23708,26070
1538420678,23701,26067
1538421633,23699,26065
1538422592,23699,26063
1538423558,23702,26066
1538424513,23699,26070
1538425466,23696,26069
1538426438,23700,26066
1538427410,23701,26065
1538428598,23708,26069
1538429554,23712,26073
1538430509,23705,26064
1538431481,23657,26015
1538432186,23652,26010
1538432903,23653,26011
1538433619,23656,26012
1538434349,23652,26008
1538435319,23653,26010
1538436268,23654,26011
1538437227,23650,26005
1538438185,23650,26006
1538439155,23654,26012
1538439861,23655,26013
1538440583,23662,26020
1538441303,23664,26022
1538442041,23668,26026
1538442991,23687,26050
1538443945,23691,26056
1538444649,23680,26047
1538445373,23677,26047
1538446089,23678,26052
1538446840,23681,26055
1538448282,23678,26054
1538448979,23680,26058
1538449716,23678,26058
1538450673,23676,26057
1538451628,23673,26059
1538452588,23673,26060
1538453550,23670,26057
1538454514,23668,26055
1538455225,23671,26059
1538455941,23669,26057
1538456667,23669,26057
1538457630,23670,26055
1538458353,23673,26058
1538459067,23674,26055
1538459780,23673,26055
1538460506,23671,26053
1538461467,23668,26052
1538462186,23668,26055
1538462908,23670,26056
1538463638,23672,26060
1538464354,23674,26062
1538465062,23673,26062
1538465785,23678,26063
1538466506,23678,26062
1538467234,23679,26063
1538467958,23678,26061
1538468680,23677,26060
1538469394,23675,26058
1538470359,23677,26060
1538471316,23680,26061
1538472272,23680,26063
1538472980,23679,26064
1538473710,23680,26066
1538474435,23677,26066
1538475151,23677,26066
1538476112,23672,26059
1538477068,23673,26061
1538478043,23680,26070
1538478728,23677,26070
1538479453,23685,26077
1538480167,23681,26073
1538480912,23682,26075
1538481665,23684,26077
1538482606,23678,26072
1538483289,23678,26074
1538484015,23683,26081
1538484983,23685,26083
1538485958,23686,26082
1538486662,23688,26084
1538487385,23688,26083
1538488103,23687,26082
1538488829,23688,26083
1538489806,23692,26087
1538490738,23693,26088
1538491450,23688,26083
1538492173,23688,26080
1538493137,23692,26084
1538493850,23696,26088
1538494589,23696,26088
1538495559,23700,26091
1538496543,23701,26089
1538497471,23694,26079
1538498428,23697,26082
1538499388,23696,26079
1538500353,23700,26083
1538501316,23690,26073
1538502268,23692,26075
1538503239,23685,26066
1538504181,23691,26073
1538505149,23690,26072
1538506098,23691,26075
1538507067,23686,26069
1538508017,23688,26072
1538509004,23688,26070
1538509936,23693,26076
1538510903,23695,26080
1538511607,23694,26081
1538512337,23694,26080
1538513049,23695,26080
1538514027,23689,26073
