DateTime,AddedIPs,RemovedIPs
1538046986,7,13
1538047705,2,0
1538048420,3,7
1538049153,6,10
1538050119,2,5
1538051079,8,9
1538052016,4,5
1538052974,4,3
1538053942,3,8
1538054897,10,4
1538055607,1,6
1538056359,4,5
1538057052,2,0
1538057783,4,4
1538058741,4,5
1538059453,5,110
1538060172,3,0
1538060893,4,4
1538061634,4,12
1538062596,5,43
1538063555,9,6
1538064548,8,6
1538065475,4,6
1538066181,1,4
1538066909,2,0
1538067624,7,7
1538068353,4,11
1538069080,5,1
1538069785,2,5
1538070503,8,4
1538071237,12,7
1538072194,6,5
1538073151,7,5
1538074114,5,9
1538075074,5,5
1538076033,8,5
1538076744,4,8
1538077469,1,0
1538078180,3,6
1538078910,7,9
1538079865,5,14
1538080830,8,12
1538081785,6,5
1538082751,5,6
1538083710,1,8
1538084668,4,5
1538085640,2,11
1538086583,3,7
1538087540,5,7
1538088251,3,11
1538088972,1,0
1538089936,4,6
1538090667,4,7
1538091394,4,10
1538092359,10,6
1538093315,1,6
1538094264,19,9
1538095247,38,7
1538095940,3,4
1538096671,8,2
1538097636,7,7
1538098593,10,14
1538099553,12,28
1538100264,8,0
1538100996,6,12
1538101699,10,5
1538102424,3,0
1538103388,11,18
1538104357,5,8
1538105463,5,4
1538106267,7,5
1538107243,10,10
1538108194,8,6
1538109162,5,4
1538109850,3,7
1538110579,2,3
1538111536,4,2
1538112268,2,6
1538112998,4,7
1538113952,31,10
1538114916,40,10
1538115868,19,14
1538117072,8,9
1538117790,3,7
1538118503,4,7
1538119247,4,6
1538120200,4,12
1538121153,9,7
1538121868,4,0
1538122596,7,10
1538123303,0,4
1538124027,5,12
1538124988,8,0
1538125957,9,11
1538126907,4,9
1538127871,7,6
1538128839,5,2
1538129802,10,5
1538130752,9,10
1538131463,6,5
1538132182,6,9
1538132907,4,0
1538133635,2,5
1538134593,1,7
1538135552,7,4
1538136514,5,0
1538137476,5,6
1538138413,2,7
1538139126,4,10
1538139865,3,4
1538140574,4,0
1538141294,6,5
1538142255,4,9
1538143231,8,9
1538144197,8,8
1538145153,10,6
1538146113,4,3
1538147077,6,3
1538148030,7,4
1538148994,9,4
1538149956,11,9
1538150949,4,6
1538151866,11,10
1538152835,9,6
1538153786,6,12
1538154751,6,12
1538155724,7,7
1538156672,6,8
1538157633,11,7
1538158596,4,14
1538159561,6,8
1538160520,2,2
1538161474,5,20
1538162433,15,15
1538163394,9,7
1538164356,4,5
1538165314,12,16
1538166265,7,3
1538167230,4,4
1538168187,6,14
1538169152,6,7
1538169863,6,0
1538170584,5,8
1538171307,4,11
1538172040,4,8
1538172985,7,4
1538173936,4,4
1538174900,7,4
1538351067,395,1204
1538351780,4,8
1538352515,10,0
1538353474,5,12
1538354430,11,13
1538355140,3,0
1538355874,7,8
1538356588,5,9
1538357313,10,8
1538358268,12,10
1538359243,11,17
1538360196,10,0
1538361165,11,23
1538362097,15,0
1538363076,8,10
1538364031,10,0
1538364764,3,14
1538365465,12,0
1538366180,8,10
1538366917,4,13
1538367543,3,0
1538368332,6,5
1538369056,7,11
1538369769,3,0
1538370493,4,8
1538371454,3,6
1538372440,9,7
1538373139,3,7
1538373871,2,8
1538374844,8,9
1538375781,12,5
1538376741,8,4
1538377713,7,9
1538378667,10,6
1538379381,4,0
1538380108,6,6
1538380828,8,13
1538381549,4,11
1538382261,10,0
1538382986,10,11
1538383706,3,4
1538384474,9,3
1538385394,8,9
1538386353,10,5
1538387063,11,0
1538387784,9,6
1538388502,7,5
1538389224,8,4
1538390195,6,5
1538391151,11,108
1538392119,8,9
1538393067,9,5
1538393780,6,0
1538394512,2,8
1538395262,2,3
1538396236,3,3
1538397137,8,8
1538397850,4,6
1538398575,10,5
1538399545,7,6
1538400248,4,5
1538400992,7,3
1538401702,6,1
1538402437,1,5
1538403396,5,1
1538404101,10,4
1538404828,5,0
1538405806,5,8
1538406752,2,0
1538407463,7,8
1538408316,3,5
1538409150,6,7
1538410146,9,8
1538411065,5,10
1538412032,10,7
1538412738,6,7
1538413470,7,11
1538414189,8,8
1538414909,10,6
1538415878,11,15
1538416833,12,13
1538417797,12,5
1538418755,7,4
1538419718,9,16
1538420678,7,4
1538421633,9,16
1538422592,9,0
1538423558,10,23
1538424513,7,0
1538425466,9,8
1538426438,10,24
1538427410,10,8
1538428598,10,15
1538429554,10,9
1538430509,9,6
1538431481,3,23
1538432186,5,0
1538432903,3,5
1538433619,7,2
1538434349,2,4
1538435319,7,7
1538436268,7,11
1538437227,4,7
1538438185,7,7
1538439155,11,10
1538439861,12,0
1538440583,10,11
1538441303,5,14
1538442041,18,12
1538442991,60,7
1538443945,25,14
1538444649,6,7
1538445373,10,13
1538446089,14,18
1538446840,17,12
1538448282,15,16
1538448979,4,13
1538449716,4,14
1538450673,5,9
1538451628,11,3
1538452588,11,22
1538453550,4,12
1538454514,3,4
1538455225,8,0
1538455941,9,16
1538456667,8,0
1538457630,6,5
1538458353,6,7
1538459067,6,1
1538459780,8,6
1538460506,2,9
1538461467,9,6
1538462186,11,7
1538462908,4,5
1538463638,8,8
1538464354,4,6
1538465062,6,5
1538465785,7,0
1538466506,7,6
1538467234,5,8
1538467958,3,14
1538468680,6,12
1538469394,4,0
1538470359,5,11
1538471316,6,10
1538472272,9,4
1538472980,5,10
1538473710,8,8
1538474435,6,4
1538475151,9,7
1538476112,6,10
1538477068,5,10
1538478043,18,9
1538478728,5,4
1538479453,11,7
1538480167,6,2
1538480912,3,2
1538481665,2,7
1538482606,3,6
1538483289,2,2
1538484015,9,6
1538484983,6,6
1538485958,6,9
1538486662,8,7
1538487385,6,8
1538488103,1,0
1538488829,2,8
1538489806,8,6
1538490738,9,6
1538491450,3,7
1538492173,3,9
1538493137,10,12
1538493850,6,4
1538494589,4,5
1538495559,11,12
1538496543,3,12
1538497471,5,9
1538498428,9,15
1538499388,5,4
1538500353,6,14
1538501316,8,15
1538502268,7,13
1538503239,16,11
1538504181,14,8
1538505149,8,6
1538506098,12,5
1538507067,7,18
1538508017,13,10
1538509004,12,6
1538509936,9,7
1538510903,11,14
1538511607,4,0
1538512337,8,12
1538513049,6,12
1538514027,5,4
1538514983,5,11
1538515938,7,12
1538516672,7,9
1538517376,2,0
1538518091,2,10
1538518835,7,12
1538519548,10,6
1538520268,6,10
1538520979,11,0
1538521717,9,2
1538522669,7,8
1538523628,7,8
1538524592,7,8
1538525556,5,6
1538526261,10,12
1538526993,7,0
1538527704,3,7
1538528452,10,13
1538529380,13,13
1538530342,14,8
1538531301,12,13
1538532277,17,15
1538533223,14,16
1538533935,17,10
1538534654,10,0
1538535366,12,8
1538536098,5,6
1538537065,9,5
1538538025,4,3
1538538972,12,7
1538539941,7,11
1538540660,4,4
1538541396,4,2
1538542241,4,2
1538543082,7,3
1538544023,9,3
1538544996,9,6
1538546190,9,13
1538547154,10,7
1538548114,5,11
1538549073,2,0
1538550041,8,23
1538550985,5,0
1538551941,6,3
1538552900,8,7
1538553866,3,12
1538554821,5,4
1538555801,6,20
1538556750,4,0
1538557726,3,9
1538558667,6,7
1538559634,5,4
1538560584,12,3
1538561552,11,2
1538562262,3,11
1538562985,9,6
1538563707,9,3
1538564438,3,5
1538565404,7,5
1538566356,14,4
1538567319,10,6
1538568313,7,6
1538568985,4,0
1538569716,3,18
1538570426,3,0
1538571142,3,5
1538571868,0,12
1538572597,7,2
1538573309,5,1
1538574271,1,5
1538574983,5,4
1538575706,1,10
1538576434,3,0
1538577154,6,11
1538577865,3,0
1538578584,8,9
1538579305,2,0
1538580021,0,7
1538580995,9,4
1538581950,10,10
1538582955,7,9
1538583863,7,6
1538584827,13,8
1538585795,4,7
1538586742,6,12
1538587448,6,4
1538588172,7,5
1538588889,11,10
1538589638,7,15
1538590587,15,6
1538591540,6,11
1538592253,8,8
1538593479,18,8
1538594199,11,9
1538595153,14,9
1538595865,3,2
1538596605,8,8
1538597304,6,8
1538598023,5,9
1538598993,11,7
1538599950,7,12
1538600916,7,14
1538601865,2,9
1538602830,8,11
1538603789,4,12
1538604750,4,10
1538605461,17,12
1538606191,7,0
1538606907,8,5
1538607641,7,7
1538608582,12,8
1538609542,11,9
1538610509,12,4
1538611475,10,11
1538612433,5,19
1538613392,2,9
1538614589,10,14
1538615553,11,15
1538616504,13,16
1538617468,15,17
1538618453,21,11
1538619393,17,18
1538620363,12,8
1538621062,10,0
1538621791,4,9
1538622506,9,7
1538623229,4,8
1538623946,7,0
1538624669,7,12
1538625385,8,4
1538626113,7,13
1538627072,5,4
1538628024,4,3
1538628739,6,0
1538629604,7,7
1538630206,7,6
1538631155,5,9
1538632110,8,3
1538632841,8,3
1538633787,7,5
1538634487,1,0
1538635232,4,8
1538636184,7,5
1538637154,7,10
1538638106,6,2
1538639072,9,3
1538640054,6,12
1538641003,13,20
1538641950,9,3
1538642665,5,4
1538643390,7,1
1538644102,8,0
1538644828,5,1
1538645791,6,4
1538646753,6,9
1538647715,6,5
1538648669,15,3
