DateTime,AddedIPs,RemovedIPs
1538046986,49,64
1538047705,42,73
1538048420,75,40
1538049153,50,76
1538050119,82,48
1538051079,52,68
1538052016,77,75
1538052974,76,36
1538053942,46,47
1538054897,61,51
1538055607,43,58
1538056359,50,53
1538057052,46,36
1538057783,41,84
1538058741,72,57
1538059453,54,86
1538060172,92,32
1538060893,40,25
1538061634,28,52
1538062596,60,33
1538063555,47,41
1538064548,48,35
1538065475,33,45
1538066181,41,40
1538066909,45,76
1538067624,66,67
1538068353,71,45
1538069080,56,65
1538069785,55,53
1538070503,58,70
1538071237,79,76
1538072194,75,39
1538073151,33,62
1538074114,59,57
1538075074,57,67
1538076033,78,42
1538076744,45,61
1538077469,57,66
1538078180,58,48
1538078910,44,46
1538079865,44,41
1538080830,32,43
1538081785,50,57
1538082751,50,68
1538083710,59,59
1538084668,54,58
1538085640,50,78
1538086583,72,98
1538087540,96,46
1538088251,50,52
1538088972,46,58
1538089936,47,58
1538090667,48,45
1538091394,49,50
1538092359,61,47
1538093315,55,31
1538094264,40,75
1538095247,115,53
1538095940,35,67
1538096671,67,45
1538097636,57,40
1538098593,36,86
1538099553,79,51
1538100264,48,44
1538100996,50,31
1538101699,32,65
1538102424,44,54
1538103388,56,124
1538104357,110,58
1538105463,54,47
1538106267,51,45
1538107243,45,105
1538108194,109,53
1538109162,54,47
1538109850,37,57
1538110579,61,33
1538111536,44,65
1538112268,52,30
1538112998,33,41
1538113952,65,37
1538114916,87,150
1538115868,70,60
1538117072,73,54
1538117790,53,84
1538118503,86,48
1538119247,54,34
1538120200,34,32
1538121153,49,56
1538121868,48,36
1538122596,48,60
1538123303,44,54
1538124027,56,44
1538124988,60,86
1538125957,82,60
1538126907,40,64
1538127871,76,44
1538128839,47,46
1538129802,52,71
1538130752,73,55
1538131463,61,68
1538132182,53,34
1538132907,35,58
1538133635,60,40
1538134593,39,34
1538135552,46,73
1538136514,58,110
1538137476,124,42
1538138413,30,52
1538139126,52,42
1538139865,40,137
1538140574,145,37
1538141294,43,47
1538142255,47,42
1538143231,46,56
1538144197,51,60
1538145153,80,40
1538146113,40,65
1538147077,60,63
1538148030,68,64
1538148994,67,42
1538149956,62,62
1538150949,33,33
1538151866,50,61
1538152835,61,51
1538153786,51,75
1538154751,67,109
1538155724,114,43
1538156672,46,47
1538157633,59,41
1538158596,28,69
1538159561,77,58
1538160520,42,47
1538161474,42,40
1538162433,60,75
1538163394,55,90
1538164356,61,92
1538165314,112,45
1538166265,52,49
1538167230,47,55
1538168187,48,38
1538169152,37,40
1538169863,35,49
1538170584,49,46
1538171307,40,66
1538172040,52,49
1538172985,64,57
1538173936,52,57
1538174900,53,41
1538351067,620,660
1538351780,44,92
1538352515,105,50
1538353474,50,59
1538354430,61,38
1538355140,30,85
1538355874,80,20
1538356588,37,88
1538357313,71,70
1538358268,76,65
1538359243,63,41
1538360196,45,75
1538361165,70,89
1538362097,85,67
1538363076,51,35
1538364031,36,64
1538364764,55,49
1538365465,56,71
1538366180,70,30
1538366917,38,30
1538367543,24,42
1538368332,40,44
1538369056,40,40
1538369769,47,40
1538370493,33,44
1538371454,41,50
1538372440,48,69
1538373139,61,33
1538373871,35,22
1538374844,46,61
1538375781,66,64
1538376741,61,36
1538377713,43,44
1538378667,51,49
1538379381,39,79
1538380108,73,62
1538380828,78,54
1538381549,46,71
1538382261,69,38
1538382986,47,54
1538383706,44,55
1538384474,59,104
1538385394,103,67
1538386353,83,54
1538387063,71,67
1538387784,53,64
1538388502,72,32
1538389224,32,68
1538390195,71,52
1538391151,54,38
1538392119,43,42
1538393067,40,66
1538393780,50,68
1538394512,67,53
1538395262,52,48
1538396236,60,73
1538397137,70,98
1538397850,74,62
1538398575,89,80
1538399545,104,38
1538400248,29,54
1538400992,58,28
1538401702,32,71
1538402437,64,69
1538403396,64,48
1538404101,57,53
1538404828,44,42
1538405806,43,67
1538406752,63,35
1538407463,50,67
1538408316,50,84
1538409150,93,64
1538410146,76,35
1538411065,31,38
1538412032,36,93
1538412738,83,62
1538413470,66,70
1538414189,74,72
1538414909,81,24
1538415878,36,84
1538416833,79,63
1538417797,68,68
1538418755,64,57
1538419718,54,82
1538420678,78,77
1538421633,78,57
1538422592,49,72
1538423558,81,65
1538424513,64,46
1538425466,42,74
1538426438,68,64
1538427410,66,42
1538428598,50,61
1538429554,66,49
1538430509,48,55
1538431481,48,73
1538432186,65,50
1538432903,45,79
1538433619,69,53
1538434349,54,35
1538435319,40,50
1538436268,49,45
1538437227,34,127
1538438185,126,59
1538439155,67,61
1538439861,59,58
1538440583,52,50
1538441303,47,48
1538442041,56,61
1538442991,101,136
1538443945,75,108
1538444649,93,56
1538445373,54,57
1538446089,67,43
1538446840,45,102
1538448282,93,75
1538448979,56,54
1538449716,49,34
1538450673,37,41
1538451628,47,49
1538452588,56,39
1538453550,32,81
1538454514,64,55
1538455225,65,55
1538455941,51,69
1538456667,65,53
1538457630,73,72
1538458353,64,80
1538459067,71,87
1538459780,81,70
1538460506,79,40
1538461467,43,52
1538462186,64,87
1538462908,80,49
1538463638,54,38
1538464354,37,72
1538465062,75,38
1538465785,47,62
1538466506,47,71
1538467234,71,54
1538467958,57,68
1538468680,54,60
1538469394,82,39
1538470359,40,78
1538471316,76,56
1538472272,50,42
1538472980,43,48
1538473710,57,68
1538474435,64,53
1538475151,45,162
1538476112,160,66
1538477068,77,48
1538478043,77,77
1538478728,73,64
1538479453,73,52
1538480167,55,49
1538480912,44,54
1538481665,44,29
1538482606,42,65
1538483289,52,63
1538484015,71,36
1538484983,48,87
1538485958,72,29
1538486662,43,47
1538487385,52,79
1538488103,69,50
1538488829,55,58
1538489806,74,64
1538490738,75,82
1538491450,53,89
1538492173,96,59
1538493137,71,79
1538493850,66,76
1538494589,65,97
1538495559,108,69
1538496543,72,46
1538497471,42,85
1538498428,88,49
1538499388,66,68
1538500353,68,59
1538501316,62,44
1538502268,50,68
1538503239,75,52
1538504181,45,63
1538505149,65,55
1538506098,61,82
1538507067,72,43
1538508017,58,75
1538509004,63,70
1538509936,71,45
1538510903,52,41
1538511607,25,44
1538512337,40,44
1538513049,48,75
1538514027,58,59
1538514983,55,39
1538515938,47,64
1538516672,42,92
1538517376,82,51
1538518091,52,41
1538518835,40,37
1538519548,48,59
1538520268,56,42
1538520979,44,41
1538521717,51,39
1538522669,31,50
1538523628,51,62
1538524592,61,34
1538525556,32,59
1538526261,45,54
1538526993,52,39
1538527704,44,44
1538528452,39,62
1538529380,78,45
1538530342,56,55
1538531301,52,103
1538532277,101,104
1538533223,101,49
1538533935,54,71
1538534654,59,44
1538535366,50,89
1538536098,79,67
1538537065,63,88
1538538025,92,51
1538538972,61,50
1538539941,42,74
1538540660,52,37
1538541396,35,55
1538542241,51,55
1538543082,66,35
1538544023,39,77
1538544996,81,82
1538546190,74,65
1538547154,66,121
1538548114,113,59
1538549073,63,66
1538550041,80,59
1538550985,49,88
1538551941,97,65
1538552900,56,49
1538553866,40,190
1538554821,146,150
1538555801,234,64
1538556750,72,91
1538557726,91,81
1538558667,90,66
1538559634,59,74
1538560584,73,86
1538561552,86,68
1538562262,62,44
1538562985,48,40
1538563707,51,65
1538564438,52,52
1538565404,60,48
1538566356,60,81
1538567319,77,61
1538568313,50,71
1538568985,86,78
1538569716,67,72
1538570426,78,47
1538571142,43,140
1538571868,72,65
1538572597,82,68
1538573309,59,46
1538574271,106,106
1538574983,90,59
1538575706,60,64
1538576434,56,30
1538577154,49,106
1538577865,97,102
1538578584,85,130
1538579305,142,35
1538580021,47,38
1538580995,54,75
1538581950,61,66
1538582955,58,34
1538583863,50,76
1538584827,90,80
1538585795,77,46
1538586742,49,95
1538587448,57,63
1538588172,72,74
1538588889,78,78
1538589638,63,47
1538590587,74,69
1538591540,63,66
1538592253,49,71
1538593479,94,82
1538594199,71,55
1538595153,54,81
1538595865,48,37
1538596605,44,94
1538597304,88,29
1538598023,48,57
1538598993,62,73
1538599950,62,42
1538600916,46,63
1538601865,46,79
1538602830,74,49
1538603789,49,58
1538604750,44,48
1538605461,55,43
1538606191,47,72
1538606907,70,79
1538607641,79,49
1538608582,56,66
1538609542,72,43
1538610509,50,93
1538611475,90,85
