DateTime,Entries,UniqueIPs
1538046986,8119,8119
1538047705,8088,8088
1538048420,8123,8123
1538049153,8097,8097
1538050119,8131,8131
1538051079,8115,8115
1538052016,8117,8117
1538052974,8157,8157
1538053942,8156,8156
1538054897,8166,8166
1538055607,8151,8151
1538056359,8148,8148
1538057052,8158,8158
1538057783,8115,8115
1538058741,8130,8130
1538059453,8098,8098
1538060172,8158,8158
1538060893,8173,8173
1538061634,8149,8149
1538062596,8176,8176
1538063555,8182,8182
1538064548,8195,8195
1538065475,8183,8183
1538066181,8184,8184
1538066909,8153,8153
1538067624,8152,8152
1538068353,8178,8178
1538069080,8169,8169
1538069785,8171,8171
1538070503,8159,8159
1538071237,8162,8162
1538072194,8198,8198
1538073151,8169,8169
1538074114,8171,8171
1538075074,8161,8161
1538076033,8197,8197
1538076744,8181,8181
1538077469,8172,8172
1538078180,8182,8182
1538078910,8180,8180
1538079865,8183,8183
1538080830,8172,8172
1538081785,8165,8165
1538082751,8147,8147
1538083710,8147,8147
1538084668,8143,8143
1538085640,8115,8115
1538086583,8089,8089
1538087540,8139,8139
1538088251,8137,8137
1538088972,8125,8125
1538089936,8114,8114
1538090667,8117,8117
1538091394,8116,8116
1538092359,8130,8130
1538093315,8154,8154
1538094264,8119,8119
1538095247,8181,8181
1538095940,8149,8149
1538096671,8171,8171
1538097636,8188,8188
1538098593,8138,8138
1538099553,8166,8166
1538100264,8170,8170
1538100996,8189,8189
1538101699,8156,8156
1538102424,8146,8146
1538103388,8078,8078
1538104357,8130,8130
1538105463,8137,8137
1538106267,8143,8143
1538107243,8083,8083
1538108194,8139,8139
1538109162,8146,8146
1538109850,8126,8126
1538110579,8154,8154
1538111536,8133,8133
1538112268,8155,8155
1538112998,8147,8147
1538113952,8175,8175
1538114916,8112,8112
1538115868,8122,8122
1538117072,8141,8141
1538117790,8110,8110
1538118503,8148,8148
1538119247,8168,8168
1538120200,8170,8170
1538121153,8163,8163
1538121868,8175,8175
1538122596,8163,8163
1538123303,8153,8153
1538124027,8165,8165
1538124988,8139,8139
1538125957,8161,8161
1538126907,8137,8137
1538127871,8169,8169
1538128839,8170,8170
1538129802,8151,8151
1538130752,8169,8169
1538131463,8162,8162
1538132182,8181,8181
1538132907,8158,8158
1538133635,8178,8178
1538134593,8183,8183
1538135552,8156,8156
1538136514,8104,8104
1538137476,8186,8186
1538138413,8164,8164
1538139126,8174,8174
1538139865,8077,8077
1538140574,8185,8185
1538141294,8181,8181
1538142255,8186,8186
1538143231,8176,8176
1538144197,8167,8167
1538145153,8207,8207
1538146113,8182,8182
1538147077,8179,8179
1538148030,8183,8183
1538148994,8208,8208
1538149956,8208,8208
1538150949,8208,8208
1538151866,8197,8197
1538152835,8207,8207
1538153786,8183,8183
1538154751,8141,8141
1538155724,8212,8212
1538156672,8211,8211
1538157633,8229,8229
1538158596,8188,8188
1538159561,8207,8207
1538160520,8202,8202
1538161474,8204,8204
1538162433,8189,8189
1538163394,8154,8154
1538164356,8123,8123
1538165314,8190,8190
1538166265,8193,8193
1538167230,8185,8185
1538168187,8195,8195
1538169152,8192,8192
1538169863,8178,8178
1538170584,8181,8181
1538171307,8155,8155
1538172040,8158,8158
1538172985,8165,8165
1538173936,8160,8160
1538174900,8172,8172
1538351067,8132,8132
1538351780,8084,8084
1538352515,8139,8139
1538353474,8130,8130
1538354430,8153,8153
1538355140,8098,8098
1538355874,8158,8158
1538356588,8107,8107
1538357313,8108,8108
1538358268,8119,8119
1538359243,8141,8141
1538360196,8111,8111
1538361165,8092,8092
1538362097,8110,8110
1538363076,8126,8126
1538364031,8098,8098
1538364764,8104,8104
1538365465,8089,8089
1538366180,8129,8129
1538366917,8137,8137
1538367543,8119,8119
1538368332,8115,8115
1538369056,8115,8115
1538369769,8122,8122
1538370493,8111,8111
1538371454,8102,8102
1538372440,8081,8081
1538373139,8109,8109
1538373871,8122,8122
1538374844,8107,8107
1538375781,8109,8109
1538376741,8134,8134
1538377713,8133,8133
1538378667,8135,8135
1538379381,8095,8095
1538380108,8106,8106
1538380828,8130,8130
1538381549,8105,8105
1538382261,8136,8136
1538382986,8129,8129
1538383706,8118,8118
1538384474,8073,8073
1538385394,8109,8109
1538386353,8138,8138
1538387063,8142,8142
1538387784,8131,8131
1538388502,8171,8171
1538389224,8135,8135
1538390195,8154,8154
1538391151,8170,8170
1538392119,8171,8171
1538393067,8145,8145
1538393780,8127,8127
1538394512,8141,8141
1538395262,8145,8145
1538396236,8132,8132
1538397137,8104,8104
1538397850,8116,8116
1538398575,8125,8125
1538399545,8191,8191
1538400248,8166,8166
1538400992,8196,8196
1538401702,8157,8157
1538402437,8152,8152
1538403396,8168,8168
1538404101,8172,8172
1538404828,8174,8174
1538405806,8150,8150
1538406752,8178,8178
1538407463,8161,8161
1538408316,8127,8127
1538409150,8156,8156
1538410146,8197,8197
1538411065,8190,8190
1538412032,8133,8133
1538412738,8154,8154
1538413470,8150,8150
1538414189,8152,8152
1538414909,8209,8209
1538415878,8161,8161
1538416833,8177,8177
1538417797,8177,8177
1538418755,8184,8184
1538419718,8156,8156
1538420678,8157,8157
1538421633,8178,8178
1538422592,8155,8155
1538423558,8171,8171
1538424513,8189,8189
1538425466,8157,8157
1538426438,8161,8161
1538427410,8185,8185
1538428598,8174,8174
1538429554,8191,8191
1538430509,8184,8184
1538431481,8159,8159
1538432186,8174,8174
1538432903,8140,8140
1538433619,8156,8156
1538434349,8175,8175
1538435319,8165,8165
1538436268,8169,8169
1538437227,8076,8076
1538438185,8143,8143
1538439155,8149,8149
1538439861,8150,8150
1538440583,8152,8152
1538441303,8151,8151
1538442041,8146,8146
1538442991,8111,8111
1538443945,8078,8078
1538444649,8115,8115
1538445373,8112,8112
1538446089,8136,8136
1538446840,8079,8079
1538448282,8097,8097
1538448979,8099,8099
1538449716,8114,8114
1538450673,8110,8110
1538451628,8108,8108
1538452588,8125,8125
1538453550,8076,8076
1538454514,8085,8085
1538455225,8095,8095
1538455941,8077,8077
1538456667,8089,8089
1538457630,8090,8090
1538458353,8074,8074
1538459067,8058,8058
1538459780,8069,8069
1538460506,8108,8108
1538461467,8099,8099
1538462186,8076,8076
1538462908,8107,8107
1538463638,8123,8123
1538464354,8088,8088
1538465062,8125,8125
1538465785,8110,8110
1538466506,8086,8086
1538467234,8103,8103
1538467958,8092,8092
1538468680,8086,8086
1538469394,8129,8129
1538470359,8091,8091
1538471316,8111,8111
1538472272,8119,8119
1538472980,8114,8114
1538473710,8103,8103
1538474435,8114,8114
1538475151,7997,7997
1538476112,8091,8091
1538477068,8120,8120
1538478043,8120,8120
1538478728,8129,8129
1538479453,8150,8150
1538480167,8156,8156
1538480912,8146,8146
1538481665,8161,8161
1538482606,8138,8138
1538483289,8127,8127
1538484015,8162,8162
1538484983,8123,8123
1538485958,8166,8166
1538486662,8162,8162
1538487385,8135,8135
1538488103,8154,8154
1538488829,8151,8151
1538489806,8161,8161
1538490738,8154,8154
1538491450,8118,8118
1538492173,8155,8155
1538493137,8147,8147
1538493850,8137,8137
1538494589,8105,8105
1538495559,8144,8144
1538496543,8170,8170
1538497471,8127,8127
1538498428,8166,8166
1538499388,8164,8164
1538500353,8173,8173
1538501316,8191,8191
1538502268,8173,8173
1538503239,8196,8196
1538504181,8178,8178
1538505149,8188,8188
1538506098,8167,8167
1538507067,8196,8196
1538508017,8179,8179
1538509004,8172,8172
1538509936,8198,8198
1538510903,8209,8209
1538511607,8190,8190
1538512337,8186,8186
1538513049,8159,8159
1538514027,8158,8158
1538514983,8174,8174
1538515938,8157,8157
1538516672,8107,8107
1538517376,8138,8138
1538518091,8149,8149
1538518835,8152,8152
1538519548,8141,8141
1538520268,8155,8155
1538520979,8158,8158
1538521717,8170,8170
1538522669,8151,8151
1538523628,8140,8140
1538524592,8167,8167
1538525556,8140,8140
1538526261,8131,8131
1538526993,8144,8144
1538527704,8144,8144
1538528452,8121,8121
1538529380,8154,8154
1538530342,8155,8155
1538531301,8104,8104
1538532277,8101,8101
1538533223,8153,8153
1538533935,8136,8136
1538534654,8151,8151
1538535366,8112,8112
1538536098,8124,8124
1538537065,8099,8099
1538538025,8140,8140
1538538972,8151,8151
1538539941,8119,8119
1538540660,8134,8134
1538541396,8114,8114
1538542241,8110,8110
1538543082,8141,8141
1538544023,8103,8103
1538544996,8102,8102
1538546190,8111,8111
1538547154,8056,8056
1538548114,8110,8110
1538549073,8107,8107
1538550041,8128,8128
1538550985,8089,8089
1538551941,8121,8121
1538552900,8128,8128
1538553866,7978,7978
1538554821,7974,7974
1538555801,8144,8144
1538556750,8125,8125
1538557726,8135,8135
1538558667,8159,8159
1538559634,8144,8144
1538560584,8131,8131
1538561552,8149,8149
1538562262,8167,8167
1538562985,8175,8175
1538563707,8161,8161
1538564438,8161,8161
1538565404,8173,8173
1538566356,8152,8152
1538567319,8168,8168
1538568313,8147,8147
1538568985,8155,8155
1538569716,8150,8150
1538570426,8181,8181
1538571142,8084,8084
1538571868,8091,8091
1538572597,8105,8105
1538573309,8118,8118
1538574271,8118,8118
1538574983,8149,8149
1538575706,8145,8145
1538576434,8171,8171
1538577154,8114,8114
1538577865,8109,8109
1538578584,8064,8064
1538579305,8171,8171
1538580021,8180,8180
1538580995,8159,8159
1538581950,8154,8154
1538582955,8178,8178
1538583863,8152,8152
1538584827,8162,8162
1538585795,8193,8193
1538586742,8147,8147
1538587448,8141,8141
1538588172,8139,8139
1538588889,8139,8139
1538589638,8155,8155
1538590587,8160,8160
1538591540,8157,8157
1538592253,8135,8135
1538593479,8147,8147
1538594199,8163,8163
1538595153,8136,8136
1538595865,8147,8147
1538596605,8097,8097
1538597304,8156,8156
1538598023,8147,8147
1538598993,8136,8136
1538599950,8156,8156
1538600916,8139,8139
1538601865,8106,8106
1538602830,8131,8131
1538603789,8122,8122
1538604750,8118,8118
1538605461,8130,8130
1538606191,8105,8105
1538606907,8096,8096
1538607641,8126,8126
1538608582,8116,8116
1538609542,8145,8145
1538610509,8102,8102
1538611475,8107,8107
1538612433,8147,8147
1538613392,8145,8145
1538614589,8109,8109
1538615553,8136,8136
1538616504,8156,8156
1538617468,8117,8117
1538618453,8137,8137
1538619393,8163,8163
1538620363,8139,8139
1538621062,8113,8113
1538621791,8150,8150
1538622506,8154,8154
1538623229,8144,8144
1538623946,8138,8138
1538624669,8146,8146
1538625385,8154,8154
1538626113,8128,8128
1538627072,8132,8132
1538628024,8119,8119
1538628739,8099,8099
1538629604,8158,8158
1538630206,8138,8138
1538631155,8144,8144
1538632110,8076,8076
1538632841,8077,8077
1538633787,8143,8143
1538634487,8128,8128
1538635232,8106,8106
1538636184,8111,8111
1538637154,8133,8133
1538638106,8119,8119
1538639072,8135,8135
1538640054,8133,8133
1538641003,8084,8084
1538641950,8143,8143
1538642665,8135,8135
1538643390,8130,8130
1538644102,8154,8154
1538644828,8139,8139
1538645791,8137,8137
1538646753,8153,8153
1538647715,8148,8148
1538648669,8126,8126
