DateTime,Entries,UniqueIPs
1537994435,8879,8879
1537995825,8876,8876
1537997434,8898,8898
1537998989,8914,8914
1538000142,8924,8924
1538001543,8937,8937
1538002890,8946,8946
1538004045,8953,8953
1538005237,8959,8959
1538007300,8966,8966
1538008839,8974,8974
1538010341,8983,8983
1538012133,8987,8987
1538013324,8992,8992
1538014487,8994,8994
1538015397,8998,8998
1538016929,9003,9003
1538018929,9013,9013
1538020606,9011,9011
1538021733,9009,9009
1538023235,9008,9008
1538024372,9000,9000
1538025273,9004,9004
1538026120,9007,9007
1538027326,9006,9006
1538028642,9003,9003
1538029844,9000,9000
1538031330,9005,9005
1538032539,9001,9001
1538033333,9004,9004
1538034936,9000,9000
1538036067,8999,8999
1538037745,9006,9006
1538038595,9018,9018
1538039750,9017,9017
1538040579,9018,9018
1538041358,9020,9020
1538043031,9027,9027
1538043263,9029,9029
1538044944,9038,9038
1538045784,9045,9045
1538046938,9046,9046
1538048309,9048,9048
1538049601,9054,9054
1538050477,9077,9077
1538051325,9089,9089
1538052631,9092,9092
1538053844,9093,9093
1538055195,9090,9090
1538056539,9092,9092
1538058508,9105,9105
1538059350,9105,9105
1538060763,9110,9110
1538062127,9121,9121
1538063332,9126,9126
1538064884,9130,9130
1538066454,9129,9129
1538067728,9127,9127
1538069312,9130,9130
1538070625,9123,9123
1538071829,9122,9122
1538073745,9123,9123
1538075131,9121,9121
1538076637,9125,9125
1538078064,9136,9136
1538079161,9134,9134
1538080117,9135,9135
1538081799,9133,9133
1538082863,9132,9132
1538084543,9128,9128
1538085395,9129,9129
1538086469,9132,9132
1538088333,9129,9129
1538090075,9130,9130
1538091644,9125,9125
1538092596,9129,9129
1538093673,9125,9125
1538095240,9102,9102
1538096737,9007,9007
1538097272,8978,8978
1538098121,8985,8985
1538098953,8985,8985
1538100872,8987,8987
1538102442,8986,8986
1538103934,8984,8984
1538104476,8985,8985
1538105326,8988,8988
1538107000,8981,8981
1538108928,8984,8984
1538110594,8987,8987
1538111672,8993,8993
1538112526,9000,9000
1538113675,8993,8993
1538114987,8991,8991
1538116111,8995,8995
1538116946,8994,8994
1538118336,8989,8989
1538119838,8989,8989
1538120544,8990,8990
1538122236,8990,8990
1538123435,8985,8985
1538126071,8980,8980
1538127460,8979,8979
1538128596,8981,8981
1538129663,8984,8984
1538130924,8980,8980
1538132201,8979,8979
1538133340,8981,8981
1538134836,8977,8977
1538136218,8980,8980
1538136875,8980,8980
1538137714,8981,8981
1538138836,8977,8977
1538140467,8975,8975
1538141730,8967,8967
1538143295,8967,8967
1538144434,8968,8968
1538144921,8969,8969
1538146584,8961,8961
1538147723,8958,8958
1538149343,8953,8953
1538150189,8954,8954
1538151330,8952,8952
1538152523,8945,8945
1538153783,8950,8950
1538155720,8949,8949
1538158230,8938,8938
1538159341,8943,8943
1538160162,8945,8945
1538162061,8963,8963
1538163455,8975,8975
1538165381,8992,8992
1538166640,9013,9013
1538167350,9016,9016
1538168727,9037,9037
1538169930,9060,9060
1538170943,9065,9065
1538172105,9064,9064
1538173239,9073,9073
1538173728,9080,9080
1538175398,9084,9084
1538176466,9090,9090
1538178160,9098,9098
1538178998,9113,9113
1538180135,9114,9114
1538181343,9115,9115
1538182531,9121,9121
1538184526,9143,9143
1538187039,9163,9163
1538187267,9167,9167
1538189732,9185,9185
1538190898,9196,9196
1538191719,9204,9204
1538193338,9215,9215
1538194541,9224,9224
1538196040,9228,9228
1538196991,9236,9236
1538198072,9234,9234
1538199765,9242,9242
1538200591,9251,9251
1538201664,9252,9252
1538203537,9260,9260
1538204733,9265,9265
1538206826,9273,9273
1538207787,9278,9278
1538208933,9277,9277
1538210549,9283,9283
1538211382,9285,9285
1538212461,9292,9292
1538213320,9298,9298
1538214154,9287,9287
1538215299,9283,9283
1538216433,9287,9287
1538217642,9289,9289
1538219016,9294,9294
1538220929,9273,9273
1538221372,9275,9275
1538222182,9280,9280
1538223334,9284,9284
1538224839,9290,9290
1538226327,9298,9298
1538227515,9312,9312
1538228727,9306,9306
1538230234,9302,9302
1538231438,9299,9299
1538232155,9269,9269
1538232996,9201,9201
1538234073,9017,9017
1538235637,8909,8909
1538236599,8913,8913
1538238517,8918,8918
1538239354,8917,8917
1538241276,8921,8921
1538242123,8923,8923
1538243531,8926,8926
1538244940,8928,8928
1538246137,8929,8929
1538247397,8931,8931
1538248536,8933,8933
1538249727,8933,8933
1538251604,8934,8934
1538253033,8933,8933
1538254534,8935,8935
1538255737,8938,8938
1538257348,8935,8935
1538258183,8938,8938
1538259329,8940,8940
1538260527,8937,8937
1538261798,8941,8941
1538263709,8941,8941
1538265388,8936,8936
1538266536,8933,8933
1538267328,8935,8935
1538268992,8949,8949
1538270082,8956,8956
1538271645,8961,8961
1538272590,8963,8963
1538273742,8963,8963
1538274929,8964,8964
1538276741,8962,8962
1538277277,8966,8966
1538278134,8973,8973
1538279740,8971,8971
1538280882,8967,8967
1538281729,8971,8971
1538283037,8966,8966
1538284241,8966,8966
1538285323,8965,8965
1538288071,8969,8969
1538289328,8970,8970
1538290583,8975,8975
1538291739,8978,8978
1538293352,8992,8992
1538295265,8997,8997
1538296958,8998,8998
1538298334,8995,8995
1538299710,8993,8993
1538301392,8996,8996
1538302483,9002,9002
1538303328,9004,9004
1538304630,9001,9001
1538305835,9010,9010
1538307008,9023,9023
1538307758,9027,9027
1538308586,9036,9036
1538309668,9053,9053
1538311527,9061,9061
1538312183,9063,9063
1538313280,9070,9070
1538314953,9094,9094
1538316631,9102,9102
1538316862,9107,9107
1538318123,9114,9114
1538319398,9129,9129
1538320544,9135,9135
1538322031,9141,9141
1538323836,9145,9145
1538324925,9149,9149
1538325762,9151,9151
1538327131,9153,9153
1538328525,9159,9159
1538329637,9161,9161
1538331265,9165,9165
1538332140,9166,9166
1538333424,9165,9165
1538334638,9166,9166
1538335851,9161,9161
1538337330,9168,9168
1538338481,9168,9168
1538340161,9160,9160
1538341537,9158,9158
1538343749,9157,9157
1538345045,9155,9155
1538346643,9156,9156
1538348128,9167,9167
1538349285,9166,9166
1538350131,9169,9169
1538351413,9167,9167
1538352643,9165,9165
1538354142,9161,9161
1538355402,9160,9160
1538356478,9161,9161
1538358043,9155,9155
1538358988,9159,9159
1538360150,9158,9158
1538361346,9156,9156
1538363137,9151,9151
1538363684,9154,9154
1538364859,9147,9147
1538367042,9157,9157
1538368839,9156,9156
1538368975,9154,9154
1538369792,9156,9156
1538370940,9154,9154
1538372441,9151,9151
1538373387,9152,9152
1538374540,9150,9150
1538375307,9150,9150
1538376996,9148,9148
1538378062,9151,9151
1538379755,9147,9147
1538380583,9150,9150
1538381669,9149,9149
1538382774,9154,9154
1538384018,9152,9152
1538385336,9151,9151
1538386955,9144,9144
1538388618,9138,9138
1538389979,9130,9130
1538390555,9126,9126
1538391825,9121,9121
1538393529,9115,9115
1538394624,9117,9117
1538395840,9097,9097
1538397754,8946,8946
1538398589,8943,8943
1538399733,8948,8948
1538401348,8949,8949
1538402198,8950,8950
1538404113,8950,8950
1538404953,8943,8943
1538406333,8942,8942
1538407728,8948,8948
1538408546,8949,8949
1538409384,8951,8951
1538411324,8952,8952
1538412922,8946,8946
1538414064,8942,8942
1538415332,8937,8937
1538416536,8936,8936
1538417663,8933,8933
1538419377,8937,8937
1538420181,8937,8937
1538421336,8941,8941
1538422525,8940,8940
1538423650,8944,8944
1538425722,8945,8945
1538427396,8943,8943
1538428543,8943,8943
1538429806,8938,8938
1538430998,8939,8939
1538432078,8937,8937
1538434789,8936,8936
1538435672,8937,8937
1538437978,8935,8935
1538439339,8928,8928
1538440116,8931,8931
1538441731,8930,8930
1538442946,8928,8928
1538444131,8928,8928
1538446479,8926,8926
1538448637,8917,8917
1538449842,8915,8915
1538451328,8913,8913
1538453443,8914,8914
1538455369,8914,8914
1538456196,8916,8916
1538457282,8917,8917
1538458966,8920,8920
1538460337,8917,8917
1538461716,8918,8918
1538463025,8909,8909
1538464477,8909,8909
1538465724,8905,8905
1538466923,8904,8904
1538468064,8901,8901
1538469759,8902,8902
1538471129,8904,8904
1538472634,8900,8900
1538473354,8900,8900
1538474197,8901,8901
1538475338,8896,8896
1538476122,8900,8900
1538477256,8889,8889
1538478641,8891,8891
1538479837,8879,8879
1538480969,8876,8876
1538482183,8878,8878
1538483317,8883,8883
1538484143,8873,8873
1538485525,8872,8872
1538487100,8866,8866
1538488529,8867,8867
1538489732,8863,8863
1538491344,8855,8855
1538493276,8859,8859
1538494530,8856,8856
1538496212,8853,8853
1538497361,8859,8859
1538498740,8857,8857
1538499934,8856,8856
1538501084,8862,8862
1538502983,8862,8862
1538504936,8861,8861
1538506584,8849,8849
1538507673,8849,8849
1538508536,8850,8850
1538509344,8838,8838
1538510497,8839,8839
1538511642,8841,8841
1538512944,8842,8842
1538514329,8845,8845
1538515841,8841,8841
1538517193,8848,8848
1538518476,8850,8850
1538519326,8856,8856
1538521536,8856,8856
1538523340,8858,8858
1538525664,8862,8862
1538526529,8868,8868
1538528192,8871,8871
1538529279,8867,8867
1538530796,8870,8870
1538532876,8883,8883
1538534550,8884,8884
1538535941,8885,8885
1538537457,8872,8872
1538538628,8872,8872
1538539847,8868,8868
1538540905,8870,8870
1538542591,8868,8868
1538543744,8868,8868
1538544524,8869,8869
1538545831,8866,8866
1538547277,8867,8867
1538548834,8868,8868
1538550334,8867,8867
1538551722,8870,8870
1538553330,8869,8869
1538554477,8869,8869
1538556506,8871,8871
1538557833,8867,8867
1538558920,8872,8872
1538559749,8875,8875
1538560582,8878,8878
1538561731,8884,8884
1538562885,8881,8881
1538565263,8887,8887
1538566128,8892,8892
1538567437,8889,8889
1538568869,8886,8886
1538570554,8884,8884
1538571382,8892,8892
1538572525,8880,8880
1538573319,8868,8868
1538574504,8870,8870
1538575830,8859,8859
1538577078,8857,8857
1538578582,8862,8862
1538579669,8870,8870
1538581343,8883,8883
1538582190,8885,8885
1538584116,8895,8895
1538584961,8893,8893
1538585791,8897,8897
1538586875,8892,8892
1538587722,8895,8895
1538589381,8894,8894
1538591336,8880,8880
1538592797,8884,8884
1538594918,8893,8893
1538596350,8902,8902
1538597735,8907,8907
1538599234,8916,8916
1538600731,8915,8915
1538602225,8917,8917
1538602949,8920,8920
1538603800,8921,8921
1538604933,8920,8920
1538606445,8919,8919
1538607401,8924,8924
1538608478,8920,8920
1538610035,8920,8920
1538611832,8920,8920
1538613051,8912,8912
1538614585,8899,8899
1538615751,8898,8898
1538616512,8901,8901
1538617346,8898,8898
1538619274,8901,8901
1538620536,8899,8899
1538622874,8895,8895
1538624134,8895,8895
1538625387,8894,8894
1538626465,8895,8895
1538628158,8899,8899
1538629528,8900,8900
1538630065,8901,8901
1538630923,8903,8903
1538632795,8903,8903
1538634524,8907,8907
1538636737,8908,8908
1538638242,8918,8918
1538640104,8927,8927
1538641237,8934,8934
1538642555,8934,8934
1538643929,8934,8934
1538645583,8935,8935
1538646142,8936,8936
1538647560,8931,8931
