DateTime,Entries,UniqueIPs
1538005215,40456,40456
1538007246,40441,40441
1538008812,40394,40394
1538010307,40329,40329
1538012107,40290,40290
1538013292,40286,40286
1538014447,40252,40252
1538015289,40304,40304
1538016907,40274,40274
1538018889,40320,40320
1538020568,40294,40294
1538021674,40292,40292
1538022772,40225,40225
1538024126,40269,40269
1538026088,40304,40304
1538027297,40246,40246
1538028607,40251,40251
1538029813,40240,40240
1538031307,40280,40280
1538032515,40226,40226
1538033292,40277,40277
1538034912,40222,40222
1538036047,40199,40199
1538037727,40149,40149
1538038572,40215,40215
1538039706,40200,40200
1538040495,40256,40256
1538041327,40222,40222
1538043246,40279,40279
1538044927,40216,40216
1538045767,40258,40258
1538046903,40229,40229
1538048281,40168,40168
1538049585,40053,40053
1538050446,40115,40115
1538051289,40182,40182
1538052607,40077,40077
1538053816,40044,40044
1538055174,40009,40009
1538056513,40092,40092
1538058487,40114,40114
1538059326,40009,40009
1538060713,40002,40002
1538061907,40108,40108
1538062087,40118,40118
1538063306,40006,40006
1538064847,39975,39975
1538066432,39973,39973
1538067703,39873,39873
1538069291,39985,39985
1538070607,39872,39872
1538071807,39798,39798
1538073728,39784,39784
1538075107,39729,39729
1538076608,39718,39718
1538078034,39748,39748
1538079143,39766,39766
1538080088,39821,39821
1538081766,39789,39789
1538082846,39800,39800
1538084527,39754,39754
1538085367,39817,39817
1538086447,39782,39782
1538088306,39786,39786
1538088971,39820,39820
1538090047,39833,39833
1538091607,39870,39870
1538092569,39905,39905
1538093647,39844,39844
1538095207,39832,39832
1538096716,39791,39791
1538097247,39822,39822
1538098089,39875,39875
1538098933,39734,39734
1538100847,39762,39762
1538102412,39718,39718
1538103909,39770,39770
1538104447,39815,39815
1538105288,39888,39888
1538106967,39841,39841
1538108888,39903,39903
1538110567,39904,39904
1538111648,39883,39883
1538112489,39947,39947
1538113656,39867,39867
1538114967,39864,39864
1538116088,39942,39942
1538116928,39858,39858
1538118307,39806,39806
1538119808,39685,39685
1538120527,39681,39681
1538122212,39727,39727
1538123415,39711,39711
1538124128,39731,39731
1538126047,39786,39786
1538127426,39766,39766
1538128566,39877,39877
1538129646,39894,39894
1538130907,39773,39773
1538132166,39797,39797
1538133307,39778,39778
1538134813,39763,39763
1538136194,39520,39520
1538136851,39563,39563
1538137693,39600,39600
1538138799,39371,39371
1538140446,39222,39222
1538141707,39076,39076
1538143259,38969,38969
1538144894,39109,39109
1538146566,38907,38907
1538147667,38829,38829
1538149328,38639,38639
1538150168,38705,38705
1538151306,38655,38655
1538152507,38643,38643
1538153767,38771,38771
1538155695,38805,38805
1538158209,38728,38728
1538159312,38812,38812
1538160132,38620,38620
1538162046,38624,38624
1538163438,38555,38555
1538165365,38500,38500
1538166611,38445,38445
1538167327,38416,38416
1538168706,38319,38319
1538169914,38380,38380
1538170927,38258,38258
1538172079,38174,38174
1538173212,38225,38225
1538173690,38263,38263
1538175377,38221,38221
1538176446,38147,38147
1538178126,38071,38071
1538178974,38138,38138
1538180107,38139,38139
1538181308,38113,38113
1538182507,38169,38169
1538184486,38228,38228
1538187007,38106,38106
1538187247,38123,38123
1538189708,38025,38025
1538190878,37948,37948
1538191692,38001,38001
1538193319,37919,37919
1538194515,37895,37895
1538196007,37825,37825
1538196966,37885,37885
1538198046,37710,37710
1538199727,37521,37521
1538200567,37570,37570
1538201647,37558,37558
1538203507,37537,37537
1538204708,37503,37503
1538206795,37566,37566
1538207766,37598,37598
1538208913,37584,37584
1538210526,37648,37648
1538211366,37785,37785
1538212446,37841,37841
1538213293,38056,38056
1538214127,38041,38041
1538215280,38192,38192
1538216407,38449,38449
1538217614,38598,38598
1538218987,38800,38800
1538220907,38946,38946
1538221351,39000,39000
1538222166,39142,39142
1538223305,39249,39249
1538224811,39419,39419
1538226307,39532,39532
1538227492,39690,39690
1538228707,39708,39708
1538230207,39909,39909
