DateTime,Entries,UniqueIPs
1538001555,7739,7739
1538002895,7763,7763
1538004051,7788,7788
1538005242,7748,7748
1538007304,7782,7782
1538008848,7773,7773
1538010345,7763,7763
1538012139,7747,7747
1538013337,7747,7747
1538014492,7737,7737
1538015402,7735,7735
1538016935,7813,7813
1538018936,7859,7859
1538020611,7936,7936
1538021737,7969,7969
1538023241,8001,8001
1538024382,7962,7962
1538025278,7979,7979
1538026125,8043,8043
1538027331,8060,8060
1538028647,8084,8084
1538029853,8115,8115
1538031335,8129,8129
1538032544,8097,8097
1538033342,8110,8110
1538034941,8107,8107
1538036071,8113,8113
1538037749,8104,8104
1538038599,8119,8119
1538039755,8104,8104
1538040586,8106,8106
1538041362,8164,8164
1538043035,8200,8200
1538043268,8201,8201
1538044949,8183,8183
1538045788,8187,8187
1538046949,8166,8166
1538048314,8135,8135
1538049606,8081,8081
1538050483,8104,8104
1538051334,8126,8126
1538052636,8095,8095
1538053849,8099,8099
1538055205,8080,8080
1538056544,8116,8116
1538058517,8139,8139
1538059355,8094,8094
1538060774,8086,8086
1538062132,8150,8150
1538063339,8099,8099
1538064888,8084,8084
1538066459,8118,8118
1538067741,8097,8097
1538069318,8151,8151
1538070630,8112,8112
1538071834,8084,8084
1538073750,8080,8080
1538075135,8041,8041
1538076668,8041,8041
1538078070,8008,8008
1538079165,8013,8013
1538080121,8022,8022
1538081803,8016,8016
1538082868,8018,8018
1538084548,8012,8012
1538085400,8018,8018
1538086474,7993,7993
1538088338,7984,7984
1538088993,7989,7989
1538090080,8004,8004
1538091649,7997,7997
1538092600,7999,7999
1538093678,7946,7946
1538095245,7924,7924
1538096743,8031,8031
1538097277,8070,8070
1538098126,8079,8079
1538098959,7995,7995
1538100877,7971,7971
1538102448,7949,7949
1538103939,7958,7958
1538104480,7975,7975
1538105339,7994,7994
1538107006,7977,7977
1538108937,7983,7983
1538110598,7991,7991
1538111677,7960,7960
1538112536,7963,7963
1538113684,7933,7933
1538114992,7926,7926
1538116117,7942,7942
1538116951,7905,7905
1538118341,7891,7891
1538119842,7801,7801
1538120548,7796,7796
1538122240,7808,7808
1538123440,7815,7815
1538124161,7816,7816
1538126076,7830,7830
1538127465,7804,7804
1538128600,7801,7801
1538129668,7767,7767
1538130928,7712,7712
1538132206,7710,7710
1538133344,7683,7683
1538134841,7677,7677
1538136222,7429,7429
1538136880,7428,7428
1538137721,7434,7434
1538138841,7248,7248
1538140472,7092,7092
1538141734,6959,6959
1538143299,6849,6849
1538144438,6879,6879
1538144930,6886,6886
1538146589,6705,6705
1538147730,6622,6622
1538149347,6412,6412
1538150194,6430,6430
1538151335,6350,6350
1538152529,6322,6322
1538153787,6356,6356
1538155730,6342,6342
1538158234,6264,6264
1538159346,6281,6281
1538160166,6166,6166
1538162066,6070,6070
1538163459,5970,5970
1538165385,5899,5899
1538166644,5822,5822
1538167353,5797,5797
1538168731,5704,5704
1538169934,5711,5711
1538170947,5644,5644
1538172113,5587,5587
1538173243,5590,5590
1538173737,5589,5589
1538175402,5516,5516
1538176471,5468,5468
1538178164,5332,5332
1538179003,5329,5329
1538180139,5309,5309
1538181347,5274,5274
1538182536,5269,5269
1538184535,5249,5249
1538187044,5081,5081
1538187271,5079,5079
1538189738,4932,4932
1538190908,4838,4838
1538191724,4838,4838
1538193343,4752,4752
1538194546,4717,4717
1538196045,4614,4614
1538196996,4612,4612
1538198077,4469,4469
1538199770,4296,4296
1538200597,4299,4299
1538201668,4297,4297
1538203545,4278,4278
