DateTime,AddedIPs,RemovedIPs
1537998986,105,12
1538000138,66,104
1538001540,59,96
1538002888,73,116
1538004039,46,8
1538005234,49,152
1538007298,103,129
1538008833,70,125
1538010334,60,127
1538012131,79,116
1538013327,39,47
1538014480,66,107
1538015319,31,4
1538016927,103,129
1538018921,108,82
1538020604,116,135
1538021726,76,79
1538023233,89,117
1538024366,63,154
1538025271,55,23
1538026111,79,1
1538027319,110,150
1538028639,84,76
1538029840,90,105
1538031328,50,46
1538032536,37,87
1538033326,29,0
1538034934,61,111
1538036065,49,63
1538037742,70,108
1538038593,37,8
1538039745,43,71
1538040541,37,1
1538041352,83,93
1538043261,106,74
1538044942,58,133
1538045782,18,4
1538046933,26,67
1538048304,51,95
1538049599,46,146
1538050474,36,12
1538051318,45,2
1538052628,45,125
1538053842,31,49
1538055190,59,118
1538056537,51,2
1538058506,131,113
1538059348,41,131
1538060739,55,79
1538062120,84,11
1538063330,28,131
1538064882,42,77
1538066452,79,69
1538067725,28,89
1538069310,84,4
1538070623,37,115
1538071827,30,70
1538073743,39,55
1538075129,43,90
1538076630,58,61
1538078056,64,54
1538079159,60,44
1538080110,40,0
1538081793,79,80
1538082861,67,64
1538084541,30,71
1538085393,47,1
1538086466,45,71
1538088329,106,81
1538088986,28,1
1538090073,68,37
1538091638,103,68
1538092590,49,20
1538093670,54,93
1538095237,123,96
1538096735,183,105
1538097270,61,4
1538098114,42,6
1538098951,23,139
1538100869,69,60
1538102440,82,96
1538103932,101,64
1538104473,27,1
1538105316,46,1
1538106998,81,106
1538108920,91,36
1538110591,127,132
1538111669,58,88
1538112519,46,7
1538113673,61,101
1538114985,58,47
1538116109,59,1
1538116943,43,93
1538118333,68,90
1538119831,74,178
1538120542,32,24
1538122234,97,44
1538123433,94,100
1538124153,56,40
1538126069,121,64
1538127458,61,75
1538128594,52,37
1538129661,70,100
1538130921,51,112
1538132195,46,34
1538133333,49,70
1538134834,83,101
1538136215,83,324
1538136873,30,1
1538137712,26,2
1538138826,50,245
1538140465,87,234
1538141728,78,197
1538143291,108,197
1538144431,68,1
1538144915,41,0
1538146582,101,268
1538147716,91,141
1538149341,103,288
1538150187,49,1
1538151327,61,118
1538152521,59,81
1538153780,83,2
1538155714,124,92
1538158227,178,235
1538159335,58,6
1538160156,44,188
1538162059,102,124
1538163453,61,138
1538165379,72,116
1538166634,49,107
1538167348,24,41
1538168724,47,142
1538169928,38,16
1538170941,38,137
1538172098,20,102
1538173236,25,6
1538173721,15,5
1538175396,56,118
1538176464,37,106
1538178147,74,183
1538178997,34,12
1538180132,80,86
1538181337,82,103
1538182529,50,22
1538184520,71,61
1538187037,179,304
1538187264,11,3
1538189731,100,234
1538190896,47,130
1538191717,30,7
1538193336,128,194
1538194538,58,95
1538196034,86,154
1538196989,40,5
1538198070,57,207
1538199758,57,241
1538200589,26,10
1538201662,38,47
1538203534,68,90
1538204731,54,67
1538206822,141,109
1538207780,48,30
1538208932,81,65
1538210547,202,149
1538211381,118,2
1538212459,153,103
1538213318,206,7
1538214151,167,111
1538215292,216,46
1538216430,242,6
1538217637,208,62
1538219014,275,73
1538220927,266,122
1538221371,96,33
1538222180,124,5
1538223332,157,53
1538224833,239,57
1538226325,224,96
1538227513,138,10
1538228723,198,156
1538230232,263,55
1538231436,198,85
1538232152,144,15
1538232994,225,0
1538234071,275,34
1538235635,191,87
1538236592,48,28
1538238515,125,40
1538239351,70,113
1538241270,109,50
1538242117,51,0
1538243529,70,63
1538244933,62,40
1538246132,54,58
1538247395,57,14
1538248534,34,41
1538249724,36,52
1538251603,119,68
1538253029,75,81
1538254532,68,11
1538255734,44,35
1538257346,113,64
1538258181,43,1
1538259324,48,33
1538260524,57,71
1538261796,62,19
1538263707,88,39
1538265385,102,134
1538266530,64,67
1538267320,50,1
1538268990,118,88
1538270079,78,33
1538271638,85,65
1538272584,81,18
1538273740,70,71
1538274926,79,86
1538276739,162,73
1538277274,35,0
1538278126,40,1
1538279737,94,120
1538280876,67,74
1538281717,39,1
1538283035,74,108
1538284235,70,43
1538285320,45,1
1538288069,131,171
1538289325,71,88
1538290581,72,36
1538291737,65,51
1538293351,106,160
1538295263,180,65
1538296956,222,104
1538298324,218,57
1538299707,177,2
1538301390,275,117
1538302477,117,64
1538303322,154,1
1538304627,138,127
1538305832,153,99
1538306998,147,87
1538307756,82,38
1538308582,95,7
1538309666,117,82
1538311523,190,142
1538312181,66,4
1538313274,130,76
1538314951,134,153
1538316629,104,70
1538316860,14,4
1538318121,112,106
1538319396,115,29
1538320540,90,71
1538322026,173,81
1538323834,196,105
1538324918,115,6
1538325755,108,137
1538327128,168,92
1538328518,119,2
