DateTime,Entries,UniqueIPs
1537830335,78,78
1537831736,80,80
1537832550,79,79
1537835748,77,77
1537837540,79,79
1537839770,80,80
1537843246,81,81
1537844740,80,80
1537846849,82,82
1537848645,82,82
1537850566,81,81
1537852472,79,79
1537853771,128,128
1537855850,115,115
1537857755,112,112
1537859143,108,108
1537860637,106,106
1537863040,107,107
1537864844,107,107
1537866115,104,104
1537866878,103,103
1537868556,102,102
1537870238,101,101
1537874077,100,100
1537875331,93,93
1537876587,92,92
1537878540,91,91
1537879839,90,90
1537881270,90,90
1537882603,91,91
1537886148,92,92
1537888477,91,91
1537889335,90,90
1537891008,89,89
1537892133,88,88
1537894590,87,87
1537896579,80,80
1537898191,82,82
1537902944,86,86
1537904069,89,89
1537905395,91,91
1537906549,92,92
1537908951,95,95
1537910147,93,93
1537913202,92,92
1537914588,92,92
1537917650,90,90
1537918855,91,91
1537921786,91,91
1537923350,92,92
1537925389,94,94
1537928078,96,96
1537928945,95,95
1537930613,95,95
1537931746,96,96
1537933353,95,95
1537935274,97,97
1537936855,98,98
1537938343,97,97
1537939856,98,98
1537942195,99,99
1537943321,98,98
1537945010,98,98
1537946073,97,97
1537947336,99,99
1537949679,100,100
1537950860,99,99
1537952130,102,102
1537953278,103,103
1537954545,103,103
1537955742,102,102
1537956942,103,103
1537958551,101,101
1537959944,99,99
1537962162,100,100
1537964085,102,102
1537965639,98,98
1537968338,99,99
1537974343,100,100
1537975528,102,102
1537976597,104,104
1537978494,103,103
1537982935,104,104
1537985445,105,105
1537986584,106,106
1537987350,105,105
1537988741,103,103
1537990196,103,103
1537990948,104,104
1537992641,104,104
1537994446,105,105
1537995836,104,104
1537997440,102,102
1537998996,103,103
1538000148,104,104
1538001565,104,104
1538002898,105,105
1538004053,108,108
1538007313,107,107
1538008849,108,108
1538010347,108,108
1538012141,109,109
1538015418,109,109
1538016937,110,110
1538020613,109,109
1538021739,113,113
1538023242,109,109
1538024385,108,108
1538027332,109,109
1538028649,109,109
1538029855,110,110
1538031336,110,110
1538032546,111,111
1538033382,111,111
1538034943,112,112
1538036073,115,115
1538037751,113,113
1538038601,112,112
1538040589,113,113
1538041363,112,112
1538043037,113,113
1538044950,112,112
1538045789,111,111
1538046952,112,112
1538048315,111,111
1538049647,109,109
1538050484,110,110
1538051337,111,111
1538052638,110,110
1538053851,110,110
1538055212,111,111
1538056546,112,112
1538058530,116,116
1538060792,116,116
1538062138,116,116
1538064890,118,118
1538066460,117,117
1538067750,118,118
1538069320,115,115
1538071836,117,117
1538073752,115,115
1538075137,113,113
1538076669,113,113
1538078072,112,112
1538079166,111,111
1538080122,113,113
1538081804,113,113
1538082870,114,114
1538085402,115,115
1538086476,117,117
1538088339,115,115
1538088995,116,116
1538090081,115,115
1538091651,117,117
1538092601,117,117
1538095247,117,117
1538096745,115,115
