DateTime,Entries,UniqueIPs
1538004025,5098,5098
1538005229,5097,5097
1538007260,5093,5093
1538008823,5089,5089
1538010322,5083,5083
1538012122,5085,5085
1538013314,5084,5084
1538014465,5089,5089
1538015303,5107,5107
1538016921,5102,5102
1538018905,5114,5114
1538020589,5104,5104
1538021713,5106,5106
1538023222,5102,5102
1538024355,5097,5097
1538025260,5109,5109
1538026100,5132,5132
1538027308,5115,5115
1538028625,5110,5110
1538029827,5118,5118
1538031320,5144,5144
1538032527,5151,5151
1538033309,5164,5164
1538034925,5168,5168
1538036057,5154,5154
1538037737,5139,5139
1538038585,5163,5163
1538039721,5171,5171
1538040537,5184,5184
1538041339,5161,5161
1538043256,5169,5169
1538044937,5173,5173
1538045777,5192,5192
1538046919,5197,5197
1538048292,5181,5181
1538049594,5159,5159
1538050463,5171,5171
1538051312,5179,5179
1538052623,5157,5157
1538053837,5142,5142
1538055185,5165,5165
1538056526,5191,5191
1538058501,5180,5180
1538059338,5175,5175
1538060725,5185,5185
1538061925,5213,5213
1538062106,5217,5217
1538063320,5205,5205
1538064864,5208,5208
1538066447,5195,5195
1538067715,5166,5166
1538069304,5196,5196
1538070618,5171,5171
1538071818,5159,5159
1538073738,5163,5163
1538075120,5158,5158
1538076620,5151,5151
1538078044,5160,5160
1538079154,5166,5166
1538080099,5176,5176
1538081783,5161,5161
1538082857,5165,5165
1538084536,5161,5161
1538085382,5179,5179
1538086458,5165,5165
1538088317,5148,5148
1538088982,5156,5156
1538090061,5141,5141
1538091623,5138,5138
1538092580,5142,5142
1538093660,5125,5125
1538095225,5117,5117
1538096730,5094,5094
1538097260,5095,5095
1538098105,5106,5106
1538098945,5082,5082
1538100859,5097,5097
1538102426,5078,5078
1538103922,5093,5093
1538104462,5099,5099
1538105302,5116,5116
1538106982,5114,5114
1538108904,5120,5120
1538110581,5124,5124
1538111660,5121,5121
1538112504,5133,5133
1538113667,5105,5105
1538114979,5101,5101
1538116102,5110,5110
1538116937,5080,5080
1538118323,5065,5065
1538119819,5046,5046
1538120536,5035,5035
1538122223,5029,5029
1538123425,5023,5023
1538124144,5024,5024
1538126063,5026,5026
1538127441,5024,5024
1538128582,5119,5119
1538129656,5167,5167
1538130916,5110,5110
1538132182,5118,5118
1538133317,5122,5122
1538134825,5128,5128
1538136207,5120,5120
1538136865,5133,5133
1538137707,5143,5143
1538138812,5122,5122
1538140456,5119,5119
1538141719,5098,5098
1538143285,5076,5076
1538144423,5100,5100
1538144906,5106,5106
1538146578,5080,5080
1538147711,5063,5063
1538149337,5068,5068
1538150178,5086,5086
1538151320,5096,5096
1538152516,5117,5117
1538153776,5157,5157
1538155705,5160,5160
1538158219,5160,5160
1538159322,5180,5180
1538160144,5140,5140
1538162054,5147,5147
1538163448,5139,5139
1538165374,5110,5110
1538166622,5093,5093
1538167338,5076,5076
1538168717,5055,5055
1538169923,5067,5067
1538170936,5043,5043
1538172093,5044,5044
1538173225,5063,5063
1538173708,5084,5084
1538175390,5105,5105
1538176458,5106,5106
1538178136,5141,5141
1538178992,5164,5164
1538180123,5175,5175
1538181325,5167,5167
1538182520,5188,5188
1538184505,5214,5214
1538187024,5195,5195
1538187258,5200,5200
1538189721,5218,5218
1538190890,5218,5218
1538191709,5235,5235
1538193330,5223,5223
1538194530,5234,5234
1538196023,5224,5224
1538196979,5239,5239
1538198059,5218,5218
1538199744,5206,5206
1538200578,5224,5224
1538201656,5213,5213
1538203520,5212,5212
1538204722,5189,5189
1538206814,5214,5214
1538207775,5217,5217
1538208924,5193,5193
1538210538,5204,5204
1538211376,5224,5224
1538212454,5227,5227
1538213310,5236,5236
1538214142,5184,5184
1538215288,5180,5180
1538216422,5194,5194
1538217625,5199,5199
1538219001,5197,5197
1538220919,5217,5217
1538221362,5212,5212
1538222176,5222,5222
1538223321,5228,5228
1538224822,5217,5217
1538226316,5194,5194
1538227502,5211,5211
