DateTime,AddedIPs,RemovedIPs
1538218535,4,8
1538219254,6,6
1538220213,7,12
1538221173,9,13
1538221894,12,6
1538222613,4,4
1538223332,6,5
1538224052,7,6
1538225012,6,7
1538225973,6,6
1538226693,5,7
1538227412,10,5
1538228132,8,7
1538228852,8,4
1538229813,8,9
1538230773,7,4
1538231733,10,12
1538232693,6,10
1538233653,6,12
1538234613,8,13
1538235335,11,10
1538236056,8,7
1538236772,1,6
1538237493,9,9
1538238213,10,6
1538238933,6,10
1538239654,7,3
1538240373,4,9
1538241335,4,13
1538242293,12,12
1538243254,14,11
1538244213,7,8
1538245173,12,8
1538246134,10,6
1538247093,14,8
1538248053,8,8
1538249013,8,6
1538249972,9,10
1538250933,10,9
1538251893,4,7
1538252613,14,6
1538253333,8,5
1538254052,4,4
1538254773,9,6
1538255734,4,5
1538256692,9,6
1538257413,10,5
1538258132,7,8
1538258854,7,8
1538259572,9,5
1538260533,6,4
1538261493,8,4
1538262454,8,5
1538263413,9,7
1538264372,8,5
1538265332,6,6
1538266294,8,8
1538267013,5,7
1538267733,9,5
1538268454,11,6
1538269655,10,7
1538270613,6,9
1538271573,3,7
1538272294,7,5
1538273013,7,2
1538273973,8,4
1538274693,8,7
1538275412,7,1
1538276132,5,12
1538276853,1,1
1538277812,3,3
1538278776,6,6
1538279493,6,6
1538280213,9,5
1538280933,1,7
1538281653,5,4
1538282613,4,4
1538283332,7,4
1538284053,5,2
1538285012,7,5
1538285733,5,7
1538286453,7,4
1538287412,8,7
1538288373,9,9
1538289093,5,8
1538289814,3,5
1538291253,10,12
1538292214,4,16
1538293173,5,4
1538294133,20,10
1538294853,3,2
1538295573,7,7
1538296293,6,4
1538297013,8,5
1538297733,10,2
1538298454,7,10
1538299414,7,10
1538300134,5,5
1538300853,5,6
1538301574,3,4
1538302293,4,7
1538303012,7,1
1538303735,3,5
1538304453,6,9
1538305173,12,2
1538306135,15,6
1538306853,7,8
1538307574,5,5
1538308292,5,6
1538309252,4,7
1538310213,7,6
1538311173,4,10
1538311893,5,5
1538312613,9,2
1538313333,3,9
1538314054,8,4
1538314773,5,8
1538315493,2,6
1538316213,4,6
1538316932,6,5
1538317894,17,9
1538318613,4,7
1538319333,10,5
1538320053,5,7
1538320774,4,7
1538321735,7,10
1538322693,9,8
1538323653,6,5
1538324614,9,9
1538325572,9,5
1538326535,7,5
1538327493,7,4
1538328213,21,5
1538328933,4,6
1538329653,6,9
1538330853,101,10
1538331573,5,5
1538332293,6,8
1538333013,7,4
1538333735,5,10
1538334453,7,8
1538335175,7,6
1538336132,23,7
1538337094,19,8
1538338534,21,11
1538339254,10,6
1538339974,8,6
1538340934,6,8
1538341893,6,7
1538342613,4,7
1538343332,4,5
1538344053,7,7
1538345254,10,13
1538345973,2,7
1538346692,5,4
1538347414,6,2
1538348135,7,5
1538348854,10,6
1538349574,7,7
1538350294,11,5
1538351014,8,4
1538351733,6,4
1538352454,3,5
1538353413,9,7
1538354373,10,11
1538355094,6,11
1538355813,4,6
1538356533,1,6
1538357253,5,4
1538358214,5,5
1538359233,0,15737
1538360135,15735,2
1538361573,6,10
1538362294,1,4
1538363012,5,2
1538363974,4,7
1538364693,4,3
1538365419,6,4
1538366133,3,9
1538366854,3,5
1538368053,10,5
1538368773,5,1
1538369494,5,6
1538370212,3,6
1538370933,7,5
1538372374,10,12
1538373093,6,6
1538373813,7,7
1538375252,10,12
1538376214,5,7
1538376933,4,6
1538377654,9,6
1538378613,1,5
1538379334,15,6
1538380054,4,16
1538380774,8,5
1538381493,4,4
1538382214,7,6
1538382934,10,11
1538383654,5,10
1538384432,6,9
1538385332,6,12
