DateTime,AddedIPs,RemovedIPs
1537561450,13,6
1537563379,5,13
1537567481,6,10
1537569381,11,0
1537571294,11,11
1537575137,9,4
1537577065,20,7
1537578975,9,7
1537580914,15,12
1537582825,4,6
1537584734,9,10
1537586653,23,3
1537588579,5,1
1537592425,7,5
1537594351,12,6
1537596262,7,11
1537598178,8,2
1537600104,8,19
1537603944,9,22
1537605859,8,3
1537607782,4,9
1537609693,10,11
1537611612,7,6
1537613539,13,5
1537615456,17,1
1537617373,20,8
1537619289,19,6
1537621232,7,13
1537625063,4,14
1537626979,5,9
1537628895,6,13
1537630811,10,7
1537632770,15,7
1537634653,15,16
1537638495,29,6
1537640411,9,8
1537642331,9,7
1537644251,20,7
1537646181,5,11
1537648089,16,8
1537650019,2,8
1537653868,0,19
1537655772,3,6
1537657696,6,19
1537659613,7,16
1537661535,13,4
1537663457,13,14
1537665386,14,4
1537669259,21,17
1537676894,18,35
1537678817,21,10
1537680740,20,0
1537684582,20,27
1537686494,19,8
1537688411,13,22
1537690338,11,12
1537692256,9,8
1537694188,9,13
1537696096,3,0
1537698013,12,10
1537699932,9,9
1537701852,13,4
1537703778,3,9
1537707638,15,16
1537709538,18,5
1537711458,10,6
1537713384,15,18
1537715293,17,9
1537717211,8,7
1537719172,9,0
1537721059,12,7
1537722983,23,3
1537724895,13,17
1537726813,14,11
1537728743,15,0
1537732581,12,23
1537734742,20,10
1537736663,8,0
1537738583,7,6
1537740497,5,0
1537744333,14,23
1537746254,14,4
1537750098,9,7
1537753934,10,19
1537755851,17,10
1537757790,13,0
1537759688,23,11
1537761626,10,11
1537763541,7,15
1537765455,10,9
1537767381,18,20
1537769297,12,13
1537771210,13,8
1537773137,15,11
1537775060,13,16
1537776985,15,5
1537778892,15,21
1537780809,9,10
1537782732,4,9
1537784653,11,2
1537786587,4,0
1537790455,9,10
1537792352,12,19
1537794264,6,6
1537796193,6,13
1537800027,15,17
1537801951,14,8
1537803857,11,11
1537805802,19,12
1537809862,21,21
1537811784,7,0
1537816826,10,53
1537820672,15,21
1537824506,7,22
1537826429,10,8
1537828350,15,12
1537830263,16,7
1537832191,17,0
1537834112,19,11
1537836022,19,11
1537837950,9,6
1537839853,13,13
1537841793,7,10
1537843709,8,12
1537845640,18,9
1537847546,16,11
1537849467,16,11
1537851368,13,11
1537853297,13,16
1537855235,22,19
1537857143,11,14
1537859078,11,24
1537860990,7,6
1537862917,4,7
1537864831,5,21
1537866741,7,12
1537868651,16,2
1537870845,12,7
1537872747,6,6
1537874664,8,1
1537876598,8,19
1537878745,8,13
1537880912,4,15
1537882821,7,20
1537884740,5,9
1537886669,17,20
1537888839,12,12
1537890976,6,0
1537892894,15,0
1537894839,4,14
1537896739,9,8
1537898664,6,7
1537900583,6,17
1537904410,7,24
1537906335,14,15
1537908254,10,0
1537910184,10,10
1537912101,10,15
1537914015,11,7
1537915931,10,9
1537917855,10,18
1537919776,12,16
1537921697,16,16
1537923640,13,0
1537925538,7,10
1537927463,14,0
1537929383,4,11
1537931316,9,12
1537933210,4,15
1537935131,9,10
1537937063,16,12
1537938977,10,27
1537940893,16,16
1537942824,13,25
1537950488,13,61
1537952429,11,0
1537954339,10,9
1537956255,5,6
1537958190,6,5
1537962260,14,18
1537964184,16,17
1537966091,14,20
1537968017,21,17
1537970192,15,24
1537972094,21,15
1537974026,4,10
1537975936,10,12
1537977865,2,11
1537979770,8,26
1537981692,7,12
1537983611,7,20
1537985560,7,11
1537987456,15,5
1537989379,8,6
1537991307,8,12
1537993212,9,7
1537995136,6,17
1537997056,9,12
1537998971,8,6
1538002838,6,27
1538004735,5,0
1538006662,7,11
1538008578,10,13
1538011004,8,14
1538012894,15,3
1538014823,11,8
1538016738,13,12
1538018652,7,13
1538020580,17,15
1538022493,18,14
1538024424,18,21
1538028265,17,31
1538030184,17,12
1538032604,22,0
1538034759,10,16
1538036664,17,19
1538038567,18,25
1538040494,5,7
1538042448,7,7
1538044339,7,6
1538046275,20,6
1538048181,7,11
1538050116,13,20
1538052013,3,0
1538053939,5,14
1538055868,14,0
1538057780,5,7
1538059707,15,9
1538061631,8,7
1538063552,2,0
1538065471,19,4
1538067375,9,16
1538071453,4,17
1538073615,6,25
1538075548,15,2
1538077466,19,13
1538079384,11,7
1538081306,17,8
1538083216,8,4
1538085134,2,3
1538087068,22,4
1538088969,7,3
1538090897,9,6
1538092837,2,15
1538095244,6,12
1538097139,8,20
1538099068,21,11
1538100993,16,7
1538102904,12,8
1538104809,8,12
1538106737,15,11
1538108652,20,11
1538110575,13,16
1538112493,23,15
1538114434,13,9
1538116432,23,10
1538120193,12,28
1538122098,17,22
1538124024,18,6
1538125953,5,19
1538127868,8,9
1538129799,6,7
1538131940,16,0
1538133869,28,4
1538136058,7,4
1538137955,12,8
1538139862,7,7
1538141783,12,19
1538143699,7,25
1538145610,10,5
1538147539,5,15
1538149455,18,0
1538151383,10,5
1538155217,9,12
1538157130,11,5
1538159052,19,10
1538160973,4,10
1538162890,18,8
1538164835,8,17
1538166747,13,5
1538168665,5,4
1538174434,6,20
1538176349,3,13
1538178258,11,10
1538180181,15,5
1538182093,19,14
1538185949,18,13
1538187855,24,6
1538189794,16,10
1538191694,20,12
1538193634,17,2
1538195551,18,13
