DateTime,Entries,UniqueIPs
1537561450,4692,4790
1537563379,4690,4788
1537567481,4683,4781
1537569381,4688,4786
1537571294,4680,4778
1537575137,4657,4755
1537577065,4658,4756
1537578975,4667,4765
1537580914,4678,4776
1537582825,4675,4773
1537584734,4674,4772
1537586653,4690,4788
1537588579,4683,4781
1537592425,4673,4771
1537594351,4687,4787
1537596262,4682,4783
1537598178,4666,4767
1537600104,4652,4753
1537603944,4617,4716
1537605859,4601,4700
1537607782,4606,4705
1537609693,4616,4715
1537611612,4624,4723
1537613539,4639,4738
1537615456,4645,4744
1537617373,4649,4748
1537619289,4668,4769
1537621232,4677,4778
1537625063,4668,4768
1537626979,4651,4751
1537628895,4658,4758
1537630811,4659,4759
1537632770,4679,4779
1537634653,4697,4797
1537638495,4709,4811
1537640411,4704,4803
1537642331,4693,4792
1537644251,4692,4791
1537646181,4679,4778
1537648089,4684,4783
1537650019,4672,4771
1537653868,4659,4757
1537655772,4653,4751
1537657696,4643,4741
1537659613,4649,4749
1537661535,4646,4746
1537663457,4646,4747
1537665386,4645,4747
1537669259,4626,4729
1537676894,4580,4679
1537678817,4606,4706
1537680740,4598,4699
1537684582,4605,4705
1537686494,4627,4728
1537688411,4635,4735
1537690338,4650,4750
1537692256,4642,4742
1537694188,4642,4742
1537696096,4647,4747
1537698013,4648,4748
1537699932,4652,4752
1537701852,4670,4770
1537703778,4667,4767
1537707638,4670,4770
1537709538,4691,4791
1537711458,4692,4792
1537713384,4702,4802
1537715293,4719,4819
1537717211,4725,4825
1537719172,4724,4824
1537721059,4717,4818
1537722983,4713,4813
1537724895,4714,4814
1537726813,4726,4826
1537728743,4718,4819
1537732581,4730,4831
1537734742,4748,4849
1537736663,4749,4850
1537738583,4753,4854
1537740497,4753,4854
1537744333,4754,4854
1537746254,4755,4856
1537750098,4739,4838
1537753934,4749,4849
1537755851,4754,4853
1537757790,4770,4869
1537759688,4779,4879
1537761626,4778,4878
1537763541,4770,4866
1537765455,4771,4868
1537767381,4776,4873
1537769297,4765,4862
1537771210,4756,4853
1537773137,4761,4858
1537775060,4751,4848
1537776985,4754,4853
