DateTime,AddedIPs,RemovedIPs
1537561450,46,25
1537563379,26,48
1537567481,18,25
1537569381,25,19
1537571294,32,23
1537575137,34,32
1537577065,52,31
1537578975,22,53
1537580914,49,24
1537582825,26,49
1537584734,22,27
1537586653,55,23
1537588579,22,53
1537592425,25,21
1537594351,49,22
1537596262,40,51
1537598178,50,41
1537600104,30,47
1537603944,33,33
1537605859,30,37
1537607782,29,28
1537609693,23,30
1537611612,17,23
1537613539,32,17
1537615456,50,30
1537617373,50,50
1537619289,54,50
1537621232,24,56
1537625063,25,22
1537626979,19,26
1537628895,16,19
1537630811,30,16
1537632770,42,29
1537634653,56,44
1537638495,52,53
1537640411,38,55
1537642331,24,37
1537644251,46,26
1537646181,14,42
1537648089,40,12
1537650019,17,44
1537653868,12,16
1537655772,21,13
1537657696,16,22
1537659613,19,16
1537661535,41,18
1537663457,37,38
1537665386,35,38
1537669259,50,34
1537676894,52,49
1537678817,51,54
1537680740,61,52
1537684582,49,53
1537686494,52,52
1537688411,48,52
1537690338,34,50
1537692256,33,38
1537694188,38,33
1537696096,19,38
1537698013,23,20
1537699932,33,23
1537701852,39,30
1537703778,26,39
1537707638,39,23
1537709538,51,40
1537711458,32,51
1537713384,39,31
1537715293,39,37
1537717211,20,41
1537719172,34,22
1537721059,45,34
1537722983,38,45
1537724895,44,38
1537726813,47,43
1537728743,36,45
1537732581,29,40
1537734742,47,25
1537736663,20,50
1537738583,24,22
1537740497,30,24
1537744333,34,29
1537746254,40,35
1537750098,45,41
1537753934,20,44
1537755851,53,22
1537757790,36,46
1537759688,56,36
1537761626,32,59
1537763541,33,32
1537765455,51,36
1537767381,55,48
1537769297,46,55
1537771210,32,45
1537773137,59,34
1537775060,47,57
1537776985,34,51
1537778892,43,32
1537780809,32,45
1537782732,11,31
1537784653,19,13
1537786587,25,19
1537790455,34,22
1537792352,41,34
1537794264,35,40
1537796193,24,35
1537800027,29,24
1537801951,35,27
1537803857,26,39
1537805802,30,24
1537809862,42,29
1537811784,22,42
1537816826,32,24
1537820672,50,32
1537824506,39,51
1537826429,57,40
1537828350,63,56
1537830263,51,59
1537832191,59,54
1537834112,39,57
1537836022,50,42
1537837950,32,46
1537839853,51,33
1537841793,45,51
1537843709,41,44
1537845640,56,44
1537847546,45,51
1537849467,50,46
1537851368,48,53
1537853297,56,49
1537855235,57,55
1537857143,50,56
1537859078,41,52
1537860990,31,43
1537862917,25,32
1537864831,20,23
1537866741,26,22
1537868651,57,22
1537870845,43,57
1537872747,28,46
1537874664,49,27
1537876598,30,49
1537878745,24,30
1537880912,14,26
1537882821,29,13
1537884740,20,29
1537886669,46,19
1537888839,30,47
1537890976,19,30
1537892894,49,17
1537894839,23,48
1537896739,20,23
1537898664,18,22
1537900583,23,18
1537904410,22,21
1537906335,40,23
1537908254,40,37
1537910184,46,39
1537912101,37,44
1537914015,42,42
1537915931,40,40
1537917855,44,41
1537919776,41,42
1537921697,45,39
1537923640,39,46
1537925538,46,40
1537927463,43,48
1537929383,16,48
1537931316,35,16
1537933210,25,32
1537935131,39,26
1537937063,47,36
1537938977,49,45
1537940893,34,55
1537942824,47,34
1537950488,31,46
1537952429,37,32
1537954339,20,38
1537956255,24,21
1537958190,17,22
1537962260,51,16
1537964184,50,46
1537966091,55,52
1537968017,51,58
1537970192,51,49
1537972094,55,53
1537974026,16,55
1537975936,26,16
1537977865,14,24
1537979770,26,15
1537981692,26,23
1537983611,20,28
1537985560,26,24
1537987456,48,24
1537989379,26,49
1537991307,35,23
1537993212,23,38
1537995136,27,23
1537997056,45,25
1537998971,22,45
1538002838,16,22
1538004735,32,18
1538006662,34,29
1538008578,23,36
1538011004,31,24
1538012894,54,31
1538014823,45,51
1538016738,34,42
1538018652,49,35
1538020580,53,51
1538022493,49,50
1538024424,50,53
1538028265,47,49
1538030184,40,48
1538032604,54,42
1538034759,42,49
1538036664,39,47
1538038567,43,39
1538040494,25,45
1538042448,28,25
1538044339,28,26
1538046275,64,28
1538048181,39,62
1538050116,46,40
1538052013,17,44
1538053939,32,16
1538055868,38,34
1538057780,25,39
1538059707,54,26
1538061631,32,56
1538063552,14,30
1538065471,52,15
1538067375,22,50
1538071453,26,20
1538073615,20,28
1538075548,50,19
1538077466,55,51
1538079384,31,55
1538081306,54,32
1538083216,37,52
1538085134,17,39
1538087068,58,17
1538088969,21,58
1538090897,49,19
1538092837,28,46
1538095244,25,31
1538097139,34,26
1538099068,58,34
1538100993,52,55
1538102904,37,52
1538104809,34,39
1538106737,48,33
1538108652,52,46
1538110575,53,55
1538112493,63,55
1538114434,58,59
1538116432,58,59
1538120193,34,58
1538122098,46,33
1538124024,40,48
1538125953,22,41
1538127868,18,24
1538129799,24,18
1538131940,44,22
1538133869,67,44
1538136058,37,68
1538137955,20,34
1538139862,27,22
1538141783,22,24
1538143699,21,25
1538145610,40,20
1538147539,23,40
1538149455,52,25
1538151383,36,54
1538155217,26,32
1538157130,28,27
1538159052,47,28
1538160973,22,48
1538162890,37,20
1538164835,23,38
1538166747,29,22
1538168665,24,31
1538174434,23,23
1538176349,13,24
1538178258,42,12
1538180181,41,40
1538182093,48,40
1538185949,54,49
1538187855,55,51
1538189794,55,59
1538191694,51,51
1538193634,57,54
1538195551,45,57
1538197475,42,42
1538201314,56,42
1538203226,44,58
1538205147,51,47
1538207077,49,48
1538208983,24,52
1538210897,49,26
1538212820,16,47
1538216653,28,19
1538218590,58,27
1538220486,54,57
1538222459,60,54
1538224334,19,58
1538226256,64,18
1538228179,51,62
1538230096,41,52
1538232008,19,45
1538233933,33,18
1538235848,56,32
1538237777,34,56
1538239701,41,34
1538241614,36,42
1538243524,20,37
1538245452,46,20
1538247366,15,43
1538249289,51,17
1538251462,20,50
1538253385,31,23
1538257210,22,31
1538259139,36,19
1538261055,33,37
1538262977,44,33
1538264892,40,44
1538266811,29,40
1538268731,19,31
1538270666,48,19
1538272575,31,44
1538274493,47,32
1538276439,22,49
1538278338,52,22
1538282186,61,47
1538284110,24,64
1538286010,34,26
1538289868,56,32
1538291785,58,55
1538293698,52,61
1538297547,19,52
1538299470,19,21
1538301373,13,18
1538303317,26,14
1538305247,13,26
1538307382,52,13
1538309314,61,47
1538311234,59,61
1538313136,44,58
1538315057,53,43
1538316993,56,54
1538318895,54,56
1538320831,21,55
1538322770,22,21
1538324662,60,25
1538328489,52,60
1538330441,17,52
1538334262,30,16
1538336189,27,31
1538338121,24,24
1538341952,27,26
1538343851,67,26
1538345783,37,67
1538347692,56,39
1538349634,25,53
1538351533,14,24
1538353471,29,14
1538355369,29,33
1538357309,35,27
1538359240,34,35
1538361161,49,34
1538363072,42,45
1538364973,38,43
1538366911,49,39
1538368824,58,49
1538370995,34,59
1538372900,50,33
1538374841,50,54
1538376738,50,43
1538380579,36,45
1538382493,28,49
1538388265,25,27
1538390192,28,27
1538392115,32,27
1538394031,34,30
1538398108,50,36
1538403853,31,50
1538405802,31,29
1538407938,28,33
1538410143,14,25
1538413935,40,17
1538415875,44,36
1538417794,18,48
1538419715,47,18
1538421629,26,44
1538423554,23,26
1538425463,46,24
1538427406,25,46
1538429550,20,24
1538431478,28,21
1538433383,30,29
1538435316,33,29
1538437224,25,35
1538439152,32,23
1538441057,29,31
1538442988,31,28
1538444903,37,31
1538446837,43,41
1538448731,30,43
1538450670,42,26
1538452585,58,45
1538454511,40,54
1538456424,43,38
1538458349,43,43
1538460252,49,46
1538462183,44,50
1538464351,48,45
1538466257,56,49
1538468434,35,53
1538470354,46,38
1538472269,21,46
1538474174,35,21
1538476108,51,36
1538478040,64,50
1538479951,52,60
1538482105,50,53
1538484012,37,46
1538485954,56,44
1538487861,55,54
1538489802,50,52
1538491703,50,55
1538493634,44,49
1538497468,40,45
1538501312,46,37
1538503235,47,43
1538505145,45,47
1538507064,52,44
1538509001,44,56
1538510900,48,46
1538512829,42,45
1538514980,34,45
1538516906,51,33
1538518832,49,48
1538520736,49,49
1538522665,39,48
1538524588,48,41
1538526492,58,46
1538528449,50,56
1538530339,38,55
1538532274,47,37
1538534424,53,44
1538538249,53,54
1538542238,55,56
1538544261,50,56
1538546186,56,47
1538548111,59,57
1538550038,59,60
1538551937,56,61
1538553863,52,53
1538555798,60,53
1538557720,57,61
1538559631,50,55
1538561549,53,53
1538563458,51,50
1538565401,50,53
1538567316,49,54
1538569461,56,48
1538571370,49,52
1538573306,48,48
1538575219,55,51
1538577151,42,56
1538579065,37,37
1538580992,54,40
1538582952,50,54
1538584824,48,49
1538586739,43,49
1538588670,51,42
1538590584,53,50
1538592493,51,54
1538594654,39,50
1538596602,26,41
1538598494,50,25
1538602339,43,50
1538604256,34,42
1538610015,44,36
1538611935,44,43
1538613867,49,42
1538616023,27,51
1538617930,54,26
1538619854,41,55
1538621787,56,40
1538623689,48,54
1538625635,58,51
1538627537,45,54
1538631613,54,45
1538633784,54,57
1538637613,48,54
1538639537,44,45
1538641457,53,52
1538643386,52,53
1538645292,25,53
1538647245,26,24
