DateTime,Entries,UniqueIPs
1533241621,15000,15000
1533252421,15000,15000
1533263221,15000,15000
1533274021,15000,15000
1533284821,15000,15000
1533295621,15000,15000
1533306421,15000,15000
1533317221,15000,15000
1533328021,15000,15000
1533338821,15000,15000
1533349621,15000,15000
1533360421,15000,15000
1533371221,15000,15000
1533382021,15000,15000
1533392821,15000,15000
1533403621,15000,15000
1533414421,15000,15000
1533425221,15000,15000
1533436021,15000,15000
1533446821,15000,15000
1533457621,15000,15000
1533468421,15000,15000
1533479221,15000,15000
1533490021,15000,15000
1533500821,15000,15000
1533511621,15000,15000
1533522421,15000,15000
1533533221,15000,15000
1533544021,15000,15000
1533554821,15000,15000
1533565621,15000,15000
1533576421,15000,15000
1533587221,15000,15000
1533598021,15000,15000
1533608821,15000,15000
1533619621,15000,15000
1533630421,15000,15000
1533641221,15000,15000
1533652021,15000,15000
1533662821,15000,15000
1533673621,15000,15000
1533684421,15000,15000
1533695221,15000,15000
1533706021,15000,15000
1533716821,15000,15000
1533727621,15000,15000
1533738421,15000,15000
1533749221,15000,15000
1533760021,15000,15000
1533770821,15000,15000
1533781621,15000,15000
1533792421,15000,15000
1533803221,15000,15000
1533814021,15000,15000
1533824821,15000,15000
1533835621,15000,15000
1533846422,15000,15000
1533857221,15000,15000
1533868021,15000,15000
1533878821,15000,15000
1533889621,15000,15000
1533900421,15000,15000
1533911221,15000,15000
1533922021,15000,15000
1533932821,15000,15000
1533943621,15000,15000
1533954421,15000,15000
1533965221,15000,15000
1533976021,15000,15000
1533986821,15000,15000
1533997621,15000,15000
1534008421,15000,15000
1534019221,15000,15000
1534030021,15000,15000
1534040821,15000,15000
1534051621,15000,15000
1534062421,15000,15000
1534073221,15000,15000
1534084021,15000,15000
1534094821,15000,15000
1534105621,15000,15000
1534116421,15000,15000
1534127221,15000,15000
1534138021,15000,15000
1534148821,15000,15000
1534159621,15000,15000
1534170421,15000,15000
1534181221,15000,15000
1534192021,15000,15000
1534202821,15000,15000
1534213621,15000,15000
1534224421,15000,15000
1534235221,15000,15000
1534246021,15000,15000
1534256821,15000,15000
1534267621,15000,15000
1534278421,15000,15000
1534289221,15000,15000
1534300021,15000,15000
1534310821,15000,15000
1534321621,15000,15000
1534332421,15000,15000
1534343221,15000,15000
1534354021,15000,15000
1534364821,15000,15000
1534375621,15000,15000
1534386421,15000,15000
1534397221,15000,15000
1534408021,15000,15000
1534418821,15000,15000
1534429621,15000,15000
1534440421,15000,15000
1534451221,15000,15000
1534462021,15000,15000
1534472821,15000,15000
1534483621,15000,15000
1534494421,15000,15000
1534505221,15000,15000
1534516021,15000,15000
1534526821,15000,15000
1534537621,15000,15000
1534548421,15000,15000
1534559221,15000,15000
1534570021,15000,15000
1534580821,15000,15000
1534591621,15000,15000
1534602421,15000,15000
1534613221,15000,15000
1534624021,15000,15000
1534634821,15000,15000
1534645621,15000,15000
1534656421,15000,15000
1534667221,15000,15000
1534678021,15000,15000
1534688821,15000,15000
1534699621,15000,15000
1534710421,15000,15000
1534721221,15000,15000
1534732021,15000,15000
1534742821,15000,15000
1534753621,15000,15000
1534764421,15000,15000
1534775221,15000,15000
1534786021,15000,15000
1534796821,15000,15000
1534807621,15000,15000
1534818421,15000,15000
1534829221,15000,15000
1534840021,15000,15000
1534850821,15000,15000
1534861621,15000,15000
1534872421,15000,15000
1534883221,15000,15000
1534894021,15000,15000
1534904821,15000,15000
1534915621,15000,15000
1534926421,15000,15000
1534937221,15000,15000
1534948021,15000,15000
1534958821,15000,15000
1534969621,15000,15000
1534980421,15000,15000
1534991221,15000,15000
1535002021,15000,15000
1535012821,15000,15000
1535023621,15000,15000
1535034422,15000,15000
1535045221,15000,15000
1535056021,15000,15000
1535066821,15000,15000
1535077621,15000,15000
1535088421,15000,15000
1535099221,15000,15000
1535110021,15000,15000
1535120821,15000,15000
1535131621,15000,15000
1535142421,15000,15000
1535153221,15000,15000
1535164021,15000,15000
1535174821,15000,15000
1535185621,15000,15000
1535196421,15000,15000
1535207221,15000,15000
1535218021,15000,15000
1535228821,15000,15000
1535239621,15000,15000
1535250421,15000,15000
1535261221,15000,15000
1535272021,15000,15000
1535282821,15000,15000
1535293621,15000,15000
1535304421,15000,15000
1535315221,15000,15000
1535326021,15000,15000
1535336821,15000,15000
1535347621,15000,15000
1535358421,15000,15000
1535369221,15000,15000
1535380021,15000,15000
1535390821,15000,15000
1535401621,15000,15000
1535412421,15000,15000
1535423221,15000,15000
1535434021,15000,15000
1535444821,15000,15000
1535455621,15000,15000
1535466421,15000,15000
1535477221,15000,15000
1535488021,15000,15000
1535498821,15000,15000
1535509621,15000,15000
1535520421,15000,15000
1535531221,15000,15000
1535542021,15000,15000
1535552821,15000,15000
1535563621,15000,15000
1535574421,15000,15000
1535585221,15000,15000
1535596021,15000,15000
1535606821,15000,15000
1535617621,15000,15000
1535628421,15000,15000
1535639221,15000,15000
1535650021,15000,15000
1535660821,15000,15000
1535671621,15000,15000
1535682421,15000,15000
1535693221,15000,15000
1535704021,15000,15000
1535714821,15000,15000
1535725622,15000,15000
1535736421,15000,15000
1535747221,15000,15000
1535758021,15000,15000
1535768821,15000,15000
1535779621,15000,15000
1535790421,15000,15000
1535801221,15000,15000
1535812021,15000,15000
1535822821,15000,15000
1535833621,15000,15000
1535844421,15000,15000
1535855221,15000,15000
1535866021,15000,15000
1535876821,15000,15000
1535887621,15000,15000
1535898421,15000,15000
1535909221,15000,15000
1535920021,15000,15000
1535930821,15000,15000
1535941621,15000,15000
1535952421,15000,15000
1535963221,15000,15000
1535974021,15000,15000
1535984821,15000,15000
1535995621,15000,15000
1536006422,15000,15000
1536017221,15000,15000
1536028021,15000,15000
1536038821,15000,15000
1536049621,15000,15000
1536060421,15000,15000
1536071221,15000,15000
1536082021,15000,15000
1536092821,15000,15000
1536103621,15000,15000
1536114421,15000,15000
1536125221,15000,15000
1536136021,15000,15000
1536146821,15000,15000
1536157621,15000,15000
1536168421,15000,15000
1536179221,15000,15000
1536190021,15000,15000
1536200821,15000,15000
1536211621,15000,15000
1536222421,15000,15000
1536233221,15000,15000
1536244021,15000,15000
1536254821,15000,15000
1536265621,15000,15000
1536276421,15000,15000
1536287221,15000,15000
1536298021,15000,15000
1536308821,15000,15000
1536319621,15000,15000
1536330421,15000,15000
1536341221,15000,15000
1536352021,15000,15000
1536362821,15000,15000
1536373621,15000,15000
1536384421,15000,15000
1536395221,15000,15000
1536406021,15000,15000
1536416821,15000,15000
1536427621,15000,15000
1536438421,15000,15000
1536449221,15000,15000
1536460021,15000,15000
1536470821,15000,15000
1536481621,15000,15000
1536492421,15000,15000
1536503221,15000,15000
1536514021,15000,15000
1536524821,15000,15000
1536535621,15000,15000
1536546421,15000,15000
1536557221,15000,15000
1536568021,15000,15000
1536578821,15000,15000
1536589621,15000,15000
1536600421,15000,15000
1536611221,15000,15000
1536622021,15000,15000
1536632821,15000,15000
1536643621,15000,15000
1536654421,15000,15000
1536665221,15000,15000
1536676021,15000,15000
1536686821,15000,15000
1536697621,15000,15000
1536708421,15000,15000
1536719221,15000,15000
1536730021,15000,15000
1536740821,15000,15000
1536751621,15000,15000
1536762421,15000,15000
1536773221,15000,15000
1536784021,15000,15000
1536794821,15000,15000
1536805621,15000,15000
1536816421,15000,15000
1536827221,15000,15000
1536838021,15000,15000
1536848821,15000,15000
1536859621,15000,15000
1536870421,15000,15000
1536881221,15000,15000
1536892021,15000,15000
1536902821,15000,15000
1536913621,15000,15000
1536924421,15000,15000
1536935221,15000,15000
1536946021,15000,15000
1536956821,15000,15000
1536967621,15000,15000
1536978421,15000,15000
1536989221,15000,15000
1537000021,15000,15000
1537010821,15000,15000
1537021621,15000,15000
1537032421,15000,15000
1537043221,15000,15000
1537054021,15000,15000
1537064821,15000,15000
1537075621,15000,15000
1537086421,15000,15000
1537097221,15000,15000
1537108021,15000,15000
1537118821,15000,15000
1537129621,15000,15000
1537140421,15000,15000
1537151221,15000,15000
1537162021,15000,15000
1537172821,15000,15000
1537183621,15000,15000
1537194421,15000,15000
1537205221,15000,15000
1537216021,15000,15000
1537226821,15000,15000
1537237621,15000,15000
1537248421,15000,15000
1537259221,15000,15000
1537270021,15000,15000
1537280821,15000,15000
1537291621,15000,15000
1537302421,15000,15000
1537313221,15000,15000
1537324021,15000,15000
1537334821,15000,15000
1537345621,15000,15000
1537356421,15000,15000
1537367221,15000,15000
1537378021,15000,15000
1537388821,15000,15000
1537399621,15000,15000
1537410421,15000,15000
1537421221,15000,15000
1537432021,15000,15000
1537442821,15000,15000
1537453621,15000,15000
1537464421,15000,15000
1537475221,15000,15000
1537486021,15000,15000
1537496821,15000,15000
1537507621,15000,15000
1537518421,15000,15000
1537529221,15000,15000
1537540021,15000,15000
1537550821,15000,15000
1537561621,15000,15000
1537572421,15000,15000
1537583221,15000,15000
1537594021,15000,15000
1537604821,15000,15000
1537615621,15000,15000
1537626421,15000,15000
1537637221,15000,15000
1537648021,15000,15000
1537658821,15000,15000
1537669621,15000,15000
1537680421,15000,15000
1537691221,15000,15000
1537702021,15000,15000
1537712821,15000,15000
1537723621,15000,15000
1537734421,15000,15000
1537745221,15000,15000
1537756021,15000,15000
1537766821,15000,15000
1537777621,15000,15000
1537788421,15000,15000
1537799221,15000,15000
1537810021,15000,15000
