DateTime,Entries,UniqueIPs
1538161937,34622,34622
1538162894,34325,34325
1538163865,34528,34528
1538164850,34373,34373
1538165781,34521,34521
1538166751,34296,34296
1538167697,34498,34498
1538168668,34377,34377
1538169617,34555,34555
1538170591,34360,34360
1538171532,34558,34558
1538172508,34582,34582
1538173469,34585,34585
1538174438,34347,34347
1538175386,34376,34376
1538176353,34370,34370
1538177295,34559,34559
1538178263,34407,34407
1538179237,34614,34614
1538180185,34442,34442
1538181143,34591,34591
1538182097,34551,34551
1538183058,34532,34532
1538184017,34545,34545
1538184985,34512,34512
1538185952,34548,34548
1538186897,34540,34540
1538187858,34491,34491
1538188812,34507,34507
1538189797,34537,34537
1538190743,34520,34520
1538191698,34500,34500
1538192803,34483,34483
1538194123,34239,34239
1538195063,34279,34279
1538196013,34466,34466
1538196974,34454,34454
1538197956,34259,34259
1538198897,34223,34223
1538199856,34451,34451
1538200826,34409,34409
1538201787,34136,34136
1538202746,34311,34311
1538203693,34275,34275
1538204658,34240,34240
1538205613,34170,34170
1538207082,33886,33886
1538208024,33851,33851
1538208988,34003,34003
1538209942,33774,33774
1538210901,33727,33727
1538211859,33894,33894
1538212824,33873,33873
1538213785,33631,33631
1538214740,33659,33659
1538215705,33648,33648
1538216657,33654,33654
1538217618,33645,33645
1538218696,33645,33645
1538219800,33609,33609
1538220739,33605,33605
1538221695,33568,33568
1538222673,33557,33557
1538223620,33521,33521
1538224572,33488,33488
1538225532,33458,33458
1538226495,33451,33451
1538227468,33471,33471
1538228419,33433,33433
1538229374,33406,33406
1538230336,33351,33351
1538231293,33328,33328
1538232261,33295,33295
1538233228,33302,33302
1538234177,33287,33287
1538235137,33235,33235
1538236111,33239,33239
1538237059,33254,33254
1538238017,33273,33273
1538238986,33244,33244
1538239936,33224,33224
1538240895,33189,33189
1538241852,33157,33157
1538242814,33202,33202
1538243772,33251,33251
1538244741,33260,33260
1538245695,33307,33307
1538246657,33307,33307
1538247625,33335,33335
1538248579,33345,33345
1538249539,33398,33398
1538250495,33434,33434
1538251471,33462,33462
1538252413,33418,33418
1538253388,33470,33470
1538254334,33486,33486
1538255308,33467,33467
1538256255,33474,33474
1538257214,33440,33440
1538258184,33416,33416
1538259143,33398,33398
1538260097,33405,33405
1538261060,33429,33429
1538262024,33378,33378
1538262982,33348,33348
1538263941,33350,33350
1538264896,33352,33352
1538265872,33295,33295
1538266814,33294,33294
1538267786,33300,33300
1538268736,33313,33313
1538269708,33330,33330
1538270673,33329,33329
1538271628,33292,33292
1538272580,33217,33217
1538273543,33174,33174
1538274496,33140,33140
1538275468,33116,33116
1538276443,33041,33041
1538277386,33025,33025
1538278341,33005,33005
1538279296,32979,32979
1538280269,33159,33159
1538281213,33131,33131
1538282191,33075,33075
1538283132,33051,33051
1538284113,33010,33010
1538285070,32997,32997
1538286015,32964,32964
1538286974,32939,32939
1538287936,32965,32965
1538288893,32922,32922
1538289873,32929,32929
1538290841,32930,32930
1538291789,32947,32947
1538293238,32979,32979
1538294185,32948,32948
1538295141,32894,32894
1538296092,32906,32906
1538297067,32883,32883
1538298020,32867,32867
1538298981,32837,32837
1538299935,32817,32817
1538300909,32789,32789
1538301860,32736,32736
1538302812,32699,32699
1538303789,32704,32704
1538304733,32681,32681
1538305797,32641,32641
1538306912,32634,32634
1538307858,32605,32605
1538308859,32571,32571
1538309787,32544,32544
1538310741,32503,32503
1538311693,32496,32496
1538312679,32489,32489
1538313613,32466,32466
1538314572,32477,32477
1538315546,32459,32459
1538316496,32442,32442
1538317454,32418,32418
1538318414,32412,32412
1538319384,32378,32378
1538320339,32374,32374
1538321291,32324,32324
1538322259,32277,32277
1538323218,32253,32253
1538324186,32219,32219
1538325145,32170,32170
1538326100,32155,32155
1538327059,32162,32162
1538328017,32114,32114
1538328984,32086,32086
1538329933,32042,32042
1538330907,31983,31983
1538331860,31896,31896
1538332812,31837,31837
1538333785,31825,31825
1538334734,31753,31753
1538335693,31706,31706
1538336658,31696,31696
1538337624,31706,31706
1538338595,31667,31667
1538339542,31654,31654
1538340493,31607,31607
1538341462,31539,31539
1538342413,31501,31501
1538343396,31490,31490
1538344333,31479,31479
1538345310,31431,31431
1538346255,31409,31409
1538347218,31404,31404
1538348183,31389,31389
1538349135,31354,31354
1538350095,31329,31329
1538351075,31270,31270
1538352029,31240,31240
1538352982,31293,31293
1538353938,31338,31338
1538354901,31329,31329
1538355880,31311,31311
1538356813,31317,31317
1538357772,31341,31341
1538358736,31387,31387
1538359695,31444,31444
1538360658,31483,31483
1538361630,31543,31543
1538362570,31590,31590
1538363543,31637,31637
1538364494,31647,31647
1538365473,31649,31649
1538366424,31675,31675
1538367550,31731,31731
1538368571,31756,31756
1538369544,31647,31647
1538370501,31852,31852
1538371461,31895,31895
1538372448,31776,31776
1538373374,31965,31965
1538374344,31746,31746
1538375311,31778,31778
1538376273,31966,31966
1538377225,31986,31986
1538378185,32018,32018
1538379141,32015,32015
1538380114,32039,32039
1538381057,32051,32051
1538382016,32138,32138
1538382994,32161,32161
1538383934,32188,32188
1538384920,32225,32225
1538385854,32329,32329
1538386812,32353,32353
1538387791,32394,32394
1538388739,32452,32452
1538389690,32492,32492
1538390662,32531,32531
1538391622,32599,32599
1538392585,32686,32686
1538393539,32748,32748
1538394519,32799,32799
1538395710,32791,32791
1538396675,32877,32877
1538397613,32929,32929
1538398582,32992,32992
1538399552,33089,33089
1538400495,33122,33122
1538401457,33182,33182
1538402446,33270,33270
1538403404,33295,33295
1538404342,33311,33311
1538405297,33358,33358
1538406336,33370,33370
1538407472,33379,33379
1538408658,33422,33422
1538409629,33251,33251
1538410584,33486,33486
1538411542,33499,33499
1538412497,33568,33568
1538413477,33408,33408
1538414413,33634,33634
1538415387,33456,33456
1538416340,33457,33457
1538417303,33661,33661
1538418256,33635,33635
1538419214,33393,33393
1538420178,33543,33543
1538421141,33417,33417
1538422102,33418,33418
1538423059,33506,33506
1538424065,33616,33616
1538424985,33734,33734
1538425942,33586,33586
1538426894,33643,33643
1538427867,33704,33704
1538429063,33788,33788
1538430019,33817,33817
1538430973,33839,33839
1538431942,33901,33901
1538432911,33914,33914
1538433856,33933,33933
1538434819,33932,33932
1538435793,33930,33930
1538436742,33951,33951
1538437697,34017,34017
1538438667,34007,34007
1538439613,33992,33992
1538440590,33958,33958
1538441535,33989,33989
1538442519,33962,33962
1538443467,33914,33914
1538444412,33895,33895
1538445380,33923,33923
1538446335,33892,33892
1538447300,33916,33916
1538448294,33898,33898
1538449235,33899,33899
1538450190,33908,33908
1538451143,33913,33913
1538452095,33921,33921
1538453058,33882,33882
1538454021,33884,33884
1538455232,33947,33947
1538456171,33850,33850
1538457136,33708,33708
1538458094,33741,33741
1538459075,33852,33852
1538460025,33906,33906
1538460985,33943,33943
1538461937,33958,33958
1538462915,33959,33959
1538463859,33963,33963
1538464823,33965,33965
1538465792,34001,34001
1538466734,34008,34008
1538467965,33991,33991
1538468891,33963,33963
1538469860,33999,33999
1538470823,34011,34011
1538471788,34016,34016
1538472737,33987,33987
1538473716,33997,33997
1538474658,33992,33992
1538475623,34035,34035
1538476585,34018,34018
1538477541,33982,33982
1538478511,33939,33939
1538479461,33947,33947
1538480515,33971,33971
1538481673,33978,33978
1538482614,33998,33998
1538483549,33981,33981
1538484500,33974,33974
1538485468,33986,33986
1538486420,33933,33933
1538487396,33936,33936
1538488352,33895,33895
1538489300,33901,33901
