DateTime,AddedIPs,RemovedIPs
1538162894,70,75
1538163865,60,69
1538164850,63,71
1538165781,47,64
1538166751,58,65
1538167697,71,72
1538168668,75,62
1538169617,61,86
1538170591,54,73
1538171532,56,68
1538172508,51,69
1538173469,65,71
1538174438,58,77
1538175386,52,81
1538176353,59,98
1538177295,69,72
1538178263,87,93
1538179237,72,85
1538180185,74,74
1538181143,65,82
1538182097,56,86
1538183058,64,2
1538184017,84,190
1538184985,43,4
1538185952,85,75
1538186897,67,67
1538187858,57,80
1538188812,65,70
1538189797,58,77
1538190743,58,61
1538191698,42,78
1538192803,73,77
1538194123,88,63
1538195063,92,61
1538196013,72,74
1538196974,69,63
1538197956,46,62
1538198897,87,57
1538199856,84,80
1538200826,60,63
1538201787,57,84
1538202746,68,67
1538203693,74,82
1538204658,49,56
1538205613,71,55
1538207082,80,92
1538208024,71,66
1538208988,48,76
1538209942,81,73
1538210901,73,61
1538211859,66,66
1538212824,85,85
1538213785,75,71
1538214740,66,49
1538215705,66,48
1538216657,70,65
1538217618,66,74
1538218696,81,52
1538219800,81,66
1538220739,80,57
1538221695,83,62
1538222673,80,58
1538223620,61,59
1538224572,76,88
1538225532,64,86
1538226495,92,71
1538227468,58,67
1538228419,55,53
1538229374,68,67
1538230336,71,62
1538231293,58,71
1538232261,79,70
1538233228,58,59
1538234177,66,69
1538235137,74,41
1538236111,58,73
1538237059,49,61
1538238017,79,67
1538238986,50,71
1538239936,63,75
1538240895,66,58
1538241852,74,68
1538242814,74,60
1538243772,66,69
1538244741,89,71
1538245695,90,64
1538246657,73,62
1538247625,69,69
1538248579,67,56
1538249539,78,75
1538250495,60,58
1538251471,56,63
1538252413,61,61
1538253388,79,56
1538254334,54,66
1538255308,50,59
1538256255,62,55
1538257214,63,57
1538258184,50,68
1538259143,52,66
1538260097,55,52
1538261060,70,70
1538262024,55,61
1538262982,62,79
1538263941,64,67
1538264896,64,60
1538265872,53,83
1538266814,68,68
1538267786,59,48
1538268736,72,61
1538269708,68,65
1538270673,76,65
1538271628,66,68
1538272580,54,61
1538273543,52,81
1538274496,64,49
1538275468,66,48
1538276443,54,61
1538277386,52,54
1538278341,53,66
1538279296,48,51
1538280269,54,77
1538281213,57,64
1538282191,65,59
1538283132,58,57
1538284113,55,55
1538285070,42,66
1538286015,61,81
1538286974,67,83
1538287936,61,68
1538288893,61,74
1538289873,61,68
1538290841,51,65
1538291789,57,76
1538293238,71,117
1538294185,64,75
1538295141,55,2
1538296092,39,64
1538297067,66,127
1538298020,56,5
1538298981,53,71
1538299935,58,51
