DateTime,Entries,UniqueIPs
1538162894,2897,2897
1538163865,2908,2908
1538164850,2913,2913
1538165781,2902,2902
1538166751,2886,2886
1538167697,2892,2892
1538168668,2894,2894
1538169617,2908,2908
1538170591,2896,2896
1538171532,2902,2902
1538172508,2885,2885
1538173469,2894,2894
1538174438,2881,2881
1538175386,2876,2876
1538176353,2879,2879
1538177295,2873,2873
1538178263,2855,2855
1538179237,2850,2850
1538180185,2846,2846
1538181143,2839,2839
1538182097,2846,2846
1538183058,2829,2829
1538184017,2812,2812
1538184985,2832,2832
1538185952,2820,2820
1538186897,2834,2834
1538187858,2800,2800
1538188812,2803,2803
1538189797,2800,2800
1538190743,2794,2794
1538191698,2802,2802
1538192803,2783,2783
1538194123,2796,2796
1538195063,2796,2796
1538196013,2787,2787
1538196974,2776,2776
1538197956,2824,2824
1538198897,2798,2798
1538199856,2813,2813
1538200826,2805,2805
1538201787,2793,2793
1538202746,2807,2807
1538203693,2781,2781
1538204658,2754,2754
1538205613,2784,2784
1538207082,2779,2779
1538208024,2804,2804
1538208988,2783,2783
1538209942,2775,2775
1538210901,2765,2765
1538211859,2808,2808
1538212824,2807,2807
1538213785,2815,2815
1538214740,2812,2812
1538215705,2847,2847
1538216657,2852,2852
1538217618,2855,2855
1538218696,2863,2863
1538219800,2878,2878
1538220739,2882,2882
1538221695,2894,2894
1538222673,2901,2901
1538223620,2918,2918
1538224572,2923,2923
1538225532,2919,2919
1538226495,2932,2932
1538227468,2932,2932
1538228419,2923,2923
1538229374,2935,2935
1538230336,2952,2952
1538231293,2955,2955
1538232261,2945,2945
1538233228,2948,2948
1538234177,2943,2943
1538235137,2947,2947
1538236111,2940,2940
1538237059,2946,2946
1538238017,2947,2947
1538238986,2955,2955
1538239936,2956,2956
1538240895,2951,2951
1538241852,2948,2948
1538242814,2952,2952
1538243772,2954,2954
1538244741,2948,2948
1538245695,2954,2954
1538246657,2950,2950
1538247625,2949,2949
1538248579,2951,2951
1538249539,2949,2949
1538250495,2948,2948
1538251471,2941,2941
1538252413,2959,2959
1538253388,2955,2955
1538254334,2954,2954
1538255308,2951,2951
1538256255,2950,2950
1538257214,2952,2952
1538258184,2951,2951
1538259143,2948,2948
1538260097,2941,2941
1538261060,2936,2936
1538262024,2940,2940
1538262982,2936,2936
1538263941,2911,2911
1538264896,2905,2905
1538265872,2894,2894
1538266814,2882,2882
1538267786,2859,2859
1538268736,2856,2856
1538269708,2871,2871
1538270673,2853,2853
1538271628,2849,2849
1538272580,2844,2844
1538273543,2828,2828
1538274496,2832,2832
1538275468,2820,2820
1538276443,2832,2832
1538277386,2833,2833
1538278341,2831,2831
1538279296,2829,2829
1538280269,2821,2821
1538281213,2821,2821
1538282191,2820,2820
1538283132,2819,2819
1538284113,2818,2818
1538285070,2825,2825
1538286015,2800,2800
1538286974,2806,2806
1538287936,2796,2796
1538288893,2802,2802
1538289873,2791,2791
1538290841,2795,2795
1538291789,2793,2793
1538293238,2792,2792
1538294185,2788,2788
1538295141,2792,2792
1538296092,2791,2791
1538297067,2788,2788
1538298020,2800,2800
1538298981,2797,2797
1538299935,2819,2819
1538300909,2830,2830
1538301860,2844,2844
1538302812,2861,2861
1538303789,2839,2839
1538304733,2857,2857
1538305797,2859,2859
1538306912,2873,2873
1538307858,2887,2887
1538308859,2887,2887
1538309787,2885,2885
1538310741,2885,2885
1538311693,2895,2895
1538312679,2889,2889
1538313613,2900,2900
1538314572,2901,2901
1538315546,2920,2920
1538316496,2942,2942
1538317454,2932,2932
1538318414,2938,2938
1538319384,2928,2928
1538320339,2939,2939
1538321291,2930,2930
1538322259,2927,2927
1538323218,2932,2932
1538324186,2945,2945
1538325145,2940,2940
1538326100,2931,2931
1538327059,2932,2932
1538328017,2923,2923
1538328984,2924,2924
1538329933,2925,2925
1538330907,2926,2926
1538331860,2908,2908
1538332812,2917,2917
1538333785,2914,2914
1538334734,2913,2913
1538335693,2904,2904
1538336658,2908,2908
1538337624,2902,2902
1538338595,2904,2904
1538339542,2912,2912
1538340493,2903,2903
1538341462,2908,2908
1538342413,2926,2926
1538343396,2915,2915
1538344333,2914,2914
1538345310,2897,2897
1538346255,2908,2908
1538347218,2895,2895
1538348183,2878,2878
1538349135,2887,2887
1538350095,2880,2880
1538351075,2871,2871
1538352029,2855,2855
1538352982,2829,2829
1538353938,2826,2826
1538354901,2790,2790
1538355880,2772,2772
1538356813,2771,2771
1538357772,2748,2748
1538358736,2720,2720
1538359695,2733,2733
1538360658,2701,2701
1538361630,2681,2681
1538362570,2703,2703
1538363543,2685,2685
1538364494,2696,2696
1538365473,2684,2684
1538366424,2685,2685
1538367550,2685,2685
1538368571,2672,2672
1538369544,2678,2678
1538370501,2678,2678
1538371461,2658,2658
1538372448,2662,2662
1538373374,2674,2674
1538374344,2679,2679
1538375311,2663,2663
1538376273,2653,2653
1538377225,2656,2656
