DateTime,AddedIPs,RemovedIPs
1538160011,10,30
1538160975,9,18
1538161935,5,14
1538162892,12,16
1538163863,7,25
1538164848,9,11
1538165779,3,23
1538166749,12,21
1538167695,7,15
1538168666,13,12
1538169615,4,10
1538170590,10,26
1538171530,9,19
1538172506,6,17
1538173467,18,24
1538174437,7,0
1538175384,7,2
1538176351,10,8
1538177293,11,38
1538178260,11,29
1538179235,22,21
1538180183,19,45
1538181141,19,26
1538182095,13,35
1538183057,11,40
1538184015,16,41
1538184983,17,20
1538185950,21,32
1538186894,20,21
1538187857,15,25
1538188811,14,15
1538189796,25,14
1538190741,9,9
1538191696,12,12
1538192801,19,22
1538194121,41,22
1538195062,33,28
1538196011,17,9
1538196972,22,21
1538197955,11,20
1538198895,21,21
1538199853,16,29
1538200819,16,23
1538201785,12,23
1538202744,18,22
1538203691,14,20
1538204656,9,22
1538205610,21,14
1538207079,35,43
1538208022,23,0
1538208986,17,19
1538209941,17,17
1538210899,25,34
1538211856,20,0
1538212822,28,42
1538213783,20,13
1538214738,21,15
1538215703,19,0
1538216655,20,11
1538217617,13,16
1538218693,27,33
1538219799,24,15
1538220737,19,15
1538221693,16,27
1538222671,8,96
1538223618,18,16
1538224570,11,15
1538225531,20,15
1538226492,12,18
1538227466,13,32
1538228418,9,27
1538229372,10,0
1538230333,8,43
1538231291,9,0
1538232258,12,39
1538233226,10,0
1538234176,10,26
1538235136,11,13
1538236110,6,9
1538237056,9,1
1538238015,21,14
1538238985,6,51
1538239933,5,57
1538240893,3,67
1538241851,16,27
1538242812,15,42
1538243770,18,10
1538244739,13,29
1538245693,16,15
1538246655,12,3
1538247623,5,20
1538248578,16,37
1538249537,8,21
1538250494,17,25
1538251468,9,22
1538252411,7,17
1538253387,17,26
1538254333,5,19
1538255306,1,18
1538256252,12,24
1538257212,4,15
1538258183,5,20
1538259141,11,16
1538260095,7,26
1538261057,15,9
1538262022,4,18
1538262979,14,26
1538263939,12,26
1538264894,17,38
1538265870,30,33
1538266813,23,21
1538267784,20,30
1538268733,34,37
1538269706,14,28
1538270671,26,30
1538271626,34,28
1538272577,21,17
1538273541,19,32
1538274494,22,18
1538275466,15,18
1538276442,17,28
1538277385,13,31
1538278340,15,10
1538279294,11,28
1538280267,17,26
1538281211,14,18
1538282189,14,26
1538283130,13,15
1538284112,8,24
1538285068,14,30
1538286013,13,20
1538286972,22,19
1538287933,11,29
1538288891,22,14
1538289871,13,27
1538290839,16,20
1538291787,15,3
1538293236,24,1
1538294184,26,6
1538295138,20,0
1538296091,6,4
1538297066,14,41
1538298018,27,0
1538298979,17,0
1538299933,9,38
1538300907,18,75
1538301857,14,68
1538302810,10,34
1538303787,19,23
1538304730,16,12
1538305795,13,18
1538306910,19,17
1538307855,19,16
1538308857,13,24
1538309785,9,11
1538310740,10,32
1538311691,10,17
1538312676,10,20
1538313611,12,22
1538314570,21,18
1538315544,13,16
1538316494,4,22
1538317453,8,16
1538318411,9,16
1538319382,11,30
1538320336,4,16
1538321289,12,21
1538322256,6,18
1538323216,8,23
1538324184,9,21
1538325143,9,25
1538326098,5,19
1538327058,7,18
1538328015,5,17
1538328983,10,16
1538329931,7,18
1538330906,11,25
1538331858,6,26
1538332810,10,35
1538333783,5,22
1538334731,6,18
1538335691,8,21
1538336655,15,25
1538337622,7,21
1538338593,2,17
1538339540,13,18
1538340491,10,24
1538341461,6,14
1538342412,14,12
1538343394,5,21
1538344330,6,23
1538345309,6,25
1538346252,4,23
1538347216,1,16
1538348182,6,13
1538349132,7,24
1538350094,11,27
1538351073,8,26
1538352027,9,26
1538352981,13,36
1538353936,12,24
1538354898,1,32
1538355879,10,44
1538356810,9,12
1538357770,7,29
1538358733,9,46
1538359694,3,20
1538360656,12,16
1538361629,11,20
1538362569,10,22
1538363540,15,28
1538364491,10,21
1538365471,10,15
1538366422,9,26
1538367548,23,19
1538368569,10,18
1538369542,12,27
1538370498,7,27
1538371459,18,22
1538372446,17,17
1538373372,5,25
1538374342,9,19
1538375309,18,19
1538376271,9,18
1538377223,10,23
1538378182,21,18
1538379140,12,7
1538380113,16,0
1538381055,5,15
1538382014,9,7
1538382992,13,9
1538383933,14,51
1538384917,11,28
1538385852,24,15
1538386811,10,15
1538387789,17,19
1538388737,17,16
1538389688,7,19
1538390659,9,24
1538391620,22,15
1538392584,8,23
1538393537,9,19
1538394517,12,23
1538395709,20,14
1538396673,14,44
1538397611,13,0
1538398580,11,0
1538399550,16,0
1538400493,9,0
1538401454,17,0
1538402444,13,0
1538403402,15,0
1538404340,8,0
1538405294,6,10
1538406335,9,149
1538407469,17,45
1538408656,9,18
1538409628,9,23
1538410583,10,24
1538411540,6,20
1538412494,9,22
1538413476,6,25
1538414410,7,19
1538415385,12,30
1538416338,5,25
1538417300,3,28
1538418253,9,24
1538419212,7,26
1538420176,7,21
1538421138,8,15
1538422099,10,19
1538423056,7,20
1538424063,15,29
1538424983,0,21
1538425941,14,19
1538426891,14,27
1538427865,10,26
1538429062,7,29
1538430017,16,19
1538430971,15,21
1538431940,7,21
1538432909,19,22
1538433853,7,22
1538434816,8,19
1538435791,12,20
1538436740,11,56
1538437695,9,40
1538438665,10,33
1538439611,12,24
1538440588,15,28
1538441533,22,50
1538442517,18,36
1538443465,22,38
1538444410,14,26
1538445378,17,28
1538446333,14,26
1538447299,17,28
1538448292,21,23
1538449233,26,28
1538450188,12,15
1538451141,18,28
1538452092,14,22
1538453056,10,24
1538454019,11,15
1538455230,18,24
1538456169,1,23
1538457134,2,30
1538458092,9,28
1538459073,20,20
1538460023,26,17
1538460983,19,18
1538461935,26,26
1538462913,14,17
1538463857,19,7
1538464820,15,32
1538465790,20,0
1538466731,16,2
1538467963,10,7
1538468890,16,6
1538469858,20,14
1538470820,10,13
1538471786,15,72
1538472735,15,42
1538473715,15,16
1538474656,11,16
1538475622,11,17
1538476583,19,15
1538477538,15,16
1538478509,13,21
1538479458,20,20
1538480512,14,16
1538481671,12,18
1538482611,11,22
1538483547,15,7
1538484497,9,24
1538485465,11,16
1538486417,13,18
1538487394,16,16
1538488349,11,14
1538489297,5,12
1538490265,18,17
1538491211,10,15
1538492179,12,32
1538493143,7,17
1538494088,9,15
1538495059,8,20
1538496021,7,16
1538496985,10,25
1538497945,7,21
1538498892,12,0
1538499863,11,51
1538500817,7,0
1538501779,17,13
1538502744,8,35
1538503714,7,11
1538504665,17,0
1538505625,6,33
1538506585,8,0
1538507551,12,40
1538508494,9,0
1538509471,7,43
1538510500,15,12
1538511613,10,21
1538512572,11,19
1538513540,7,10
1538514517,8,16
1538515472,3,10
1538516416,16,18
1538517382,13,22
1538518334,13,13
1538519292,7,17
1538520275,6,21
1538521220,8,27
1538522196,7,0
1538523139,18,18
1538524092,16,34
1538525062,21,19
1538526009,33,38
1538526998,27,37
1538527932,21,27
1538528915,10,26
1538529867,0,18
1538530826,0,31
1538531808,0,20
1538532750,0,18
1538534662,0,62
1538536602,0,31
1538537548,0,17
1538538509,27,21
1538539475,51,20
1538540420,48,0
1538541401,28,53
1538542572,28,21
1538543548,22,15
1538544495,16,21
1538545456,15,19
1538546659,20,19
1538547618,16,12
1538548579,13,17
1538549538,14,19
1538550515,12,19
1538551468,16,8
1538552450,14,0
1538553405,19,8
1538554351,18,4
1538555293,18,12
1538556256,14,0
1538557211,29,17
1538558182,17,20
1538559140,20,41
1538560108,13,45
1538561064,15,0
1538562011,8,16
1538562990,16,37
1538563932,16,0
1538564903,12,15
1538565860,2,10
1538566812,0,14
1538567872,0,31
1538568993,0,13
1538569935,6,9
1538570894,18,13
1538571873,33,9
1538572807,34,14
1538573768,22,16
1538574746,10,17
1538575711,17,18
1538576649,11,14
1538577612,15,14
1538578589,13,9
1538579535,11,17
1538580494,9,14
1538581457,12,18
1538582436,15,17
