DateTime,Entries,UniqueIPs
1538160011,52513,53143
1538160975,52504,53134
1538161935,52495,53125
1538162892,52491,53121
1538163863,52473,53103
1538164848,52471,53101
1538165779,52451,53081
1538166749,52442,53072
1538167695,52434,53064
1538168666,52435,53065
1538169615,52429,53059
1538170590,52413,53043
1538171530,52403,53033
1538172506,52392,53022
1538173467,52386,53016
1538174437,52393,53023
1538175384,52398,53028
1538176351,52400,53030
1538177293,52373,53003
1538178260,52355,52985
1538179235,52355,52986
1538180183,52328,52960
1538181141,52322,52953
1538182095,52300,52931
1538183057,52271,52902
1538184015,52246,52877
1538184983,52242,52874
1538185950,52232,52863
1538186894,52231,52862
1538187857,52220,52852
1538188811,52219,52851
1538189796,52230,52862
1538190741,52229,52862
1538191696,52229,52862
1538192801,52226,52859
1538194121,52243,52878
1538195062,52248,52883
1538196011,52255,52891
1538196972,52256,52892
1538197955,52249,52883
1538198895,52249,52883
1538199853,52237,52870
1538200819,52230,52863
1538201785,52221,52852
1538202744,52217,52848
1538203691,52211,52842
1538204656,52197,52829
1538205610,52204,52836
1538207079,52196,52828
1538208022,52219,52851
1538208986,52217,52849
1538209941,52217,52849
1538210899,52208,52840
1538211856,52228,52860
1538212822,52216,52846
1538213783,52223,52853
1538214738,52229,52859
1538215703,52248,52878
1538216655,52256,52887
1538217617,52253,52884
1538218693,52247,52878
1538219799,52255,52887
1538220737,52260,52891
1538221693,52249,52880
1538222671,52162,52792
1538223618,52164,52794
1538224570,52160,52790
1538225531,52165,52795
1538226492,52159,52789
1538227466,52140,52770
1538228418,52124,52752
1538229372,52134,52762
1538230333,52099,52727
1538231291,52108,52736
1538232258,52081,52709
1538233226,52090,52719
1538234176,52074,52703
1538235136,52072,52701
1538236110,52069,52698
1538237056,52077,52706
1538238015,52084,52713
1538238985,52038,52668
1538239933,51986,52616
1538240893,51922,52552
1538241851,51911,52541
1538242812,51881,52514
1538243770,51889,52522
1538244739,51873,52506
1538245693,51874,52507
1538246655,51883,52516
1538247623,51868,52501
1538248578,51843,52480
1538249537,51830,52467
1538250494,51822,52459
1538251468,51809,52446
1538252411,51799,52436
1538253387,51790,52427
1538254333,51776,52413
1538255306,51759,52396
1538256252,51747,52384
1538257212,51736,52373
1538258183,51721,52358
1538259141,51716,52353
1538260095,51697,52334
1538261057,51703,52340
1538262022,51689,52326
1538262979,51677,52314
1538263939,51663,52300
1538264894,51642,52279
1538265870,51640,52276
1538266813,51642,52278
1538267784,51631,52268
1538268733,51628,52265
1538269706,51614,52251
1538270671,51610,52247
1538271626,51617,52253
1538272577,51621,52257
1538273541,51608,52244
1538274494,51612,52248
1538275466,51609,52245
1538276442,51598,52234
1538277385,51580,52216
1538278340,51585,52221
1538279294,51568,52204
1538280267,51559,52195
1538281211,51555,52191
1538282189,51542,52179
1538283130,51540,52177
1538284112,51524,52161
1538285068,51507,52145
1538286013,51499,52138
1538286972,51503,52141
1538287933,51485,52123
1538288891,51492,52131
1538289871,51478,52117
1538290839,51474,52113
1538291787,51486,52125
1538293236,51509,52148
1538294184,51528,52168
1538295138,51546,52188
1538296091,51548,52190
1538297066,51521,52163
1538298018,51547,52190
1538298979,51564,52207
1538299933,51533,52178
1538300907,51477,52121
1538301857,51424,52067
1538302810,51401,52043
1538303787,51397,52039
1538304730,51401,52043
1538305795,51396,52038
1538306910,51396,52040
1538307855,51399,52043
1538308857,51388,52032
1538309785,51386,52030
1538310740,51364,52008
1538311691,51357,52001
1538312676,51347,51991
1538313611,51337,51981
1538314570,51339,51984
1538315544,51337,51981
1538316494,51319,51963
1538317453,51311,51955
1538318411,51303,51948
1538319382,51284,51929
1538320336,51272,51917
1538321289,51263,51908
1538322256,51251,51896
1538323216,51237,51881
1538324184,51226,51869
1538325143,51212,51853
1538326098,51198,51839
1538327058,51187,51828
1538328015,51175,51816
1538328983,51169,51810
1538329931,51159,51799
1538330906,51145,51785
1538331858,51126,51765
1538332810,51101,51740
1538333783,51085,51723
1538334731,51073,51711
1538335691,51060,51698
1538336655,51050,51688
1538337622,51036,51674
1538338593,51021,51659
1538339540,51016,51654
1538340491,51002,51640
1538341461,50994,51632
1538342412,50996,51634
1538343394,50980,51618
1538344330,50963,51601
1538345309,50944,51582
1538346252,50925,51563
1538347216,50910,51548
1538348182,50903,51541
1538349132,50886,51524
1538350094,50869,51508
1538351073,50851,51490
1538352027,50834,51473
1538352981,50811,51450
1538353936,50799,51438
1538354898,50768,51407
1538355879,50734,51373
1538356810,50731,51370
1538357770,50709,51348
1538358733,50672,51311
1538359694,50655,51294
1538360656,50651,51290
1538361629,50643,51281
1538362569,50631,51269
1538363540,50618,51256
1538364491,50607,51245
1538365471,50603,51240
1538366422,50586,51223
1538367548,50590,51227
1538368569,50582,51219
1538369542,50568,51204
1538370498,50548,51184
1538371459,50544,51180
1538372446,50543,51180
1538373372,50523,51160
1538374342,50513,51150
1538375309,50512,51149
1538376271,50503,51140
1538377223,50490,51127
1538378182,50493,51130
1538379140,50498,51135
1538380113,50514,51151
1538381055,50504,51141
1538382014,50506,51143
1538382992,50510,51147
1538383933,50473,51110
1538384917,50456,51093
1538385852,50467,51102
1538386811,50462,51097
1538387789,50461,51095
1538388737,50463,51096
1538389688,50451,51084
1538390659,50437,51069
1538391620,50444,51076
1538392584,50429,51061
1538393537,50419,51051
1538394517,50408,51040
1538395709,50413,51046
1538396673,50383,51016
1538397611,50396,51029
1538398580,50407,51040
1538399550,50423,51056
1538400493,50431,51065
1538401454,50448,51082
1538402444,50460,51095
1538403402,50475,51110
1538404340,50483,51118
1538405294,50479,51114
1538406335,50339,50974
1538407469,50311,50946
1538408656,50302,50937
1538409628,50288,50923
1538410583,50275,50909
1538411540,50262,50895
1538412494,50249,50882
1538413476,50230,50863
1538414410,50218,50851
1538415385,50200,50833
1538416338,50180,50813
1538417300,50156,50788
1538418253,50141,50773
1538419212,50122,50754
1538420176,50107,50740
1538421138,50100,50733
1538422099,50091,50724
1538423056,50078,50711
1538424063,50064,50697
1538424983,50043,50676
1538425941,50038,50671
1538426891,50025,50658
1538427865,50009,50642
1538429062,49987,50620
1538430017,49983,50617
1538430971,49977,50611
1538431940,49963,50597
1538432909,49960,50594
1538433853,49945,50579
1538434816,49934,50568
1538435791,49926,50560
1538436740,49881,50515
1538437695,49849,50484
1538438665,49826,50461
1538439611,49814,50449
1538440588,49801,50436
1538441533,49773,50408
1538442517,49755,50390
1538443465,49739,50374
1538444410,49727,50362
1538445378,49715,50351
1538446333,49703,50339
1538447299,49692,50328
1538448292,49690,50326
1538449233,49689,50324
1538450188,49686,50321
1538451141,49676,50311
1538452092,49668,50303
1538453056,49654,50289
1538454019,49650,50285
1538455230,49644,50279
1538456169,49622,50257
1538457134,49594,50229
1538458092,49575,50210
1538459073,49575,50210
1538460023,49584,50219
1538460983,49585,50220
1538461935,49584,50220
1538462913,49581,50217
1538463857,49593,50229
1538464820,49576,50212
1538465790,49596,50232
1538466731,49610,50246
1538467963,49613,50249
1538468890,49623,50259
1538469858,49629,50265
1538470820,49626,50262
1538471786,49569,50205
1538472735,49542,50178
1538473715,49541,50177
1538474656,49536,50172
1538475622,49530,50166
1538476583,49534,50170
1538477538,49532,50169
1538478509,49524,50161
1538479458,49524,50161
1538480512,49523,50159
1538481671,49517,50153
1538482611,49506,50142
1538483547,49514,50150
1538484497,49499,50135
1538485465,49494,50130
1538486417,49489,50125
1538487394,49489,50125
1538488349,49486,50122
1538489297,49479,50115
1538490265,49480,50116
1538491211,49475,50111
1538492179,49455,50091
1538493143,49445,50081
1538494088,49439,50075
1538495059,49427,50063
1538496021,49418,50054
1538496985,49403,50039
1538497945,49389,50025
1538498892,49401,50037
1538499863,49361,49997
1538500817,49368,50004
1538501779,49372,50008
1538502744,49345,49981
1538503714,49341,49977
1538504665,49358,49994
1538505625,49332,49967
1538506585,49340,49975
1538507551,49312,49947
1538508494,49321,49956
1538509471,49285,49920
1538510500,49288,49923
1538511613,49277,49912
1538512572,49270,49904
1538513540,49267,49901
1538514517,49259,49893
1538515472,49252,49886
1538516416,49250,49884
1538517382,49241,49875
1538518334,49241,49875
1538519292,49231,49865
1538520275,49216,49850
1538521220,49197,49831
1538522196,49204,49838
1538523139,49204,49838
1538524092,49186,49820
1538525062,49187,49822
1538526009,49183,49817
1538526998,49172,49807
1538527932,49165,49801
1538528915,49149,49785
1538529867,49131,49767
1538530826,49101,49736
1538531808,49081,49716
1538532750,49063,49698
1538534662,49002,49636
1538536602,48971,49605
1538537548,48954,49588
1538538509,48958,49594
1538539475,48989,49625
1538540420,49036,49673
1538541401,49010,49648
1538542572,49018,49655
1538543548,49025,49662
1538544495,49020,49657
1538545456,49016,49653
1538546659,49017,49654
1538547618,49021,49658
1538548579,49018,49654
1538549538,49013,49649
1538550515,49006,49642
1538551468,49014,49650
1538552450,49028,49664
1538553405,49038,49675
1538554351,49052,49689
1538555293,49058,49695
1538556256,49071,49709
1538557211,49080,49721
1538558182,49077,49718
1538559140,49056,49697
1538560108,49024,49665
1538561064,49037,49680
1538562011,49029,49672
1538562990,49008,49651
1538563932,49024,49667
1538564903,49021,49664
1538565860,49013,49656
1538566812,48999,49642
1538567872,48969,49611
1538568993,48956,49598
1538569935,48953,49595
1538570894,48958,49600
1538571873,48978,49624
1538572807,48998,49644
1538573768,49004,49650
1538574746,48997,49643
1538575711,48996,49642
1538576649,48993,49639
1538577612,48994,49640
1538578589,48998,49644
1538579535,48991,49638
1538580494,48986,49633
1538581457,48981,49627
1538582436,48979,49625
1538583381,48968,49614
1538584341,48984,49630
1538585331,48972,49617
1538586279,48952,49597
1538587235,48939,49584
1538588177,48935,49580
1538589131,48924,49569
1538590114,48917,49562
1538591070,48918,49563
1538592026,48911,49555
1538593484,48892,49536
1538594657,48890,49534
1538595609,48888,49532
1538596611,48891,49535
1538597533,48890,49535
