DateTime,AddedIPs,RemovedIPs
1538161935,5,16
1538162892,12,12
1538163863,7,8
1538164848,9,10
1538165779,3,9
1538166749,12,10
1538167695,7,17
1538168666,13,7
1538169615,4,2
1538170590,10,15
1538171530,9,7
1538172506,6,6
1538173467,18,11
1538174437,7,19
1538175384,7,12
1538176351,10,17
1538177293,11,9
1538178260,11,17
1538179235,22,25
1538180183,19,26
1538181141,19,29
1538182095,13,16
1538183057,11,22
1538184015,16,25
1538184983,17,27
1538185950,21,19
1538186894,20,18
1538187857,15,18
1538188811,14,16
1538189796,25,15
1538190741,9,14
1538191696,12,17
1538192801,19,14
1538194121,41,23
1538195062,33,21
1538196011,17,13
1538196972,22,21
1538197955,11,7
1538198895,21,11
1538199853,16,13
1538200819,16,15
1538201785,12,20
1538202744,18,18
1538203691,14,22
1538204656,9,19
1538205610,21,18
1538207079,35,23
1538208022,23,13
1538208986,17,15
1538209941,17,15
1538210899,25,13
1538211856,20,7
1538212822,28,19
1538213783,20,14
1538214738,21,10
1538215703,19,7
1538216655,20,31
1538217617,13,9
1538218693,27,17
1538219799,24,12
1538220737,19,7
1538221693,16,14
1538222671,8,8
1538223618,18,9
1538224570,11,8
1538225531,20,13
1538226492,12,10
1538227466,13,14
1538228418,9,18
1538229372,10,14
1538230333,8,6
1538231291,9,18
1538232258,12,18
1538233226,10,14
1538234176,10,15
1538235136,11,13
1538236110,6,10
1538237056,9,10
1538238015,21,21
1538238985,6,5
1538239933,5,9
1538240893,3,5
1538241851,16,14
1538242812,15,10
1538243770,18,23
1538244739,13,14
1538245693,16,11
1538246655,12,15
1538247623,5,8
1538248578,16,15
1538249537,8,10
1538250494,17,11
1538251468,9,7
1538252411,7,4
1538253387,17,16
1538254333,5,6
1538255306,1,5
1538256252,12,14
1538257212,4,11
1538258183,5,4
1538259141,11,15
1538260095,7,9
1538261057,15,10
1538262022,4,4
1538262979,14,21
1538263939,12,16
1538264894,17,18
1538265870,30,19
1538266813,23,21
1538267784,20,32
1538268733,34,34
1538269706,14,9
1538270671,26,28
1538271626,34,17
1538272577,21,25
1538273541,19,24
1538274494,22,19
1538275466,15,17
1538276442,17,15
1538277385,13,12
1538278340,15,16
1538279294,11,13
1538280267,17,21
1538281211,14,16
1538282189,14,23
1538283130,13,9
1538284112,8,18
1538285068,14,19
1538286013,13,17
1538286972,22,18
1538287933,11,19
1538288891,22,10
1538289871,13,22
1538290839,16,18
1538291787,15,12
1538293236,24,29
1538294184,26,25
1538295138,20,20
1538296091,6,12
1538297066,14,17
1538298018,27,18
1538298979,17,21
1538299933,9,5
1538300907,18,16
1538301857,14,9
1538302810,10,17
1538303787,19,12
1538304730,16,18
1538305795,13,13
1538306910,19,16
1538307855,19,8
1538308857,13,10
1538309785,9,10
1538310740,10,9
1538311691,10,15
1538312676,10,10
1538313611,12,18
1538314570,21,10
1538315544,13,10
1538316494,4,1
1538317453,8,15
1538318411,9,17
1538319382,11,15
1538320336,4,12
1538321289,12,7
1538322256,6,6
1538323216,8,11
1538324184,9,17
1538325143,9,8
1538326098,5,9
1538327058,7,10
1538328015,5,12
1538328983,10,15
1538329931,7,9
1538330906,11,11
1538331858,6,7
1538332810,10,8
1538333783,5,17
1538334731,6,12
1538335691,8,14
1538336655,15,9
1538337622,7,7
1538338593,2,0
1538339540,13,15
1538340491,10,10
1538341461,6,3
1538342412,14,5
1538343394,5,4
1538344330,6,10
1538345309,6,15
1538346252,4,7
1538347216,1,10
1538348182,6,10
1538349132,7,8
1538350094,11,12
1538351073,8,17
1538352027,9,17
1538352981,13,32
1538353936,12,28
1538354898,1,28
1538355879,10,21
1538356810,9,34
1538357770,7,27
1538358733,9,31
1538359694,3,8
1538360656,12,22
1538361629,11,11
1538362569,10,12
1538363540,15,20
1538364491,10,7
1538365471,10,18
1538366422,9,15
1538367548,23,21
1538368569,10,14
1538369542,12,9
1538370498,7,8
1538371459,18,16
1538372446,17,10
1538373372,5,13
1538374342,9,8
1538375309,18,23
1538376271,9,14
1538377223,10,13
1538378182,21,18
1538379140,12,20
1538380113,16,7
1538381055,5,16
1538382014,9,23
1538382992,13,17
1538383933,14,9
1538384917,11,8
1538385852,24,17
1538386811,10,13
1538387789,17,21
1538388737,17,16
1538389688,7,8
1538390659,9,14
1538391620,22,15
1538392584,8,14
1538393537,9,16
1538394517,12,9
1538395709,20,14
1538396673,14,13
1538397611,13,13
1538398580,11,10
1538399550,16,10
1538400493,9,8
1538401454,17,7
1538402444,13,12
1538403402,15,9
1538404340,8,10
1538405294,6,3
1538406335,9,15
1538407469,17,13
1538408656,9,9
1538409628,9,4
1538410583,10,4
1538411540,6,10
1538412494,9,4
1538413476,6,5
1538414410,7,9
1538415385,12,7
1538416338,5,8
1538417300,3,7
1538418253,9,10
1538419212,7,8
1538420176,7,4
1538421138,8,12
1538422099,10,11
1538423056,7,7
1538424063,15,14
1538425941,14,14
1538426891,14,12
1538427865,10,5
1538429062,7,14
1538430017,16,7
1538430971,15,5
1538431940,7,6
1538432909,19,4
1538433853,7,6
1538434816,8,3
1538435791,12,16
1538436740,11,15
1538437695,9,18
1538438665,10,18
1538439611,12,18
1538440588,15,15
1538441533,22,13
1538442517,18,18
1538443465,22,18
1538444410,14,16
1538445378,17,14
1538446333,14,10
1538447299,17,12
1538448292,21,19
1538449233,26,12
1538450188,12,22
1538451141,18,14
1538452092,14,11
1538453056,10,9
1538454019,11,13
1538455230,18,12
1538456169,1,13
1538457134,2,14
1538458092,9,9
1538459073,20,11
1538460023,26,11
1538460983,19,15
1538461935,26,12
1538462913,14,7
1538463857,19,7
1538464820,15,22
1538465790,20,13
1538466731,16,11
1538467963,10,14
1538468890,16,10
1538469858,20,14
1538470820,10,12
1538471786,15,25
1538472735,15,23
1538473715,15,10
1538474656,11,16
1538475622,11,7
1538476583,19,20
1538477538,15,12
1538478509,13,9
1538479458,20,12
1538480512,14,16
1538481671,12,12
1538482611,11,9
1538483547,15,16
1538484497,9,9
1538485465,11,12
1538486417,13,7
1538487394,16,12
1538488349,11,8
1538489297,5,9
1538490265,18,14
1538491211,10,12
1538492179,12,14
1538493143,7,11
1538494088,9,18
1538495059,8,8
1538496021,7,11
1538496985,10,7
1538497945,7,9
1538498892,12,10
1538499863,11,8
1538500817,7,11
1538501779,17,15
1538502744,8,9
1538503714,7,4
1538504665,17,2
1538505625,6,12
1538506585,8,15
1538507551,12,9
1538508494,9,12
1538509471,7,10
1538510500,15,10
1538511613,10,5
1538512572,11,16
1538513540,7,11
1538514517,8,8
1538515472,3,16
1538516416,16,14
1538517382,13,12
1538518334,13,9
1538519292,7,10
1538520275,6,10
1538521220,8,9
1538522196,7,11
1538523139,18,21
1538524092,16,12
1538525062,21,24
1538526009,33,24
1538526998,27,19
1538527932,21,25
1538528915,10,6
1538529867,0,29
1538530826,0,14
1538531808,0,24
1538532750,0,20
1538533692,0,18
1538534662,0,16
1538535632,0,13
1538536602,0,20
1538537548,0,12
1538538509,27,2
1538539475,51,9
1538540420,48,4
1538541401,28,16
1538542572,28,6
1538543548,22,1
1538544495,16,9
1538545456,15,25
1538546659,20,24
1538547618,16,12
1538548579,13,22
1538549538,14,11
1538550515,12,9
1538551468,16,17
1538552450,14,10
1538553405,19,11
1538554351,18,4
1538555293,18,14
1538556256,14,11
1538557211,29,8
1538558182,17,3
1538559140,20,16
1538560108,13,8
1538561064,15,12
1538562011,8,9
1538562990,16,17
1538563932,16,8
1538564903,12,7
1538565860,2,26
1538566812,0,12
1538567872,0,22
1538568993,4,14
1538569935,6,7
1538570894,18,11
1538571873,33,10
1538572807,34,8
1538573768,22,12
1538574746,10,10
1538575711,17,11
1538576649,11,2
1538577612,15,11
1538578589,13,12
1538579535,11,6
1538580494,9,17
1538581457,12,17
1538582436,15,17
1538583381,12,13
1538584341,16,9
1538585331,11,9
1538586279,5,4
1538587235,6,13
1538588177,11,13
1538589131,7,2
1538590114,8,10
1538591070,11,12
1538592026,6,8
1538593484,23,22
1538594657,14,18
