DateTime,Entries,UniqueIPs
1538161935,1028,1028
1538162892,1028,1028
1538163863,1027,1027
1538164848,1026,1026
1538165779,1020,1020
1538166749,1022,1022
1538167695,1012,1012
1538168666,1018,1018
1538169615,1020,1020
1538170590,1015,1015
1538171530,1017,1017
1538172506,1017,1017
1538173467,1024,1024
1538174437,1012,1012
1538175384,1007,1007
1538176351,1000,1000
1538177293,1002,1002
1538178260,996,996
1538179235,993,993
1538180183,986,986
1538181141,976,976
1538182095,973,973
1538183057,962,962
1538184015,953,953
1538184983,943,943
1538185950,945,945
1538186894,947,947
1538187857,944,944
1538188811,942,942
1538189796,952,952
1538190741,947,947
1538191696,942,942
1538192801,947,947
1538194121,965,965
1538195062,977,977
1538196011,981,981
1538196972,982,982
1538197955,986,986
1538198895,996,996
1538199853,999,999
1538200819,1000,1000
1538201785,992,992
1538202744,992,992
1538203691,984,984
1538204656,974,974
1538205610,977,977
1538207079,989,989
1538208022,999,999
1538208986,1001,1001
1538209941,1003,1003
1538210899,1015,1015
1538211856,1028,1028
1538212822,1037,1037
1538213783,1043,1043
1538214738,1054,1054
1538215703,1066,1066
1538216655,1055,1055
1538217617,1059,1059
1538218693,1069,1069
1538219799,1081,1081
1538220737,1093,1093
1538221693,1095,1095
1538222671,1095,1095
1538223618,1104,1104
1538224570,1107,1107
1538225531,1114,1114
1538226492,1116,1116
1538227466,1115,1115
1538228418,1106,1106
1538229372,1102,1102
1538230333,1104,1104
1538231291,1095,1095
1538232258,1089,1089
1538233226,1085,1085
1538234176,1080,1080
1538235136,1078,1078
1538236110,1074,1074
1538237056,1073,1073
1538238015,1073,1073
1538238985,1074,1074
1538239933,1070,1070
1538240893,1068,1068
1538241851,1070,1070
1538242812,1075,1075
1538243770,1070,1070
1538244739,1069,1069
1538245693,1074,1074
1538246655,1071,1071
1538247623,1068,1068
1538248578,1069,1069
1538249537,1067,1067
1538250494,1073,1073
1538251468,1075,1075
1538252411,1078,1078
1538253387,1079,1079
1538254333,1078,1078
1538255306,1074,1074
1538256252,1072,1072
1538257212,1065,1065
1538258183,1066,1066
1538259141,1062,1062
1538260095,1060,1060
1538261057,1065,1065
1538262022,1065,1065
1538262979,1058,1058
1538263939,1054,1054
1538264894,1053,1053
1538265870,1064,1064
1538266813,1066,1066
1538267784,1054,1054
1538268733,1054,1054
1538269706,1059,1059
1538270671,1057,1057
1538271626,1074,1074
1538272577,1070,1070
1538273541,1065,1065
1538274494,1068,1068
1538275466,1066,1066
1538276442,1068,1068
1538277385,1069,1069
1538278340,1068,1068
1538279294,1066,1066
1538280267,1062,1062
1538281211,1060,1060
1538282189,1051,1051
1538283130,1055,1055
1538284112,1045,1045
1538285068,1040,1040
1538286013,1036,1036
1538286972,1040,1040
1538287933,1032,1032
1538288891,1044,1044
1538289871,1035,1035
1538290839,1033,1033
1538291787,1036,1036
1538293236,1031,1031
1538294184,1032,1032
1538295138,1032,1032
1538296091,1026,1026
1538297066,1023,1023
1538298018,1032,1032
1538298979,1028,1028
1538299933,1032,1032
1538300907,1034,1034
1538301857,1039,1039
1538302810,1032,1032
1538303787,1039,1039
1538304730,1037,1037
1538305795,1037,1037
1538306910,1040,1040
1538307855,1051,1051
1538308857,1054,1054
1538309785,1053,1053
1538310740,1054,1054
1538311691,1049,1049
1538312676,1049,1049
1538313611,1043,1043
1538314570,1054,1054
1538315544,1057,1057
1538316494,1060,1060
1538317453,1053,1053
1538318411,1045,1045
1538319382,1041,1041
1538320336,1033,1033
1538321289,1038,1038
1538322256,1038,1038
1538323216,1035,1035
1538324184,1027,1027
1538325143,1028,1028
1538326098,1024,1024
1538327058,1021,1021
1538328015,1014,1014
1538328983,1009,1009
1538329931,1007,1007
1538330906,1007,1007
1538331858,1006,1006
1538332810,1008,1008
1538333783,996,996
1538334731,990,990
1538335691,984,984
1538336655,990,990
1538337622,990,990
1538338593,992,992
1538339540,990,990
1538340491,990,990
1538341461,993,993
1538342412,1002,1002
1538343394,1003,1003
1538344330,999,999
1538345309,990,990
1538346252,987,987
1538347216,978,978
1538348182,974,974
1538349132,973,973
1538350094,972,972
1538351073,963,963
1538352027,955,955
1538352981,936,936
1538353936,920,920
1538354898,893,893
1538355879,882,882
1538356810,857,857
1538357770,837,837
1538358733,815,815
1538359694,810,810
1538360656,800,800
1538361629,800,800
1538362569,798,798
1538363540,793,793
1538364491,796,796
1538365471,788,788
1538366422,782,782
1538367548,784,784
1538368569,780,780
1538369542,783,783
1538370498,782,782
1538371459,784,784
1538372446,791,791
1538373372,783,783
1538374342,784,784
1538375309,779,779
1538376271,774,774
1538377223,771,771
1538378182,774,774
1538379140,766,766
1538380113,775,775
1538381055,764,764
1538382014,750,750
1538382992,746,746
1538383933,751,751
1538384917,754,754
1538385852,761,761
1538386811,758,758
1538387789,754,754
1538388737,755,755
1538389688,754,754
1538390659,749,749
1538391620,756,756
1538392584,750,750
1538393537,743,743
1538394517,746,746
1538395709,752,752
1538396673,753,753
1538397611,753,753
1538398580,754,754
1538399550,760,760
1538400493,761,761
1538401454,771,771
1538402444,772,772
1538403402,778,778
1538404340,776,776
1538405294,779,779
1538406335,773,773
1538407469,777,777
1538408656,777,777
1538409628,782,782
1538410583,788,788
1538411540,784,784
1538412494,789,789
1538413476,790,790
1538414410,788,788
1538415385,793,793
1538416338,790,790
1538417300,786,786
1538418253,785,785
1538419212,784,784
1538420176,787,787
1538421138,783,783
1538422099,782,782
1538423056,782,782
1538424063,783,783
1538425941,783,783
1538426891,785,785
1538427865,790,790
1538429062,783,783
1538430017,792,792
1538430971,802,802
1538431940,803,803
1538432909,818,818
1538433853,819,819
1538434816,824,824
1538435791,820,820
1538436740,816,816
1538437695,807,807
1538438665,799,799
1538439611,793,793
1538440588,793,793
1538441533,802,802
1538442517,802,802
1538443465,806,806
1538444410,804,804
1538445378,807,807
1538446333,811,811
1538447299,816,816
1538448292,818,818
1538449233,832,832
1538450188,822,822
1538451141,826,826
1538452092,829,829
1538453056,830,830
1538454019,828,828
1538455230,834,834
1538456169,822,822
1538457134,810,810
1538458092,810,810
1538459073,819,819
1538460023,834,834
1538460983,838,838
1538461935,852,852
1538462913,859,859
1538463857,871,871
1538464820,864,864
1538465790,871,871
1538466731,876,876
1538467963,872,872
1538468890,878,878
1538469858,884,884
1538470820,882,882
1538471786,872,872
1538472735,864,864
1538473715,869,869
1538474656,864,864
1538475622,868,868
1538476583,867,867
1538477538,870,870
1538478509,874,874
1538479458,882,882
1538480512,880,880
1538481671,880,880
1538482611,882,882
1538483547,881,881
1538484497,881,881
1538485465,880,880
1538486417,886,886
1538487394,890,890
1538488349,893,893
1538489297,889,889
1538490265,893,893
1538491211,891,891
1538492179,889,889
1538493143,885,885
1538494088,876,876
1538495059,876,876
1538496021,872,872
1538496985,875,875
1538497945,873,873
1538498892,875,875
1538499863,878,878
1538500817,874,874
1538501779,876,876
1538502744,875,875
1538503714,878,878
1538504665,893,893
1538505625,887,887
1538506585,880,880
1538507551,883,883
1538508494,880,880
1538509471,877,877
1538510500,882,882
1538511613,887,887
1538512572,882,882
1538513540,878,878
1538514517,878,878
1538515472,865,865
1538516416,867,867
1538517382,868,868
1538518334,872,872
1538519292,869,869
1538520275,865,865
1538521220,864,864
1538522196,860,860
1538523139,857,857
1538524092,861,861
1538525062,858,858
1538526009,867,867
1538526998,875,875
1538527932,871,871
1538528915,875,875
1538529867,846,846
1538530826,832,832
1538531808,808,808
1538532750,788,788
1538533692,770,770
1538534662,754,754
1538535632,741,741
1538536602,721,721
1538537548,709,709
1538538509,734,734
1538539475,776,776
1538540420,820,820
1538541401,832,832
1538542572,854,854
1538543548,875,875
1538544495,882,882
1538545456,872,872
1538546659,868,868
1538547618,872,872
1538548579,863,863
1538549538,866,866
1538550515,869,869
1538551468,868,868
1538552450,872,872
1538553405,880,880
1538554351,894,894
1538555293,898,898
1538556256,901,901
1538557211,922,922
1538558182,936,936
1538559140,940,940
1538560108,945,945
1538561064,948,948
1538562011,947,947
1538562990,946,946
1538563932,954,954
1538564903,959,959
1538565860,935,935
1538566812,923,923
1538567872,901,901
1538568993,891,891
1538569935,890,890
1538570894,897,897
1538571873,920,920
1538572807,946,946
1538573768,956,956
1538574746,956,956
1538575711,962,962
1538576649,971,971
1538577612,975,975
1538578589,976,976
1538579535,981,981
1538580494,973,973
1538581457,968,968
1538582436,966,966
1538583381,965,965
1538584341,972,972
1538585331,974,974
1538586279,975,975
1538587235,968,968
1538588177,966,966
1538589131,971,971
1538590114,969,969
1538591070,968,968
1538592026,966,966
1538593484,967,967
1538594657,963,963
1538595609,972,972
1538596611,974,974
1538597533,981,981
1538598496,974,974
1538599456,973,973
1538600433,961,961
1538601390,962,962
1538602341,959,959
1538603297,960,960
1538604258,961,961
1538605212,960,960
1538606196,952,952
1538607131,942,942
1538608115,933,933
1538609067,916,916
1538610018,901,901
1538610977,885,885
1538611939,853,853
1538612895,839,839
1538613869,822,822
1538615061,867,867
1538616025,919,919
1538616970,955,955
1538617932,987,987
1538618902,1029,1029
1538619856,1057,1057
1538620814,1070,1070
1538621795,1093,1093
1538622733,1106,1106
1538623691,1123,1123
1538624676,1137,1137
1538625637,1075,1075
1538626585,1052,1052
1538627540,1024,1024
1538628496,1002,1002
1538629610,981,981
1538630653,980,980
1538631615,980,980
1538632847,962,962
1538633793,968,968
1538634739,974,974
1538635695,974,974
1538636666,979,979
1538637615,982,982
1538638578,970,970
1538639539,966,966
1538640505,965,965
1538641459,957,957
1538642411,948,948
1538643395,936,936
1538644332,942,942
1538645294,942,942
1538646257,944,944
1538647247,949,949
1538648187,941,941
