DateTime,AddedIPs,RemovedIPs
1538161937,213,0
1538162894,215,531
1538163865,240,0
1538164850,217,391
1538165781,160,0
1538166751,187,417
1538167697,228,0
1538168668,246,387
1538169617,230,0
1538170591,205,426
1538171532,208,0
1538172508,235,201
1538173469,204,213
1538174438,194,473
1538175386,236,192
1538176353,224,227
1538177295,218,0
1538178263,235,405
1538179237,239,0
1538180185,217,412
1538181143,204,0
1538182097,208,235
1538183058,197,201
1538184017,207,207
1538184985,203,222
1538185952,245,208
1538186897,256,245
1538187858,215,262
1538188812,216,191
1538189797,253,220
1538190743,209,211
1538191698,197,208
1538192803,218,222
1538194123,211,496
1538195063,271,240
1538196013,226,0
1538196974,214,250
1538197956,219,440
1538198897,224,293
1538199856,250,0
1538200826,189,215
1538201787,210,502
1538202746,209,0
1538203693,194,228
1538204658,182,210
1538205613,164,259
1538207082,194,502
1538208024,206,250
1538208988,182,0
1538209942,221,457
1538210901,208,259
1538211859,190,0
1538212824,201,230
1538213785,209,480
1538214740,242,212
1538215705,220,243
1538216657,197,222
1538217618,218,226
1538218696,209,230
1538219800,220,288
1538220739,207,223
1538221695,210,242
1538222673,210,197
1538223620,232,263
1538224572,206,215
1538225532,212,252
1538226495,224,270
1538227468,254,199
1538228419,192,247
1538229374,223,247
1538230336,189,246
1538231293,230,248
1538232261,219,262
1538233228,224,237
1538234177,216,218
1538235137,217,296
1538236111,246,249
1538237059,252,232
1538238017,240,216
1538238986,213,236
1538239936,228,258
1538240895,214,243
1538241852,233,245
1538242814,248,215
1538243772,229,197
1538244741,271,232
1538245695,283,230
1538246657,203,210
1538247625,251,207
1538248579,215,200
1538249539,258,212
1538250495,236,230
1538251471,211,165
1538252413,189,210
1538253388,261,205
1538254334,212,208
1538255308,229,254
1538256255,214,222
1538257214,231,244
1538258184,181,216
1538259143,188,213
1538260097,206,196
1538261060,217,208
1538262024,207,232
1538262982,207,247
1538263941,234,223
1538264896,232,227
1538265872,178,239
1538266814,210,211
1538267786,214,201
1538268736,221,193
1538269708,213,200
1538270673,217,206
1538271628,194,224
1538272580,178,242
1538273543,178,225
1538274496,178,220
1538275468,210,216
1538276443,175,248
1538277386,189,201
1538278341,190,216
1538279296,178,226
1538280269,187,0
1538281213,187,220
1538282191,190,254
1538283132,178,220
1538284113,170,211
1538285070,173,224
1538286015,177,206
1538286974,211,238
1538287936,222,186
1538288893,160,197
1538289873,200,205
1538290841,198,193
1538291789,236,206
1538293238,204,171
1538294185,172,209
1538295141,151,212
1538296092,187,170
1538297067,213,235
1538298020,186,218
1538298981,184,210
1538299935,191,220
1538300909,198,230
1538301860,184,251
1538302812,196,231
1538303789,202,205
1538304733,179,226
1538305797,163,216
1538306912,225,229
1538307858,193,218
1538308859,213,246
1538309787,169,201
1538310741,191,228
1538311693,195,192
1538312679,220,210
1538313613,187,222
1538314572,211,213
1538315546,193,222
1538316496,234,264
1538317454,215,227
1538318414,224,248
1538319384,228,252
1538320339,229,223
1538321291,196,235
1538322259,198,233
1538323218,194,238
1538324186,219,251
1538325145,175,234
1538326100,194,211
1538327059,212,229
1538328017,223,253
1538328984,193,245
1538329933,187,241
1538330907,228,264
1538331860,189,272
1538332812,233,273
1538333785,207,211
1538334734,191,256
1538335693,199,251
1538336658,244,250
1538337624,233,223
1538338595,137,195
1538339542,216,221
1538340493,224,263
1538341462,166,227
1538342413,190,232
1538343396,207,214
1538344333,196,233
1538345310,184,232
1538346255,218,201
1538347218,209,208
1538348183,209,205
1538349135,225,244
1538350095,213,221
1538351075,186,222
1538352029,173,194
1538352982,227,161
1538353938,255,175
1538354901,202,188
1538355880,195,204
1538356813,257,216
1538357772,252,191
1538358736,258,176
1538359695,258,172
1538360658,236,180
1538361630,269,205
1538362570,259,191
1538363543,251,180
1538364494,231,186
1538365473,216,190
1538366424,234,184
1538367550,241,187
1538368571,216,181
1538369544,287,386
1538370501,234,0
1538371461,236,177
1538372448,210,337
1538373374,225,0
1538374344,237,464
1538375311,240,202
1538376273,222,0
1538377225,219,184
1538378185,227,196
1538379141,188,190
1538380114,231,187
1538381057,210,179
1538382016,246,164
1538382994,218,190
1538383934,212,199
1538384920,251,202
1538385854,238,179
1538386812,196,187
1538387791,214,168
1538388739,236,180
1538389690,229,190
1538390662,235,162
1538391622,250,175
1538392585,263,170
1538393539,206,160
1538394519,233,206
1538395710,215,219
1538396675,239,165
1538397613,221,188
1538398582,238,181
1538399552,296,194
1538400495,215,179
1538401457,233,209
1538402446,259,189
1538403404,273,257
1538404342,234,218
1538405297,258,214
1538406336,211,224
1538407472,245,265
1538408658,265,211
1538409629,214,418
1538410584,255,0
1538411542,221,218
1538412497,246,170
1538413477,204,403
1538414413,254,0
1538415387,234,435
1538416340,214,219
1538417303,223,0
1538418256,238,277
1538419214,223,511
1538420178,170,0
1538421141,229,361
1538422102,215,208
1538423059,272,192
1538424065,236,126
1538424985,134,0
1538425942,232,429
1538426894,239,209
1538427867,241,177
1538429063,278,194
1538430019,205,200
1538430973,224,199
1538431942,204,167
1538432911,211,218
1538433856,223,213
1538434819,192,209
1538435793,202,230
1538436742,246,219
