DateTime,AddedIPs,RemovedIPs
1538155220,1208,1208
1538156184,1127,1127
1538157135,1137,1137
1538158098,1181,1181
1538159056,1195,1195
1538160013,1174,1174
1538160977,1131,1131
1538161937,1171,1171
1538162894,1181,1181
1538163865,1178,1178
1538164850,1174,1174
1538165781,941,941
1538166751,1162,1162
1538167697,1172,1172
1538168668,1146,1146
1538169617,1160,1160
1538170591,1154,1154
1538171532,1161,1161
1538172508,1175,1175
1538173469,1144,1144
1538174438,1126,1126
1538175386,1152,1152
1538176353,1203,1203
1538177295,1207,1207
1538178263,1199,1199
1538179237,1233,1233
1538180185,1238,1238
1538181143,1209,1209
1538182097,1215,1215
1538183058,1241,1241
1538184017,1247,1247
1538184985,1272,1272
1538185952,1333,1333
1538186897,1360,1360
1538187858,1322,1322
1538188812,1248,1248
1538189797,1290,1290
1538190743,1291,1291
1538191698,1241,1241
1538192803,1260,1260
1538194123,1274,1274
1538195063,1237,1237
1538196013,1200,1200
1538196974,1183,1183
1538197956,1216,1216
1538198897,1204,1204
1538199856,1190,1190
1538200826,1189,1189
1538201787,1197,1197
1538202746,1213,1213
1538203693,1205,1205
1538204658,1171,1171
1538205613,1145,1145
1538207082,1148,1148
1538208024,1166,1166
1538208988,1149,1149
1538209942,1130,1130
1538210901,1152,1152
1538211859,1132,1132
1538212824,1167,1167
1538213785,1184,1184
1538214740,1167,1167
1538215705,1131,1131
1538216657,1152,1152
1538217618,1154,1154
1538218696,1120,1120
1538219800,1107,1107
1538220739,1115,1115
1538221695,1128,1128
1538222673,1101,1101
1538223620,1142,1142
1538224572,1140,1140
1538225532,1121,1121
1538226495,1148,1148
1538227468,1144,1144
1538228419,1155,1155
1538229374,1180,1180
1538230336,1178,1178
1538231293,1206,1206
1538232261,1186,1186
1538233228,1212,1212
1538234177,1189,1189
1538235137,1171,1171
1538236111,1156,1156
1538237059,1158,1158
1538238017,1203,1203
1538238986,1188,1188
1538239936,1169,1169
1538240895,1152,1152
1538241852,1212,1212
1538242814,1151,1151
1538243772,1173,1173
1538244741,1222,1222
1538245695,1216,1216
1538246657,1199,1199
1538247625,1175,1175
1538248579,1157,1157
1538249539,1180,1180
1538250495,1181,1181
1538251471,1121,1121
1538252413,934,934
1538253388,1188,1188
1538254334,1152,1152
1538255308,1126,1126
1538256255,1151,1151
1538257214,1156,1156
1538258184,1133,1133
1538259143,1135,1135
1538260097,1132,1132
1538261060,1146,1146
1538262024,1146,1146
1538262982,1151,1151
1538263941,1131,1131
1538264896,1124,1124
1538265872,1060,1060
1538266814,1086,1086
1538267786,1112,1112
1538268736,1126,1126
1538269708,1147,1147
1538270673,1135,1135
1538271628,1085,1085
1538272580,1092,1092
1538273543,1075,1075
1538274496,1086,1086
1538275468,1062,1062
1538276443,1039,1039
1538277386,1067,1067
1538278341,1069,1069
1538279296,1064,1064
1538280269,1088,1088
1538281213,1098,1098
1538282191,1083,1083
1538283132,1081,1081
1538284113,1040,1040
1538285070,1082,1082
1538286015,1065,1065
1538286974,1098,1098
1538287936,1152,1152
1538288893,1124,1124
1538289873,1105,1105
1538290841,1076,1076
1538291789,1098,1098
1538293238,1103,1103
1538294185,1066,1066
1538295141,1052,1052
1538296092,1088,1088
1538297067,1089,1089
1538298020,1090,1090
1538298981,1108,1108
1538299935,1080,1080
