DateTime,Entries,UniqueIPs
1536851580,12871,12871
1536855197,12889,12889
1536858791,12899,12899
1536862402,12933,12933
1536865991,12952,12952
1536869608,12920,12920
1536873213,12945,12945
1536876797,12903,12903
1536880403,12908,12908
1536884004,12914,12914
1536887588,12879,12879
1536891187,12861,12861
1536894797,12827,12827
1536898364,12822,12822
1536901986,12842,12842
1536905593,12867,12867
1536909172,12878,12878
1536912782,12885,12885
1536916377,12873,12873
1536919978,12874,12874
1536923577,12914,12914
1536927183,12935,12935
1536930792,12930,12930
1536934379,12919,12919
1536937981,12879,12879
1536941578,12848,12848
1536945178,12852,12852
1536948781,12952,12952
1536952390,12996,12996
1536955988,12969,12969
1536959591,12943,12943
1536963186,12932,12932
1536966794,12932,12932
1536970396,12948,12948
1536973984,12938,12938
1536977578,12910,12910
1536981178,12880,12880
1536984778,12866,12866
1536988383,12857,12857
1536991983,12903,12903
1536995584,12924,12924
1536999181,12913,12913
1537002786,12914,12914
1537006382,12914,12914
1537009982,12886,12886
1537013588,12881,12881
1537017186,12909,12909
1537020780,12826,12826
1537024384,12827,12827
1537027983,12812,12812
1537031582,12824,12824
1537035180,12828,12828
1537038784,12871,12871
1537042385,12892,12892
1537045987,12858,12858
1537049586,12853,12853
1537053179,12799,12799
1537056782,12839,12839
1537060378,12781,12781
1537063973,12742,12742
1537067569,12675,12675
1537071178,12643,12643
1537074779,12652,12652
1537078383,12664,12664
1537081981,12684,12684
1537085565,12709,12709
1537089179,12686,12686
1537092772,12714,12714
1537096378,12697,12697
1537099976,12696,12696
1537103577,12707,12707
1537107164,12723,12723
1537110773,12688,12688
1537114373,12665,12665
1537117965,12647,12647
1537121573,12623,12623
1537125179,12651,12651
1537128776,12677,12677
1537132382,12664,12664
1537135973,12647,12647
1537139582,12635,12635
1537143181,12615,12615
1537146792,12622,12622
1537150393,12614,12614
1537153985,12568,12568
1537157575,12561,12561
1537161177,12577,12577
1537164769,12577,12577
1537168364,12543,12543
1537171973,12582,12582
1537175570,12603,12603
1537179177,12578,12578
1537182769,12583,12583
1537186355,12510,12510
1537189965,12504,12504
1537193563,12496,12496
1537197153,12463,12463
1537200759,12467,12467
1537204368,12443,12443
1537207961,12439,12439
1537211569,12474,12474
1537215160,12470,12470
1537218761,12492,12492
1537222365,12481,12481
1537225962,12474,12474
1537229559,12399,12399
1537233156,12425,12425
1537236767,12427,12427
1537240363,12451,12451
1537243963,12450,12450
1537247562,12425,12425
1537251161,12408,12408
1537254766,12384,12384
1537258359,12432,12432
1537261961,12483,12483
1537265556,12459,12459
1537269162,12453,12453
1537272762,12454,12454
1537276512,12439,12439
1537279965,12472,12472
1537283559,12472,12472
1537287157,12433,12433
1537290761,12401,12401
1537294365,12371,12371
1537297966,12344,12344
1537301567,12381,12381
1537305168,12414,12414
1537308766,12408,12408
1537312365,12371,12371
1537315965,12361,12361
1537319563,12315,12315
1537323155,12316,12316
1537326765,12324,12324
1537330351,12274,12274
1537333957,12256,12256
1537337539,12216,12216
1537341155,12194,12194
1537344755,12210,12210
1537348353,12240,12240
1537351960,12226,12226
1537355553,12203,12203
1537359164,12229,12229
1537362750,12219,12219
1537366358,12224,12224
1537369953,12178,12178
1537373555,12159,12159
1537377142,12182,12182
1537380752,12144,12144
1537384348,12139,12139
1537387945,12161,12161
1537391543,12175,12175
1537395156,12219,12219
1537398754,12250,12250
1537402350,12230,12230
1537405957,12367,12367
1537409568,12494,12494
1537413174,12546,12546
1537416767,12516,12516
1537420378,12499,12499
1537423940,12447,12447
1537427561,12405,12405
1537431164,12424,12424
1537434767,12475,12475
1537438371,12536,12536
1537441968,12544,12544
1537445573,12563,12563
1537449171,12587,12587
1537452772,12572,12572
1537456359,12578,12578
1537459973,12587,12587
1537463571,12533,12533
1537467170,12557,12557
1537470762,12523,12523
1537474369,12515,12515
1537477977,12516,12516
1537481576,12545,12545
1537485174,12563,12563
1537488783,12684,12684
1537492393,12743,12743
1537495981,12744,12744
1537499574,12753,12753
1537503185,12775,12775
1537506777,12745,12745
1537510378,12721,12721
1537513967,12691,12691
1537517584,12671,12671
1537521174,12679,12679
1537524777,12678,12678
1537528378,12691,12691
1537531971,12670,12670
1537535566,12658,12658
1537539176,12632,12632
1537542761,12627,12627
1537546375,12629,12629
1537549970,12591,12591
1537553566,12593,12593
1537557169,12541,12541
1537560769,12522,12522
1537564366,12524,12524
1537567975,12554,12554
1537571577,12621,12621
1537575171,12605,12605
1537578773,12647,12647
1537582376,12633,12633
1537585978,12631,12631
1537589571,12653,12653
1537593173,12671,12671
1537596792,12621,12621
1537600372,12578,12578
1537603972,12558,12558
1537607573,12534,12534
1537611174,12576,12576
1537614776,12629,12629
1537618375,12682,12682
1537621979,12743,12743
