DateTime,AddedIPs,RemovedIPs
1536851563,29,67
1536855174,66,52
1536858769,69,47
1536862381,63,29
1536866001,42,44
1536869589,25,42
1536873201,61,33
1536876806,19,52
1536880391,45,37
1536883992,34,33
1536887599,18,51
1536891196,45,47
1536894781,26,48
1536898399,28,32
1536901973,54,32
1536905576,44,17
1536909154,39,30
1536912755,40,38
1536916351,28,35
1536919950,41,52
1536923546,52,31
1536927158,44,36
1536930760,44,48
1536934352,51,49
1536937949,25,53
1536941555,31,37
1536945156,44,36
1536948770,119,30
1536952374,89,32
1536955974,37,46
1536959569,46,57
1536963173,26,45
1536966768,28,40
1536970380,49,35
1536973967,24,34
1536977557,36,60
1536981159,37,57
1536984760,23,33
1536988366,27,39
1536991962,69,17
1536995567,88,71
1536999168,38,52
1537002764,47,38
1537006368,19,21
1537009968,19,48
1537013572,36,40
1537017168,42,28
1537020760,25,109
1537024354,69,60
1537027966,71,63
1537031569,31,40
1537035167,63,61
1537038793,87,63
1537042394,49,38
1537045996,35,69
1537049595,36,30
1537053188,22,72
1537056791,55,26
1537060387,36,89
1537063982,32,59
1537067580,43,94
1537071166,35,59
1537074763,39,31
1537078371,50,40
1537081991,36,25
1537085578,53,33
1537089167,25,50
1537092781,69,24
1537096362,22,45
1537099985,28,22
1537103564,47,29
1537107173,28,22
1537110757,33,63
1537114360,31,50
1537117979,19,33
1537121582,20,42
1537125167,64,34
1537128764,64,35
1537132370,30,54
1537135975,30,36
1537139570,15,27
1537143165,15,48
1537146778,54,45
1537150375,26,46
1537153972,20,64
1537157557,41,44
1537161164,68,43
1537164756,45,43
1537168351,53,86
1537171955,52,19
1537175555,41,47
1537179165,43,41
1537182752,28,19
1537186339,11,74
1537189947,49,32
1537193540,32,45
1537197128,22,54
1537200742,49,45
1537204353,43,52
1537207945,33,36
1537211551,51,28
1537215142,29,36
1537218742,53,38
1537222352,51,50
1537225950,46,51
1537229540,36,112
1537233141,66,34
1537236740,43,34
1537240347,65,59
1537243946,46,51
1537247543,31,59
1537251141,31,37
1537254749,27,43
1537258342,73,26
1537261948,73,29
1537265538,33,77
1537269145,29,20
1537272746,39,35
1537276367,19,40
1537279943,48,24
1537283539,25,26
1537287139,26,57
1537290739,44,64
1537294347,26,42
1537297952,29,56
1537301555,67,27
1537305156,50,22
1537308754,37,47
1537312353,25,42
1537315953,23,27
1537319551,18,51
1537323164,35,43
1537326752,40,34
1537330340,11,58
1537333957,52,57
1537337548,15,40
1537341143,26,49
1537344744,58,41
1537348362,44,28
1537351948,39,59
1537355574,30,49
1537359146,51,21
1537362737,52,48
1537366346,31,21
1537369941,31,73
1537373544,29,52
1537377151,69,36
1537380760,35,63
1537384357,37,42
1537387954,54,36
1537391552,41,35
1537395137,60,31
1537398739,60,44
1537402359,27,22
1537405944,122,49
1537409546,86,32
1537413157,79,33
1537416748,34,65
1537420344,41,59
1537423960,39,90
1537427541,27,68
1537431146,45,34
1537434755,69,34
1537438348,76,23
1537441945,49,46
1537445552,47,23
1537449144,51,29
1537452757,24,37
1537456337,36,32
1537459948,78,73
1537463553,20,67
1537467158,95,60
1537470771,30,46
1537474357,22,26
1537477959,60,62
1537481570,45,23
1537485160,44,45
1537488768,91,36
1537492380,58,18
1537495960,40,52
1537499555,37,33
1537503163,44,30
1537506748,26,63
1537510353,47,46
1537513943,26,50
1537517563,27,35
1537521160,54,37
1537524756,42,39
1537528351,48,38
1537531945,25,39
1537535543,37,33
1537539143,19,52
1537542734,25,35
1537546347,42,33
1537549945,30,65
1537553539,46,47
1537557142,33,76
1537560754,19,40
1537564344,46,49
1537567958,61,36
1537571549,87,28
1537575150,29,50
1537578755,73,23
1537582356,21,33
1537585959,36,42
1537589556,55,27
1537593157,36,35
1537596764,20,70
1537600357,43,89
1537603959,30,42
1537607551,24,43
1537611151,57,26
1537614754,76,28
1537618350,64,39
1537621954,68,47
1537625553,38,29
1537629153,22,69
1537632749,42,78
1537636345,49,35
1537639945,27,56
1537643553,64,77
1537647152,36,46
1537650758,73,33
1537654368,53,36
1537657951,41,20
1537661557,71,56
1537665150,25,43
1537668756,44,31
