DateTime,AddedIPs,RemovedIPs
1536836697,2,2
1536840297,8,1
1536843895,7,0
1536847489,4,2
1536851093,8,3
1536854697,5,2
1536858295,6,4
1536861901,3,1
1536865514,3,1
1536869106,2,4
1536872707,4,0
1536876302,6,3
1536879906,3,4
1536883511,3,3
1536887097,1,7
1536890706,4,4
1536894306,2,1
1536897895,3,0
1536901506,3,1
1536905102,10,3
1536908684,7,1
1536912292,6,1
1536915884,9,1
1536919483,10,0
1536923114,5,3
1536926684,5,0
1536930293,4,2
1536933894,9,1
1536937488,10,5
1536941088,2,6
1536944687,4,15
1536948292,5,21
1536951894,4,20
1536955507,4,0
1536959090,5,3
1536962714,1,2
1536966294,2,0
1536969897,0,3
1536973495,2,6
1536977086,3,3
1536980693,0,3
1536984290,1,5
1536987900,0,2
1536991494,3,0
1536995093,4,3
1536998694,5,1
1537002296,2,3
1537005897,1,6
1537009486,2,16
1537013092,2,12
1537016692,1,3
1537020290,2,0
1537023888,3,5
1537027489,2,1
1537031090,4,1
1537034696,8,4
1537038298,4,3
1537041904,3,3
1537045497,1,4
1537049106,4,0
1537052706,2,1
1537056297,4,2
1537059901,1,2
1537063491,0,12
1537067099,2,3
1537070699,0,1
1537074292,2,2
1537077894,4,2
1537081513,2,3
1537085104,5,1
1537088695,1,9
1537092297,1,6
1537095893,4,6
1537099498,8,1
1537103092,2,2
1537106687,7,2
1537110292,2,2
1537113896,1,0
1537117493,2,2
1537121109,0,1
1537124694,1,2
1537128296,0,4
1537131900,3,2
1537135494,3,3
1537139098,1,1
1537142693,0,3
1537146301,4,5
1537149899,1,1
1537153503,1,4
1537157092,4,4
1537160698,5,5
1537164290,3,9
1537167895,6,11
1537171494,10,6
1537175090,5,6
1537178697,8,5
1537182285,4,6
1537185891,11,4
1537189488,8,14
1537193082,8,9
1537196682,5,1
1537200281,5,6
1537203896,6,5
1537207486,3,4
1537211095,4,5
1537214684,8,9
1537218285,6,3
1537221887,8,2
1537225492,5,2
1537229093,7,3
1537232694,1,5
1537236285,2,7
1537239897,0,5
1537243500,1,1
1537247093,5,3
1537250689,1,2
1537254297,13,1
1537257888,3,3
1537261496,7,2
1537265085,3,5
1537268692,6,2
1537272298,7,2
1537275965,4,0
1537279491,11,2
1537283085,5,3
1537286685,18,2
1537290287,4,2
1537293900,6,2
1537297496,1,1
1537301094,2,3
1537304698,2,4
1537308291,1,4
1537311898,3,7
1537315501,2,4
1537319093,0,5
1537322703,2,5
1537326299,1,1
1537329886,1,5
1537333497,3,7
1537337087,1,4
1537340694,7,8
1537344305,5,5
1537347898,8,7
1537351504,7,3
1537355126,5,10
1537358698,4,14
1537362286,3,5
1537365899,4,13
1537369490,5,8
1537373095,2,8
1537376688,2,2
1537380299,7,6
1537383903,3,4
1537387499,2,4
1537391091,1,5
1537394680,1,8
1537398289,1,7
1537401891,2,2
1537405493,13,9
1537409087,2,5
1537412703,2,5
1537416285,7,1
1537419891,1,3
1537423497,6,4
1537427092,3,7
1537430697,5,8
1537434287,5,6
1537437888,8,7
1537441485,4,3
1537445088,4,4
1537448688,4,6
1537452294,5,2
1537455885,4,1
1537459489,3,3
1537463083,2,6
1537466690,0,4
1537470294,4,2
1537473886,4,2
1537477498,1,4
1537481104,1,4
1537484687,3,3
1537488302,4,3
1537491903,5,3
1537495494,5,3
1537499099,4,3
1537502692,4,5
1537506286,4,4
1537509891,4,9
1537513491,1,6
1537517093,4,4
1537520693,5,8
1537524291,3,12
1537527889,4,5
1537531484,3,3
1537535081,6,5
1537538679,5,9
1537542284,4,11
1537545889,3,3
1537549484,6,4
1537553074,4,4
1537556681,0,3
1537560291,2,5
1537563884,3,7
1537567495,1,1
1537571082,1,1
1537574687,0,1
1537578286,4,2
1537581891,1,3
1537585490,4,2
1537589082,8,3
1537592692,6,1
1537596294,7,4
1537599890,7,4
1537603493,9,3
1537607104,3,3
1537610689,10,2
1537614301,8,3
1537617883,3,3
1537621486,6,2
1537625092,4,5
1537628694,3,2
1537632295,6,2
1537635889,4,3
1537639495,8,5
1537643085,2,2
1537646696,4,5
1537650299,2,1
1537653915,2,4
1537657498,2,1
1537661092,1,5
1537664689,1,1
1537671890,1,3
1537675500,2,0
1537679086,5,1
1537682689,7,4
1537686284,3,3
1537689893,4,3
1537693501,3,2
1537697079,7,1
1537700695,8,4
1537704285,2,4
1537707881,5,4
1537711485,3,6
1537715084,4,5
1537718687,1,1
1537722287,3,3
1537725887,3,3
1537729484,2,0
1537733093,3,0
1537736679,4,2
1537740284,4,2
1537743889,1,0
1537747487,6,2
1537751086,4,3
1537754685,1,2
1537758287,6,1
1537761891,4,5
1537765492,10,3
1537769094,8,4
1537772688,7,4
1537776286,10,6
1537779897,7,5
1537783500,7,5
1537787101,5,4
1537790700,6,10
1537794302,2,7
1537797896,5,8
1537801513,10,5
1537805104,9,6
1537808689,5,6
1537812290,7,1
1537815896,35,3
1537819496,0,5
1537823096,9,9
1537826692,2,8
1537830291,0,4
1537833893,3,7
1537837491,5,4
1537841083,2,5
1537844692,2,0
1537848288,13,1
1537851891,4,4
1537855493,9,3
1537859105,7,11
1537862752,7,5
1537866349,11,8
1537869947,10,6
1537873499,5,8
1537877105,8,7
1537880728,5,2
1537884299,10,11
1537887895,0,4
1537891514,6,19
1537895098,9,2
1537898699,8,4
1537902297,4,1
1537905904,4,2
1537909494,16,3
1537913110,0,3
1537916704,1,1
1537920307,4,2
1537923897,6,0
1537927499,3,4
1537931110,3,1
1537934706,7,1
1537938303,7,1
1537941898,6,2
1537945500,2,9
1537949105,5,4
1537952693,8,11
1537956304,5,6
1537959904,13,6
1537963499,8,6
1537967107,11,4
1537970697,9,4
1537974299,5,3
1537977905,9,3
1537981502,5,2
1537985117,5,7
1537988710,6,6
1537992300,8,1
1537995920,1,4
1537999510,2,4
1538003110,2,2
1538006720,2,2
1538010316,2,5
1538013913,1,12
1538017514,8,3
1538021111,14,9
1538024713,7,0
1538028312,10,6
1538031907,9,4
1538035503,31,7
1538039112,21,3
1538042712,17,5
1538046313,14,4
1538049911,9,5
1538053510,5,3
1538057106,9,7
1538060700,7,5
1538064307,6,2
1538067901,3,2
1538071508,7,2
1538075107,7,4
1538078706,5,4
1538082305,28,3
1538085905,2,2
1538089500,2,3
1538093108,2,3
1538096701,1,1
1538100305,9,7
1538103903,5,3
1538107497,9,3
1538111105,12,4
1538114701,5,4
1538118313,12,1
1538121909,9,3
1538125499,4,5
1538129102,8,2
1538132703,9,4
1538139902,21,11
1538143513,13,4
1538147105,6,3
1538150707,8,3
1538154307,6,6
1538157916,6,3
1538161506,2,3
1538165139,5,5
1538168701,4,3
1538172313,2,1
1538175902,3,5
1538179515,6,0
1538183119,3,2
1538186717,1,2
1538190311,5,4
1538193909,6,4
1538197505,20,8
1538201129,13,5
1538204708,7,7
1538208313,12,6
1538211905,5,4
1538215506,7,8
1538219109,10,9
1538222706,5,3
1538226305,5,3
1538229909,8,4
1538233516,3,4
1538237117,6,5
