DateTime,AddedIPs,RemovedIPs
1536910562,128,91
1536916323,127,95
1536922081,60,54
1536925922,62,63
1536930014,67,62
1536931923,85,80
1536935762,92,74
1536939844,79,83
1536945602,85,73
1536947522,93,65
1536951363,84,97
1536955210,99,89
1536957124,85,90
1536960962,70,107
1536965283,67,103
1536969363,96,92
1536973214,49,86
1536975123,79,73
1536978963,67,89
1536982802,81,91
1536986642,77,94
1536992642,77,64
1536994562,68,53
1536996483,73,51
1537000323,51,73
1537002243,136,83
1537004162,75,73
1537006082,83,62
1537011843,82,71
1537015923,66,98
1537019762,124,69
1537023610,78,71
1537025523,66,83
1537029602,84,75
1537033443,73,69
1537037282,68,83
1537041122,100,73
1537044963,77,97
1537048816,73,89
1537050724,67,91
1537054563,97,99
1537056483,58,89
1537060323,84,78
1537062243,78,84
1537064163,84,78
1537068003,62,94
1537069922,76,88
1537073763,70,85
1537075683,68,50
1537079525,56,46
1537081443,60,40
1537087202,89,54
1537091283,86,60
1537095122,87,64
1537097043,56,62
1537100884,82,50
1537104723,78,86
1537108565,102,72
1537112402,71,87
1537114323,84,62
1537120322,93,97
1537122243,97,93
1537124420,146,142
1537126323,105,95
1537130163,90,113
1537134002,76,115
1537138082,67,103
1537142162,96,106
1537146017,47,93
1537147923,70,77
1537152004,71,92
1537155843,83,103
1537157763,79,84
1537163523,98,71
1537167362,88,60
1537171217,61,62
1537173122,72,58
1537176962,64,57
1537178883,55,54
1537186571,129,96
1537192324,78,80
1537196643,67,99
1537198562,70,76
1537200482,98,57
1537202402,57,98
1537204323,98,57
1537206245,123,79
1537208162,2,0
1537210083,101,74
1537213922,90,87
1537217763,76,98
1537221619,65,113
1537223523,64,104
1537227602,80,125
1537231443,57,74
1537233364,78,98
1537239122,88,113
1537242963,99,98
1537246815,86,106
1537248723,118,73
1537250643,513,398
1537252563,412,504
1537256403,85,68
1537260244,76,83
1537264084,78,66
1537267923,83,76
1537272015,91,55
1537273923,25,4379
1537275843,4353,0
1537278003,74,79
1537281843,89,80
1537285683,65,70
1537288323,90,73
1537292402,94,93
1537296244,105,111
1537300082,121,108
1537302003,113,105
1537307763,88,129
1537313523,140,203
1537317362,53,89
1537321203,64,57
1537325044,65,87
1537326962,95,109
1537332723,98,106
1537336563,87,70
1537338727,72,51
1537342562,92,65
1537346402,83,70
1537350244,70,83
1537352162,132,119
1537354084,63,50
1537357922,88,59
1537361763,76,66
1537363683,66,76
1537365610,132,125
1537367523,65,98
1537373523,85,74
1537375444,94,76
1537379522,98,88
1537383363,91,89
1537385522,103,88
1537389363,91,95
1537393203,91,101
1537397044,61,119
1537398964,119,61
1537400883,122,191
1537404723,56,81
1537406642,67,57
1537410484,90,88
1537416242,144,173
1537422002,88,71
1537423923,84,52
1537429682,80,66
1537433763,77,75
1537437613,70,63
1537439524,68,62
1537441443,62,68
1537443362,111,94
1537447202,84,63
1537451044,74,68
1537454882,80,66
1537458723,92,85
1537462562,77,76
1537466415,88,84
1537468322,104,89
1537472162,94,82
1537476004,89,107
1537479843,78,107
1537483682,69,121
1537487522,86,94
1537491362,54,82
1537495219,63,77
1537497604,75,96
1537501444,81,108
1537503362,108,81
1537505282,145,178
1537509122,91,56
1537512967,96,73
1537516808,79,66
1537518722,66,57
1537520642,0,33
1537522562,96,60
1537526644,80,62
1537530482,72,59
1537532415,68,62
1537538163,74,65
1537542017,81,77
1537543923,77,85
1537548722,91,70
1537552563,98,72
1537556413,78,84
1537558323,86,77
1537562163,86,89
1537566002,53,89
1537571763,55,116
1537573684,85,107
1537577763,67,68
1537581842,60,66
1537583763,69,89
1537587602,77,98
1537591444,63,80
1537595283,83,65
1537599123,73,50
1537602962,78,60
1537606815,88,67
1537608723,76,55
1537612562,92,69
1537616402,86,66
1537620244,71,69
1537624082,84,78
1537626002,81,79
1537631763,79,81
1537633682,141,127
1537635613,71,72
1537639442,147,132
1537645203,89,96
1537649044,75,84
1537650963,67,96
1537656722,52,115
1537660562,100,90
1537664410,50,85
1537668243,68,67
1537670163,78,97
1537674002,82,87
1537677844,62,84
1537681682,74,57
1537685522,79,51
1537691283,67,49
1537695122,153,88
1537698962,96,57
1537702802,79,92
1537706643,74,64
1537710482,73,59
1537714322,100,69
1537718162,90,93
1537720084,132,160
1537722010,192,162
1537723922,114,77
1537727762,64,84
1537731602,88,99
1537735682,88,97
1537739522,97,88
1537741442,137,182
1537745284,57,131
1537747210,92,90
1537749123,49,76
1537752962,63,72
1537756803,68,102
1537760643,88,103
1537764483,103,88
1537766402,150,171
1537768323,90,56
1537772163,91,69
1537776014,94,72
1537777923,75,65
1537781762,77,56
1537785602,77,76
1537789445,53,61
1537793282,77,63
1537797122,98,57
1537800963,69,72
1537804809,74,77
1537806722,91,61
1537810803,113,103
1537814644,103,85
1537818722,93,93
1537822563,95,107
1537824485,73,111
1537828322,64,130
1537830242,85,91
1537836002,57,102
1537839843,73,68
1537843685,73,88
1537847522,83,98
1537851363,72,90
1537855214,101,77
1537857123,85,52
1537860962,84,65
1537864803,85,62
1537866722,73,74
1537870803,71,47
1537876563,68,56
1537878723,74,64
1537882802,88,74
1537886646,64,68
1537890963,78,71
1537894815,97,76
1537896722,109,69
1537900562,91,83
1537904402,97,91
1537906322,74,103
1537912082,71,120
1537915923,48,135
1537917842,96,82
1537923616,64,79
1537925522,63,77
1537929363,79,105
1537933202,78,101
1537937043,85,85
1537938962,85,64
1537940882,64,85
1537942803,85,64
1537944723,73,55
1537948562,74,65
1537950482,82,55
1537956242,74,62
1537958162,76,56
1537960083,71,58
1537966083,80,76
1537970163,101,51
1537974016,84,81
1537975923,78,83
1537979762,89,75
1537981682,86,99
1537987444,109,87
1537991282,87,88
1537995122,91,111
1538000883,129,209
1538004722,97,101
1538008563,62,98
1538012883,69,66
1538014803,65,90
1538020563,93,108
1538024412,65,82
1538026323,93,68
1538028242,84,53
1538034745,80,71
