DateTime,Entries,UniqueIPs
1536910562,6216,6216
1536916323,6248,6248
1536922081,6254,6254
1536925922,6253,6253
1536930014,6258,6258
1536931923,6263,6263
1536935762,6281,6281
1536939844,6277,6277
1536945602,6289,6289
1536947522,6317,6317
1536951363,6304,6304
1536955210,6314,6314
1536957124,6309,6309
1536960962,6272,6272
1536965283,6236,6236
1536969363,6240,6240
1536973214,6203,6203
1536975123,6209,6209
1536978963,6187,6187
1536982802,6177,6177
1536986642,6160,6160
1536992642,6173,6173
1536994562,6188,6188
1536996483,6210,6210
1537000323,6188,6188
1537002243,6241,6241
1537004162,6243,6243
1537006082,6264,6264
1537011843,6275,6275
1537015923,6243,6243
1537019762,6298,6298
1537023610,6305,6305
1537025523,6288,6288
1537029602,6297,6297
1537033443,6301,6301
1537037282,6286,6286
1537041122,6313,6313
1537044963,6293,6293
1537048816,6277,6277
1537050724,6253,6253
1537054563,6251,6251
1537056483,6220,6220
1537060323,6226,6226
1537062243,6220,6220
1537064163,6226,6226
1537068003,6194,6194
1537069922,6182,6182
1537073763,6167,6167
1537075683,6185,6185
1537079525,6195,6195
1537081443,6215,6215
1537087202,6250,6250
1537091283,6276,6276
1537095122,6299,6299
1537097043,6293,6293
1537100884,6325,6325
1537104723,6317,6317
1537108565,6347,6347
1537112402,6331,6331
1537114323,6353,6353
1537120322,6349,6349
1537122243,6353,6353
1537124420,6357,6357
1537126323,6367,6367
1537130163,6344,6344
1537134002,6305,6305
1537138082,6269,6269
1537142162,6259,6259
1537146017,6213,6213
1537147923,6206,6206
1537152004,6185,6185
1537155843,6165,6165
1537157763,6160,6160
1537163523,6187,6187
1537167362,6215,6215
1537171217,6214,6214
1537173122,6228,6228
1537176962,6235,6235
1537178883,6236,6236
1537186571,6269,6269
1537192324,6267,6267
1537196643,6235,6235
1537198562,6229,6229
1537200482,6270,6270
1537202402,6229,6229
1537204323,6270,6270
1537206245,6314,6314
1537208162,6316,6316
1537210083,6343,6343
1537213922,6346,6346
1537217763,6324,6324
1537221619,6276,6276
1537223523,6236,6236
1537227602,6191,6191
1537231443,6174,6174
1537233364,6154,6154
1537239122,6129,6129
1537242963,6130,6130
1537246815,6110,6110
1537248723,6155,6155
1537250643,6270,6270
1537252563,6178,6178
1537256403,6195,6195
1537260244,6188,6188
1537264084,6200,6200
1537267923,6207,6207
1537272015,6243,6243
1537273923,1889,1889
1537275843,6242,6242
1537278003,6237,6237
1537281843,6246,6246
1537285683,6241,6241
1537288323,6258,6258
1537292402,6259,6259
1537296244,6253,6253
1537300082,6266,6266
1537302003,6274,6274
1537307763,6233,6233
1537313523,6170,6170
