DateTime,AddedIPs,RemovedIPs
1538198729,3,0
1538199332,2,0
1538200236,2,0
1538200529,40,0
1538201130,23,0
1538201727,12,0
1538202331,3,0
1538202931,44,0
1538203236,67,0
1538203532,12,0
1538204132,24,0
1538204435,5,0
1538205328,2,0
1538205931,1,0
1538206527,3,0
1538207431,47,0
1538207735,2,0
1538208326,30,0
1538208931,5,0
1538209530,48,0
1538210433,1,0
1538210733,4,0
1538212235,54,0
1538212535,3,0
1538213135,3,0
1538213735,4,0
1538214332,36,0
1538215225,24,0
1538215535,1,0
1538217035,5,0
1538217335,1,0
1538218527,5,0
1538219131,49,0
1538219730,5,0
1538220335,2,0
1538221232,11,0
1538222134,23,0
1538223029,5,0
1538223333,3,0
1538223930,8,0
1538224528,44,0
1538225136,6,0
1538226028,4,0
1538226931,2,0
1538228132,21,0
1538228726,6,0
1538229332,3,0
1538229929,4,0
1538231125,11,0
1538231730,7,0
1538232934,13,0
1538233531,1,0
1538234126,1,0
1538234729,4,0
1538235334,42,0
1538235627,42,0
1538235929,4,0
1538236535,2,0
1538237728,15,0
1538238335,47,0
1538238636,77,0
1538238932,219,0
1538239235,218,0
1538239535,230,0
1538239836,140,0
1538240434,2,0
1538240736,8,0
1538242232,1,0
1538242536,1,0
1538243134,5,0
1538244331,2,0
1538245235,1,0
1538245530,1,0
1538246128,14,0
1538248531,1,0
1538249130,49,0
1538249431,54,0
1538250336,3,0
1538250935,49,0
1538251235,4,0
1538251835,37,0
1538252736,15,0
1538253335,1,0
1538253933,8,0
1538255732,17,0
1538256632,4,0
1538256932,1,0
1538258130,1,0
1538259626,5,0
1538259932,1,0
1538261434,10,0
1538264730,40,0
1538265326,63,0
1538266233,4,0
1538266535,1,0
1538267137,52,0
1538267431,3,0
1538269530,8,0
1538270135,32,0
1538271035,2,0
1538271936,12,0
1538272534,39,0
1538274934,19,0
1538275836,4,0
1538276734,5,0
1538277330,2,0
1538278827,44,0
1538279728,6,0
1538280627,2,0
1538280926,3,0
1538282124,3,0
1538283326,22,0
1538284530,2,0
1538285735,1,0
1538286330,19,0
1538286927,2,0
1538287526,2,0
1538288425,4,0
1538289336,7,0
1538290232,3,0
1538291133,5,0
1538291732,42,0
1538292027,17,0
