DateTime,AddedIPs,RemovedIPs
1538435135,9,0
1538435735,17,0
1538436038,8,0
1538436631,12,0
1538437232,17,0
1538437534,7,0
1538438135,14,0
1538438435,8,0
1538439035,15,0
1538439335,4,0
1538439634,11,0
1538439935,9,0
1538440232,4,0
1538440531,7,0
1538440836,11,0
1538441135,8,0
1538441435,4,0
1538442036,11,0
1538442334,8,0
1538442935,10,0
1538443235,6,0
1538443829,11,0
1538444135,3,0
1538444431,5,0
1538444730,8,0
1538445034,9,0
1538445335,9,0
1538445631,7,0
1538445936,7,0
1538446234,5,0
1538446836,11,0
1538447731,18,0
1538448028,13,0
1538448631,19,0
1538448930,8,0
1538449231,7,0
1538449534,6,0
1538450131,14,0
1538450732,17,0
1538451037,9,0
1538451629,17,0
1538451928,3,0
1538453426,2,0
1538453731,1,0
1538455228,1,0
1538456427,10,0
1538456726,6,0
1538457025,5,0
1538457628,16,0
1538457940,8,0
1538458232,9,0
1538458525,6,0
1538458830,2,0
1538459431,10,0
1538459728,4,0
1538460036,6,0
1538460335,1,0
1538460636,9,0
1538460935,5,0
1538461230,9,0
1538461832,15,0
1538462134,3,0
1538462435,6,0
1538462735,6,0
1538463336,9,0
1538463637,7,0
1538464235,13,0
1538464530,5,0
1538464837,6,0
1538465135,9,0
1538465433,6,0
1538465735,10,0
1538466033,4,0
1538466328,6,0
1538466630,4,0
1538466928,9,0
1538467230,5,0
1538467532,11,0
1538467831,8,0
1538468432,12,0
1538468736,5,0
1538469328,14,0
1538469627,1,0
1538470231,13,0
1538470828,7,0
1538471127,6,0
1538471726,11,0
1538472026,4,0
1538472626,10,0
1538472936,6,0
1538473231,8,0
1538473533,2,0
1538474131,11,0
1538474435,8,0
1538475034,19,0
1538475630,21,0
1538475935,9,0
1538476525,15,0
1538476831,9,0
1538477427,24,1
1538478031,21,8
1538478331,12,0
1538478628,11,0
1538478930,10,0
1538479228,14,0
1538479828,13,0
1538480133,4,0
1538480432,4,0
1538480729,8,0
1538481028,15,0
1538481326,14,0
1538481631,10,0
1538481929,9,0
1538482526,18,0
1538482834,15,0
1538483127,17,0
1538483434,9,0
1538483735,12,0
1538484029,12,0
1538484329,9,0
1538484934,26,0
1538485232,14,0
1538485832,27,0
1538486431,28,0
1538486730,14,0
1538487030,12,1
1538487333,10,0
1538487632,12,0
