DateTime,AddedIPs,RemovedIPs
1531253730,0,256
1531324844,0,512
1531326658,0,768
1531332924,256,0
1531333709,0,256
1531347341,0,256
1531355436,512,0
1531412136,1024,0
1531441837,256,0
1531496737,0,1024
1531502123,512,0
1531512930,0,256
1531527333,0,512
1531584931,512,0
1531586722,0,512
1531606537,256,0
1531613736,0,256
1531621803,256,0
1531625440,256,0
1531656937,1536,0
1531707304,0,256
1531741566,0,512
1531744203,0,256
1531751404,0,256
1531758606,0,256
1531761335,1280,0
1531772629,0,256
1531782933,256,0
1531787459,0,256
1531845099,512,0
1531846825,0,768
1531852206,256,0
1531856726,0,256
1531865727,0,256
1531880605,0,256
1531926927,256,0
1531930532,0,256
1531936834,0,256
1531939528,0,256
1532014208,0,256
1532016934,1280,0
1532017824,256,256
1532023239,256,0
1532031324,0,256
1532046635,256,0
1532103327,768,1024
1532108720,0,256
1532114132,256,0
1532126756,256,256
1532141137,0,256
1532189758,0,512
1532190718,768,0
1532196040,0,256
1532211340,256,256
1532211897,256,0
1532219439,256,0
1532225734,256,0
1532276131,1536,0
1532277007,256,768
1532280638,256,0
1532283960,0,256
1532290525,0,256
1532295933,0,256
1532304064,512,0
1532306133,0,512
1532361632,0,1024
1532362529,768,256
1532364318,256,0
1532367160,256,0
1532371537,0,256
1532378748,0,256
1532384134,0,256
1532387748,0,256
1532393185,256,0
1532441726,1024,0
1532446230,256,0
1532448923,0,256
1532450745,0,256
1532457924,256,0
1532463305,0,256
1532472379,0,256
1532477740,0,768
1532527217,0,1280
1532533547,0,256
1532543438,0,256
1532558767,0,256
1532566205,2304,0
1532594816,256,0
1532625330,768,0
1532634310,512,0
1532637027,256,0
1532644260,256,0
1532651444,256,512
1532700934,768,0
1532701841,256,0
1532709965,0,512
1532712655,0,256
1532720476,1280,256
1532720706,0,256
1532721643,0,256
1532724345,0,256
1532728848,0,1024
1532736905,0,256
1532737850,256,0
1532787307,0,1536
1532798133,768,256
1532802631,0,256
1532806655,0,768
1532816105,0,256
1532825176,0,256
1532880936,1280,512
1532882746,256,0
1532896240,256,0
1532904343,256,0
1532963731,512,0
1532965537,0,1280
1532968209,0,256
1532974674,256,256
1533044721,0,256
1533049262,0,768
1533058239,256,0
1533059505,256,256
1533061833,256,0
1533077158,0,256
1533132934,1024,0
1533143730,0,256
1533145506,0,256
1533146459,256,0
1533168945,0,256
1533219351,0,512
1533220245,256,0
1533234647,256,0
1533240905,0,256
1533256252,256,0
1533307558,768,256
1533321037,0,256
1533329152,256,0
1533342658,256,0
1533368768,0,256
1533392170,0,512
1533395753,0,256
1533407041,0,256
1533417366,0,256
1533418251,256,0
1533421841,256,0
1533475843,1024,0
1533479425,256,0
1533490235,256,0
1533503750,0,512
1533506457,256,0
1533515457,256,0
1533563184,0,1024
1533566230,0,256
1533575765,0,256
1533587430,512,512
1533600937,0,256
1533601829,512,0
1533645052,768,0
1533646079,256,0
1533673869,0,256
1533687343,0,512
1533732303,0,256
1533734142,0,256
1533738649,0,256
1533745878,1792,0
1533753019,0,256
1533767458,0,256
1533796261,256,0
1533814253,512,0
1533824132,256,0
1533832680,0,1024
1533888071,0,256
1533899743,0,1024
1533911500,0,256
1533915046,1024,0
1533926736,0,256
1534005753,0,1024
1534007741,1024,0
1534011351,256,0
1534019996,256,0
1534033875,0,256
1534077941,512,0
1534093256,0,512
1534101315,256,0
1534119349,0,512
1534124777,256,0
1534149908,0,0
1534153503,0,512
1534184727,0,256
1534185956,512,0
1534188652,0,256
1534205751,0,256
1534206644,256,0
1534215606,256,0
1534226450,256,0
1534253490,1280,0
1534257037,256,0
1534271430,0,512
1534286706,0,256
1534295773,512,256
1534308304,0,256
1534339832,768,512
1534352459,256,0
1534356902,0,512
1534365002,0,256
1534381572,0,256
1534426203,0,768
1534432502,0,256
1534439703,0,256
1534443334,256,0
1534446925,0,256
1534448703,0,256
1534464052,512,0
1534465845,256,0
1534526104,0,256
1534530635,768,0
1534538733,256,0
1534545904,0,256
1534552203,0,256
1534572903,256,0
1534606223,768,0
1534609815,256,0
1534617016,0,768
1534635904,0,256
1534639504,256,0
1534690846,0,768
1534700393,768,0
1534702503,0,256
1534703427,512,0
1534717829,256,0
1534725029,256,0
1534769103,0,256
1534786205,0,768
1534788915,0,256
1534796105,0,256
1534812098,256,0
1534859122,512,0
1534860945,0,256
1534861316,256,0
1534876227,0,512
1534890366,0,256
1534917640,256,0
1534946455,0,768
1534948234,0,256
1534951817,1024,0
1534954653,512,0
1534968027,256,0
1534984233,256,0
1535031022,768,0
1535038225,0,1024
1535040028,0,512
1535049205,0,256
1535053503,0,256
1535056232,256,0
1535070645,256,0
1535077836,256,0
1535117444,0,512
1535121023,512,0
1535157023,512,0
1535205639,0,1024
1535214626,1024,256
1535229024,0,256
1535242504,0,256
1535293814,512,0
1535300103,0,1024
1535322633,256,0
1535329833,512,256
1535379302,0,512
1535381444,768,0
1535386503,256,0
1535387426,256,0
1535393703,0,256
1535409026,256,0
1535416237,0,512
1535467137,0,768
1535474560,0,256
1535477913,1536,0
1535479222,256,0
1535481029,0,256
1535483703,0,256
1535495949,0,256
1535502634,256,0
1535549419,256,0
1535563824,0,512
1535564703,0,256
1535574620,0,256
1535634904,0,1280
1535676338,2816,0
1535677555,256,0
1535682607,256,0
1535688246,256,0
1535695204,256,0
1535718610,1024,0
1535723524,256,0
1535729411,256,0
1535736608,256,0
1535740207,256,0
1535761811,256,0
1535763188,0,1792
1535787009,256,0
1535791504,0,256
1535803211,0,256
1535805009,768,1024
1535829303,256,0
1535830890,0,256
1535832012,256,0
1535832904,0,256
1535839219,256,0
1535863503,0,256
1535874303,0,256
1535887803,0,256
1535891406,0,1280
1535894604,768,256
1535896806,256,0
1535898603,256,0
1535911211,256,0
1535914807,256,0
1535923231,512,0
1535974203,0,256
1535976903,0,256
1535980503,0,1024
1535984451,1536,0
1535986808,256,256
1535988647,0,256
1535993103,0,256
1535997619,256,0
1535999012,256,256
1536000308,0,256
1536006210,2304,0
1536008422,768,0
1536010214,512,0
1536012033,512,0
1536021049,256,0
1536069649,256,256
1536072303,0,1792
1536081303,0,256
1536084903,0,256
1536091250,0,512
1536092103,0,1536
1536093341,256,0
1536094842,0,768
1536095703,0,256
1536098467,0,512
1536102050,0,256
1536105583,0,256
1536106504,0,256
1536155137,0,768
1536164153,0,256
1536166870,256,0
1536170430,768,0
1536172237,256,256
1536247824,768,0
