DateTime,AddedIPs,RemovedIPs
1532911632,256,256
1532952062,256,256
1532958354,256,256
1532963731,1024,1024
1532974674,256,256
1532982639,256,256
1532990329,256,256
1533058239,256,256
1533059505,256,256
1533061833,256,256
1533082705,256,256
1533132934,1024,1024
1533134728,256,256
1533136536,256,256
1533146459,256,256
1533148254,256,256
1533155451,256,256
1533220245,768,768
1533234647,256,256
1533241833,256,256
1533256252,256,256
1533283284,256,256
1533307558,1280,1280
1533308447,256,256
1533316548,256,256
1533319251,256,256
1533329152,256,256
1533342658,256,256
1533344417,256,256
1533418251,768,768
1533421841,256,256
1533459710,0,1280
1533460542,1280,0
1533475843,1280,1280
1533479425,256,256
1533490235,256,256
1533501043,512,512
1533506457,256,256
1533515457,256,256
1533587430,768,768
1533601829,512,512
1533645052,1024,1024
1533646079,256,256
1533648629,256,256
1533652230,256,256
1533653199,256,256
1533659444,256,256
1533664899,256,256
1533666660,512,512
1533681078,256,256
1533745878,2048,2048
1533749427,256,256
1533751251,256,256
1533760246,256,256
1533767458,256,256
1533796261,256,256
1533798940,256,256
1533799841,256,256
1533814253,1536,1536
1533824132,256,256
1533825044,256,256
1533839433,256,256
1533846670,256,256
1533915046,1280,1280
1533950151,256,256
1534007741,1024,1024
1534011351,256,256
1534012443,256,256
1534019996,256,256
1534033875,512,512
1534077941,1024,1024
1534080660,256,256
1534101315,256,256
1534106703,256,256
1534113047,256,256
1534124777,256,256
1534149908,0,0
1534185956,768,768
1534193103,256,256
1534199452,256,256
1534206644,256,256
1534215606,256,256
1534226450,256,256
1534253490,1536,1536
1534257037,256,256
1534264224,256,256
1534266050,256,256
1534271430,512,512
1534278638,256,256
1534295773,512,512
1534339832,1536,1536
1534344881,256,256
1534352459,512,512
1534356902,256,256
1534360557,256,256
1534363263,256,256
1534443334,256,256
1534464052,512,512
1534465845,256,256
1534530635,1024,1024
1534538733,256,256
1534547757,256,256
1534550441,256,256
1534572903,256,256
1534606223,1280,1280
1534609815,256,256
1534617016,512,512
1534631437,256,256
1534639504,512,512
1534665636,256,256
1534679271,256,256
1534683636,256,256
1534700393,1280,1280
1534703427,512,512
1534710629,512,512
1534717829,256,256
1534725029,256,256
1534775419,768,768
1534789981,512,512
1534804253,256,256
1534812098,256,256
1534830909,256,256
1534859122,768,768
1534861316,256,256
1534917640,256,256
1534951817,1024,1024
1534954653,512,512
1534962628,256,256
1534968027,256,256
1534984233,256,256
1535031022,1024,1024
1535049205,256,256
1535054695,256,256
1535056232,512,512
1535065232,256,256
1535070645,512,512
1535077836,256,256
1535121023,1536,1536
1535128227,256,256
1535142627,256,256
1535145303,256,256
1535157023,512,512
1535214626,1536,1536
1535228103,256,256
1535243435,256,256
1535293814,768,768
1535308216,256,256
1535322633,256,256
1535329833,512,512
1535381444,1024,1024
1535386503,256,256
1535387426,256,256
1535394632,256,256
1535398588,256,256
1535409026,256,256
1535477913,1536,1536
1535479222,256,256
1535488220,256,256
1535502634,256,256
1535549419,1280,1280
1535676338,2816,2816
1535677555,512,512
1535679012,256,256
1535680993,768,768
1535682607,512,512
1535684694,256,256
1535686207,256,256
1535688246,256,256
1535689811,256,256
1535692502,768,768
1535693406,256,256
1535695204,512,512
1535697008,1024,1024
1535698804,512,512
1535700608,1024,1024
1535701577,768,768
1535704980,512,512
1535706903,768,768
1535707805,256,256
1535710504,256,256
1535711409,256,256
1535712387,512,512
1535715010,768,768
1535716903,768,768
1535718610,2304,2304
1535720410,256,256
1535722205,256,256
1535723524,256,256
1535725805,512,512
1535727221,256,256
1535729411,512,512
1535731205,256,256
1535733007,256,256
1535734909,512,512
1535736608,512,512
1535737909,256,256
1535740207,512,512
1535742011,256,256
1535743809,256,256
1535745604,512,512
1535747408,768,768
1535749213,512,512
1535751007,256,256
1535752557,256,256
1535754607,512,512
1535756705,512,512
1535758212,512,512
1535760904,512,512
1535761811,512,512
1535763188,512,512
1535766352,256,256
1535769574,512,512
1535770811,512,512
1535772965,512,512
1535774412,256,256
1535776206,512,512
1535778017,512,512
1535780169,512,512
1535781621,256,256
1535783410,256,256
1535785219,256,256
1535787009,512,512
1535788812,256,256
1535790608,256,256
1535792170,256,256
1535795653,256,256
1535797810,256,256
1535799622,256,256
1535801410,256,256
1535802429,256,256
1535805009,2048,2048
1535806810,256,256
1535809369,256,256
1535812209,256,256
1535813161,256,256
1535815808,256,256
1535816797,256,256
1535819405,256,256
1535820343,512,512
1535823450,256,256
1535827232,256,256
1535829303,256,256
1535832012,256,256
1535833806,256,256
1535834853,256,256
1535837408,512,512
1535839219,512,512
1535841389,256,256
1535843703,256,256
1535844606,256,256
1535846429,256,256
1535848204,256,256
1535850018,256,256
1535851802,256,256
1535853607,256,256
1535854883,256,256
1535857209,256,256
1535860809,256,256
1535861795,256,256
1535865303,512,512
1535865546,512,512
1535868021,256,256
1535869253,512,512
1535871610,256,256
1535872913,256,256
1535875210,512,512
1535877054,512,512
1535879704,512,512
1535880611,512,512
1535882409,256,256
1535883700,256,256
1535886007,512,512
1535887398,512,512
1535889615,256,256
1535891406,256,256
1535894604,2048,2048
1535896806,256,256
1535898603,512,512
1535901303,512,512
1535902204,512,512
1535905804,256,256
1535907608,256,256
1535911211,512,512
1535913003,256,256
1535914807,256,256
1535923231,512,512
1535925611,256,256
1535926856,256,256
1535931060,256,256
1535932808,256,256
1535934607,256,256
1535936455,256,256
1535937710,256,256
1535940009,256,256
1535941371,256,256
1535943606,256,256
1535947218,256,256
1535948532,256,256
1535950825,256,256
1535952604,256,256
1535954412,256,256
1535958009,256,256
1535961609,256,256
1535965207,256,256
1535967003,256,256
1535968812,256,256
1535970225,256,256
1535972417,256,256
1535974203,256,256
1535981404,256,256
1535983210,256,256
1535984451,2304,2304
1535986808,512,512
1535988647,256,256
1535991776,256,256
1535995808,512,512
1535997619,768,768
1535999012,256,256
1536001242,256,256
1536002641,256,256
1536004815,512,512
1536006210,2816,2816
1536008422,1024,1024
1536010214,1280,1280
1536012033,768,768
1536013819,512,512
1536016519,256,256
1536017443,512,512
1536020104,256,256
1536021049,256,256
1536069649,1280,1280
1536073320,256,256
1536076847,256,256
1536078635,512,512
1536085835,256,256
1536093341,256,256
1536166870,256,256
1536170430,1024,1024
1536172237,256,256
1536180021,256,256
1536247824,1280,1280
1536258615,256,256
1536259611,256,256
1536265827,256,256
1536267609,256,256
1536273035,256,256
1536280240,512,512
1536333792,1536,1536
1536337599,256,256
1536344333,256,256
1536366634,256,256
1536368447,256,256
1536375643,256,256
1536377434,256,256
1536420345,1024,1024
1536424026,256,256
1536431006,256,256
1536445522,256,256
1536447633,256,256
1536449415,256,256
1536509709,512,512
1536510625,256,256
1536512423,256,256
1536517370,256,256
