DateTime,AddedIPs,RemovedIPs
1535041200,113,112
1535048400,129,134
1535055600,78,79
1535065800,88,83
1535069400,884,881
1535080800,664,716
1535088000,682,616
1535091600,373,373
1535098800,257,252
1535106000,206,211
1535113200,174,164
1535120400,148,152
1535127600,160,156
1535134800,91,98
1535142000,75,81
1535149200,59,57
1535157000,659,897
1535164200,718,503
1535171400,710,695
1535178600,406,406
1535185800,298,288
1535193000,205,212
1535200200,155,161
1535207400,120,118
1535214600,113,112
1535221800,118,119
1535229000,57,59
1535236200,43,43
1535243400,709,886
1535250600,717,553
1535257800,704,683
1535265000,453,454
1535272200,278,281
1535279400,275,270
1535286600,203,191
1535293800,159,174
1535301000,165,167
1535308200,110,104
1535316000,103,109
1535323200,72,72
1535330400,811,890
1535337600,691,660
1535344800,740,691
1535352000,417,420
1535359200,286,290
1535366400,212,204
1535373600,172,168
1535380800,153,157
1535388000,126,125
1535395200,99,100
1535402400,92,97
1535409600,30,34
1535416800,892,883
1535424000,685,708
1535431200,656,641
1535438400,393,399
1535445600,268,271
1535452800,228,231
1535460000,149,152
1535467200,129,138
1535474400,147,153
1535481600,137,126
1535488800,85,89
1535496000,69,71
1535503200,894,859
1535510400,679,704
1535517600,677,652
1535524800,403,388
1535532000,305,316
1535539200,211,216
1535546400,144,142
1535553600,136,137
1535560800,43,49
1535568000,4,5
1535575200,5,5
1535582400,5,2
1535589600,35,890
1535596800,822,18
1535604000,335,310
1535611200,438,393
1535618400,238,252
1535625600,247,231
1535632800,196,191
1535640600,171,165
1535647800,140,145
1535662200,161,158
1535669400,152,155
1535676600,10,917
1535683800,846,6
1535691000,406,407
1535698200,352,319
1535705400,222,215
1535712600,271,265
1535719800,189,191
1535727000,216,219
1535734200,230,242
1535741400,206,203
1535748600,200,208
1535755800,207,190
1535763000,5,890
1535770200,830,4
1535777400,508,477
1535784600,342,334
1535791800,250,226
1535799000,176,180
1535806200,175,178
1535813400,196,192
1535820600,224,215
1535827800,192,198
1535835000,156,150
1535842200,196,191
1535849400,54,905
1535856600,807,36
1535863800,446,392
1535869200,268,258
1535876400,262,266
1535883600,244,250
1535890800,208,207
1535898000,189,189
1535905200,176,182
1535912400,152,149
1535919600,160,153
1535926800,142,150
1535934000,55,876
1535941200,809,34
1535948400,388,371
1535955600,433,370
1535962800,191,196
1535970000,249,246
1535977200,188,178
1535984400,192,198
1535991600,185,196
1535998800,185,183
1536006000,151,159
1536013200,866,874
1536020400,868,887
1536027600,598,635
1536038400,732,673
1536042000,441,456
1536049200,261,269
1536056400,234,237
1536063600,155,151
1536070800,127,127
1536078000,136,123
1536085200,128,128
1536092400,139,140
1536099600,68,61
1536106800,851,887
1536114000,609,632
1536121200,402,372
1536128400,312,269
1536135600,287,286
1536142800,210,217
1536150000,160,172
1536157200,161,172
1536164400,165,152
1536171600,864,864
1536178800,126,129
1536186000,88,89
1536193800,888,881
1536201000,590,681
1536208200,702,615
1536215400,453,449
1536222600,336,346
1536229800,210,218
1536237000,183,179
1536244200,159,154
1536251400,137,146
1536258600,103,108
1536265800,79,86
1536273000,92,99
1536281400,754,850
1536288600,705,615
1536295800,671,620
1536303000,476,472
1536310200,281,288
1536317400,460,489
1536324600,76,85
1536331800,81,90
1536339000,90,84
1536346200,101,102
1536353400,52,52
1536360600,33,23
1536367800,791,861
1536375000,676,611
1536382200,647,624
1536389400,468,470
1536396600,370,378
1536403800,227,229
1536411000,169,163
1536418200,140,134
1536425400,139,143
1536432600,135,128
1536439800,84,84
1536447000,59,65
1536454200,790,876
1536461400,597,544
1536468600,673,625
1536475800,546,541
1536483000,377,395
1536490200,204,213
1536497400,169,163
1536504600,130,117
1536511800,123,121
1536519000,91,91
1536526200,85,89
1536533400,80,82
1536540600,733,883
1536547800,674,564
1536555000,756,722
1536562200,338,337
1536569400,222,231
1536576600,126,134
1536583800,167,149
1536591000,196,193
1536598200,126,121
1536605400,144,133
1536612600,103,104
1536619800,42,40
1536627000,712,900
1536634200,664,548
1536641400,702,621
1536648600,470,489
1536655800,290,305
1536663000,205,207
1536670200,147,152
1536677400,172,167
1536684600,115,110
1536691800,97,95
1536699000,71,70
1536706200,61,60
1536713400,686,881
1536720600,718,582
1536727800,682,614
1536735000,399,424
1536742200,230,244
1536749400,196,185
1536756600,137,144
1536763800,140,166
1536771000,182,159
1536778200,102,103
1536785400,103,94
1536792600,91,89
1536799800,703,863
1536807000,672,547
1536814200,671,609
1536821400,530,555
1536828600,386,366
1536835800,248,257
1536843000,159,163
1536850200,130,142
1536857400,122,118
1536864600,160,147
1536871800,147,135
1536879600,96,97
1536883200,718,888
1536890400,666,549
1536897600,677,626
1536904800,575,585
1536912000,400,389
1536919200,259,260
1536927000,165,163
1536934200,153,147
1536941400,110,115
1536948600,103,106
1536955800,111,114
1536963000,67,67
1536970200,860,883
1536977400,659,705
1536984600,669,600
1536991800,623,601
1536999000,366,374
1537006200,204,204
1537017600,150,156
1537021200,129,131
1537029000,123,117
1537036200,120,124
1537043400,109,111
1537050600,78,77
1537057800,884,890
1537065000,593,636
1537072200,645,615
1537079400,523,489
1537086600,393,413
1537093800,220,226
1537101000,122,135
1537108200,162,162
1537115400,121,118
1537122600,121,115
1537129800,123,125
1537137000,44,51
1537144200,871,866
1537152000,543,567
1537159200,648,611
1537166400,493,499
1537173600,360,350
1537180800,271,280
1537188000,182,191
1537195200,172,167
1537202400,90,102
1537209600,163,165
1537216800,136,131
1537224000,109,110
1537231200,875,865
1537238400,551,607
1537245600,747,670
1537252800,409,419
1537260000,299,307
1537267200,227,240
1537274400,137,140
1537281600,102,100
1537288800,120,122
1537296000,102,113
1537303200,95,88
1537310400,93,94
1537317600,852,857
1537324800,503,553
1537332000,658,572
1537339200,483,467
1537346400,322,331
1537353600,217,224
1537360800,158,160
1537368000,151,156
1537375200,159,153
1537382400,91,86
1537389600,121,131
1537396800,93,96
1537404000,817,879
1537411200,611,582
1537418400,717,664
1537425600,504,510
1537432800,290,312
1537440000,219,218
1537447200,168,158
1537454400,152,137
1537461600,137,136
1537468800,114,113
1537476000,72,74
1537483200,75,76
1537490400,856,896
1537497600,638,664
1537504800,685,618
1537512000,474,487
1537519200,335,358
1537526400,230,217
1537533600,178,182
1537540800,163,157
1537548000,120,128
1537555200,144,138
1537562400,203,186
1537569600,116,120
1537576800,822,887
1537584000,646,619
1537591200,686,633
1537598400,588,588
1537605600,329,348
1537612800,197,196
1537620000,133,141
1537627200,129,133
1537634400,119,104
1537641600,136,147
1537648800,104,110
1537656000,93,86
1537663200,625,877
1537670400,714,503
1537677600,635,583
1537684800,518,522
1537692000,386,389
1537699200,166,173
1537706400,141,149
1537713600,122,139
1537720800,120,119
1537728000,97,90
1537735200,73,82
1537742400,89,83
1537749600,626,854
1537756800,694,489
1537764000,663,611
1537771200,504,497
1537778400,436,444
1537785600,269,270
1537792800,185,199
1537800000,173,173
1537807200,164,162
1537814400,140,135
1537821600,101,97
1537828800,118,106
1537836000,427,890
1537843200,715,288
1537850400,686,645
1537857600,542,543
1537864800,410,420
1537872000,222,227
1537879200,170,164
1537886400,160,156
1537893600,147,134
1537900800,164,157
1537908000,124,128
1537915200,88,99
1537922400,772,894
1537929600,646,568
1537936800,659,624
1537944000,465,470
1537951200,379,399
1537958400,311,299
1537965600,155,153
1537972800,121,127
1537980000,115,109
1537987200,168,164
1537994400,108,113
1538001600,76,73
1538008800,667,876
1538016000,705,536
1538023200,647,604
1538030400,465,461
1538037600,457,462
1538044800,175,180
1538052000,187,185
1538059200,148,152
1538066400,130,131
1538073600,102,115
1538080800,148,144
1538088000,109,110
1538095200,627,860
1538102400,731,519
1538109600,640,580
1538116800,464,461
1538124000,447,448
1538131200,270,279
1538138400,175,192
1538145600,169,172
1538152800,124,123
1538160000,114,113
1538167200,127,121
1538174400,83,82
1538181600,609,881
1538188800,721,483
1538196000,657,624
1538203200,495,495
1538210400,437,431
1538217600,222,224
1538224800,161,166
1538232000,115,125
1538239200,135,140
1538246400,137,136
1538253600,127,115
1538260800,86,88
1538268000,47,875
1538275200,821,34
1538282400,669,624
1538289600,516,513
1538296800,507,514
1538304000,312,314
1538311200,190,207
1538318400,161,161
1538325600,108,110
1538332800,121,125
1538340000,109,105
1538347200,193,233
1538354400,861,814
1538361600,681,701
1538368800,513,482
1538376000,580,565
1538383200,395,422
1538390400,246,231
1538397600,165,179
1538404800,160,164
1538412000,187,171
1538419200,130,123
1538426400,153,178
1538433600,97,90
1538440800,588,862
1538448000,672,407
1538455200,716,678
1538462400,483,517
1538469600,290,289
1538476800,219,233
1538484000,131,139
1538491200,131,129
