DateTime,AddedIPs,RemovedIPs
1538310741,179,210
1538311234,9,3
1538311693,184,176
1538312679,291,192
1538313136,3,13
1538313613,185,205
1538314572,199,194
1538315057,7,6
1538315546,181,198
1538316002,112,0
1538316496,212,242
1538316993,3,4
1538317454,198,206
1538318414,215,240
1538318895,6,5
1538319384,213,238
1538319602,91,0
1538320339,210,200
1538320831,0,6
1538321291,185,224
1538322259,190,222
1538322770,6,18
1538323218,178,216
1538324186,290,234
1538324662,8,5
1538325145,160,213
1538326100,174,195
1538327059,313,207
1538328017,199,245
1538328489,7,15
1538328984,182,230
1538329933,174,232
1538330441,1,4
1538330907,295,248
1538331860,181,251
1538332812,214,252
1538333785,190,186
1538334262,75,19
1538334734,171,235
1538335693,180,232
1538336189,6,10
1538336658,229,231
1538337624,213,200
1538338121,169,3
1538338595,124,171
1538339542,198,205
1538340493,209,238
1538341462,237,206
1538341952,3,6
1538342413,177,214
1538343396,191,191
1538343851,11,1
1538344333,175,212
1538344802,85,0
1538345310,167,223
1538345783,6,5
1538346255,195,197
1538347218,178,187
1538347692,13,7
1538348183,182,183
1538348403,85,0
1538349135,210,219
1538349634,69,104
1538350095,198,210
1538351075,167,212
1538351533,3,9
1538352029,168,182
1538352982,268,2373
1538353471,24,1
1538353938,243,180
1538354901,189,195
1538355369,6,3
1538355880,246,195
1538356813,248,216
1538357309,8,9
1538357772,238,188
1538358736,242,178
1538359240,2,4
1538359695,302,177
1538360658,219,170
1538361161,10,13
1538361630,262,192
1538362570,252,188
1538363072,89,4
1538363543,236,169
1538364494,224,175
1538364973,3,7
1538365473,211,185
1538366424,222,188
1538366911,60,0
1538367550,239,168
1538368571,211,178
1538368824,9,6
1538369544,278,374
1538370003,98,0
1538370501,225,0
1538370995,7,2
1538371461,230,169
1538372448,200,334
1538372900,13,13
1538373374,217,0
1538373602,81,0
1538374344,231,442
1538374841,5,0
1538375311,229,200
1538376273,210,0
1538376738,5,13
1538377225,201,164
1538378185,343,182
1538379141,184,185
1538380114,227,186
1538380579,8,31
1538381057,329,171
1538382016,237,152
1538382493,4,0
1538382994,206,176
1538383934,212,186
1538384434,33,0
1538384920,485,184
1538385854,239,159
1538386812,181,171
1538387791,201,140
1538388265,133,9
1538388739,219,151
1538389690,217,171
1538390192,5,1
1538390662,220,154
1538391622,249,159
1538392115,130,3
1538392585,252,152
1538393539,193,147
1538394031,5,7
1538394519,221,192
1538395710,310,200
1538396675,230,145
1538397613,207,169
1538398108,13,13
1538398582,214,169
1538398802,100,0
1538399552,281,179
1538400495,206,168
1538401457,232,176
1538402446,245,169
1538403404,427,227
1538403853,4,12
1538404342,218,209
1538405297,251,208
1538405802,1,7
1538406336,354,194
1538407472,240,251
1538407938,7,1
1538408658,245,189
1538409629,207,397
1538410143,208,5
1538410584,240,0
1538411542,205,198
1538412497,229,156
1538413477,352,370
1538413935,5,4
1538414413,245,0
1538415387,223,420
1538415875,9,5
1538416340,187,205
1538417303,309,0
1538417794,3,1
1538418256,215,261
1538419214,212,486
1538419715,7,0
1538420178,158,0
1538420402,185,0
1538421141,212,341
1538421629,4,1
1538422102,195,190
1538423059,252,177
1538423554,2,3
1538424065,222,110
1538424985,240,0
1538425463,5,2
1538425942,215,406
1538426894,235,188
1538427406,3,0
1538427867,559,159
1538429063,254,175
1538429550,3,1
1538430019,194,187
1538430973,220,190
1538431478,92,13
1538431942,188,153
1538432911,205,206
1538433383,1,7
1538433856,209,199
1538434819,178,195
1538435316,119,13
1538435793,179,218
1538436742,226,211
1538437224,7,3
1538437697,229,170
1538438667,264,2338
1538439152,47,80
1538439613,205,217
1538440590,198,231
1538441057,2,6
1538441535,231,196
1538442519,308,223
1538442988,6,5
1538443467,243,276
1538444412,227,254
1538444903,5,6
1538445380,251,207
1538445602,79,0
1538446335,228,241
1538446837,3,2
1538447300,208,198
1538448294,220,247
1538448731,3,8
1538449235,237,230
1538450190,289,207
1538450670,5,6
1538451143,210,218
1538452095,211,212
1538452585,4,4
1538453058,277,231
1538454021,217,231
1538454511,4,7
1538455232,258,210
1538456171,107,230
1538456424,6,10
1538457136,281,222
1538458094,247,210
1538458349,7,9
1538459075,322,211
1538460025,274,202
1538460252,153,16
1538460985,258,233
1538461937,212,206
1538462183,9,7
1538462915,205,212
1538463859,334,233
1538464351,9,8
1538464823,201,222
1538465792,221,185
1538466257,8,0
1538466734,221,219
1538467202,100,0
1538467965,202,215
1538468434,6,7
1538468891,192,227
1538469860,230,214
1538470354,36,38
1538470823,181,171
1538471788,322,226
1538472269,5,0
1538472737,191,203
1538473716,200,182
1538474174,9,0
1538474658,268,187
1538475623,239,193
1538476108,11,8
1538476585,200,203
1538477541,191,216
1538478040,12,5
1538478511,305,246
1538479461,231,232
1538479951,12,8
1538480515,210,185
1538481673,170,180
1538482105,105,6
1538482614,222,203
1538483549,218,212
1538484012,5,0
1538484500,183,195
1538485468,312,208
1538485954,3,11
1538486420,198,264
1538487396,219,221
1538487861,11,0
1538488352,213,247
1538488802,172,0
1538489300,233,223
1538489802,6,0
1538490266,212,253
1538491213,203,200
1538491703,10,4
1538492180,183,242
1538492402,138,0
1538493146,204,175
1538493634,9,1
1538494090,204,201
1538495062,234,225
1538496023,222,0
1538496988,385,405
1538497468,9,8
1538497947,226,181
1538498895,221,0
1538499865,284,221
1538500818,233,402
1538501312,10,6
1538501781,196,0
1538502746,188,371
1538503235,5,5
1538503715,278,195
1538504667,249,241
1538505145,10,2
1538505627,164,209
1538506587,182,165
1538507064,97,6
1538507553,222,237
1538508497,209,0
1538509001,8,2
1538509473,205,407
1538510501,222,111
1538510900,69,2
1538511615,230,238
1538512575,275,217
1538512829,8,7
1538513542,264,182
1538514519,264,193
1538514980,6,4
1538515475,274,227
1538516418,195,0
1538516906,9,2
1538517385,170,400
1538517602,39,0
1538518336,181,0
1538518832,6,1
1538519294,186,180
1538520278,208,298
1538520736,28,30
1538521223,187,177
1538522198,252,185
1538522665,4,5
1538523140,175,0
1538524094,156,222
1538524588,26,7
1538525064,224,3343
1538526011,202,175
1538526492,12,1
1538527000,198,383
1538527935,174,0
1538528449,21,35
1538528918,227,203
1538529869,11,407
1538530339,10,5
1538530829,0,201
1538531813,0,245
1538532274,69,7
1538532752,0,232
1538534424,9,2
1538534666,0,209
1538535635,0,214
1538536603,63,486
1538537550,0,207
1538538249,9,2
1538538512,227,222
1538539477,374,216
1538540421,336,226
1538541403,311,0
1538542238,11,12
1538542574,291,251
1538542802,76,0
1538543549,329,228
1538544261,8,6
1538544498,250,275
1538545459,238,0
1538546186,8,8
1538546661,304,604
1538547621,216,285
1538548111,15,6
1538548581,221,185
1538549541,224,182
1538550038,12,8
1538550517,345,245
1538551470,213,194
1538551937,5,8
1538552452,232,256
1538553407,245,239
1538553863,110,8
1538554353,173,0
1538555296,242,453
1538555798,13,5
1538556259,211,0
1538557212,248,223
1538557720,130,8
1538558183,270,207
1538559141,244,429
1538559631,39,75
1538560109,231,0
1538561066,396,405
1538561549,7,7
1538562013,233,0
1538562992,199,479
1538563458,13,13
1538563933,208,0
1538564905,327,193
1538565401,10,11
1538565862,143,430
1538566815,23,0
1538567316,6,7
1538567876,82,233
1538568002,108,0
1538568995,44,200
1538569461,9,7
1538569938,178,226
1538570896,264,226
1538571370,5,7
1538571875,479,435
1538572808,401,0
1538573306,12,3
1538573770,247,213
1538574749,227,246
1538575219,5,8
1538575713,339,478
1538576650,238,0
1538577151,10,5
1538577613,209,227
1538578591,235,434
1538579065,119,7
1538579537,202,0
1538580496,211,493
1538580992,8,7
1538581459,198,0
1538582438,272,508
1538582952,84,0
1538583383,209,0
1538584342,263,253
1538584824,5,8
1538585333,227,504
1538586280,317,228
1538586739,5,0
1538587238,258,231
1538588178,255,0
1538588670,10,6
1538589132,197,209
1538590116,288,194
1538590584,12,4
1538591072,212,483
1538592028,206,201
1538592493,9,5
1538593486,1352,219
1538594659,282,244
1538595611,228,203
1538596612,194,237
1538596802,172,0
1538597535,261,236
1538598498,229,241
1538599458,261,297
1538600434,231,290
1538601392,338,238
1538602343,236,311
1538603299,225,206
1538604259,310,189
1538605215,201,194
1538606197,201,227
1538607133,59,206
1538608118,167,206
1538609068,58,218
1538610019,64,245
1538610979,28,186
1538611202,81,2850
