DateTime,Entries,UniqueIPs
1538310741,37510,39550
1538311234,37516,39556
1538311693,37509,39564
1538312679,37596,39663
1538313136,37586,39653
1538313613,37570,39633
1538314572,37579,39638
1538315057,37578,39639
1538315546,37565,39622
1538316002,37669,39734
1538316496,37646,39704
1538316993,37646,39703
1538317454,37632,39695
1538318414,37619,39670
1538318895,37620,39671
1538319384,37593,39646
1538319602,37677,39737
1538320339,37688,39747
1538320831,37682,39741
1538321291,37638,39702
1538322259,37606,39670
1538322770,37595,39658
1538323218,37568,39620
1538324186,37622,39676
1538324662,37624,39679
1538325145,37570,39626
1538326100,37554,39605
1538327059,37670,39711
1538328017,37617,39665
1538328489,37611,39657
1538328984,37579,39609
1538329933,37532,39551
1538330441,37529,39548
1538330907,37558,39595
1538331860,37480,39525
1538332812,37431,39487
1538333785,37429,39491
1538334262,37484,39547
1538334734,37419,39483
1538335693,37374,39431
1538336189,37369,39427
1538336658,37353,39425
1538337624,37351,39438
1538338121,37497,39604
1538338595,37459,39557
1538339542,37446,39550
1538340493,37411,39521
1538341462,37427,39552
1538341952,37424,39549
1538342413,37385,39512
1538343396,37377,39512
1538343851,37387,39522
1538344333,37364,39485
1538344802,37439,39570
1538345310,37388,39514
1538345783,37389,39515
1538346255,37375,39513
1538347218,37358,39504
1538347692,37365,39510
1538348183,37353,39509
1538348403,37433,39594
1538349135,37418,39585
1538349634,37383,39550
1538350095,37365,39538
1538351075,37314,39493
1538351533,37308,39487
1538352029,37291,39473
1538352982,35258,37368
1538353471,35281,37391
1538353938,35333,37454
1538354901,35324,37448
1538355369,35326,37451
1538355880,35366,37502
1538356813,35390,37534
1538357309,35389,37533
1538357772,35415,37583
1538358736,35467,37647
1538359240,35464,37645
1538359695,35584,37770
1538360658,35622,37819
1538361161,35619,37816
1538361630,35689,37886
1538362570,35745,37950
1538363072,35825,38035
1538363543,35884,38102
1538364494,35912,38151
1538364973,35914,38147
1538365473,35921,38173
1538366424,35946,38207
1538366911,36002,38267
1538367550,36066,38338
1538368571,36099,38371
1538368824,36102,38374
1538369544,36002,38278
1538370003,36098,38376
1538370501,36301,38601
1538370995,36306,38606
1538371461,36359,38667
1538372448,36238,38533
1538372900,36237,38533
1538373374,36431,38750
1538373602,36512,38831
1538374344,36297,38620
1538374841,36302,38625
1538375311,36327,38654
1538376273,36518,38864
1538376738,36510,38856
1538377225,36530,38893
1538378185,36687,39054
1538379141,36686,39053
1538380114,36723,39094
1538380579,36701,39071
1538381057,36845,39229
1538382016,36936,39314
1538382493,36940,39318
1538382994,36974,39348
1538383934,37003,39374
1538384434,37030,39407
1538384920,37302,39708
1538385854,37409,39788
1538386812,37427,39798
1538387791,37478,39859
1538388265,37593,39983
1538388739,37644,40051
1538389690,37686,40097
1538390192,37690,40101
1538390662,37741,40167
1538391622,37818,40257
1538392115,37941,40384
1538392585,38032,40484
1538393539,38083,40530
1538394031,38081,40528
1538394519,38133,40557
1538395710,38237,40667
1538396675,38322,40752
1538397613,38371,40790
1538398108,38371,40790
1538398582,38431,40835
1538398802,38523,40935
1538399552,38621,41037
1538400495,38660,41075
1538401457,38722,41131
1538402446,38799,41207
1538403404,38989,41407
1538403853,38981,41399
1538404342,38993,41408
1538405297,39045,41451
1538405802,39039,41445
1538406336,39207,41605
1538407472,39205,41594
1538407938,39211,41600
1538408658,39260,41656
1538409629,39090,41466
1538410143,39289,41669
1538410584,39510,41909
1538411542,39518,41916
1538412497,39584,41989
1538413477,39584,41971
1538413935,39586,41972
1538414413,39812,42217
1538415387,39634,42020
1538415875,39638,42024
1538416340,39622,42006
1538417303,39913,42315
1538417794,39915,42317
1538418256,39881,42271
1538419214,39636,41997
1538419715,39642,42004
1538420178,39790,42162
1538420402,39969,42347
1538421141,39848,42218
1538421629,39851,42221
1538422102,39861,42226
1538423059,39936,42301
1538423554,39935,42300
1538424065,40036,42412
1538424985,40259,42652
1538425463,40262,42655
1538425942,40110,42464
1538426894,40158,42511
1538427406,40161,42514
1538427867,40534,42914
1538429063,40615,42993
1538429550,40617,42995
1538430019,40632,43002
